Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),SignalType,Signal Open Price,Signal First Origination Date
TRENDPULSE,"CNR.TO, Long, 2026-01-16 (Price: 139.28)",No Exit Yet,"0.0%, 0 days","88.0%, Past 4 years, 25","Daily, is CONFIRMED on 2026-01-16",Already confirmed,"2026-01-16 (Price: 139.2800), 0.00% below",0 days,No Information,No Information,No Information,No Information,No Information,0.94% above/0.0% below/0.0% below,,,,,5.85%,1.19%,4.66%,0.01,-0.01,,,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets),entry,139.28,2025-12-01
FRACTAL TRACK,"BN.TO, Long, 2026-01-16 (Price: 65.91)",No Exit Yet,"0.0%, 0 days","95.65%, Past 2 years, 23","Daily, is CONFIRMED on 2026-01-16",Already confirmed,"2026-01-16 (Price: 65.9100), 0.00% above",0 days,No Information,No Information,No Information,"23.66% (Price: 66.1473), 0.36% below, Upmove Bounce Back","2025-11-18 (Price: 58.75), 2026-01-06 (Price: 68.44)",No Information,,,,,32.86%,12.33%,20.53%,1.73,0.66,,,94.15%/325/5.2 months (Across ALL Assets),62.26%/53/5.5 months (Across ALL Assets),entry,65.91,2025-11-20
DELTADRIFT,"HDFCBANK.NS, Long, 2026-01-16 (Price: 931.1)",No Exit Yet,"0.0%, 0 days","88.89%, Past 4 years, 9","Daily, is CONFIRMED on 2026-01-16",Already confirmed,"2026-01-16 (Price: 931.1000), 0.00% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,,,,,9.59%,4.97%,4.62%,0.63,0.25,,,86.49%/111/12 days (Across ALL Assets),78.66%/478/16 days (Across ALL Assets),entry,931.1,2026-01-16
TRENDPULSE,"MSE.PA, Long, 2026-01-16 (Price: 67.23)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 21","Weekly, is CONFIRMED on 2026-01-16",Already confirmed,"2026-01-16 (Price: 67.2300), 0.00% above",0 days,No Information,No Information,No Information,No Information,No Information,0.0% below/0.15% above/0.0% below,,,,,7.99%,3.79%,4.2%,2.07,0.15,,,91.25%/160/4.9 months (Across ALL Assets),82.63%/334/3.7 months (Across ALL Assets),entry,67.23,2025-10-26
TRENDPULSE,"GS, Long, 2026-01-16 (Price: 962.0)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 14","Weekly, is CONFIRMED on 2026-01-16",Already confirmed,"2026-01-16 (Price: 962.0000), 0.00% above",0 days,No Information,No Information,No Information,No Information,No Information,0.0% below/1.42% below/0.0% below,,,,,9.45%,7.78%,1.67%,2.03,0.4,,,91.25%/160/4.9 months (Across ALL Assets),82.63%/334/3.7 months (Across ALL Assets),entry,962.0,2025-11-12
FRACTAL TRACK,"BAC, Long, 2026-01-16 (Price: 52.97)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 10","Daily, is CONFIRMED on 2026-01-16",Already confirmed,"2026-01-16 (Price: 52.9700), 0.00% above",0 days,No Information,No Information,No Information,"23.66% (Price: 51.758), 2.34% above, Upmove Bounce Back","2025-04-09 (Price: 33.07), 2026-01-05 (Price: 57.55)",No Information,,,,,14.05%,9.09%,4.96%,2.73,0.48,,,94.15%/325/5.2 months (Across ALL Assets),62.26%/53/5.5 months (Across ALL Assets),entry,52.97,2025-10-14
DELTADRIFT,"RELIANCE.NS, Long, 2026-01-16 (Price: 1457.9)",No Exit Yet,"0.0%, 0 days","72.73%, Past 4 years, 11","Daily, is CONFIRMED on 2026-01-16",Already confirmed,"2026-01-16 (Price: 1457.9000), 0.00% above",0 days,No Information,No Information,No Information,No Information,No Information,No Information,,,,,6.04%,5.74%,0.3%,0.18,0.3,,,86.49%/111/12 days (Across ALL Assets),78.66%/478/16 days (Across ALL Assets),entry,1457.9,2026-01-16
FRACTAL TRACK,"JPM, Long, 2026-01-16 (Price: 312.47)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 20","Daily, is CONFIRMED on 2026-01-16",Already confirmed,"2026-01-16 (Price: 312.4700), 0.00% above",0 days,No Information,No Information,No Information,"50% (Price: 313.895), 0.45% below, Upmove Bounce Back","2025-10-22 (Price: 290.54), 2026-01-05 (Price: 337.25)",No Information,,,,,33.39%,14.23%,19.16%,1.48,0.83,,,94.15%/325/5.2 months (Across ALL Assets),62.26%/53/5.5 months (Across ALL Assets),entry,312.47,2025-10-16
FRACTAL TRACK,"IHI, Long, 2026-01-16 (Price: 61.83)",No Exit Yet,"0.0%, 0 days","93.75%, Past 5 years, 16","Daily, is CONFIRMED on 2026-01-16",Already confirmed,"2026-01-16 (Price: 61.8300), 0.00% above",0 days,No Information,No Information,No Information,"38.2% (Price: 62.2155), 0.62% below, Upmove Bounce Back","2025-10-01 (Price: 58.18), 2026-01-07 (Price: 64.71)",No Information,,,,,8.62%,2.88%,5.74%,0.66,0.08,,,94.15%/325/5.2 months (Across ALL Assets),62.26%/53/5.5 months (Across ALL Assets),entry,61.83,2025-12-12
TRENDPULSE,"ASML, Long, 2026-01-16 (Price: 1358.5699)",No Exit Yet,"0.0%, 0 days","92.86%, Past 10 years, 28","Weekly, is CONFIRMED on 2026-01-16",Already confirmed,"2026-01-16 (Price: 1358.5699), 0.00% above",0 days,No Information,No Information,No Information,No Information,No Information,0.0% below/2.03% above/0.0% below,,,,,11.7%,15.27%,-3.57%,1.0,0.74,,,91.25%/160/4.9 months (Across ALL Assets),82.63%/334/3.7 months (Across ALL Assets),entry,1358.5699,2026-01-06
