Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),SignalType,Signal Open Price
TRENDPULSE,"AAPL, Long, 2024-09-30 (Price: 233.0)",2026-01-02 (Price: 271.01) (Today),"16.31%, 1.3 year","100.0%, Past 20 years, 20","Monthly, is CONFIRMED on 2024-09-30",Already confirmed,"2026-01-29 (Price: 258.2800), 10.85% above",1.3 year,No Information,No Information,No Information,No Information,No Information,16.31% above/16.31% above/16.31% above,49.66%/12.62%/21.67%,"-0.0%, 40.56%",2.5 years/5.1 months/10.5 months,2028-04-25/2025-05-09/2025-12-30,17.77%,21.49%,-3.72%,2.41,1.03,338.9451/283.4911/275.29/No Horizontal Resistance/294.7231/309.0801/No EMA 200 Target,170.33/136.9225/189.8723/119.0319/No F-Track Level/No F-Track Level/197.37,No Data (Across ALL Assets),No Data (Across ALL Assets),exit,227.2709
TRENDPULSE,"ACWX, Long, 2025-10-26 (Price: 66.54)",2026-01-12 (Price: 69.82) (Today),"4.93%, 2.6 months","83.33%, Past 10 years, 18","Weekly, is CONFIRMED on 2025-10-24",Already confirmed,"2026-01-29 (Price: 71.9300), 8.10% above",2.6 months,No Information,No Information,No Information,No Information,No Information,4.93% above/4.93% above/4.93% above,4.87%/1.37%/3.26%,"7.49%, 23.65%",11.9 months/28 days/3 months,2027-03-27/2025-12-05/2026-03-05,5.13%,1.98%,3.15%,0.52,-0.01,68.982/68.7092/71.72/No Horizontal Resistance/69.6679/76.9985/No EMA 200 Target,51.22/45.07/61.9685/No support/No F-Track Level/No F-Track Level/59.25,91.25%/160/4.9 months (Across ALL Assets),82.63%/334/3.7 months (Across ALL Assets),exit,65.2577
FRACTAL TRACK,"ASML, Long, 2025-10-31 (Price: 1059.23)",2026-01-09 (Price: 1273.88) (Today),"20.26%, 2.3 months","92.31%, Past 30 years, 13","Monthly, was CONFIRMED on 2025-10-31",Already confirmed,"2026-01-29 (Price: 1455.1600), 37.38% above",2.3 months,No Information,No Information,No Information,"38.2% (Price: 692.3064), 84.01% above, Upmove Bounce Back","2008-11-30 (Price: 16.4156), 2024-07-31 (Price: 1110.09)",No Information,30.95%/20.8%/23.81%,"6.56%, 49.5%",2.6 years/1 month/8.9 months,2029-07-17/2025-12-13/2026-11-21,12.71%,13.9%,-1.19%,1.74,0.62,1226.5883/1311.4327/1715.43/No Horizontal Resistance/1091.1724/1155.2236/No EMA 200 Target,662.63/561.385/1034.6774/832.8601/No F-Track Level/No F-Track Level/858.15,88.57%/35/2.2 years (Across ALL Assets),60.29%/68/9.3 months (Across ALL Assets),exit,963.8998
TRENDPULSE,"ASML, Long, 2024-01-31 (Price: 869.82)",2026-01-02 (Price: 1163.78) (Today),"33.8%, 1.9 year","93.33%, Past 20 years, 15","Monthly, is CONFIRMED on 2024-01-31",Already confirmed,"2026-01-29 (Price: 1455.1600), 67.29% above",1.9 year,No Information,No Information,No Information,No Information,No Information,33.8% above/33.8% above/33.8% above,42.83%/5.07%/18.51%,"28.83%, 59.07%",1.4 year/5.1 months/1 year,2026-01-28/2024-09-08/2025-07-05,8.92%,10.16%,-1.24%,0.75,0.49,1035.4337/1030.8237/1286.69/888.525/1034.6774/1091.1724/No EMA 200 Target,588.66/188.78/832.8601/749.8177/No F-Track Level/No F-Track Level/678.52,No Data (Across ALL Assets),No Data (Across ALL Assets),exit,717.3319
TRENDPULSE,"ATZ.TO, Long, 2025-11-30 (Price: 110.5)",2026-01-12 (Price: 137.75) (Today),"24.66%, 1.4 month","100.0%, Past 10 years, 15","Weekly, is CONFIRMED on 2025-11-28",Already confirmed,"2026-01-29 (Price: 106.9500), 3.21% below",1.4 month,No Information,No Information,No Information,No Information,No Information,30.01% above/24.66% above/24.66% above,29.02%/8.48%/17.19%,"-0.0%, 57.81%",7.7 months/1.2 month/3.5 months,2026-10-30/2026-01-21/2026-05-01,22.65%,15.15%,7.5%,1.82,0.68,115.3068/129.4949/137.05/No Horizontal Resistance/99.4929/119.4832/No EMA 200 Target,41.91/32.3325/82.0832/66.1919/No F-Track Level/No F-Track Level/72.64,91.25%/160/4.9 months (Across ALL Assets),82.63%/334/3.7 months (Across ALL Assets),exit,106.85
FRACTAL TRACK,"IWM, Long, 2025-06-30 (Price: 215.79)",2026-01-09 (Price: 260.23) (Today),"20.59%, 6.4 months","88.89%, Past 25 years, 9","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-01-29 (Price: 263.3700), 22.05% above",6.4 months,No Information,No Information,No Information,"88.6% (Price: 171.1673), 52.03% above, Upmove Bounce Back","2023-10-31 (Price: 161.67), 2024-11-30 (Price: 244.98)",No Information,25.23%/12.67%/20.64%,"34.06%, 36.6%",1.9 year/5 months/1.1 year,2028-03-16/2026-02-02/2027-01-24,7.1%,4.62%,2.48%,0.69,0.22,238.8148/260.3291/265.78/244.72/267.7701/348.4025/226.19,194.86/162.3167/209.2101/157.2742/No F-Track Level/No F-Track Level/No EMA 200 Support,88.57%/35/2.2 years (Across ALL Assets),60.29%/68/9.3 months (Across ALL Assets),exit,203.4923
TRENDPULSE,"MAR, Long, 2025-02-09 (Price: 303.97)",2026-01-12 (Price: 323.35) (Today),"6.38%, 11.2 months","81.48%, Past 10 years, 27","Weekly, is CONFIRMED on 2025-02-07",Already confirmed,"2026-01-29 (Price: 319.7700), 5.20% above",11.2 months,No Information,No Information,No Information,No Information,No Information,13.81% above/6.38% above/6.38% above,16.53%/2.51%/7.6%,"12.52%, 61.32%",10.7 months/28 days/2.5 months,2026-05-19/2025-03-21/2025-05-28,11.8%,10.04%,1.76%,0.46,0.51,348.9576/327.0717/427.7/No Horizontal Resistance/372.972/399.3723/No EMA 200 Target,270.76/116.955/275.4012/235.5515/No F-Track Level/No F-Track Level/253.51,91.25%/160/4.9 months (Across ALL Assets),82.63%/334/3.7 months (Across ALL Assets),exit,284.0175
SIGMASHELL,"MCY.NZ, Long, 2025-12-02 (Price: 6.3)",2026-01-16 (Price: 6.48) (Today),"2.86%, 1.5 month","76.47%, Past 5 years, 17","Daily, was CONFIRMED on 2025-12-02",Already confirmed,"2026-01-30 (Price: 6.3500), 0.79% above",1.5 month,"-3.38, 76.78",No Information,No Information,No Information,No Information,No Information,22.29%/3.47%/11.45%,"5.11%, 24.61%",1.5 year/1.3 month/4.8 months,2028-01-23/2026-01-27/2026-06-28,24.55%,5.54%,19.01%,0.96,0.28,6.5772/7.0213/7.8394/7.085/7.8394/8.9737/No EMA 200 Target,6.07/5.13/5.8309/4.54/No F-Track Level/No F-Track Level/6.29,85.45%/55/4.2 months (Across ALL Assets),74.3%/214/3.9 months (Across ALL Assets),exit,6.34
FRACTAL TRACK,"META, Short, 2025-11-30 (Price: 647.95)",2026-01-15 (Price: 620.8) (Today),"4.19%, 1.5 month","100.0%, Past 13 years, 4","Monthly, was CONFIRMED on 2025-11-30",Already confirmed,"2026-01-29 (Price: 738.3100), 13.95% above",1.5 month,No Information,No Information,No Information,"23.66% (Price: 628.6993), 1.26% below, Upmove Break Below","2022-11-30 (Price: 88.09), 2025-08-31 (Price: 796.25)",No Information,32.63%/3.19%/14.4%,"0.0%, 32.63%",3.1 months/28 days/1.7 month,2026-04-13/2026-01-09/2026-02-11,10.6%,5.4%,5.2%,0.76,0.8,559.6344/554.6452/223.05/280.19/556.264/2054.9119/No EMA 200 Target,No support/280.19/556.264/No support/No F-Track Level/No F-Track Level/No support,83.33%/6/1.2 month (Across ALL Assets),50.0%/14/1.7 month (Across ALL Assets),exit,655.4654
TRENDPULSE,"MFT.NZ, Long, 2025-12-14 (Price: 67.4)",2026-01-12 (Price: 68.31) (Today),"1.35%, 29 days","90.91%, Past 10 years, 22","Weekly, is CONFIRMED on 2025-12-12",Already confirmed,"2026-01-30 (Price: 67.4950), 0.14% above",29 days,No Information,No Information,No Information,No Information,No Information,1.35% above/1.58% above/1.35% above,13.53%/1.78%/5.86%,"5.83%, 27.74%",1.2 year/28 days/4.4 months,2027-08-31/2026-01-23/2026-06-23,9.15%,10.41%,-1.26%,1.17,0.61,72.5831/71.3496/70.16/85.45/105.252/119.9356/No EMA 200 Target,58.66/55.185/54.7158/45.8971/No F-Track Level/No F-Track Level/63.86,91.25%/160/4.9 months (Across ALL Assets),82.63%/334/3.7 months (Across ALL Assets),exit,66.1468
