Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"XIU.TO, Long, 2025-10-31 (Price: 45.14)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 7","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-10-31 (Price: 45.14), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,5.57% above/0.0% below/0.0% below,13.41%/2.94%/9.9%,"0%, 6.18%",304 days/84 days/170 days,2027-01-14/2026-03-01/2026-07-04,7.06%,4.11%,2.95%,2.85,0.05,52.8725/49.6089/58.11/No Horizontal Resistance/48.3988/56.9776,28.76/28.5233/41.5586/34.9694/41.4166/38.7412,44.24/40.37,90.62%/32/267 days (Across ALL Assets),76.7%/103/188 days (Across ALL Assets)
TRENDPULSE,"QQQ, Long, 2025-10-31 (Price: 629.07)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 9","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-10-31 (Price: 629.07), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,4.78% above/0.0% below/0.0% below,26.83%/2.45%/11.5%,"0%, 13.09%",369 days/11 days/167 days,2027-04-18/2025-11-15/2026-06-29,8.54%,7.66%,0.88%,1.61,0.27,727.2049/701.413/844.88/No Horizontal Resistance/634.1966/765.0054,468.92/256.995/578.1694/464.7077/546.4514/490.7995,596.73/537.0,90.62%/32/267 days (Across ALL Assets),76.7%/103/188 days (Across ALL Assets)
TRENDPULSE,"^NDX, Long, 2025-10-31 (Price: 25858.127)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 10","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-10-31 (Price: 25858.127), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,4.77% above/0.0% below/0.0% below,30.75%/6.45%/16.49%,"0%, 13.1%",304 days/107 days/153 days,2027-01-14/2026-04-03/2026-06-09,9.53%,7.75%,1.78%,1.92,0.28,33817.2585/30122.1321/34741.23/No Horizontal Resistance/25849.2/31284.5255,19278.45/10555.915/22960.0831/19028.9478/22457.6702/20168.8619,24519.3/22067.0,90.62%/32/267 days (Across ALL Assets),76.7%/103/188 days (Across ALL Assets)
TRENDPULSE,"^DJI, Long, 2025-10-31 (Price: 47562.8711)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 14","Weekly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-10-31 (Price: 47562.8711), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,2.97% above/0.0% below/0.0% below,6.98%/0.22%/3.64%,"0%, 34.78%",249 days/19 days/106 days,2026-10-26/2025-11-27/2026-04-02,6.14%,9.9%,-3.76%,1.98,0.44,49394.0416/49294.1596/55178.5/No Horizontal Resistance/50924.8674/68852.5953,38314.86/32154.0552/39844.8882/32997.1394/45336.5725/43674.8163,46229.44/43702.44,96.46%/113/86 days (Across ALL Assets),78.15%/270/77 days (Across ALL Assets)
TRENDPULSE,"BNS.TO, Long, 2025-10-31 (Price: 91.99)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 7","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-10-31 (Price: 91.99), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,7.25% above/0.0% below/0.0% below,20.44%/4.28%/14.08%,"0%, 26.01%",719 days/152 days/296 days,2028-09-06/2026-06-08/2027-01-02,6.51%,5.64%,0.87%,2.46,0.16,104.4546/104.9422/113.97/No Horizontal Resistance/95.6649/105.6031,56.15/62.2517/90.1456/81.5516/83.4153/78.0413,88.59/76.35,90.62%/32/267 days (Across ALL Assets),76.7%/103/188 days (Across ALL Assets)
TRENDPULSE,"TSM, Long, 2025-10-31 (Price: 300.43)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 11","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-10-31 (Price: 300.43), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,0.0% below/0.0% below/0.0% below,62.44%/5.05%/22.29%,"0%, 37.55%",392 days/107 days/232 days,2027-05-21/2026-04-03/2026-10-02,11.02%,13.62%,-2.6%,0.97,0.47,389.4775/367.3958/420.14/No Horizontal Resistance/291.0528/360.6179,166.0/83.575/242.5186/188.2216/251.761/215.1289,274.27/218.77,90.62%/32/267 days (Across ALL Assets),76.7%/103/188 days (Across ALL Assets)
TRENDPULSE,"JPM, Long, 2025-10-31 (Price: 311.12)",No Exit Yet,"0.0%, 0 days","93.75%, Past 4 years, 16","Daily, is CONFIRMED on 2025-10-31",Already confirmed,"2025-10-31 (Price: 311.12), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,0.54% above/0.0% below/0.0% below,10.64%/1.29%/4.2%,"2.79%, 13.14%",51 days/4 days/15 days,2026-01-12/2025-11-05/2025-11-21,16.4%,16.49%,-0.09%,1.21,0.58,320.6092/324.187/314.46/No Horizontal Resistance/357.3035/404.0796,294.11/125.7575/297.9709/271.3591/266.7317/235.2191,304.83/274.75,88.89%/279/30 days (Across ALL Assets),83.02%/642/28 days (Across ALL Assets)
TRENDPULSE,"BDGI.TO, Long, 2025-10-31 (Price: 73.59)",No Exit Yet,"0.0%, 0 days","92.86%, Past 20 years, 14","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-10-31 (Price: 73.59), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,27.69% above/0.0% below/0.0% below,159.21%/3.87%/39.19%,"37.81%, 37.81%",413 days/33 days/163 days,2027-06-21/2025-12-17/2026-06-24,15.59%,16.43%,-0.84%,0.71,0.55,158.086/102.4299/96.66/No Horizontal Resistance/63.4408/66.9303,35.88/24.32/55.1508/48.4155/64.3621/58.5069,62.34/48.39,90.62%/32/267 days (Across ALL Assets),76.7%/103/188 days (Across ALL Assets)
FRACTAL TRACK,"CNQ.TO, Long, 2025-10-31 (Price: 44.87)",No Exit Yet,"0.0%, 0 days","91.67%, Past 52 years, 24","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-10-31 (Price: 44.87), 0.0% below",0 days,No Information,No Information,No Information,"38.2% (Price: 41.6298), 7.78% above, Upmove Bounce Back","2017-07-31 (Price: 17.5808), 2024-04-30 (Price: 56.495)",No Information,1389.83%/6.72%/224.83%,"41.8%, 61.82%",5502 days/239 days/1465 days,2047-08-26/2026-10-12/2031-08-22,13.14%,14.1%,-0.96%,0.31,0.49,47.0372/145.7512/68.22/51.51/57.5622/59.9244,39.56/34.9317/44.0597/41.1349/61.5996/64.7366,43.83/42.88,83.72%/43/1335 days (Across ALL Assets),70.54%/112/343 days (Across ALL Assets)
FRACTAL TRACK,"SJ.TO, Long, 2025-10-31 (Price: 79.61)",No Exit Yet,"0.0%, 0 days","91.67%, Past 31 years, 12","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-10-31 (Price: 79.61), 0.0% below",0 days,No Information,No Information,No Information,"38.2% (Price: 72.2303), 10.22% above, Upmove Bounce Back","2022-06-30 (Price: 30.54), 2024-07-31 (Price: 98.0)",No Information,6107.74%/9.52%/971.03%,"16.7%, 70.23%",4108 days/153 days/1494 days,2042-02-14/2026-06-09/2031-10-03,17.01%,17.8%,-0.79%,0.35,0.63,84.6493/852.647/120.09/84.3925/108.5192/133.8092,67.6/38.015/50.2755/47.8005/106.4561/111.6527,79.07/74.45,83.72%/43/1335 days (Across ALL Assets),70.54%/112/343 days (Across ALL Assets)
FRACTAL TRACK,"DIS, Long, 2025-10-31 (Price: 112.62)",No Exit Yet,"0.0%, 0 days","90.32%, Past 20 years, 31","Weekly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-10-31 (Price: 112.62), 0.0% below",0 days,No Information,No Information,No Information,"38.2% (Price: 107.6566), 4.61% above, Upmove Bounce Back","2025-04-13 (Price: 80.1), 2025-07-06 (Price: 124.69)",No Information,98.61%/5.36%/30.13%,"7.93%, 55.37%",579 days/44 days/299 days,2028-02-16/2026-01-02/2027-01-07,13.33%,8.28%,5.05%,0.58,0.29,117.1473/146.5524/139.37/168.455/236.8799/272.4142,109.19/79.415/109.0737/100.3529/134.0652/140.4105,114.13/110.06,94.0%/50/558 days (Across ALL Assets),72.73%/165/214 days (Across ALL Assets)
