"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"LYFT, Long, 2025-11-03 (Price: 20.95)",No Exit Yet,"0.0%, 0 days","96.0%, Past 5 years, 25","Daily, is CONFIRMED on 2025-11-03",Already confirmed,"2025-11-03 (Price: 20.95), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 19.552),7.15% above,"2025-08-11 (Price: 13.165), 2025-09-17 (Price: 23.5)",52.96%/0.97%/21.59%,"5.88%, 53.48%",394 days/27 days/190 days,2027-05-27/2025-12-12/2026-08-05,19.21%,-6.72%,25.93%,0.41,0.2,20.8306/25.4731/27.15/57.19/97.9262/No Next Fib Ext,19.75/8.8875/No F-Stack Support/No F-Stack Support/20.943/21.3785,19.96/15.39,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"SONY, Long, 2025-11-03 (Price: 27.95)",No Exit Yet,"0.0%, 0 days","89.47%, Past 5 years, 19","Daily, is CONFIRMED on 2025-11-03",Already confirmed,"2025-11-03 (Price: 27.95), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 27.8032),0.53% above,"2025-07-16 (Price: 23.78), 2025-10-09 (Price: 30.29)",24.5%/7.06%/17.24%,"5.03%, 23.78%",183 days/63 days/95 days,2026-07-26/2026-02-02/2026-03-20,23.93%,9.83%,14.1%,0.54,0.36,28.6487/32.7686/31.86/No Horizontal Resistance/32.4/37.6609,27.75/14.992/27.7915/24.5433/24.7424/24.227,28.75/25.72,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"BIPC.TO, Long, 2025-11-03 (Price: 64.43)",No Exit Yet,"0.0%, 0 days","95.0%, Past 5 years, 20","Daily, is CONFIRMED on 2025-11-03",Already confirmed,"2025-11-03 (Price: 64.43), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 59.4945),8.3% above,"2023-10-30 (Price: 35.31), 2025-10-16 (Price: 66.99)",18.49%/5.22%/10.88%,"2.3%, 12.67%",110 days/13 days/51 days,2026-04-11/2025-11-21/2026-01-15,47.75%,4.17%,43.58%,0.53,0.14,64.604/71.44/83.44/66.5925/No Next Fib Ext/No Next Fib Ext,60.76/44.9667/No F-Stack Support/No F-Stack Support/59.4945/54.8882,58.9/55.96,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"MX.TO, Long, 2025-11-03 (Price: 52.3)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 33","Daily, is CONFIRMED on 2025-11-03",Already confirmed,"2025-11-03 (Price: 52.3), 0.0% below",0 days,Upmove Bounce Back,88.6% (Price: 46.0338),13.61% above,"2025-08-12 (Price: 44.57), 2025-10-07 (Price: 57.41)",56.52%/5.07%/26.08%,"-0.0%, 41.4%",715 days/33 days/192 days,2028-09-03/2025-12-20/2026-08-08,19.49%,7.34%,12.15%,0.51,0.31,52.4098/65.9398/60.0/73.435/118.0011/153.5474,47.41/38.425/47.9234/44.2912/88.1361/94.2546,51.89/51.55,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"SOXX, Long, 2025-11-03 (Price: 308.38)",No Exit Yet,"0.0%, 0 days","100.0%, Past 24 years, 8","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 148.31 prior to 2025-12-31,"2025-11-03 (Price: 308.38), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 147.9982),108.37% above,"2015-09-30 (Price: 24.2867), 2022-03-31 (Price: 186.34)",66.53%/66.53%/66.53%,"-0.0%, 41.23%",717 days/717 days/717 days,2028-09-06/2028-09-06/2028-09-06,19.89%,12.73%,7.15%,0.33,0.46,322.5346/513.5452/405.61/No Horizontal Resistance/320.8469/358.5021,106.24/110.475/267.2317/244.4067/273.874/249.9586,273.3/229.82,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"XLV, Long, 2025-11-03 (Price: 144.45)",No Exit Yet,"0.0%, 0 days","80.0%, Past 26 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 127.35 prior to 2025-12-31,"2025-11-03 (Price: 144.45), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 126.9868),13.75% above,"2009-03-31 (Price: 21.63), 2024-09-30 (Price: 159.64)",307.1%/307.1%/307.1%,"1.45%, 14.04%",3717 days/3717 days/3717 days,2040-07-30/2040-07-30/2040-07-30,8.26%,6.44%,1.82%,0.48,0.22,141.1276/588.0559/227.26/149.295/174.1807/202.706,24.21/120.178/117.2225/81.225/167.2798/171.9748,140.52/139.05,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"WIPRO.NS, Long, 2025-11-03 (Price: 240.5)",No Exit Yet,"0.0%, 0 days","88.0%, Past 80 years, 25","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 235.01 prior to 2025-11-28,"2025-11-03 (Price: 240.5), 0.0% below",0 days,Upmove Bounce Back,61.8% (Price: 232.7652),3.32% above,"2023-04-30 (Price: 176.0), 2025-01-31 (Price: 324.6)",196.24%/14.77%/97.8%,"25.41%, 71.77%",1368 days/240 days/662 days,2031-04-07/2026-10-16/2028-06-18,9.34%,22.33%,-12.98%,0.43,0.63,234.6559/475.709/329.66/366.6625/374.6319/404.5107,239.37/187.6063/184.3156/1127.9829/347.4556/361.5012,246.76/261.94,84.44%/45/1293 days (Across ALL Assets),76.0%/100/206 days (Across ALL Assets)
"WIPRO.NS, Long, 2025-11-03 (Price: 240.5)",No Exit Yet,"0.0%, 0 days","100.0%, Past 80 years, 10","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 228.0 prior to 2025-12-31,"2025-11-03 (Price: 240.5), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 224.8125),6.98% above,"2020-03-31 (Price: 79.7), 2021-12-31 (Price: 369.925)",550.34%/1.52%/189.68%,"-0.0%, 61.48%",5479 days/717 days/2500 days,2047-07-26/2028-09-06/2035-10-03,6.68%,22.24%,-15.57%,0.33,0.55,273.9536/696.6804/414.63/366.6625/374.6319/404.5107,182.62/187.6063/184.3156/1127.9829/347.4556/361.5012,246.76/261.94,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"RELIANCE.NS, Long, 2025-11-03 (Price: 1484.7)",No Exit Yet,"0.0%, 0 days","88.46%, Past 48 years, 26","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 1340.6 prior to 2025-11-28,"2025-11-03 (Price: 1484.7), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 1322.8731),12.23% above,"2020-03-31 (Price: 400.3177), 2024-07-31 (Price: 1608.8)",415.66%/5.67%/156.39%,"26.03%, 38.57%",2218 days/195 days/833 days,2034-08-20/2026-08-12/2029-02-21,8.96%,19.65%,-10.68%,0.38,0.63,1680.8289/3806.6223/2209.79/1531.725/1617.1679/1804.6011,1200.1/855.613/1324.16/1138.1652/1725.6686/1797.4889,1402.58/1362.17,84.44%/45/1293 days (Across ALL Assets),76.0%/100/206 days (Across ALL Assets)
"RELIANCE.NS, Long, 2025-11-03 (Price: 1484.7)",No Exit Yet,"0.0%, 0 days","100.0%, Past 48 years, 7","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 1114.85 prior to 2025-12-31,"2025-11-03 (Price: 1484.7), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 1100.9625),34.85% above,"2020-03-31 (Price: 400.3177), 2022-06-30 (Price: 1318.1128)",651.15%/27.98%/339.57%,"-0.0%, 57.24%",1501 days/455 days/978 days,2031-10-17/2027-08-24/2029-09-19,30.69%,19.15%,11.54%,0.39,0.64,1512.4639/6526.2958/2035.38/1531.725/1617.1679/1804.6011,158.4/855.613/1324.16/1138.1652/1725.6686/1797.4889,1402.58/1362.17,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
