"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"PLTR, Long, 2025-11-24 (Price: 162.25)",No Exit Yet,"0.0%, 0 days","85.71%, Past 4 years, 7","Daily, is CONFIRMED on 2025-11-24",Already confirmed,"2025-11-24 (Price: 162.25), 0.0% below",0 days,19.0%/3.53%/11.32%,"14.06%, 15.26%",17 days/1 day/5 days,2025-12-18/2025-11-25/2025-12-01,20.7%,64.21%,-43.51%,0.68,1.53,206.4469/180.6167/193.53/No Horizontal Resistance/232.7649/248.6965/No Moving Avg Target,154.85/7.205/156.1054/148.2704/No F-Track Level/No F-Track Level/139.85,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
"IBKR, Long, 2025-11-24 (Price: 62.43)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 7","Daily, is CONFIRMED on 2025-11-24",Already confirmed,"2025-11-24 (Price: 62.43), 0.0% below",0 days,7.8%/2.46%/4.71%,"0%, 19.81%",1.4 month/2 days/11 days,2026-01-22/2025-11-26/2025-12-09,15.06%,38.45%,-23.39%,2.14,1.27,66.3943/65.3705/65.88/No Horizontal Resistance/102.297/159.1852/No Moving Avg Target,61.05/13.0762/45.4088/31.9794/No F-Track Level/No F-Track Level/56.69,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
"COIN, Long, 2025-11-24 (Price: 255.97)",No Exit Yet,"0.0%, 0 days","85.71%, Past 4 years, 7","Daily, is CONFIRMED on 2025-11-24",Already confirmed,"2025-11-24 (Price: 255.97), 0.0% below",0 days,19.07%/7.08%/10.13%,"27.31%, 39.8%",1.9 month/1 day/15 days,2026-02-16/2025-11-25/2025-12-15,11.79%,-0.05%,11.84%,0.3,0.5,263.1628/281.8998/272.53/289.6467/466.299/494.3788/282.18,238.16/86.505/234.936/157.903/No F-Track Level/No F-Track Level/No Moving Avg Support,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
"ORCL, Long, 2025-11-24 (Price: 200.28)",No Exit Yet,"0.0%, 0 days","71.43%, Past 4 years, 7","Daily, is CONFIRMED on 2025-11-24",Already confirmed,"2025-11-24 (Price: 200.28), 0.0% below",0 days,4.11%/1.84%/3.09%,"17.33%, 17.33%",20 days/3 days/7 days,2025-12-22/2025-11-28/2025-12-04,-5.14%,28.08%,-33.22%,-0.21,0.86,225.9759/206.4687/216.22/No Horizontal Resistance/300.069/376.1425/210.71,198.76/82.7925/167.1709/152.3597/No F-Track Level/No F-Track Level/No Moving Avg Support,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
"ETH-USD, Long, 2025-11-23 (Price: 2801.676)",No Exit Yet,"3.26%, 1 day","90.91%, Past 4 years, 11","Daily, was CONFIRMED on 2025-11-23",Already confirmed,"2025-11-25 (Price: 2893.1487), 3.26% above",1 day,18.77%/4.94%/10.33%,"24.06%, 28.71%",24 days/0 days/8 days,2025-12-27/2025-11-23/2025-12-04,25.9%,-3.87%,29.77%,0.6,0.18,2965.0137/3091.0891/3028.05/4922.7188/4887.278/5344.0381/3511.59,2765.7/1370.4997/2637.9184/2471.5754/No F-Track Level/No F-Track Level/No Moving Avg Support,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
"BTC-USD, Long, 2025-11-19 (Price: 91465.9922)",No Exit Yet,"-4.41%, 4 days","90.91%, Past 4 years, 11","Daily, was CONFIRMED on 2025-11-19",Already confirmed,"2025-11-25 (Price: 87432.1719), 4.41% below",4 days,11.7%/3.07%/6.11%,"14.07%, 14.27%",14 days/0 days/3 days,2025-12-09/2025-11-19/2025-11-23,16.86%,15.19%,1.67%,0.65,0.39,96999.6847/97054.5643/97027.12/124582.2656/122105.3521/133759.1807/110057.95,76271.95/18304.4229/88987.7198/76786.0499/No F-Track Level/No F-Track Level/No Moving Avg Support,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
"SFTBY, Long, 2025-11-19 (Price: 60.98)",No Exit Yet,"-7.74%, 3 days","76.92%, Past 4 years, 13","Daily, was CONFIRMED on 2025-11-19",Already confirmed,"2025-11-24 (Price: 56.26), 7.74% below",3 days,12.83%/2.56%/5.52%,"19.12%, 20.76%",9 days/1 day/4 days,2025-12-02/2025-11-20/2025-11-24,5.98%,33.31%,-27.33%,0.08,0.98,68.0232/64.3461/66.18/No Horizontal Resistance/95.4524/115.3755/No Moving Avg Target,59.89/16.82/56.3971/48.3837/No F-Track Level/No F-Track Level/42.8,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
"ARM, Long, 2025-11-18 (Price: 136.04)",No Exit Yet,"-0.98%, 4 days","80.0%, Past 2 years, 5","Daily, was CONFIRMED on 2025-11-18",Already confirmed,"2025-11-24 (Price: 134.71), 0.98% below",4 days,13.24%/7.69%/10.84%,"19.77%, 19.77%",25 days/3 days/10 days,2025-12-24/2025-11-22/2025-12-02,19.42%,56.91%,-37.49%,0.35,1.37,139.9035/150.7867/145.35/165.49/209.6611/292.8214/138.66,131.42/No Horizontal Support/122.7432/102.2246/No F-Track Level/No F-Track Level/No Moving Avg Support,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
"ORCL, Long, 2025-11-10 (Price: 240.83)",2025-11-21 (Price: 198.76),"-17.47%, 11 days","71.43%, Past 4 years, 7","Daily, was CONFIRMED on 2025-11-10",Already confirmed,"2025-11-24 (Price: 200.28), 16.84% below",14 days,4.11%/1.84%/3.09%,"17.33%, 17.33%",20 days/3 days/7 days,2025-12-08/2025-11-14/2025-11-20,-5.14%,28.08%,-33.22%,-0.21,0.86,271.7285/248.2716/260.0/No Horizontal Resistance/300.069/376.1425/No Moving Avg Target,239.26/82.7925/233.7381/208.7793/No F-Track Level/No F-Track Level/210.71,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
"ETH-USD, Long, 2025-11-08 (Price: 3400.376)",2025-11-21 (Price: 2765.6992),"-18.66%, 13 days","90.91%, Past 4 years, 11","Daily, was CONFIRMED on 2025-11-08",Already confirmed,"2025-11-25 (Price: 2893.1487), 14.92% below",17 days,18.77%/4.94%/10.33%,"24.06%, 28.71%",24 days/0 days/8 days,2025-12-12/2025-11-08/2025-11-19,25.9%,-3.87%,29.77%,0.6,0.18,3598.6179/3751.6348/3675.13/4922.7188/4887.278/5344.0381/3511.59,3292.57/1370.4997/2637.9184/2471.5754/No F-Track Level/No F-Track Level/No Moving Avg Support,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
