"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"IFT.NZ, Long, 2025-11-25 (Price: 11.78)",No Exit Yet,"0.0%, 0 days","88.64%, Past 5 years, 44","Daily, is CONFIRMED on 2025-11-25",Already confirmed,"2025-11-25 (Price: 11.78), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 11.435),3.02% above,"2025-06-11 (Price: 10.02), 2025-11-13 (Price: 12.85)",49.32%/1.62%/13.7%,"0.96%, 15.98%",2.4 years/14 days/6.7 months,2029-04-04/2025-12-15/2026-09-10,8.65%,17.61%,-8.96%,0.54,0.71,11.9862/13.3939/13.48/11.925/13.8771/15.9169/No Moving Avg Target,11.55/7.3167/11.3804/9.6206/14.3361/14.9482/11.32,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"^NZ50, Long, 2025-11-25 (Price: 13480.4297)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 28","Daily, is CONFIRMED on 2025-11-25",Already confirmed,"2025-11-25 (Price: 13480.4297), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 13255.3776),1.7% above,"2025-04-08 (Price: 11738.1201), 2025-11-12 (Price: 13725.6201)",18.32%/0.56%/6.7%,"-0.0%, 20.61%",3.2 years/1.7 month/1.1 year,2030-06-17/2026-02-08/2027-07-03,2.97%,2.07%,0.9%,0.73,-0.15,13624.6703/14383.6185/14672.93/No Horizontal Resistance/14523.0985/16781.6883/No Moving Avg Target,13296.05/10608.2731/12696.4249/9172.411/13008.8097/12568.3015/12804.07,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"TSLA, Long, 2025-11-25 (Price: 417.78)",No Exit Yet,"0.0%, 0 days","80.65%, Past 15 years, 31","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 382.78 prior to 2025-11-28,"2025-11-25 (Price: 417.78), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 375.7432),11.19% above,"2019-06-09 (Price: 11.7993), 2024-12-22 (Price: 488.54)",6815.74%/3.62%/968.91%,"19.51%, 72.25%",6.4 years/3.1 months/2.1 years,2035-01-28/2026-04-10/2028-11-28,14.07%,45.46%,-31.4%,0.27,1.18,461.9811/4465.6922/703.82/No Horizontal Resistance/461.2057/510.3573/No Moving Avg Target,391.09/181.0784/117.6011/73.4077/397.0397/340.8091/339.11,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
"XLV, Long, 2025-11-25 (Price: 155.26)",No Exit Yet,"0.0%, 0 days","80.0%, Past 26 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 127.35 prior to 2025-12-31,"2025-11-25 (Price: 155.26), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 126.9868),22.26% above,"2009-03-31 (Price: 21.63), 2024-09-30 (Price: 159.64)",307.1%/307.1%/307.1%,"1.45%, 14.04%",10.3 years/10.3 years/10.3 years,2040-08-21/2040-08-21/2040-08-21,8.26%,6.44%,1.82%,0.48,0.22,151.689/632.0635/238.07/No Horizontal Resistance/174.1807/202.706/No Moving Avg Target,24.21/120.178/153.114/117.2225/167.2798/171.9748/139.41,92.31%/13/4.7 years (Across ALL Assets),69.23%/13/9.3 months (Across ALL Assets)
"WIPRO.NS, Long, 2025-11-25 (Price: 245.64)",No Exit Yet,"0.0%, 0 days","88.0%, Past 80 years, 25","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 235.01 prior to 2025-11-28,"2025-11-25 (Price: 245.64), 0.0% below",0 days,Upmove Bounce Back,61.8% (Price: 232.7652),5.53% above,"2023-04-30 (Price: 176.0), 2025-01-31 (Price: 324.6)",196.24%/14.77%/97.8%,"25.41%, 71.77%",3.8 years/8 months/1.8 year,2031-04-29/2026-11-07/2028-07-10,9.34%,22.33%,-12.98%,0.43,0.63,239.6709/485.8759/334.8/366.6625/374.6319/404.5107/257.04,239.37/187.6063/184.3156/1127.9829/347.4556/361.5012/No Moving Avg Support,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
"RELIANCE.NS, Long, 2025-11-25 (Price: 1539.7)",No Exit Yet,"0.0%, 0 days","88.46%, Past 48 years, 26","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 1340.6 prior to 2025-11-28,"2025-11-25 (Price: 1539.7), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 1322.8731),16.39% above,"2020-03-31 (Price: 400.3177), 2024-07-31 (Price: 1608.8)",415.66%/5.67%/156.39%,"26.03%, 38.57%",6.2 years/6.5 months/2.3 years,2034-09-11/2026-09-03/2029-03-15,8.96%,19.65%,-10.68%,0.38,0.63,1743.0944/3947.6368/2264.79/No Horizontal Resistance/1617.1679/1804.6011/No Moving Avg Target,1200.1/855.3207/1324.16/1138.1652/1725.6686/1797.4889/1382.26,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
"PG, Long, 2025-11-25 (Price: 146.98)",No Exit Yet,"0.0%, 0 days","97.73%, Past 20 years, 44","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 144.09 prior to 2025-11-28,"2025-11-25 (Price: 146.98), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 142.4353),3.19% above,"1996-04-14 (Price: 19.8438), 2024-12-01 (Price: 180.43)",97.61%/1.34%/25.52%,"5.37%, 38.6%",8.5 years/1.8 month/2.2 years,2038-02-02/2026-02-11/2028-12-30,2.95%,4.92%,-1.97%,0.48,0.12,150.5075/184.4893/243.33/179.4533/198.7009/220.9395/159.41,143.96/121.86/128.0678/119.7966/144.4315/134.6455/No Moving Avg Support,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
"WMT, Long, 2025-11-25 (Price: 104.06)",No Exit Yet,"0.0%, 0 days","93.18%, Past 20 years, 44","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 98.88 prior to 2025-11-28,"2025-11-25 (Price: 104.06), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 98.2079),5.96% above,"2025-04-13 (Price: 79.81), 2025-10-19 (Price: 109.58)",65.68%/1.31%/22.98%,"16.1%, 30.65%",4.5 years/1.5 month/1.3 year,2032-04-05/2026-01-27/2027-09-29,4.78%,9.34%,-4.56%,0.52,0.36,106.0163/127.973/121.92/105.01/114.6382/136.6818/No Moving Avg Target,101.18/42.3916/91.6278/82.681/92.9021/82.6528/97.87,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
"IFT.NZ, Long, 2025-11-25 (Price: 11.78)",No Exit Yet,"0.0%, 0 days","100.0%, Past 31 years, 6","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 9.13 prior to 2025-12-31,"2025-11-25 (Price: 11.78), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 9.2141),27.85% above,"2016-12-31 (Price: 2.5393), 2024-12-31 (Price: 13.34)",103.41%/23.86%/63.63%,"-0.0%, 22.42%",2.7 years/2.0 year/2.4 years,2029-10-11/2028-09-28/2029-04-04,13.15%,12.57%,0.58%,0.46,0.51,13.5552/19.2756/18.26/11.925/13.8771/15.9169/No Moving Avg Target,2.72/7.3167/11.3804/9.6206/14.3361/14.9482/11.32,92.31%/13/4.7 years (Across ALL Assets),69.23%/13/9.3 months (Across ALL Assets)
"SUM.NZ, Long, 2025-11-25 (Price: 12.7)",No Exit Yet,"0.0%, 0 days","100.0%, Past 14 years, 7","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 10.5 prior to 2025-12-31,"2025-11-25 (Price: 12.7), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 10.74),18.25% above,"2023-06-30 (Price: 8.04), 2024-12-31 (Price: 13.44)",21.12%/21.12%/21.12%,"-0.0%, 38.76%",2.0 year/2.0 year/2.0 year,2028-09-29/2028-09-29/2028-09-29,7.04%,16.47%,-9.43%,0.34,0.57,12.5438/15.3822/15.94/13.345/16.7981/18.5763/No Moving Avg Target,8.8/9.1367/11.1928/8.9354/12.1624/11.3772/11.44,92.31%/13/4.7 years (Across ALL Assets),69.23%/13/9.3 months (Across ALL Assets)
