"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Divergence Start/End (Date and Price [$]),Divergence Duration (days) (Max./Min./Avg.),Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"BABA, Long, 2025-11-24 (Price: 160.73)",No Exit Yet,"0.0%, 0 days","76.19%, Past 6 years, 42","Daily, is Confirmed on 2025-11-24",No Cancellation Possible,"2025-11-24 (Price: 160.73), 0.0% below",0 days,2025-11-13 (Price: 158.5)/2025-11-14 (Price: 151.78),16 days/1 day/5 days,16.48%/5.33%/8.72%,"17.74%, 17.74%",2.1 months/1 day/11 days,2026-02-23/2025-11-25/2025-12-09,26.59%,-1.07%,27.65%,0.13,0.14,169.6344/174.7457/168.77/No Horizontal Resistance/395.5515/453.696/No Moving Avg Target,No Recent Minima/67.495/138.4263/108.0763/No F-Track Level/No F-Track Level/134.84,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
"IBIT, Long, 2025-11-24 (Price: 50.57)",No Exit Yet,"0.0%, 0 days","90.0%, Past 1 years, 10","Daily, is Confirmed on 2025-11-24",No Cancellation Possible,"2025-11-24 (Price: 50.57), 0.0% below",0 days,2025-11-17 (Price: 51.7)/2025-11-20 (Price: 48.74),5 days/1 day/3 days,8.18%/5.06%/7.28%,"13.32%, 14.42%",27 days/2 days/19 days,2026-01-02/2025-11-26/2025-12-21,56.12%,58.43%,-2.31%,0.25,1.54,51.4347/54.2515/53.1/70.855/74.3812/88.2877/58.83,No Recent Minima/41.99/45.1961/234.9241/No F-Track Level/No F-Track Level/No Moving Avg Support,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
"SONY, Long, 2025-11-24 (Price: 29.01)",No Exit Yet,"0.0%, 0 days","85.71%, Past 6 years, 35","Daily, is Confirmed on 2025-11-24",No Cancellation Possible,"2025-11-24 (Price: 29.01), 0.0% below",0 days,2025-10-31 (Price: 27.81)/2025-11-20 (Price: 27.75),15 days/1 day/6 days,17.73%/5.06%/8.44%,"11.6%, 15.4%",2 months/4 days/20 days,2026-02-18/2025-11-29/2025-12-22,38.36%,14.31%,24.05%,0.28,0.52,29.8977/31.4584/34.81/No Horizontal Resistance/33.2191/35.3948/No Moving Avg Target,No Recent Minima/14.992/26.0795/24.8529/No F-Track Level/No F-Track Level/26.24,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
"BTC-USD, Long, 2025-11-23 (Price: 86805.0078)",No Exit Yet,"0.72%, 1 day","84.21%, Past 6 years, 57","Daily, is Confirmed on 2025-11-23",No Cancellation Possible,"2025-11-25 (Price: 87432.1719), 0.72% above",1 day,2025-11-16 (Price: 92971.1641)/2025-11-21 (Price: 80659.8125),10 days/0 days/2 days,19.05%/5.04%/8.14%,"14.07%, 15.29%",1 month/0 days/8 days,2026-01-05/2025-11-23/2025-12-04,54.01%,49.41%,4.61%,0.19,0.92,90737.2747/93870.9354/91145.26/124582.2656/122105.3521/133759.1807/110057.95,No Recent Minima/18304.4229/76786.0499/48777.0949/No F-Track Level/No F-Track Level/No Moving Avg Support,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
"ETH-USD, Long, 2025-11-23 (Price: 2801.676)",2025-11-24 (Price: 2952.7134),"5.39%, 0 days","71.43%, Past 6 years, 56","Daily, is Confirmed on 2025-11-23",No Cancellation Possible,"2025-11-25 (Price: 2893.1487), 3.26% above",1 day,2025-11-16 (Price: 3007.0728)/2025-11-21 (Price: 2626.8716),9 days/0 days/2 days,13.52%/5.1%/7.76%,"15.5%, 17.27%",1.4 month/0 days/5 days,2026-01-21/2025-11-23/2025-11-30,-54.79%,63.56%,-118.35%,-0.14,1.09,3001.7157/3019.0861/2941.76/4922.7188/4887.278/5344.0381/3511.59,No Recent Minima/1370.4997/2637.9184/2471.5754/No F-Track Level/No F-Track Level/No Moving Avg Support,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
"WMT, Long, 2025-11-21 (Price: 105.32)",No Exit Yet,"-1.2%, 1 day","94.44%, Past 6 years, 18","Daily, is Confirmed on 2025-11-21",No Cancellation Possible,"2025-11-24 (Price: 104.06), 1.2% below",1 day,2025-11-03 (Price: 100.4)/2025-11-19 (Price: 99.68),22 days/1 day/8 days,23.28%/5.07%/9.04%,"14.16%, 23.42%",7.7 months/6 days/2.1 months,2026-10-23/2025-11-29/2026-02-20,23.6%,16.53%,7.07%,0.57,0.68,110.2068/114.8409/122.17/No Horizontal Resistance/137.8139/No Next Fib Ext/No Moving Avg Target,No Recent Minima/42.9289/85.5556/53.2582/No F-Track Level/No F-Track Level/97.87,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
"EFN.TO, Long, 2025-11-20 (Price: 36.25)",No Exit Yet,"2.7%, 2 days","79.17%, Past 6 years, 24","Daily, is Confirmed on 2025-11-20",No Cancellation Possible,"2025-11-24 (Price: 37.23), 2.7% above",2 days,2025-09-26 (Price: 35.99)/2025-09-30 (Price: 35.39),13 days/1 day/4 days,14.65%/5.03%/6.97%,"11.05%, 13.79%",1.8 month/2 days/22 days,2026-02-07/2025-11-22/2025-12-21,11.74%,21.39%,-9.65%,0.13,0.78,37.5622/38.7766/38.06/No Horizontal Resistance/45.1741/70.5281/No Moving Avg Target,No Recent Minima/11.7733/29.5041/177.9303/No F-Track Level/No F-Track Level/33.46,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
"PG, Long, 2025-11-19 (Price: 146.99)",No Exit Yet,"-0.01%, 3 days","79.31%, Past 6 years, 29","Daily, is Confirmed on 2025-11-19",No Cancellation Possible,"2025-11-24 (Price: 146.98), 0.01% below",3 days,2025-11-05 (Price: 145.65)/2025-11-10 (Price: 144.09),13 days/1 day/6 days,14.3%/5.05%/7.36%,"13.37%, 15.58%",4.0 months/12 days/1.6 month,2026-05-10/2025-12-06/2026-01-26,-2.55%,3.91%,-6.45%,-0.05,0.08,151.1792/157.8085/154.34/179.4533/186.6499/209.3631/159.41,No Recent Minima/121.86/140.2317/117.5404/No F-Track Level/No F-Track Level/No Moving Avg Support,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
"SPOT, Long, 2025-10-31 (Price: 655.32)",2025-11-20 (Price: 589.23),"-10.09%, 20 days","89.47%, Past 6 years, 38","Daily, is Confirmed on 2025-10-31",No Cancellation Possible,"2025-11-24 (Price: 584.98), 10.73% below",24 days,2025-10-17 (Price: 656.25)/2025-10-27 (Price: 640.4),12 days/1 day/4 days,20.64%/5.14%/7.38%,"18.6%, 21.54%",1.1 month/3 days/11 days,2025-12-19/2025-11-04/2025-11-15,89.2%,27.14%,62.06%,0.27,0.81,696.0154/703.6826/720.85/No Horizontal Resistance/854.3544/896.959/No Moving Avg Target,No Recent Minima/118.6/593.1795/552.6195/No F-Track Level/No F-Track Level/653.3,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
"BRK-B, Short, 2025-11-19 (Price: 501.26)",2025-11-20 (Price: 501.12),"0.03%, 1 day","89.8%, Past 6 years, 49","Daily, is Confirmed on 2025-11-19",No Cancellation Possible,"2025-11-24 (Price: 507.81), 1.31% above",3 days,2025-11-13 (Price: 514.26)/2025-11-14 (Price: 516.55),18 days/1 day/3 days,4.28%/0.01%/1.05%,"4.75%, 6.36%",17 days/1 day/4 days,2025-12-13/2025-11-20/2025-11-24,25.34%,5.1%,20.24%,0.17,0.56,497.2499/495.9968/496.62/268.082/491.88/449.7662/496.99,No Recent Maxima/268.082/491.88/449.7662/No F-Track Level/No F-Track Level/No Moving Avg Support,83.33%/18/4 days (Across ALL Assets),62.86%/35/4 days (Across ALL Assets)
