Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"^BVSP, Long, 2025-03-31 (Price: 130260.0)",2025-11-28 (Price: 159072.125) (Today),"22.12%, 8.1 months","93.33%, Past 57 years, 30","Monthly, was CONFIRMED on 2025-03-31",Already confirmed,"2025-11-28 (Price: 159072.125), 22.12% above",8.1 months,No Information,No Information,No Information,"50% (Price: 116368.0), 36.7% above, Upmove Bounce Back","2022-07-31 (Price: 95267.0), 2024-08-31 (Price: 137469.0)",No Information,195.55%/4.94%/55.92%,"17.81%, 51.61%",9.2 years/3.6 months/3.0 years,2038-06-08/2025-09-04/2029-07-26,3.98%,30.03%,-26.05%,0.44,0.88,141319.074/203101.392/155581.2/134350.3333/173653.968/192289.6/138174.43,120283.0/95217.0/121313.6/110617.73/No F-Track Level/No F-Track Level/No Moving Avg Support,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
TRENDPULSE,"ASHR, Long, 2024-10-06 (Price: 32.82)",2025-11-28 (Price: 32.58) (Today),"-0.73%, 1.2 year","75.76%, Past 10 years, 33","Weekly, is CONFIRMED on 2024-10-04",Already confirmed,"2025-11-28 (Price: 32.58), 0.73% below",1.2 year,No Information,No Information,No Information,No Information,No Information,19.21% above/10.89% above/0.73% below,24.71%/0.16%/10.96%,"38.84%, 52.68%",7.3 months/19 days/3.2 months,2025-08-19/2024-11-02/2025-02-20,2.29%,2.49%,-0.19%,0.16,0.06,34.0475/36.4171/35.5/39.9467/60.2967/80.3432/No Moving Avg Target,22.46/23.852/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/23.97,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
PULSEGAUGE,"TWR.NZ, Long, 2025-07-06 (Price: 1.6)",2025-11-28 (Price: 1.94) (Today),"21.25%, 4.8 months","88.24%, Past 25 years, 17","Weekly, was CONFIRMED on 2025-07-06",No Cancellation Possible,"2025-11-28 (Price: 1.94), 21.25% above",4.8 months,No Information,No Information,No Information,No Information,No Information,No Information,46.09%/20.0%/29.39%,"19.52%, 29.37%",1.1 year/1.1 month/4.6 months,2027-02-25/2025-08-24/2026-01-20,17.75%,-4.18%,21.93%,0.48,-0.09,1.7254/2.0702/7.3695/1.6222/7.3695/7.9211/1.63,1.35/0.6344/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,73.47%/49/5.2 months (Across ALL Assets),72.58%/124/4.9 months (Across ALL Assets)
TRENDPULSE,"RY.TO, Long, 2025-11-24 (Price: 211.39)",2025-11-28 (Price: 216.14) (Today),"2.25%, 4 days","95.83%, Past 4 years, 24","Daily, is CONFIRMED on 2025-11-24",Already confirmed,"2025-11-28 (Price: 216.14), 2.25% above",4 days,No Information,No Information,No Information,No Information,No Information,2.25% above/2.25% above/2.25% above,4.14%/0.14%/1.98%,"3.64%, 22.27%",3.6 months/4 days/18 days,2026-04-30/2025-11-29/2025-12-20,15.71%,11.08%,4.63%,1.07,0.45,215.0893/215.5755/215.56/No Horizontal Resistance/221.431/339.4883/No Moving Avg Target,204.01/118.8425/148.4673/103.3737/No F-Track Level/No F-Track Level/182.18,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"MTY.TO, Long, 2025-11-21 (Price: 36.56)",2025-11-28 (Price: 37.84) (Today),"3.5%, 5 days","88.24%, Past 4 years, 34","Daily, is CONFIRMED on 2025-11-21",Already confirmed,"2025-11-28 (Price: 37.84), 3.5% above",5 days,No Information,No Information,No Information,No Information,No Information,8.24% above/3.5% above/3.5% above,10.03%/0.53%/3.45%,"1.08%, 22.19%",3.7 months/4 days/1.0 month,2026-04-29/2025-11-26/2026-01-04,28.2%,-6.94%,35.14%,1.34,-0.03,37.4667/37.8213/39.02/72.5033/No Next Fib Ext/No Next Fib Ext/40.28,33.34/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"DOL.TO, Long, 2025-08-19 (Price: 196.9)",2025-11-28 (Price: 199.95) (Today),"1.55%, 3.4 months","100.0%, Past 4 years, 44","Daily, is CONFIRMED on 2025-08-19",Already confirmed,"2025-11-28 (Price: 199.95), 1.55% above",3.4 months,No Information,No Information,No Information,No Information,No Information,1.54% above/1.55% above/1.55% above,10.12%/0.29%/3.51%,"-0.0%, 13.61%",3.4 months/4 days/29 days,2026-01-12/2025-08-24/2025-09-30,31.05%,25.35%,5.71%,1.47,1.07,200.7002/203.8112/200.6/No Horizontal Resistance/194.1559/294.0831/No Moving Avg Target,185.49/45.99/132.3972/94.2286/No F-Track Level/No F-Track Level/161.24,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"FSF.NZ, Long, 2025-06-30 (Price: 6.58)",2025-11-28 (Price: 7.75) (Today),"17.78%, 5.0 months","100.0%, Past 20 years, 9","Monthly, is CONFIRMED on 2025-06-30",Already confirmed,"2025-11-28 (Price: 7.75), 17.78% above",5.0 months,No Information,No Information,No Information,No Information,No Information,26.02% above/21.09% above/17.78% above,44.06%/6.89%/28.09%,"-0.0%, 15.01%",1.0 year/4.3 months/7.5 months,2026-12-17/2026-01-04/2026-05-23,27.24%,1.15%,26.09%,1.21,-0.07,7.596/8.4283/8.67/No Horizontal Resistance/8.5311/12.0421/No Moving Avg Target,3.0/2.942/6.3611/26.9153/No F-Track Level/No F-Track Level/5.37,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
TRENDPULSE,"TCEHY, Long, 2025-03-31 (Price: 63.84)",2025-11-28 (Price: 79.05) (Today),"23.83%, 8.1 months","100.0%, Past 20 years, 14","Monthly, is CONFIRMED on 2025-03-31",Already confirmed,"2025-11-28 (Price: 79.05), 23.83% above",8.1 months,No Information,No Information,No Information,No Information,No Information,28.31% above/23.83% above/23.83% above,48.56%/8.58%/32.02%,"-0.0%, 28.74%",1.2 year/2.9 months/6.0 months,2026-12-19/2025-08-04/2025-12-15,29.28%,21.03%,8.25%,1.74,0.72,78.3955/84.2816/72.69/73.09/91.9947/116.3817/No Moving Avg Target,34.84/36.36/58.3318/52.1422/No F-Track Level/No F-Track Level/53.18,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
TRENDPULSE,"GILD, Long, 2022-12-31 (Price: 85.85)",2025-11-28 (Price: 125.84) (Today),"46.58%, 3.0 years","100.0%, Past 33 years, 10","Quarterly, is CONFIRMED on 2022-12-31",Already confirmed,"2025-11-28 (Price: 125.84), 46.58% above",3.0 years,No Information,No Information,No Information,No Information,No Information,103.99% above/47.6% above/46.58% above,74.14%/5.29%/44.68%,"-0.0%, 24.28%",2.5 years/10.9 months/1.4 year,2026-08-14/2024-04-17/2025-01-06,12.82%,17.18%,-4.36%,1.5,0.52,96.8989/124.2078/90.9/No Horizontal Resistance/123.4541/140.4376/No Moving Avg Target,58.26/56.99/75.3922/65.1312/No F-Track Level/No F-Track Level/67.59,86.67%/15/1.7 year (Across ALL Assets),100.0%/1/5.2 months (Across ALL Assets)
TRENDPULSE,"BPCL.NS, Long, 2025-07-06 (Price: 346.2)",2025-11-28 (Price: 359.1) (Today),"3.73%, 4.8 months","81.25%, Past 10 years, 32","Weekly, is CONFIRMED on 2025-07-04",Already confirmed,"2025-11-28 (Price: 359.1), 3.73% above",4.8 months,No Information,No Information,No Information,No Information,No Information,7.84% above/3.73% above/3.73% above,29.59%/1.78%/11.46%,"32.02%, 47.09%",5.8 months/19 days/2.0 months,2026-03-15/2025-08-02/2025-10-02,12.02%,12.45%,-0.44%,0.38,0.44,363.3369/385.8745/353.07/No Horizontal Resistance/372.4081/393.108/No Moving Avg Target,237.3/145.35/295.7614/248.4289/No F-Track Level/No F-Track Level/298.54,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
