Symbol,Interval,Latest Horizontal,Current Price,Difference (%),Type
NZDUSD=X,Daily,0.5837,0.5776,1.04,Resistance
USDCHF=X,Daily,0.7933,0.799,0.72,Support
NZDCAD=X,Weekly,0.791,0.8014,1.31,Support
NZDCAD=X,Daily,0.7945,0.8014,0.87,Support
EURUSD=X,Daily,1.1628,1.1674,0.4,Support
EURUSD=X,Weekly,1.1452,1.1674,1.94,Support
GBPUSD=X,Daily,1.2963,1.3209,1.89,Support
GBPUSD=X,Weekly,1.3358,1.3209,1.12,Resistance
CAD=X,Daily,1.3828,1.4,1.24,Support
CAD=X,Weekly,1.3845,1.4,1.12,Support
GBPSGD=X,Monthly,1.6701,1.7124,2.53,Support
GBPSGD=X,Weekly,1.7483,1.7124,2.06,Resistance
GBPSGD=X,Daily,1.7306,1.7124,1.05,Resistance
GNE.NZ,Weekly,2.3525,2.37,0.74,Support
GNE.NZ,Daily,2.33,2.37,1.72,Support
FBU.NZ,Daily,3.49,3.46,0.86,Resistance
^TNX,Daily,4.1085,4.057,1.25,Resistance
MEL.NZ,Weekly,5.73,5.72,0.17,Resistance
MEL.NZ,Daily,5.725,5.72,0.09,Resistance
C6L.SI,Monthly,6.5913,6.45,2.14,Resistance
C6L.SI,Daily,6.48,6.45,0.46,Resistance
AIA.NZ,Daily,7.965,7.98,0.19,Support
CNU.NZ,Weekly,9.3875,9.16,2.42,Resistance
CNU.NZ,Daily,9.1375,9.16,0.25,Support
CEN.NZ,Daily,9.4367,9.44,0.04,Support
IFT.NZ,Daily,11.925,11.86,0.55,Resistance
INFY,Daily,17.818,17.66,0.89,Resistance
DBC,Daily,22.9875,23.13,0.62,Support
PFE,Daily,25.65,25.57,0.31,Resistance
JETS,Daily,27.045,27.12,0.28,Support
JETS,Weekly,26.9582,27.12,0.6,Support
EBO.NZ,Daily,28.005,28.5,1.77,Support
RINF,Daily,32.33,32.345,0.05,Support
HDB,Daily,35.59,35.87,0.79,Support
MTY.TO,Weekly,37.07,37.64,1.54,Support
MTY.TO,Daily,37.115,37.64,1.41,Support
FPH.NZ,Daily,39.1438,38.38,1.95,Resistance
FXI,Daily,39.255,39.21,0.11,Resistance
MX.TO,Daily,52.9,52.09,1.53,Resistance
IHI,Daily,62.445,63.22,1.24,Support
BIPC.TO,Weekly,67.1133,65.44,2.49,Resistance
MFT.NZ,Daily,66.0371,66.8,1.16,Support
USO,Daily,71.282,70.66,0.87,Resistance
ATD.TO,Daily,73.26,73.21,0.07,Resistance
HYG,Weekly,78.975,80.69,2.17,Support
HYG,Daily,79.5127,80.69,1.48,Support
SJ.TO,Daily,84.3925,85.38,1.17,Support
JNK,Weekly,96.515,97.26,0.77,Support
JNK,Daily,97.4671,97.26,0.21,Resistance
DIS,Daily,107.6125,105.74,1.74,Resistance
IEI,Weekly,119.345,119.8,0.38,Support
IEI,Daily,118.72,119.8,0.91,Support
KXS.TO,Daily,172.025,173.56,0.89,Support
TRI.TO,Daily,186.5008,187.47,0.52,Support
DOL.TO,Daily,197.56,197.42,0.07,Resistance
XLY,Daily,241.84,238.99,1.18,Resistance
IWM,Weekly,244.72,249.63,2.01,Support
MCD,Weekly,300.87,307.71,2.27,Support
HDFCBANK.NS,Daily,1009.6,1000.5,0.9,Resistance
RELIANCE.NS,Daily,1531.725,1538.8,0.46,Support
TCS.NS,Daily,3174.2166,3180.0,0.18,Support
^NZ50,Weekly,13418.2035,13482.4404,0.48,Support
^NSEI,Daily,25973.3496,25986.0,0.05,Support
NIFTY_MIDCAP_100.NS,Daily,60182.9323,60315.6484,0.22,Support
