Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"AMZN, Long, 2025-12-11 (Price: 230.28)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 16","Daily, is CONFIRMED on 2025-12-11",Already confirmed,"2025-12-11 (Price: 230.28), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 225.4168), 2.16% above, Upmove Bounce Back","2023-10-26 (Price: 118.35), 2025-11-03 (Price: 258.6)",No Information,14.33%/10.15%/11.4%,"-0.0%, 55.73%",2 days/23 days/8 days,2029-10-18/2026-01-13/2026-12-11,24.8%,5.4%,19.4%,2.24,0.29,235.231/256.5319/314.43/239.3/257.1563/274.1043/No EMA 200 Target,226.89/86.995/230.14/220.2419/No support/221.462/215.1,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
FRACTAL TRACK,"XLV, Long, 2025-12-11 (Price: 153.58)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 14","Daily, is CONFIRMED on 2025-12-11",Already confirmed,"2025-12-11 (Price: 153.58), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 151.6178), 1.29% above, Upmove Bounce Back","2025-08-07 (Price: 127.96), 2025-11-26 (Price: 158.95)",No Information,11.13%/3.8%/9.53%,"-0.0%, 16.06%",2 days/2 days/1 day,2029-07-06/2026-04-02/2027-08-28,12.63%,5.05%,7.58%,1.59,0.27,155.8837/168.2162/172.17/No Horizontal Resistance/174.1807/202.706/No EMA 200 Target,149.96/121.1/153.114/117.2225/No support/No support/139.89,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
FRACTAL TRACK,"NIFTY_MIDCAP_100.NS, Long, 2025-12-11 (Price: 59578.0508)",No Exit Yet,"0.0%, 0 days","92.86%, Past 5 years, 14","Daily, is CONFIRMED on 2025-12-11",Already confirmed,"2025-12-11 (Price: 59578.0508), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 57893.4327), 2.91% above, Upmove Bounce Back","2025-03-03 (Price: 46865.6992), 2025-12-01 (Price: 61311.25)",No Information,11.12%/5.89%/9.55%,"0.28%, 21.42%",1 day/1 day/6 days,2028-03-24/2026-01-23/2026-09-15,20.49%,16.66%,3.83%,1.2,1.27,64380.0417/65267.7547/68245.38/60182.9323/72577.1591/79594.0726/No EMA 200 Target,59007.75/24894.2998/51420.3721/37395.584/49348.4465/41996.8335/56676.19,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
FRACTAL TRACK,"PPH, Long, 2025-12-11 (Price: 100.16)",No Exit Yet,"0.0%, 0 days","86.67%, Past 5 years, 15","Daily, is CONFIRMED on 2025-12-11",Already confirmed,"2025-12-11 (Price: 100.16), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 98.3974), 1.79% above, Upmove Bounce Back","2025-08-07 (Price: 81.74), 2025-11-26 (Price: 103.56)",No Information,12.45%/0.93%/9.41%,"2.45%, 16.76%",1 day/11 days/7 days,2028-07-06/2025-12-26/2026-10-11,19.65%,6.44%,13.21%,1.72,0.41,103.3251/109.5851/113.25/No Horizontal Resistance/126.5323/135.6093/No EMA 200 Target,97.57/65.915/84.9957/No support/90.1542/81.9159/90.01,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
FRACTAL TRACK,"CEN.NZ, Long, 2025-12-11 (Price: 9.36)",No Exit Yet,"0.0%, 0 days","90.91%, Past 5 years, 11","Daily, is CONFIRMED on 2025-12-11",Already confirmed,"2025-12-11 (Price: 9.36), 0.0% below",0 days,No Information,No Information,No Information,"50% (Price: 9.305), 0.59% above, Upmove Bounce Back","2025-08-27 (Price: 8.71), 2025-11-26 (Price: 9.9)",No Information,12.03%/1.09%/6.9%,"3.1%, 17.16%",2 days/1 day/11 days,2030-01-31/2026-02-05/2027-04-02,8.13%,2.77%,5.36%,0.86,0.1,9.4302/10.0058/10.07/9.4367/10.2248/12.5777/No EMA 200 Target,9.28/6.86/9.0337/8.3564/No support/No support/9.14,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
DELTADRIFT,"XLU, Long, 2025-12-11 (Price: 43.04)",No Exit Yet,"0.0%, 0 days","91.67%, Past 4 years, 12","Daily, is CONFIRMED on 2025-12-11",Already confirmed,"2025-12-11 (Price: 43.04), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,4.04%/1.18%/2.77%,"8.55%, 8.55%",1 day/1 day/9 days,2026-02-05/2025-12-12/2025-12-24,10.54%,4.54%,6.0%,0.51,0.21,45.4847/44.2322/44.86/No Horizontal Resistance/60.8844/89.6256/No EMA 200 Target,42.72/29.6267/32.1431/25.3581/42.5398/41.1975/41.76,88.12%/101/0 days (Across ALL Assets),77.89%/484/0 days (Across ALL Assets)
TRENDPULSE,"ABNB, Long, 2025-12-11 (Price: 128.0)",No Exit Yet,"0.0%, 0 days","88.89%, Past 4 years, 18","Daily, is CONFIRMED on 2025-12-11",Already confirmed,"2025-12-11 (Price: 128.0), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,0.34% above/0.0% below/0.0% below,13.07%/1.63%/7.15%,"39.55%, 57.01%",3 days/6 days/26 days,2026-04-29/2025-12-19/2026-01-17,10.28%,-2.98%,13.26%,0.22,0.05,127.3216/137.152/142.44/178.025/223.0579/259.5851/No EMA 200 Target,111.54/99.795/No F-Stack Support/No F-Stack Support/No support/No support/126.69,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
TRENDPULSE,"SBUX, Long, 2025-12-11 (Price: 84.74)",No Exit Yet,"0.0%, 0 days","91.67%, Past 4 years, 12","Daily, is CONFIRMED on 2025-12-11",Already confirmed,"2025-12-11 (Price: 84.74), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,1.06% above/0.0% below/0.0% below,8.06%/2.15%/4.6%,"1.89%, 25.49%",3 days/6 days/1 day,2026-04-29/2025-12-19/2026-02-01,10.39%,-0.2%,10.59%,0.88,0.03,87.2907/88.638/90.37/117.438/140.7332/167.7583/88.7,82.28/71.675/84.7283/79.7489/No support/No support/No EMA 200 Support,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
FRACTAL TRACK,"CAD=X, Long, 2025-12-10 (Price: 1.3845)",No Exit Yet,"0.0%, 0 days","90.91%, Past 5 years, 11","Daily, is CONFIRMED on 2025-12-10",Already confirmed,"2025-12-10 (Price: 1.3845), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 1.3998), 1.09% below, Upmove Bounce Back","2025-06-16 (Price: 1.3541), 2025-11-05 (Price: 1.4139)",No Information,8.38%/0.2%/2.57%,"0.16%, 5.36%",2 days/1 day/11 days,2029-03-21/2026-02-17/2027-04-28,-1.66%,1.38%,-3.04%,0.86,-0.36,1.4097/1.4201/1.42/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/1.39,1.38/1.2339/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
TRENDPULSE,"ETH-USD, Long, 2025-12-10 (Price: 3325.3901)",No Exit Yet,"-2.11%, 1 day","92.86%, Past 4 years, 42","Daily, is CONFIRMED on 2025-12-10",Already confirmed,"2025-12-11 (Price: 3255.2761), 2.11% below",1 day,No Information,No Information,No Information,No Information,No Information,1.98% below/2.11% below/2.11% below,39.76%/1.01%/13.37%,"17.31%, 42.86%",3 days/5 days/23 days,2026-04-19/2025-12-17/2026-01-12,60.18%,45.2%,14.98%,0.97,1.15,4053.318/3769.9948/3860.56/4922.7188/4887.278/5298.9816/3550.99,2800.19/1370.4997/2637.9184/2491.3487/No F-Track Level/No F-Track Level/No EMA 200 Support,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
