"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"UBER, Long, 2025-12-12 (Price: 85.11)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 23","Daily, is CONFIRMED on 2025-12-12",Already confirmed,"2025-12-12 (Price: 85.11), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 84.7726),0.4% above,"2023-04-27 (Price: 29.22), 2025-09-22 (Price: 101.99)",15.06%/0.66%/9.9%,"-0.0%, 57.74%",2 days/4 days/4 days,2029-05-16/2025-12-17/2026-07-04,33.14%,7.1%,26.04%,1.78,0.39,87.5782/93.5359/128.77/No Horizontal Resistance/103.1697/130.9341/87.52,84.16/34.6025/71.0872/No support/83.9787/78.415/No EMA 200 Support,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
"BRK-B, Long, 2025-12-12 (Price: 499.52)",No Exit Yet,"0.0%, 0 days","87.5%, Past 5 years, 16","Daily, is CONFIRMED on 2025-12-12",Already confirmed,"2025-12-12 (Price: 499.52), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 500.1566),0.13% below,"2025-11-03 (Price: 473.15), 2025-11-28 (Price: 516.85)",12.32%/0.4%/8.22%,"1.62%, 25.23%",1 day/1 day/4 days,2027-12-10/2026-01-28/2026-06-21,18.11%,11.63%,6.48%,1.04,0.83,518.252/540.5805/525.74/No Horizontal Resistance/537.7909/627.804/No EMA 200 Target,490.43/268.082/475.0642/401.0818/No support/No support/498.18,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
"IEI, Long, 2025-12-12 (Price: 119.36)",No Exit Yet,"0.0%, 0 days","85.71%, Past 5 years, 7","Daily, is CONFIRMED on 2025-12-12",Already confirmed,"2025-12-12 (Price: 119.36), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 119.037),0.27% above,"2025-01-13 (Price: 114.51), 2025-11-25 (Price: 120.44)",2.05%/2.05%/2.05%,"0.03%, 4.21%",5 days/5 days/5 days,2026-08-21/2026-08-21/2026-08-21,3.55%,-1.4%,4.95%,0.29,-1.34,119.8016/121.8069/122.92/129.9625/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,119.11/113.8775/No F-Stack Support/No F-Stack Support/No support/No support/118.69,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
"MSFT, Long, 2025-12-12 (Price: 478.53)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 16","Weekly, is CONFIRMED on 2025-12-12",Already confirmed,"2025-12-12 (Price: 478.53), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 474.9779),0.75% above,"2025-04-13 (Price: 344.79), 2025-08-03 (Price: 555.45)",25.02%/6.95%/15.92%,"0%, 45.68%",3 days/1 day/11 days,2031-03-25/2026-02-10/2027-04-21,11.58%,10.65%,0.93%,3.32,0.59,511.6443/554.712/604.93/554.585/574.7462/615.9561/No EMA 200 Target,472.12/216.39/452.6681/384.4933/474.9779/450.12/471.9,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
"IHI, Long, 2025-12-12 (Price: 62.19)",No Exit Yet,"0.0%, 0 days","93.75%, Past 5 years, 16","Daily, is CONFIRMED on 2025-12-12",Already confirmed,"2025-12-12 (Price: 62.19), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 63.1421),1.51% below,"2025-10-01 (Price: 58.18), 2025-11-26 (Price: 64.68)",10.36%/2.67%/6.04%,"1.92%, 23.03%",11 days/2 days/6 days,2027-04-21/2026-03-13/2026-09-29,8.62%,2.88%,5.74%,0.66,0.08,62.9052/65.9463/66.09/66.34/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,61.74/46.725/No F-Stack Support/No F-Stack Support/No support/No support/60.88,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
"XLU, Long, 2025-12-12 (Price: 42.83)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 16","Daily, is CONFIRMED on 2025-12-12",Already confirmed,"2025-12-12 (Price: 42.83), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 42.2713),1.32% above,"2023-10-06 (Price: 27.385), 2025-10-16 (Price: 46.885)",11.21%/2.82%/8.7%,"-0.0%, 28.07%",2 days/1 day/9 days,2029-05-16/2026-02-02/2027-02-10,18.46%,5.33%,13.13%,2.44,0.28,45.3141/46.5562/54.53/No Horizontal Resistance/60.8844/89.6256/No EMA 200 Target,42.72/29.6267/32.1431/25.3581/42.5398/41.1975/41.78,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
"GILD, Long, 2025-12-12 (Price: 120.4)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 14","Daily, is CONFIRMED on 2025-12-12",Already confirmed,"2025-12-12 (Price: 120.4), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 120.9683),0.47% below,"2025-10-02 (Price: 108.46), 2025-11-20 (Price: 128.7)",17.08%/2.06%/9.98%,"0%, 27.82%",1 day/28 days/5 days,2028-07-07/2026-01-21/2026-08-16,29.7%,11.0%,18.7%,2.35,0.63,130.3691/132.4159/132.54/120.895/135.1689/147.6277/No EMA 200 Target,119.36/57.18/101.881/83.0067/110.7288/108.1488/113.2,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
"ATM.NZ, Long, 2025-12-12 (Price: 10.16)",No Exit Yet,"0.0%, 0 days","92.31%, Past 5 years, 13","Daily, is CONFIRMED on 2025-12-12",Already confirmed,"2025-12-12 (Price: 10.16), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 9.6935),4.81% above,"2024-11-13 (Price: 5.22), 2025-11-05 (Price: 11.08)",20.37%/5.32%/11.64%,"1.65%, 37.5%",1 day/21 days/6 days,2027-07-08/2026-01-11/2026-08-29,23.8%,-3.41%,27.21%,1.69,-0.03,10.923/11.3426/13.68/10.965/21.0083/25.9428/No EMA 200 Target,10.1/5.185/8.0863/5.0358/No support/No support/9.41,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
"AAPL, Long, 2025-12-12 (Price: 278.28)",No Exit Yet,"0.0%, 0 days","100.0%, Past 45 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 169.21 prior to 2025-12-31,"2025-12-12 (Price: 278.28), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 169.2862),64.38% above,"2016-06-30 (Price: 22.3675), 2024-12-31 (Price: 260.1)",37.72%/33.07%/35.65%,"-0.0%, 10.93%",1 day/9 days/10 days,2027-05-17/2027-01-11/2027-03-17,12.11%,12.37%,-0.26%,1.91,0.56,399.3596/377.4868/420.92/No Horizontal Resistance/297.1089/321.9834/No EMA 200 Target,23.9/136.57/275.1059/248.4166/260.3676/243.0054/229.01,93.33%/15/0 days (Across ALL Assets),77.78%/9/0 days (Across ALL Assets)
"HDB, Long, 2025-12-12 (Price: 35.89)",No Exit Yet,"0.0%, 0 days","88.89%, Past 25 years, 9","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 33.78 prior to 2025-12-31,"2025-12-12 (Price: 35.89), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 34.562),3.84% above,"2024-02-29 (Price: 26.08), 2025-07-31 (Price: 39.805)",26.63%/20.05%/23.77%,"32.26%, 39.31%",3 days/4 days/1 day,2030-08-28/2026-06-06/2027-12-10,8.78%,11.88%,-3.1%,0.83,0.59,41.6216/44.4211/44.12/39.3812/45.6752/50.9526/No EMA 200 Target,26.75/25.6925/29.7659/26.539/No support/34.266/35.82,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets)
