Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Current Trading Date/Price[$], Current Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades","Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"JPM, Long, 2025-11-06 (Price: 313.42)",Daily,2025-12-17 (Price: 314.98) (Today),No Price Target,No Date Target,2.71%/4.42%,"0.5%, 1.4 month","2025-12-17 (Price: 314.98), 0.5% above",323.5121 (Avg % Gain of Historic Winning trades)/328.9175 (F-Stack 1)/381.492 (F-Stack 2)/332.8834 (Backtested Max),2026-03-29 (Max),294.11/125.7575/300.9735/287.5071/No F-Track Level/No F-Track Level/275.77,"100.0%, Past 4 years, 31",No Information,No Information,No Information,No Information,No Information,1.85% above/0.5% above/0.5% above,6.21%/1.3%/3.22%,"-0.0%, 16.83%",3.3 months/6 days/18 days,17.37%,9.85%,7.52%,1.54,0.5,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
TRENDPULSE,"JPM, Long, 2025-10-31 (Price: 311.12)",Daily,2025-12-17 (Price: 314.98) (Today),No Price Target,No Date Target,1.96%/4.42%,"1.24%, 1.6 month","2025-12-17 (Price: 314.98), 1.24% above",321.1381 (Avg % Gain of Historic Winning trades)/328.9175 (F-Stack 1)/381.492 (F-Stack 2)/330.4406 (Backtested Max),2026-03-23 (Max),294.11/125.7575/300.9735/287.5071/No F-Track Level/No F-Track Level/274.75,"100.0%, Past 4 years, 31",No Information,No Information,No Information,No Information,No Information,1.79% above/1.24% above/1.24% above,6.21%/1.3%/3.22%,"-0.0%, 16.83%",3.3 months/6 days/18 days,17.37%,9.85%,7.52%,1.54,0.5,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
TRENDPULSE,"MA, Long, 2025-12-12 (Price: 571.93)",Daily,No Exit Yet,No Price Target,2025-12-17 (Min),2.27%/2.29%,"-1.13%, 5 days","2025-12-17 (Price: 565.47), 1.13% below",578.3928 (Historic Rise or Fall to Pivot)/588.7447 (Avg % Gain of Historic Winning trades)/580.4 (Exit Rule)/592.9033 (Horizontal)/716.5814 (F-Stack 1)/751.3605 (F-Stack 2)/616.5977 (Backtested Max)/578.2784 (Backtested Min),2026-05-13 (Max)/2026-02-06 (Avg),537.55/306.91/554.0572/515.4888/No F-Track Level/No F-Track Level/559.47,"96.15%, Past 4 years, 26",No Information,No Information,No Information,No Information,No Information,0.37% above/1.13% below/1.13% below,7.81%/1.11%/2.94%,"5.85%, 28.57%",3.5 months/4 days/1.3 month,5.71%,7.58%,-1.87%,0.98,0.39,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
TRENDPULSE,"MA, Long, 2025-06-08 (Price: 590.12)",Weekly,No Exit Yet,No Price Target,2025-12-20 (Avg),6.46%/9.48%,"-4.18%, 6.4 months","2025-12-17 (Price: 565.47), 4.18% below",665.4783 (Historic Rise or Fall to Pivot)/619.0949 (Avg % Gain of Historic Winning trades)/727.51 (Exit Rule)/716.5814 (F-Stack 1)/751.3605 (F-Stack 2)/637.5066 (Backtested Max)/601.9814 (Backtested Min),2026-05-17 (Max)/2025-12-20 (Avg),489.77/279.035/554.0572/515.4888/No F-Track Level/No F-Track Level/528.51,"84.0%, Past 10 years, 25",No Information,No Information,No Information,No Information,No Information,3.44% below/4.18% below/4.18% below,8.03%/2.01%/4.91%,"14.55%, 37.99%",7.9 months/1.2 month/4.5 months,8.27%,16.14%,-7.87%,0.32,0.95,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
OSCILLATOR DELTA,"IBIT, Long, 2025-11-24 (Price: 50.57)",Daily,No Exit Yet,No Price Target,2025-12-15 (Min),8.13%/9.01%,"-3.68%, 23 days","2025-12-17 (Price: 48.71), 3.68% below",52.6687 (Historic Rise or Fall to Pivot)/54.5853 (Avg % Gain of Historic Winning trades)/53.1 (Exit Rule)/70.855 (Horizontal)/74.3812 (F-Stack 1)/88.2877 (F-Stack 2)/58.72 (EMA 200)/54.7066 (Backtested Max)/54.4538 (Backtested Min),2026-01-19 (Max)/2026-01-05 (Avg),No Recent Minima/41.99/45.1961/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,"83.33%, Past 1 years, 6",No Information,No Information,No Information,No Information,No Information,No Information,8.18%/7.68%/7.94%,"13.32%, 14.42%",1.3 month/15 days/29 days,22.32%,27.39%,-5.07%,0.36,1.11,81.76%/159/0 days (Across ALL Assets),67.13%/362/0 days (Across ALL Assets)
TRENDPULSE,"IBIT, Long, 2025-10-02 (Price: 68.77)",Daily,No Exit Yet,No Price Target,2025-12-19 (Max),47.08%/49.0%,"-29.17%, 2.5 months","2025-12-17 (Price: 48.71), 29.17% below",77.215 (Historic Rise or Fall to Pivot)/72.5799 (Avg % Gain of Historic Winning trades)/87.2457 (F-Stack 2)/73.632 (Backtested Max)/71.6446 (Backtested Min),2025-12-19 (Max),61.94/41.99/60.36/52.8569/No F-Track Level/No F-Track Level/58.09,"100.0%, Past 4 years, 6",No Information,No Information,No Information,No Information,No Information,25.06% below/29.17% below/29.17% below,7.07%/4.18%/5.54%,"-0.0%, 8.48%",1.8 month/6 days/26 days,45.11%,27.39%,17.72%,1.83,1.11,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
TRENDPULSE,"CNQ.TO, Long, 2024-10-13 (Price: 51.71)",Weekly,2025-12-17 (Price: 43.95) (Today),No Price Target,No Date Target,17.72%/19.32%,"-15.01%, 1.2 year","2025-12-17 (Price: 43.95), 15.01% below",52.7907 (Historic Rise or Fall to Pivot)/55.3711 (Avg % Gain of Historic Winning trades)/51.74 (Exit Rule)/65.8353 (F-Stack 1)/68.6522 (F-Stack 2)/61.5918 (Backtested Max)/52.4391 (Backtested Min),No Next Date Target,43.4/13.9251/48.4386/46.0303/No F-Track Level/No F-Track Level/48.05,"95.45%, Past 10 years, 22",No Information,No Information,No Information,No Information,No Information,8.86% below/15.01% below/15.01% below,19.11%/1.41%/7.08%,"22.31%, 71.02%",3.5 months/28 days/1.8 month,2.78%,3.8%,-1.02%,0.61,0.23,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
TRENDPULSE,"CNQ.TO, Long, 2024-04-07 (Price: 55.16)",Weekly,2025-12-17 (Price: 43.95) (Today),No Price Target,No Date Target,27.28%/28.13%,"-20.32%, 1.7 year","2025-12-17 (Price: 43.95), 20.32% below",56.3128 (Historic Rise or Fall to Pivot)/59.0653 (Avg % Gain of Historic Winning trades)/64.58 (Exit Rule)/65.8353 (F-Stack 1)/68.6522 (F-Stack 2)/65.7011 (Backtested Max)/55.9378 (Backtested Min),No Next Date Target,40.81/13.9251/48.4386/46.0303/No F-Track Level/No F-Track Level/43.33,"95.45%, Past 10 years, 22",No Information,No Information,No Information,No Information,No Information,12.79% below/20.32% below/20.32% below,19.11%/1.41%/7.08%,"22.31%, 71.02%",3.5 months/28 days/1.8 month,2.78%,3.8%,-1.02%,0.61,0.23,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
TRENDPULSE,"SUM.NZ, Long, 2025-11-18 (Price: 12.6)",Daily,No Exit Yet,No Price Target,2025-12-19 (Avg),5.13%/8.67%,"-3.57%, 29 days","2025-12-17 (Price: 12.15), 3.57% below",13.2035 (Historic Rise or Fall to Pivot)/13.2275 (Avg % Gain of Historic Winning trades)/13.36 (Exit Rule)/13.345 (Horizontal)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/13.676 (Backtested Max)/12.7739 (Backtested Min),2026-08-14 (Max)/2025-12-19 (Avg),11.6/9.1367/11.0645/No support/No F-Track Level/No F-Track Level/11.45,"94.44%, Past 4 years, 18",No Information,No Information,No Information,No Information,No Information,3.95% below/3.57% below/3.57% below,8.54%/1.38%/4.98%,"6.4%, 20.48%",6.2 months/4 days/22 days,16.06%,5.58%,10.48%,1.15,0.29,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
TRENDPULSE,"SUM.NZ, Long, 2024-11-24 (Price: 13.1)",Weekly,2025-12-17 (Price: 12.15) (Today),No Price Target,No Date Target,11.04%/14.86%,"-7.25%, 1.1 year","2025-12-17 (Price: 12.15), 7.25% below",14.4689 (Historic Rise or Fall to Pivot)/13.9554 (Avg % Gain of Historic Winning trades)/14.24 (Exit Rule)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/14.5004 (Backtested Max)/13.4917 (Backtested Min),No Next Date Target,9.4/9.246/11.0645/No support/No F-Track Level/No F-Track Level/11.11,"90.91%, Past 10 years, 11",No Information,No Information,No Information,No Information,No Information,3.19% below/7.25% below/7.25% below,10.69%/2.99%/6.53%,"8.88%, 47.61%",1.9 month/28 days/1.4 month,-0.02%,11.46%,-11.48%,0.54,0.63,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
