Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
FRACTAL TRACK,"TSM, Long, 2025-12-19 (Price: 288.95)",No Exit Yet,"0.0%, 0 days","95.0%, Past 5 years, 20","Daily, is CONFIRMED on 2025-12-19",Already confirmed,"2025-12-19 (Price: 288.95), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 271.4559), 6.44% above, Upmove Bounce Back","2025-04-07 (Price: 134.25), 2025-12-10 (Price: 313.98)",No Information,13.85%/10.09%/11.5%,"1.02%, 51.98%",2.1 years/16 days/3.8 months,2028-12-18/2026-01-11/2026-06-02,37.14%,15.53%,21.61%,2.66,0.73,315.2733/322.1792/396.79/No Horizontal Resistance/360.6179/384.2031/No EMA 200 Target,276.96/83.575/242.5186/188.2216/271.4559/245.3231/233.86,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),
FRACTAL TRACK,"ASML, Long, 2025-12-19 (Price: 1056.02)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 16","Daily, is CONFIRMED on 2025-12-19",Already confirmed,"2025-12-19 (Price: 1056.02), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 1033.3004), 2.2% above, Upmove Bounce Back","2025-08-01 (Price: 683.48), 2025-12-03 (Price: 1141.72)",No Information,15.95%/4.96%/10.87%,"-0.0%, 53.28%",2.2 years/13 days/6.5 months,2029-02-08/2026-01-06/2026-09-27,24.72%,12.44%,12.28%,3.0,0.59,1150.0058/1170.8094/1330.96/No Horizontal Resistance/1081.4334/1218.8523/No EMA 200 Target,1015.43/561.385/998.2461/956.961/967.6107/946.9797/830.76,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),
FRACTAL TRACK,"PLTR, Long, 2025-12-19 (Price: 193.38)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 18","Daily, is CONFIRMED on 2025-12-19",Already confirmed,"2025-12-19 (Price: 193.38), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 174.0648), 11.1% above, Upmove Bounce Back","2025-04-07 (Price: 66.12), 2025-11-03 (Price: 207.52)",No Information,33.44%/10.15%/15.79%,"0%, 74.37%",2.3 years/10 days/3.4 months,2029-03-30/2026-01-02/2026-05-15,47.99%,28.98%,19.01%,2.63,1.12,211.4224/223.9147/278.22/No Horizontal Resistance/268.2554/419.5225/No EMA 200 Target,177.29/7.205/174.7671/116.9882/159.8214/130.5088/146.93,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),
TRENDPULSE,"ABNB, Long, 2025-12-19 (Price: 135.28)",No Exit Yet,"0.0%, 0 days","80.0%, Past 10 years, 5","Weekly, is CONFIRMED on 2025-12-19",Already confirmed,"2025-12-19 (Price: 135.28), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,5.37% above/0.0% below/0.0% below,21.23%/8.06%/17.07%,"25.5%, 58.72%",8.9 months/1.2 month/5 months,2027-01-09/2026-02-09/2026-07-24,-12.18%,-2.45%,-9.73%,0.4,0.05,135.1718/158.3723/138.5/178.025/223.0579/259.5851/No EMA 200 Target,114.26/99.795/No F-Stack Support/No F-Stack Support/No support/No support/126.47,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),
TRENDPULSE,"WPM.TO, Long, 2025-12-19 (Price: 164.88)",No Exit Yet,"0.0%, 0 days","86.67%, Past 10 years, 30","Weekly, is CONFIRMED on 2025-12-19",Already confirmed,"2025-12-19 (Price: 164.88), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,0.0% below/0.0% below/0.0% below,27.09%/5.0%/11.19%,"14.05%, 49.41%",4.4 months/1.2 month/2.6 months,2026-06-28/2026-02-09/2026-04-10,3.49%,6.66%,-3.17%,0.68,0.35,175.3993/183.3301/215.83/No Horizontal Resistance/177.4321/184.9838/No EMA 200 Target,135.45/52.782/150.6362/140.1747/135.9484/117.4927/130.22,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),
TRENDPULSE,"CSCO, Long, 2025-12-19 (Price: 78.42)",No Exit Yet,"0.0%, 0 days","88.24%, Past 4 years, 17","Daily, is CONFIRMED on 2025-12-19",Already confirmed,"2025-12-19 (Price: 78.42), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,3.18% above/0.0% below/0.0% below,5.83%/1.03%/2.65%,"17.72%, 27.08%",1.1 month/6 days/12 days,2026-02-04/2025-12-27/2026-01-05,6.96%,6.16%,0.8%,0.14,0.32,81.0235/80.4981/95.97/No Horizontal Resistance/81.4336/89.7071/No EMA 200 Target,76.0/40.92/73.1467/64.9561/72.2267/66.9458/67.08,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),
FRACTAL TRACK,"PFE, Long, 2025-12-18 (Price: 25.04)",No Exit Yet,"0.6%, 1 day","93.33%, Past 5 years, 15","Daily, was CONFIRMED on 2025-12-18",Already confirmed,"2025-12-19 (Price: 25.19), 0.6% above",1 day,No Information,No Information,No Information,"61.8% (Price: 25.15), 0.16% above, Upmove Bounce Back","2025-09-25 (Price: 23.58), 2025-10-03 (Price: 27.69)",No Information,15.29%/2.93%/10.03%,"3.6%, 19.77%",2.8 months/12 days/1.5 month,2026-04-18/2026-01-04/2026-02-21,10.93%,-6.4%,17.33%,0.41,-0.42,25.343/27.5515/27.51/55.39/66.4672/73.1352/No EMA 200 Target,24.4/23.345/21.508/20.5265/No F-Track Level/No F-Track Level/24.52,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),
FRACTAL TRACK,"XLE, Long, 2025-12-18 (Price: 44.13)",No Exit Yet,"0.0%, 1 day","90.0%, Past 5 years, 20","Daily, was CONFIRMED on 2025-12-18",Already confirmed,"2025-12-19 (Price: 44.13), 0.0% below",1 day,No Information,No Information,No Information,"50% (Price: 44.505), 0.84% below, Upmove Bounce Back","2025-10-16 (Price: 42.35), 2025-12-05 (Price: 46.66)",No Information,11.51%/2.08%/9.2%,"3.48%, 17.74%",1.4 year/21 days/5.7 months,2027-12-16/2026-01-17/2026-08-22,21.1%,11.53%,9.57%,0.91,0.63,45.8599/48.19/46.72/49.2225/54.1372/58.8712/No EMA 200 Target,43.81/22.8475/37.4998/27.2174/No F-Track Level/No F-Track Level/43.48,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),
TRENDPULSE,"^TNX, Long, 2025-12-15 (Price: 4.182)",No Exit Yet,"-0.74%, 4 days","90.62%, Past 4 years, 32","Daily, is CONFIRMED on 2025-12-15",Already confirmed,"2025-12-19 (Price: 4.151), 0.74% below",4 days,No Information,No Information,No Information,No Information,No Information,0.24% above/0.74% below/0.74% below,14.35%/1.59%/5.42%,"7.92%, 30.24%",2.1 months/6 days/19 days,2026-03-16/2025-12-23/2026-01-11,26.36%,9.62%,16.74%,0.75,0.51,4.7052/4.4087/4.23/4.6918/17.4008/18.8284/4.24,4.0/1.6875/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),
FRACTAL TRACK,"UBER, Short, 2025-12-19 (Price: 79.31)",No Exit Yet,"-0.0%, 0 days","90.0%, Past 6 years, 10","Weekly, is CONFIRMED on 2025-12-19",Already confirmed,"2025-12-19 (Price: 79.31), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 82.5663), 3.94% below, Upmove Break Below","2022-07-03 (Price: 19.895), 2025-09-28 (Price: 101.99)",No Information,11.18%/4.08%/7.12%,"16.62%, 11.18%",21 days/7 days/11 days,2026-01-18/2025-12-29/2026-01-03,12.48%,5.2%,7.28%,0.51,0.43,78.961/73.6631/30.05/34.6025/71.0872/363.4563/No EMA 200 Target,No support/34.6025/71.0872/No support/70.6297/60.9425/No support,100.0%/1/0 days (Across ALL Assets),43.75%/16/0 days (Across ALL Assets),
