Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"AAPL, Long, 2026-01-12 (Price: 260.25)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 13","Daily, is CONFIRMED on 2026-01-12",Already confirmed,"2026-01-12 (Price: 260.25), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 260.3676), 0.05% below, Upmove Bounce Back","2025-04-08 (Price: 169.21), 2025-12-03 (Price: 288.62)",No Information,11.89%/10.08%/10.61%,"0%, 30.22%",1.2 year/7 days/4.5 months,2027-09-29/2026-01-22/2026-07-26,27.85%,12.15%,15.7%,18.72,0.65,273.4707/287.8625/331.9/No Horizontal Resistance/297.1089/321.9834/No EMA 200 Target,259.04/136.57/248.4166/236.3611/No support/243.0054/233.32,94.15%/325/5.2 months (Across ALL Assets),62.26%/53/5.5 months (Across ALL Assets)
TRENDPULSE,"TSM, Long, 2026-01-12 (Price: 331.77)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 28","Daily, is CONFIRMED on 2026-01-12",Already confirmed,"2026-01-12 (Price: 331.77), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,4.33% above/0.0% below/0.0% below,11.63%/1.91%/6.59%,"0%, 57.14%",1.2 month/6 days/16 days,2026-03-05/2026-01-20/2026-02-04,17.19%,20.61%,-3.42%,1.78,0.94,367.6343/353.6336/356.39/No Horizontal Resistance/360.6179/384.2031/No EMA 200 Target,276.96/83.575/291.0528/242.5186/286.3956/257.4174/243.38,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
TRENDPULSE,"ASML, Long, 2026-01-12 (Price: 1281.23)",No Exit Yet,"0.0%, 0 days","85.71%, Past 4 years, 14","Daily, is CONFIRMED on 2026-01-12",Already confirmed,"2026-01-12 (Price: 1281.23), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,0.58% above/0.0% below/0.0% below,21.88%/0.41%/10.18%,"34.28%, 51.77%",3.8 months/7 days/1.3 month,2026-06-26/2026-01-22/2026-03-09,11.06%,16.29%,-5.23%,0.48,0.74,1317.2326/1411.6592/1567.47/No Horizontal Resistance/1081.4334/1218.8523/No EMA 200 Target,1015.43/576.784/998.2461/956.961/967.6107/946.9797/861.02,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
TRENDPULSE,"BTI, Long, 2026-01-12 (Price: 55.68)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 11","Daily, is CONFIRMED on 2026-01-12",Already confirmed,"2026-01-12 (Price: 55.68), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,0.89% above/0.0% below/0.0% below,9.02%/0.81%/3.05%,"0%, 8.72%",3.2 months/4 days/27 days,2026-05-31/2026-01-17/2026-02-20,13.01%,4.6%,8.41%,1.21,0.22,60.8304/57.3782/71.16/No Horizontal Resistance/77.6843/86.2499/No EMA 200 Target,53.29/28.5067/53.9498/50.4772/No support/No support/51.09,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
TRENDPULSE,"VGT, Long, 2026-01-12 (Price: 765.51)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 26","Daily, is CONFIRMED on 2026-01-12",Already confirmed,"2026-01-12 (Price: 765.51), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,0.0% below/0.0% below/0.0% below,6.35%/1.16%/3.51%,"0%, 20.19%",3.5 months/7 days/23 days,2026-06-13/2026-01-22/2026-02-14,15.33%,14.37%,0.96%,2.27,0.77,802.4076/792.3794/767.46/No Horizontal Resistance/884.0923/1003.1001/No EMA 200 Target,753.78/311.83/671.1312/639.8848/722.7628/671.0018/682.1,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
TRENDPULSE,"WMT, Long, 2026-01-12 (Price: 117.97)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 23","Daily, is CONFIRMED on 2026-01-12",Already confirmed,"2026-01-12 (Price: 117.97), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,3.0% above/0.0% below/0.0% below,4.8%/0.97%/2.87%,"-0.0%, 26.01%",2.6 months/6 days/21 days,2026-05-04/2026-01-20/2026-02-11,12.68%,12.5%,0.18%,2.03,0.74,123.5972/121.3557/130.7/No Horizontal Resistance/114.6382/136.6818/No EMA 200 Target,110.9/42.3916/91.6278/82.681/109.6055/103.9305/101.03,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
TRENDPULSE,"BRK-B, Long, 2026-01-09 (Price: 499.1)",No Exit Yet,"-0.09%, 3 days","100.0%, Past 4 years, 19","Daily, is CONFIRMED on 2026-01-09",Already confirmed,"2026-01-12 (Price: 498.67), 0.09% below",3 days,No Information,No Information,No Information,No Information,No Information,0.09% below/0.09% below/0.09% below,5.02%/0.7%/2.96%,"0%, 7.4%",1.5 month/6 days/12 days,2026-03-15/2026-01-17/2026-01-26,14.99%,9.63%,5.36%,2.13,0.58,528.3473/513.8734/501.6/512.255/630.85/709.9376/No EMA 200 Target,496.12/268.082/491.88/449.7662/No F-Track Level/No F-Track Level/497.22,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
TRENDPULSE,"SOXX, Long, 2025-12-31 (Price: 301.15)",No Exit Yet,"9.7%, 12 days","100.0%, Past 24 years, 7","Quarterly, is CONFIRMED on 2025-12-31",Already confirmed,"2026-01-12 (Price: 330.35), 9.7% above",12 days,No Information,No Information,No Information,No Information,No Information,9.7% above/21.98% above/9.7% above,74.51%/31.99%/47.75%,"-0.0%, 41.23%",3.3 years/1.3 year/1.9 year,2030-09-16/2027-11-08/2028-09-16,16.0%,8.74%,7.26%,0.66,0.45,401.8546/444.9491/463.42/No Horizontal Resistance/348.2242/411.0319/No EMA 200 Target,106.24/110.475/285.4342/254.997/No F-Track Level/No F-Track Level/246.22,100.0%/9/2.2 years (Across ALL Assets),75.0%/4/6.2 months (Across ALL Assets)
FRACTAL TRACK,"SFTBY, Short, 2026-01-12 (Price: 14.17)",No Exit Yet,"-0.0%, 0 days","100.0%, Past 13 years, 4","Quarterly, is CONFIRMED on 2026-01-12",No Cancellation Possible,"2026-01-12 (Price: 14.17), 0.0% below",0 days,No Information,No Information,No Information,"38.2% (Price: 14.6002), 2.95% below, Upmove Break Below","2012-12-31 (Price: 1.82), 2025-12-31 (Price: 22.5)",No Information,18.34%/16.72%/17.41%,"0.0%, 18.34%",3.1 months/3.1 months/3.1 months,2026-05-26/2026-05-26/2026-05-26,12.53%,5.4%,7.13%,1.47,0.38,12.7317/11.703/1.76/4.205/12.0158/10.9987/11.81,No support/4.205/12.0158/10.9987/13.3475/11.1875/No EMA 200 Support,100.0%/2/7.6 months (Across ALL Assets),63.64%/11/4.1 months (Across ALL Assets)
FRACTAL TRACK,"WIPRO.NS, Short, 2026-01-12 (Price: 263.1)",No Exit Yet,"-0.0%, 0 days","85.71%, Past 80 years, 7","Quarterly, is CONFIRMED on 2026-01-12",No Cancellation Possible,"2026-01-12 (Price: 263.1), 0.0% below",0 days,No Information,No Information,No Information,"38.2% (Price: 267.8348), 1.77% below, Upmove Break Below","2023-06-30 (Price: 176.0), 2025-03-31 (Price: 324.6)",No Information,29.71%/7.32%/15.86%,"11.67%, 29.71%",1.3 year/3 months/5.6 months,2027-11-20/2026-05-22/2026-09-12,7.99%,5.5%,2.49%,0.99,0.56,325.1127/221.3723/173.94/187.6063/184.3156/1127.9829/251.95,No support/187.6063/184.3156/No support/No support/No support/No EMA 200 Support,100.0%/2/7.6 months (Across ALL Assets),63.64%/11/4.1 months (Across ALL Assets)
