"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"HDFCBANK.NS, Long, 2026-01-27 (Price: 926.4)",No Exit Yet,"0.0%, 0 days","100.0%, Past 15 years, 4","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price  prior to 2026-01-30,"2026-01-27 (Price: 926.4), 0.0% below",0 days,11.71%/4.83%/8.56%,"0%, 16.27%",2.3 months/28 days/1.7 month,2026-05-06/2026-03-08/2026-04-10,12.02%,10.83%,1.19%,2.91,0.65,1062.4882/1005.6998/1034.09/1009.6/1299.7536/1565.406/976.93,916.1/640.9/762.8018/626.4465/No support/891.107/No EMA 200 Support,94.87%/39/0 days (Across ALL Assets),87.5%/112/0 days (Across ALL Assets),906.0
"BRK-B, Long, 2026-01-26 (Price: 483.47)",No Exit Yet,"-1.82%, 1 day","75.0%, Past 4 years, 12","Daily, was CONFIRMED on 2026-01-26",Already confirmed,"2026-01-27 (Price: 474.67), 1.82% below",1 day,3.8%/1.42%/2.23%,"7.01%, 7.01%",1.4 month/1 day/11 days,2026-03-27/2026-01-27/2026-02-10,4.18%,10.92%,-6.74%,0.08,0.77,501.8902/494.2514/498.07/512.255/630.85/709.9376/495.42,478.97/268.082/449.7662/405.99/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/0 days (Across ALL Assets),78.71%/479/0 days (Across ALL Assets),478.47
"IHI, Long, 2026-01-26 (Price: 60.74)",No Exit Yet,"-0.49%, 1 day","85.0%, Past 4 years, 20","Daily, was CONFIRMED on 2026-01-26",Already confirmed,"2026-01-27 (Price: 60.44), 0.49% below",1 day,5.45%/1.28%/2.72%,"9.31%, 10.0%",19 days/1 day/7 days,2026-02-22/2026-01-27/2026-02-05,10.24%,1.25%,8.99%,0.38,-0.05,64.7002/62.3921/63.55/65.925/68.9264/76.3906/61.25,60.28/46.725/56.0899/46.1919/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/0 days (Across ALL Assets),78.71%/479/0 days (Across ALL Assets),60.27
"SUM.NZ, Long, 2026-01-26 (Price: 11.92)",No Exit Yet,"-1.59%, 1 day","71.43%, Past 4 years, 14","Daily, was CONFIRMED on 2026-01-26",Already confirmed,"2026-01-27 (Price: 11.73), 1.59% below",1 day,5.47%/2.32%/3.77%,"6.69%, 10.0%",2 months/1 day/19 days,2026-04-22/2026-01-27/2026-02-22,5.72%,-0.28%,6.0%,0.18,-0.09,12.0738/12.3694/12.22/12.6867/19.8479/26.5969/No EMA 200 Target,11.82/9.1367/11.0645/No support/No F-Track Level/No F-Track Level/11.5,83.04%/112/0 days (Across ALL Assets),78.71%/479/0 days (Across ALL Assets),11.95
"DOL.TO, Long, 2026-01-23 (Price: 192.22)",No Exit Yet,"-3.05%, 4 days","80.0%, Past 4 years, 5","Daily, was CONFIRMED on 2026-01-23",Already confirmed,"2026-01-27 (Price: 186.36), 3.05% below",4 days,3.46%/2.44%/3.14%,"4.54%, 4.54%",22 days/3 days/8 days,2026-02-23/2026-01-27/2026-02-03,6.16%,20.38%,-14.22%,0.47,1.39,212.0955/198.2557/205.18/197.56/294.0831/455.769/No EMA 200 Target,180.3/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/187.09,83.04%/112/0 days (Across ALL Assets),78.71%/479/0 days (Across ALL Assets),193.26
"KXS.TO, Long, 2026-01-23 (Price: 149.09)",No Exit Yet,"-2.03%, 4 days","71.43%, Past 4 years, 14","Daily, was CONFIRMED on 2026-01-23",Already confirmed,"2026-01-27 (Price: 146.06), 2.03% below",4 days,7.06%/2.13%/4.15%,"15.86%, 17.85%",1.8 month/2 days/12 days,2026-04-11/2026-01-25/2026-02-09,3.12%,-2.75%,5.87%,0.03,-0.07,158.751/155.2772/157.01/209.885/222.5978/243.8843/185.15,148.69/127.09/123.9058/118.5983/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/0 days (Across ALL Assets),78.71%/479/0 days (Across ALL Assets),148.62
"AAPL, Long, 2026-01-22 (Price: 248.35)",2026-01-26 (Price: 255.41),"2.84%, 4 days","90.0%, Past 4 years, 10","Daily, was CONFIRMED on 2026-01-22",Already confirmed,"2026-01-27 (Price: 258.27), 3.99% above",5 days,6.6%/3.13%/3.95%,"4.88%, 13.99%",2.3 months/2 days/23 days,2026-05-01/2026-01-24/2026-02-24,8.79%,8.71%,0.08%,0.77,0.46,258.7559/258.1598/258.46/No Horizontal Resistance/289.238/325.3828/No EMA 200 Target,246.7/136.57/202.8031/187.5583/No F-Track Level/No F-Track Level/235.74,83.04%/112/0 days (Across ALL Assets),78.71%/479/0 days (Across ALL Assets),249.2
"^NSEI, Long, 2026-01-22 (Price: 25289.9004)",No Exit Yet,"-0.45%, 5 days","90.91%, Past 4 years, 11","Daily, was CONFIRMED on 2026-01-22",Already confirmed,"2026-01-27 (Price: 25175.4004), 0.45% below",5 days,3.06%/1.21%/2.08%,"3.64%, 4.21%",19 days/1 day/5 days,2026-02-18/2026-01-23/2026-01-29,7.24%,8.84%,-1.6%,0.75,0.7,27007.0846/25815.9303/26411.51/25973.3496/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,25157.5/16662.0827/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/25154.13,83.04%/112/0 days (Across ALL Assets),78.71%/479/0 days (Across ALL Assets),25344.1504
"NIFTY_MIDCAP_100.NS, Long, 2026-01-22 (Price: 58191.3008)",No Exit Yet,"-1.22%, 5 days","92.86%, Past 4 years, 14","Daily, was CONFIRMED on 2026-01-22",Already confirmed,"2026-01-27 (Price: 57483.6484), 1.22% below",5 days,4.01%/1.72%/2.76%,"7.88%, 9.89%",20 days/2 days/7 days,2026-02-19/2026-01-24/2026-02-01,9.79%,15.36%,-5.57%,0.56,1.16,62538.191/59797.3807/61167.79/59773.5488/69983.5191/76335.2565/No EMA 200 Target,57423.65/26608.2998/51648.171/44465.2214/No F-Track Level/No F-Track Level/58081.47,83.04%/112/0 days (Across ALL Assets),78.71%/479/0 days (Across ALL Assets),57962.6016
"INDA, Long, 2026-01-22 (Price: 51.8)",No Exit Yet,"-0.21%, 5 days","78.57%, Past 4 years, 14","Daily, was CONFIRMED on 2026-01-22",Already confirmed,"2026-01-27 (Price: 51.69), 0.21% below",5 days,3.64%/1.48%/2.43%,"5.35%, 6.14%",28 days/2 days/9 days,2026-03-03/2026-01-24/2026-02-04,5.73%,3.54%,2.19%,0.28,0.12,54.3641/53.0587/53.71/55.3975/66.8401/79.771/53.65,51.55/39.06/49.0901/45.3705/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/0 days (Across ALL Assets),78.71%/479/0 days (Across ALL Assets),51.72
