Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"WMT, Long, 2026-01-29 (Price: 117.41)",No Exit Yet,"0.0%, 0 days","83.33%, Past 5 years, 18","Daily, is CONFIRMED on 2026-01-29",Already confirmed,"2026-01-29 (Price: 117.41), 0.0% below",0 days,116.6,No Information,No Information,No Information,"23.66% (Price: 116.2397), 1.01% above, Upmove Bounce Back","2025-11-14 (Price: 98.88), 2026-01-20 (Price: 121.62)",No Information,12.93%/0.49%/9.21%,"1.46%, 23.5%",1.4 year/23 days/3.8 months,2028-01-27/2026-03-03/2026-07-13,27.4%,11.93%,15.47%,1.3,0.75,120.7797/128.2235/131.05/No Horizontal Resistance/114.6382/136.6818/No EMA 200 Target,116.57/43.3466/91.6278/82.681/111.7278/105.6486/102.91,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets)
OSCILLATOR DELTA,"BRK-B, Long, 2026-01-29 (Price: 476.79)",No Exit Yet,"0.0%, 0 days","89.47%, Past 6 years, 19","Daily, is Confirmed on 2026-01-29",No Cancellation Possible,"2026-01-29 (Price: 476.79), 0.0% below",0 days,473.73,No Information,No Information,No Information,No Information,No Information,No Information,31.41%/5.03%/9.81%,"13.58%, 26.58%",2.2 years/8 days/3.7 months,2029-03-21/2026-02-09/2026-07-08,16.46%,9.82%,6.64%,0.56,0.59,505.2544/523.5631/500.63/512.255/537.7909/627.804/494.97,No Recent Minima/268.082/475.0642/401.0818/No support/No support/No EMA 200 Support,68.21%/151/0 days (Across ALL Assets),63.74%/353/0 days (Across ALL Assets)
TRENDPULSE,"USO, Long, 2026-01-28 (Price: 76.62)",No Exit Yet,"3.29%, 1 day","95.45%, Past 4 years, 22","Daily, is CONFIRMED on 2026-01-28",Already confirmed,"2026-01-29 (Price: 79.14), 3.29% above",1 day,76.26,No Information,No Information,No Information,No Information,No Information,4.6% above/3.29% above/3.29% above,7.26%/0.81%/3.43%,"8.68%, 22.5%",5.2 months/6 days/2 months,2026-09-10/2026-02-05/2026-04-24,13.27%,-3.97%,17.24%,0.8,-0.03,76.7809/79.2481/79.58/83.49/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,67.79/58.7667/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/71.92,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets)
OSCILLATOR DELTA,"XLU, Long, 2026-01-28 (Price: 43.33)",No Exit Yet,"0.0%, 1 day","80.0%, Past 6 years, 15","Daily, is Confirmed on 2026-01-28",No Cancellation Possible,"2026-01-29 (Price: 43.33), 0.0% below",1 day,43.5,No Information,No Information,No Information,No Information,No Information,No Information,27.15%/5.01%/9.1%,"11.19%, 14.07%",7.7 months/10 days/2.6 months,2026-12-28/2026-02-11/2026-05-20,16.95%,4.08%,12.87%,0.47,0.18,46.0251/47.273/49.4/No Horizontal Resistance/49.4858/65.2454/No EMA 200 Target,No Recent Minima/29.8725/35.4254/30.3912/No F-Track Level/No F-Track Level/42.42,68.21%/151/0 days (Across ALL Assets),63.74%/353/0 days (Across ALL Assets)
TRENDPULSE,"VGT, Long, 2026-01-27 (Price: 769.9)",No Exit Yet,"-1.18%, 2 days","100.0%, Past 4 years, 26","Daily, is CONFIRMED on 2026-01-27",Already confirmed,"2026-01-29 (Price: 760.8), 1.18% below",2 days,766.41,No Information,No Information,No Information,No Information,No Information,0.05% above/1.18% below/1.18% below,6.35%/1.16%/3.51%,"0%, 20.19%",3.5 months/7 days/23 days,2026-06-28/2026-02-06/2026-03-01,15.33%,14.37%,0.96%,2.27,0.77,807.0092/796.9235/788.87/No Horizontal Resistance/946.1588/993.4664/No EMA 200 Target,738.69/311.83/702.1644/626.0547/No F-Track Level/No F-Track Level/693.85,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets)
TRENDPULSE,"MCD, Long, 2026-01-27 (Price: 314.13)",No Exit Yet,"0.44%, 2 days","83.33%, Past 4 years, 18","Daily, is CONFIRMED on 2026-01-27",Already confirmed,"2026-01-29 (Price: 315.51), 0.44% above",2 days,312.32,No Information,No Information,No Information,No Information,No Information,0.82% above/0.44% above/0.44% above,4.95%/0.71%/2.55%,"0.45%, 11.38%",3.9 months/7 days/1.3 month,2026-07-15/2026-02-06/2026-03-24,12.38%,5.6%,6.78%,1.08,0.28,324.5591/322.1403/341.41/321.444/370.0426/590.3302/No EMA 200 Target,302.84/228.4467/254.2758/233.8976/No F-Track Level/No F-Track Level/306.33,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets)
TRENDPULSE,"EEM, Long, 2026-01-27 (Price: 60.34)",No Exit Yet,"0.17%, 2 days","90.91%, Past 4 years, 11","Daily, is CONFIRMED on 2026-01-27",Already confirmed,"2026-01-29 (Price: 60.44), 0.17% above",2 days,59.97,No Information,No Information,No Information,No Information,No Information,2.15% above/0.17% above/0.17% above,4.72%/1.07%/2.64%,"25.37%, 34.75%",3.1 months/6 days/21 days,2026-06-10/2026-02-04/2026-02-26,2.19%,2.36%,-0.17%,0.01,0.07,63.0674/61.933/63.94/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,52.6/37.485/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/50.88,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets)
DELTADRIFT,"BRK-B, Long, 2026-01-26 (Price: 483.47)",No Exit Yet,"-1.38%, 3 days","75.0%, Past 4 years, 12","Daily, was CONFIRMED on 2026-01-26",Already confirmed,"2026-01-29 (Price: 476.79), 1.38% below",3 days,478.47,No Information,No Information,No Information,No Information,No Information,No Information,3.8%/1.42%/2.23%,"7.01%, 7.01%",1.4 month/1 day/11 days,2026-03-27/2026-01-27/2026-02-10,4.18%,10.92%,-6.74%,0.08,0.77,501.8902/494.2514/498.07/512.255/630.85/709.9376/494.97,478.97/268.082/449.7662/405.99/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/0 days (Across ALL Assets),78.71%/479/0 days (Across ALL Assets)
TRENDPULSE,"USO, Long, 2026-01-26 (Price: 73.48)",No Exit Yet,"7.7%, 3 days","95.45%, Past 4 years, 22","Daily, is CONFIRMED on 2026-01-26",Already confirmed,"2026-01-29 (Price: 79.14), 7.7% above",3 days,73.36,No Information,No Information,No Information,No Information,No Information,10.19% above/7.7% above/7.7% above,7.26%/0.81%/3.43%,"8.68%, 22.5%",5.2 months/6 days/2 months,2026-09-08/2026-02-03/2026-04-22,13.27%,-3.97%,17.24%,0.8,-0.03,73.6343/76.0004/76.77/83.49/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,67.79/58.7667/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/71.82,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets)
TRENDPULSE,"EEM, Long, 2026-01-25 (Price: 59.07)",No Exit Yet,"2.32%, 4 days","96.15%, Past 10 years, 26","Weekly, is CONFIRMED on 2026-01-23",Already confirmed,"2026-01-29 (Price: 60.44), 2.32% above",4 days,57.35,No Information,No Information,No Information,No Information,No Information,2.32% above/2.32% above/2.32% above,11.23%/1.19%/3.84%,"20.12%, 35.1%",1.4 year/28 days/3.4 months,2028-01-23/2026-03-06/2026-06-21,3.49%,0.73%,2.76%,0.51,-0.08,61.1906/61.3383/68.56/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,40.58/37.485/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/50.68,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets)
