"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today's Trading Date/Price[$], Today's price vs Signal",Trading Days between Signal and Today's Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"BTC-USD, Long, 2026-02-03 (Price: 78932.3281)",No Exit Yet,"0.0%, 0 days","80.0%, Past 4 years, 15","Daily, is CONFIRMED on 2026-02-03",Already confirmed,"2026-02-03 (Price: 78932.3281), 0.0% below",0 days,11.7%/2.55%/5.96%,"26.18%, 26.18%",1.9 month/2 days/10 days,2026-04-26/2026-02-05/2026-02-17,6.02%,14.76%,-8.74%,0.14,0.5,81189.7927/83636.6949/82413.24/124582.2656/117228.5171/177451.6084/103745.77,76974.45/18304.4229/12294.8818/9282.7158/78564.5881/65615.6803/No EMA 200 Support,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets),78677.4453
"CAD=X, Long, 2026-02-02 (Price: 1.3636)",No Exit Yet,"0.22%, 1 day","80.0%, Past 4 years, 15","Daily, was CONFIRMED on 2026-02-02",Already confirmed,"2026-02-03 (Price: 1.3666), 0.22% above",1 day,1.24%/0.44%/0.72%,"1.99%, 2.15%",1.2 month/2 days/13 days,2026-03-26/2026-02-04/2026-02-20,4.14%,1.03%,3.11%,0.22,-0.46,1.3846/1.3734/1.38/1.3921/No Next Fib Ext/No Next Fib Ext/1.38,1.35/1.2339/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets),1.3636
"HDFCBANK.NS, Long, 2026-02-01 (Price: 929.25)",No Exit Yet,"2.09%, 2 days","100.0%, Past 15 years, 4","Weekly, was CONFIRMED on 2026-02-01",Already confirmed,"2026-02-03 (Price: 948.7), 2.09% above",2 days,11.71%/4.83%/8.56%,"0%, 16.27%",2.3 months/28 days/1.7 month,2026-05-11/2026-03-13/2026-04-15,12.02%,10.83%,1.19%,2.91,0.65,1065.7568/1008.7938/1037.28/1009.6/1098.0619/1305.7899/977.59,916.1/640.9/765.1075/697.8792/No F-Track Level/No F-Track Level/No EMA 200 Support,94.87%/39/1.3 month (Across ALL Assets),87.5%/112/2.3 months (Across ALL Assets),906.0
"JPY=X, Long, 2026-01-30 (Price: 153.162)",2026-02-02 (Price: 155.202),"1.33%, 3 days","75.0%, Past 4 years, 12","Daily, was CONFIRMED on 2026-01-30",Already confirmed,"2026-02-03 (Price: 155.915), 1.8% above",4 days,2.21%/1.18%/1.7%,"5.69%, 5.69%",1.4 month/2 days/14 days,2026-03-31/2026-02-01/2026-02-19,3.17%,6.05%,-2.88%,0.02,0.47,156.6694/155.7658/156.22/159.6618/175.8568/187.2285/No EMA 200 Target,152.45/108.0995/138.2059/No support/No F-Track Level/No F-Track Level/149.95,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets),153.147
"CVS, Long, 2026-01-30 (Price: 74.52)",No Exit Yet,"1.21%, 3 days","71.43%, Past 4 years, 14","Daily, was CONFIRMED on 2026-01-30",Already confirmed,"2026-02-02 (Price: 75.42), 1.21% above",3 days,9.78%/2.14%/4.7%,"18.34%, 19.27%",25 days/1 day/13 days,2026-03-07/2026-01-31/2026-02-17,4.95%,1.78%,3.17%,0.09,0.08,80.0792/78.0224/79.05/106.045/116.3721/144.3517/No EMA 200 Target,72.0/58.425/70.3769/60.5139/No F-Track Level/No F-Track Level/72.08,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets),74.11
"LYFT, Long, 2026-01-29 (Price: 17.75)",No Exit Yet,"-2.76%, 4 days","72.73%, Past 4 years, 11","Daily, was CONFIRMED on 2026-01-29",Already confirmed,"2026-02-02 (Price: 17.26), 2.76% below",4 days,8.38%/5.33%/6.9%,"26.16%, 31.32%",1.8 month/1 day/15 days,2026-04-17/2026-01-30/2026-02-19,-3.92%,-12.3%,8.38%,-0.15,-0.0,17.569/18.9748/18.27/57.19/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,17.2/8.8875/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/17.68,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets),17.2
"RY.TO, Long, 2026-01-29 (Price: 227.52)",2026-02-02 (Price: 230.51) (Today),"1.31%, 4 days","72.73%, Past 4 years, 11","Daily, was CONFIRMED on 2026-01-29",Already confirmed,"2026-02-02 (Price: 230.51), 1.31% above",4 days,3.75%/1.31%/1.82%,"7.86%, 8.45%",29 days/1 day/12 days,2026-03-12/2026-01-30/2026-02-15,1.66%,11.78%,-10.12%,-0.11,0.96,238.35/231.6609/235.01/No Horizontal Resistance/234.9744/339.4883/No EMA 200 Target,225.93/118.8425/221.431/150.7521/No F-Track Level/No F-Track Level/197.47,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets),226.03
"KXS.TO, Long, 2026-01-23 (Price: 149.09)",2026-02-02 (Price: 133.66) (Today),"-10.35%, 10 days","71.43%, Past 4 years, 14","Daily, was CONFIRMED on 2026-01-23",Already confirmed,"2026-02-02 (Price: 133.66), 10.35% below",10 days,7.06%/2.13%/4.15%,"15.86%, 17.85%",1.8 month/2 days/12 days,2026-04-11/2026-01-25/2026-02-09,3.12%,-2.75%,5.87%,0.03,-0.07,158.751/155.2772/157.01/209.885/222.5978/243.8843/184.62,148.69/127.09/123.9058/118.5983/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets),148.62
"^NSEI, Long, 2026-01-22 (Price: 25289.9004)",2026-02-03 (Price: 25727.5508) (Today),"1.73%, 12 days","90.91%, Past 4 years, 11","Daily, was CONFIRMED on 2026-01-22",Already confirmed,"2026-02-03 (Price: 25727.5508), 1.73% above",12 days,3.06%/1.21%/2.08%,"3.64%, 4.21%",19 days/1 day/5 days,2026-02-18/2026-01-23/2026-01-29,7.24%,8.84%,-1.6%,0.75,0.7,27007.0846/25815.9303/26411.51/25973.3496/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,25157.5/16662.0827/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/25213.55,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets),25344.1504
"NIFTY_MIDCAP_100.NS, Long, 2026-01-22 (Price: 58191.3008)",2026-02-03 (Price: 59307.1016) (Today),"1.92%, 12 days","92.86%, Past 4 years, 14","Daily, was CONFIRMED on 2026-01-22",Already confirmed,"2026-02-03 (Price: 59307.1016), 1.92% above",12 days,4.01%/1.72%/2.76%,"7.88%, 9.89%",20 days/2 days/7 days,2026-02-19/2026-01-24/2026-02-01,9.79%,15.36%,-5.57%,0.56,1.16,62538.191/59797.3807/61167.79/59773.5488/69983.5191/76335.2565/58260.69,57423.65/26608.2998/51648.171/44465.2214/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets),57962.6016
