Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today's Trading Date/Price[$], Today's price vs Signal",Trading Days between Signal and Today's Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"^BVSP, Long, 2026-02-01 (Price: 181364.0)",No Exit Yet,"0.19%, 3 days","100.0%, Past 10 years, 27","Weekly, is CONFIRMED on 2026-01-30",Already confirmed,"2026-02-04 (Price: 181708.0), 0.19% above",3 days,178859.0,No Information,No Information,No Information,No Information,No Information,1.59% above/0.19% above/0.19% above,10.65%/0.93%/5.61%,"-0.0%, 43.39%",1.1 year/28 days/3.4 months,2027-08-28/2026-03-13/2026-06-28,7.52%,4.03%,3.49%,2.1,0.18,189779.2896/191538.5204/207488.0/No Horizontal Resistance/173653.968/192289.6/No EMA 200 Target,132437.0/96132.0/121313.6/110617.73/No F-Track Level/No F-Track Level/145727.06,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
TRENDPULSE,"BTI, Long, 2026-02-01 (Price: 60.68)",No Exit Yet,"1.57%, 3 days","95.45%, Past 10 years, 22","Weekly, is CONFIRMED on 2026-01-30",Already confirmed,"2026-02-04 (Price: 61.63), 1.57% above",3 days,59.3,No Information,No Information,No Information,No Information,No Information,1.57% above/1.57% above/1.57% above,17.36%/1.81%/8.82%,"38.64%, 57.11%",10.7 months/1.2 month/3.4 months,2027-05-11/2026-03-25/2026-06-28,-1.73%,1.97%,-3.7%,0.5,0.04,64.7274/66.032/62.8/No Horizontal Resistance/82.226/92.0468/No EMA 200 Target,55.19/28.5067/52.4418/49.3734/No F-Track Level/No F-Track Level/52.26,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
TRENDPULSE,"NZDCAD=X, Long, 2026-02-01 (Price: 0.8195)",No Exit Yet,"0.52%, 3 days","79.17%, Past 10 years, 24","Weekly, is CONFIRMED on 2026-01-30",Already confirmed,"2026-02-04 (Price: 0.8238), 0.52% above",3 days,0.8165,No Information,No Information,No Information,No Information,No Information,0.52% above/0.52% above/0.52% above,4.6%/1.11%/2.76%,"5.56%, 13.76%",9.8 months/28 days/5.1 months,2027-04-02/2026-03-13/2026-09-10,-3.01%,0.35%,-3.36%,0.17,-0.49,0.8256/0.8421/0.85/0.8902/1.0924/1.3117/No EMA 200 Target,0.79/0.7834/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/0.81,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
TRENDPULSE,"BNS.TO, Long, 2026-01-31 (Price: 101.8)",No Exit Yet,"0.29%, 4 days","92.31%, Past 20 years, 13","Monthly, is CONFIRMED on 2026-01-31",Already confirmed,"2026-02-04 (Price: 102.1), 0.29% above",4 days,101.58,No Information,No Information,No Information,No Information,No Information,5.32% above/0.29% above/0.29% above,24.83%/4.28%/13.54%,"30.99%, 38.87%",2.8 years/6 months/1.2 year,2030-01-28/2026-10-18/2027-10-18,1.95%,4.3%,-2.35%,0.65,0.19,107.1343/115.5837/120.84/No Horizontal Resistance/113.9126/137.6923/No EMA 200 Target,56.15/62.2517/92.969/69.3218/No F-Track Level/No F-Track Level/85.08,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
TRENDPULSE,"^BVSP, Long, 2026-01-31 (Price: 181364.0)",No Exit Yet,"0.19%, 4 days","88.89%, Past 20 years, 9","Monthly, is CONFIRMED on 2026-01-31",Already confirmed,"2026-02-04 (Price: 181708.0), 0.19% above",4 days,161124.0,No Information,No Information,No Information,No Information,No Information,14.23% above/0.19% above/0.19% above,14.35%/2.63%/9.45%,"18.7%, 34.07%",3.3 years/8.1 months/1.9 year,2030-10-17/2027-01-17/2028-10-17,6.15%,6.78%,-0.63%,0.48,0.36,200661.1296/198502.898/224160.2/No Horizontal Resistance/173653.968/192289.6/No EMA 200 Target,120283.0/96132.0/121313.6/110617.73/No F-Track Level/No F-Track Level/145727.06,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
FRACTAL TRACK,"NZDCAD=X, Long, 2026-01-31 (Price: 0.8195)",No Exit Yet,"0.52%, 4 days","76.92%, Past 22 years, 13","Monthly, was CONFIRMED on 2026-01-31",Already confirmed,"2026-02-04 (Price: 0.8238), 0.52% above",4 days,0.7896,No Information,No Information,No Information,"78.6% (Price: 0.8038), 2.49% above, Upmove Bounce Back","2023-12-31 (Price: 0.7882), 2024-09-30 (Price: 0.8609)",No Information,20.75%/1.64%/9.84%,"3.81%, 24.45%",7.4 years/1 year/3.2 years,2036-08-24/2027-07-06/2030-08-26,0.56%,-0.19%,0.75%,0.44,-0.46,0.8673/0.9001/0.86/0.8586/1.0924/1.3117/No EMA 200 Target,0.79/0.7834/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/0.81,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
TRENDPULSE,"^DJI, Long, 2026-01-31 (Price: 48892.4688)",No Exit Yet,"1.25%, 4 days","84.62%, Past 20 years, 13","Monthly, is CONFIRMED on 2026-01-31",Already confirmed,"2026-02-04 (Price: 49501.3008), 1.25% above",4 days,48105.9805,No Information,No Information,No Information,No Information,No Information,1.25% above/1.25% above/1.25% above,15.24%/4.84%/10.4%,"2.61%, 11.83%",1.2 year/5 months/9.6 months,2027-10-18/2026-09-05/2027-03-24,7.0%,4.25%,2.75%,1.41,0.19,56299.6778/53977.2856/60238.38/No Horizontal Resistance/54129.8938/83218.843/No EMA 200 Target,40669.36/32614.5825/36151.8794/25040.9446/No F-Track Level/No F-Track Level/45320.62,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
TRENDPULSE,"GS, Long, 2026-01-31 (Price: 935.41)",No Exit Yet,"-2.36%, 4 days","100.0%, Past 20 years, 13","Monthly, is CONFIRMED on 2026-01-31",Already confirmed,"2026-02-04 (Price: 913.3), 2.36% below",4 days,884.0,No Information,No Information,No Information,No Information,No Information,3.9% above/2.36% below/2.36% below,53.25%/7.0%/28.8%,"-0.0%, 34.98%",2.5 years/4 months/1.1 year,2029-08-26/2026-07-23/2027-08-27,10.95%,5.86%,5.09%,1.01,0.3,1127.169/1204.8081/1283.13/No Horizontal Resistance/931.1482/1236.8362/No EMA 200 Target,303.61/288.555/794.5775/634.5288/No F-Track Level/No F-Track Level/746.9,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
FRACTAL TRACK,"JPY=X, Long, 2026-01-30 (Price: 153.162)",No Exit Yet,"1.72%, 5 days","100.0%, Past 5 years, 13","Daily, was CONFIRMED on 2026-01-30",Already confirmed,"2026-02-04 (Price: 155.799), 1.72% above",5 days,153.147,No Information,No Information,No Information,"38.2% (Price: 154.3876), 0.91% above, Upmove Bounce Back","2025-09-17 (Price: 146.217), 2026-01-14 (Price: 159.438)",No Information,10.95%/0.93%/6.13%,"-0.0%, 9.9%",1.4 year/21 days/5.2 months,2028-01-28/2026-03-01/2026-09-12,12.61%,5.88%,6.73%,0.82,0.44,154.4026/162.5508/161.09/159.6618/175.8568/187.2285/No EMA 200 Target,152.45/108.0995/138.2059/No support/No F-Track Level/No F-Track Level/150.01,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
BAND MATRIX,"ATD.TO, Long, 2026-01-30 (Price: 70.84)",No Exit Yet,"12.0%, 5 days","90.0%, Past 5 years, 10","Daily, was CONFIRMED on 2026-01-30",No Cancellation Possible,"2026-02-04 (Price: 79.34), 12.0% above",5 days,71.47,No Information,No Information,No Information,No Information,No Information,No Information,29.23%/0.22%/10.51%,"9.62%, 20.63%",8.6 months/1.8 month/4.1 months,2027-02-07/2026-04-18/2026-07-25,16.38%,7.89%,8.49%,0.66,0.43,73.3336/78.2853/75.81/85.51/85.3936/96.14/72.18,69.19/45.49/59.8475/53.4732/No F-Track Level/No F-Track Level/No EMA 200 Support,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
