"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"AMZN, Long, 2026-02-11 (Price: 204.4238)",No Exit Yet,"-2.67%, 1 day","77.78%, Past 5 years, 9","Daily, was CONFIRMED on 2026-02-11",No Cancellation Possible,"2026-02-12 (Price: 198.96), 2.67% below",1 day,26.36%/3.34%/11.74%,"19.29%, 44.64%",1.1 year/1.4 month/4.8 months,2027-09-07/2026-04-12/2026-09-07,13.11%,4.18%,8.93%,0.57,0.24,211.4969/228.4232/219.96/239.3/317.6152/339.3352/223.1,200.99/86.995/193.0625/132.2674/No F-Track Level/No F-Track Level/No EMA 200 Support,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets),208.07
"GOOG, Long, 2026-02-11 (Price: 312.03)",No Exit Yet,"-0.34%, 1 day","80.0%, Past 5 years, 5","Daily, was CONFIRMED on 2026-02-11",No Cancellation Possible,"2026-02-12 (Price: 310.97), 0.34% below",1 day,53.29%/6.13%/19.77%,"21.12%, 44.6%",6.1 months/1.6 month/4.1 months,2026-11-03/2026-04-21/2026-08-06,12.59%,17.49%,-4.9%,0.4,0.9,334.5274/373.7183/354.12/No Horizontal Resistance/345.4418/365.3613/No EMA 200 Target,298.06/84.51/285.4807/240.3589/No F-Track Level/No F-Track Level/240.47,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets),318.955
"INDA, Long, 2026-02-08 (Price: 53.145)",No Exit Yet,"0.13%, 4 days","100.0%, Past 14 years, 4","Weekly, was CONFIRMED on 2026-02-08",No Cancellation Possible,"2026-02-12 (Price: 53.215), 0.13% above",4 days,76.73%/12.39%/34.5%,"0%, 39.17%",5.2 years/6.8 months/2.3 years,2033-07-12/2026-11-30/2029-05-20,11.49%,3.68%,7.81%,1.13,0.14,52.6189/71.48/62.05/55.3975/66.8401/79.771/53.7,51.24/39.06/49.0901/45.3705/No F-Track Level/No F-Track Level/No EMA 200 Support,100.0%/5/1.5 year (Across ALL Assets),80.68%/88/9.5 months (Across ALL Assets),51.72
"AAPL, Long, 2026-01-07 (Price: 260.33)",2026-02-12 (Price: 261.98),"0.63%, 1.2 month","80.0%, Past 5 years, 5","Daily, was CONFIRMED on 2026-01-07",No Cancellation Possible,"2026-02-12 (Price: 261.98), 0.63% above",1.2 month,54.19%/13.51%/32.85%,"9.44%, 30.22%",3 years/1.1 month/1.2 year,2030-04-20/2026-02-23/2027-09-24,17.35%,10.3%,7.05%,0.76,0.55,283.5514/345.8484/314.7/No Horizontal Resistance/289.238/325.3828/No EMA 200 Target,245.27/136.57/202.8031/187.5583/No F-Track Level/No F-Track Level/238.89,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets),263.2
"CSCO, Long, 2026-01-06 (Price: 75.23)",2026-02-12 (Price: 75.36),"0.17%, 1.2 month","71.43%, Past 5 years, 7","Daily, was CONFIRMED on 2026-01-06",No Cancellation Possible,"2026-02-12 (Price: 75.36), 0.17% above",1.2 month,12.81%/8.85%/10.95%,"17.89%, 34.77%",7.3 months/1.7 month/5 months,2026-11-19/2026-03-20/2026-08-11,5.11%,7.55%,-2.44%,0.24,0.42,77.6298/83.4677/80.55/No Horizontal Resistance/78.7458/109.6316/No EMA 200 Target,71.04/40.92/75.1101/68.2017/No F-Track Level/No F-Track Level/69.94,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets),75.53
"EFN.TO, Long, 2025-11-17 (Price: 35.37)",2026-02-12 (Price: 33.64),"-4.89%, 2.9 months","90.91%, Past 5 years, 11","Daily, was CONFIRMED on 2025-11-17",No Cancellation Possible,"2026-02-12 (Price: 33.64), 4.89% below",2.9 months,19.77%/2.75%/10.33%,"6.6%, 17.54%",6.8 months/1.2 month/3.4 months,2026-09-08/2026-01-08/2026-04-13,20.08%,15.63%,4.45%,0.95,0.95,37.8919/39.0237/38.46/No Horizontal Resistance/45.1741/70.5281/No EMA 200 Target,34.92/11.7733/29.5041/No support/No F-Track Level/No F-Track Level/35.31,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets),34.68
"INFY, Long, 2025-03-16 (Price: 18.4)",2026-02-01 (Price: 17.58),"-4.46%, 10.7 months","75.0%, Past 15 years, 4","Weekly, was CONFIRMED on 2025-03-16",No Cancellation Possible,"2026-02-12 (Price: 14.415), 21.66% below",11.1 months,175.09%/39.66%/107.38%,"10.82%, 34.36%",6.7 years/1.8 year/4.3 years,2034-10-08/2027-10-10/2031-05-06,10.72%,3.02%,7.7%,0.62,0.15,21.4838/38.1579/29.82/23.796/31.8515/41.1179/No EMA 200 Target,16.75/16.315/13.0115/No support/No F-Track Level/No F-Track Level/17.52,100.0%/5/1.5 year (Across ALL Assets),80.68%/88/9.5 months (Across ALL Assets),19.75
"NA.TO, Long, 2025-02-23 (Price: 124.43)",2026-02-01 (Price: 162.25),"30.39%, 11.4 months","100.0%, Past 15 years, 6","Weekly, was CONFIRMED on 2025-02-23",No Cancellation Possible,"2026-02-12 (Price: 172.125), 38.33% above",11.8 months,61.64%/4.69%/32.82%,"-0.0%, 42.56%",3.7 years/9.3 months/2 years,2030-06-06/2026-04-03/2028-01-01,11.98%,7.53%,4.45%,1.22,0.44,128.4242/165.2679/146.85/No Horizontal Resistance/188.6608/207.1743/151.15,106.39/73.9933/119.9028/88.8057/No F-Track Level/No F-Track Level/No EMA 200 Support,100.0%/5/1.5 year (Across ALL Assets),80.68%/88/9.5 months (Across ALL Assets),125.91
"JPY=X, Long, 2023-12-31 (Price: 141.43)",2026-02-01 (Price: 153.162),"8.3%, 2.1 years","75.0%, Past 15 years, 4","Weekly, was CONFIRMED on 2023-12-31",No Cancellation Possible,"2026-02-12 (Price: 152.913), 8.12% above",2.1 years,4.36%/0.69%/2.53%,"3.04%, 15.82%",4.3 years/8.9 months/2.5 years,2030-02-19/2025-01-20/2027-07-26,2.69%,2.94%,-0.25%,0.15,0.02,139.3368/145.0082/142.17/151.92/156.7717/175.8568/150.37,138.07/103.3558/138.2059/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,100.0%/5/1.5 year (Across ALL Assets),80.68%/88/9.5 months (Across ALL Assets),142.342
"BDGI.TO, Long, 2021-07-25 (Price: 34.26)",2026-02-08 (Price: 69.9),"104.03%, 4.6 years","75.0%, Past 15 years, 4","Weekly, was CONFIRMED on 2021-07-25",No Cancellation Possible,"2026-02-12 (Price: 65.65), 91.62% above",4.6 years,76.63%/53.9%/65.26%,"5.91%, 41.44%",1.2 year/1.1 year/1.2 year,2023-04-11/2023-02-18/2023-04-11,12.29%,12.07%,0.22%,0.8,0.59,37.0145/56.6181/46.82/41.625/50.7492/58.0566/60.86,33.04/30.4725/32.7462/29.5827/No F-Track Level/No F-Track Level/No EMA 200 Support,100.0%/5/1.5 year (Across ALL Assets),80.68%/88/9.5 months (Across ALL Assets),32.81
