Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"AMD, Long, 2024-01-31 (Price: 167.69)",2026-02-18 (Price: 200.12),"19.34%, 2.1 years","87.5%, Past 20 years, 16","Monthly, is CONFIRMED on 2024-01-31",Already confirmed,"2026-02-18 (Price: 200.12), 19.34% above",2.1 years,144.28,No Information,No Information,No Information,No Information,No Information,35.76% above/36.9% above/19.34% above,190.68%/9.18%/101.74%,"0.02%, 94.83%",2.5 years/5.1 months/10.8 months,2027-08-26/2024-09-08/2025-05-14,20.96%,6.33%,14.63%,1.29,0.43,321.512/338.2978/169.63/No Horizontal Resistance/170.075/187.3421/No EMA 200 Target,60.06/27.54/140.6278/116.4823/No F-Track Level/No F-Track Level/116.01,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets)
DELTADRIFT,"IHI, Long, 2026-02-06 (Price: 58.36)",2026-02-18 (Price: 59.45),"1.87%, 12 days","85.0%, Past 4 years, 20","Daily, was CONFIRMED on 2026-02-06",Already confirmed,"2026-02-18 (Price: 59.45), 1.87% above",12 days,58.24,No Information,No Information,No Information,No Information,No Information,No Information,5.45%/1.28%/2.72%,"9.31%, 10.0%",19 days/1 day/7 days,2026-03-05/2026-02-07/2026-02-16,10.24%,1.25%,8.99%,0.38,-0.05,62.1651/59.9474/61.06/66.34/68.9264/76.3906/61.31,57.93/46.725/56.0899/46.1919/No F-Track Level/No F-Track Level/No EMA 200 Support,83.85%/130/12 days (Across ALL Assets),77.16%/394/15 days (Across ALL Assets)
TRENDPULSE,"XLU, Long, 2026-02-10 (Price: 44.2)",2026-02-18 (Price: 45.61),"3.19%, 8 days","85.19%, Past 4 years, 27","Daily, is CONFIRMED on 2026-02-10",Already confirmed,"2026-02-18 (Price: 45.61), 3.19% above",8 days,43.75,No Information,No Information,No Information,No Information,No Information,5.21% above/3.19% above/3.19% above,4.38%/0.62%/2.23%,"10.13%, 19.69%",2.8 months/6 days/24 days,2026-06-11/2026-02-18/2026-03-16,8.66%,2.65%,6.01%,0.1,0.09,45.7558/45.1857/45.81/No Horizontal Resistance/49.4858/65.2454/No EMA 200 Target,42.56/29.8725/43.7042/35.4254/No F-Track Level/No F-Track Level/42.6,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets)
TRENDPULSE,"BTI, Long, 2025-08-10 (Price: 57.24)",2026-02-18 (Price: 58.87),"2.85%, 6.4 months","95.65%, Past 10 years, 23","Weekly, is CONFIRMED on 2025-08-08",Already confirmed,"2026-02-18 (Price: 58.87), 2.85% above",6.4 months,55.02,No Information,No Information,No Information,No Information,No Information,8.32% above/2.85% above/2.85% above,17.36%/1.81%/8.82%,"38.64%, 57.11%",10.7 months/1.2 month/3.4 months,2026-11-17/2025-10-01/2026-01-04,-0.68%,2.1%,-2.78%,0.55,0.05,60.9778/62.2886/57.91/No Horizontal Resistance/82.226/92.0468/No EMA 200 Target,35.9/28.5067/52.4418/49.3734/No F-Track Level/No F-Track Level/41.89,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets)
TRENDPULSE,"AMD, Long, 2024-02-29 (Price: 192.53)",2026-02-18 (Price: 200.12),"3.94%, 2 years","87.5%, Past 20 years, 16","Monthly, is CONFIRMED on 2024-02-29",Already confirmed,"2026-02-18 (Price: 200.12), 3.94% above",2 years,169.27,No Information,No Information,No Information,No Information,No Information,35.76% above/10.04% above/3.94% above,190.68%/9.18%/101.74%,"0.02%, 94.83%",2.5 years/5.1 months/10.8 months,2027-09-24/2024-10-07/2025-06-12,20.96%,6.33%,14.63%,1.29,0.43,369.1378/388.41/209.37/No Horizontal Resistance/170.075/187.3421/No EMA 200 Target,60.06/27.54/140.6278/116.4823/No F-Track Level/No F-Track Level/124.45,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets)
TRENDPULSE,"AMD, Long, 2025-07-31 (Price: 176.31)",2026-02-18 (Price: 200.12),"13.5%, 6.7 months","87.5%, Past 20 years, 16","Monthly, is CONFIRMED on 2025-07-31",Already confirmed,"2026-02-18 (Price: 200.12), 13.5% above",6.7 months,138.77,No Information,No Information,No Information,No Information,No Information,80.73% above/38.82% above/13.5% above,190.68%/9.18%/101.74%,"0.02%, 94.83%",2.5 years/5.1 months/10.8 months,2029-02-23/2026-03-09/2026-11-12,20.96%,6.33%,14.63%,1.29,0.43,338.0392/355.6878/206.9/No Horizontal Resistance/219.0648/251.3512/No EMA 200 Target,97.35/73.114/170.075/140.6278/No F-Track Level/No F-Track Level/123.49,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets)
TRENDPULSE,"TLT, Long, 2026-02-11 (Price: 88.06)",2026-02-18 (Price: 89.53),"1.67%, 7 days","78.95%, Past 4 years, 19","Daily, is CONFIRMED on 2026-02-11",Already confirmed,"2026-02-18 (Price: 89.53), 1.67% above",7 days,88.04,No Information,No Information,No Information,No Information,No Information,2.3% above/1.67% above/1.67% above,4.2%/0.28%/2.54%,"15.05%, 24.39%",5.2 months/4 days/20 days,2026-09-24/2026-02-16/2026-03-11,-8.18%,-5.67%,-2.51%,0.0,-0.66,90.1999/90.2967/135.24/153.2067/188.2386/214.0466/No EMA 200 Target,86.54/83.3033/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/87.91,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets)
TRENDPULSE,"PPH, Long, 2024-03-31 (Price: 90.7)",2026-02-18 (Price: 111.25),"22.66%, 1.9 year","85.71%, Past 20 years, 21","Monthly, is CONFIRMED on 2024-03-31",Already confirmed,"2026-02-18 (Price: 111.25), 22.66% above",1.9 year,89.33,No Information,No Information,No Information,No Information,No Information,30.42% above/22.66% above/22.66% above,20.62%/2.34%/10.59%,"3.25%, 39.01%",4.4 years/5 months/1.4 year,2030-07-12/2024-11-03/2026-03-29,2.32%,2.1%,0.22%,1.05,-0.03,100.7224/100.3051/94.56/No Horizontal Resistance/96.895/110.4008/No EMA 200 Target,75.31/54.71/87.7591/80.4653/No F-Track Level/No F-Track Level/81.89,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets)
TRENDPULSE,"ATZ.TO, Long, 2025-09-30 (Price: 84.18)",2026-02-18 (Price: 126.58),"50.37%, 4.7 months","100.0%, Past 20 years, 4","Monthly, is CONFIRMED on 2025-09-30",Already confirmed,"2026-02-18 (Price: 126.58), 50.37% above",4.7 months,80.71,No Information,No Information,No Information,No Information,No Information,53.95% above/50.37% above/50.37% above,34.18%/9.72%/15.83%,"0%, 27.64%",7.1 months/4.5 months/6.4 months,2026-08-04/2026-04-13/2026-07-05,18.02%,14.67%,3.35%,1.35,0.67,145.7998/97.5057/98.3/No Horizontal Resistance/99.4929/119.4832/No EMA 200 Target,21.57/32.3325/82.0832/66.1919/No F-Track Level/No F-Track Level/65.85,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets)
TRENDPULSE,"PFE, Long, 2025-08-17 (Price: 25.14)",2026-02-18 (Price: 27.37),"8.87%, 6.2 months","73.08%, Past 10 years, 26","Weekly, is CONFIRMED on 2025-08-15",Already confirmed,"2026-02-18 (Price: 27.37), 8.87% above",6.2 months,24.6,No Information,No Information,No Information,No Information,No Information,11.35% above/11.03% above/8.87% above,20.77%/1.93%/8.41%,"41.05%, 50.99%",1.2 year/28 days/5.3 months,2027-05-04/2025-09-26/2026-04-04,2.79%,1.76%,1.03%,0.12,0.02,26.6233/27.2543/28.98/55.39/66.4672/73.1352/No EMA 200 Target,23.49/24.95/21.508/20.5265/No F-Track Level/No F-Track Level/25.09,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets)
