"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"GOOG, Long, 2026-02-19 (Price: 303.56)",No Exit Yet,"0.0%, 0 days","91.67%, Past 5 years, 12","Daily, is CONFIRMED on 2026-02-19",Already confirmed,"2026-02-19 (Price: 303.56), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 301.0579),0.83% above,"2025-04-07 (Price: 142.66), 2026-02-03 (Price: 350.15)",14.46%/1.56%/10.0%,"3.48%, 43.86%",2 years/25 days/5.4 months,2028-12-27/2026-03-27/2026-10-11,22.02%,19.29%,2.73%,1.63,0.99,342.2335/333.916/428.05/No Horizontal Resistance/480.687/701.5153/No EMA 200 Target,302.82/84.51/243.1061/191.2921/301.0579/270.8888/245.75,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),302.52
"GLD, Long, 2026-02-19 (Price: 459.56)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 18","Daily, is CONFIRMED on 2026-02-19",Already confirmed,"2026-02-19 (Price: 459.56), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 444.9733),3.28% above,"2024-11-14 (Price: 236.13), 2026-01-29 (Price: 509.7)",11.32%/1.34%/8.92%,"-0.0%, 18.1%",2 years/1.4 month/5.2 months,2028-12-27/2026-04-20/2026-10-02,26.16%,11.89%,14.27%,2.41,0.93,494.7163/500.5528/623.7/No Horizontal Resistance/581.2346/625.0184/No EMA 200 Target,427.13/150.8/408.5544/288.3021/211.7912/209.4852/357.13,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),457.34
"SLV, Long, 2026-02-19 (Price: 71.01)",No Exit Yet,"0.0%, 0 days","93.33%, Past 5 years, 15","Daily, is CONFIRMED on 2026-02-19",Already confirmed,"2026-02-19 (Price: 71.01), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 64.105),10.77% above,"2023-03-09 (Price: 18.38), 2026-01-29 (Price: 109.83)",14.88%/7.53%/10.91%,"7.24%, 33.28%",2.9 years/14 days/8 months,2030-04-11/2026-03-11/2027-02-01,24.18%,11.56%,12.62%,1.56,0.61,76.3002/78.7572/125.88/No Horizontal Resistance/79.1429/95.8563/No EMA 200 Target,66.37/18.99/67.0665/59.2029/64.4/53.6785/46.62,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),70.68
"BTI, Long, 2026-02-19 (Price: 60.99)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 12","Daily, is CONFIRMED on 2026-02-19",Already confirmed,"2026-02-19 (Price: 60.99), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 59.3055),2.84% above,"2026-01-07 (Price: 53.28), 2026-02-06 (Price: 63.03)",11.33%/1.41%/8.86%,"-0.0%, 37.23%",3.3 years/1.4 month/1.2 year,2030-11-05/2026-04-20/2027-11-06,11.0%,5.81%,5.19%,1.67,0.3,65.9241/66.3937/66.84/No Horizontal Resistance/77.6843/86.2499/No EMA 200 Target,58.87/28.5067/53.9498/50.4772/No support/No support/53.44,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),59.03
"DBC, Long, 2026-02-19 (Price: 24.43)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 10","Daily, is CONFIRMED on 2026-02-19",Already confirmed,"2026-02-19 (Price: 24.43), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 23.99),1.83% above,"2026-01-02 (Price: 22.29), 2026-01-29 (Price: 25.69)",10.01%/0.04%/4.6%,"-0.0%, 10.48%",3.8 months/29 days/1.9 month,2026-08-03/2026-04-02/2026-05-12,7.63%,6.83%,0.8%,0.42,0.39,24.794/25.5538/26.47/28.58/48.2362/53.5099/No EMA 200 Target,23.59/19.55/No F-Stack Support/No F-Stack Support/24.2624/No support/22.53,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),24.29
"ENZL, Long, 2026-02-19 (Price: 46.0172)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 12","Daily, is CONFIRMED on 2026-02-19",Already confirmed,"2026-02-19 (Price: 46.0172), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 44.6836),2.98% above,"2025-04-07 (Price: 38.93), 2026-02-10 (Price: 48.24)",10.76%/5.53%/8.9%,"-0.0%, 17.13%",7.9 months/2.5 months/5.1 months,2027-01-28/2026-06-07/2026-09-28,9.1%,-5.47%,14.57%,0.51,-0.57,45.7825/50.1127/51.6/65.1933/78.3229/93.1188/No EMA 200 Target,44.9/39.215/No F-Stack Support/No F-Stack Support/No support/No support/45.71,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),45.78
"USCI, Long, 2026-02-19 (Price: 82.76)",No Exit Yet,"0.0%, 0 days","94.44%, Past 5 years, 18","Daily, is CONFIRMED on 2026-02-19",Already confirmed,"2026-02-19 (Price: 82.76), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 80.0409),3.4% above,"2023-05-04 (Price: 51.36), 2026-01-29 (Price: 88.93)",11.87%/8.4%/10.4%,"4.19%, 12.02%",1.8 year/1.1 month/7 months,2028-09-14/2026-04-07/2026-12-20,22.67%,13.72%,8.95%,1.7,0.99,87.8746/91.367/105.3/No Horizontal Resistance/90.2685/96.4537/No EMA 200 Target,79.86/38.42/81.0354/75.2881/81.7326/77.3096/76.71,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),82.05
"USO, Long, 2026-02-19 (Price: 81.19)",No Exit Yet,"0.0%, 0 days","84.62%, Past 5 years, 13","Daily, is CONFIRMED on 2026-02-19",Already confirmed,"2026-02-19 (Price: 81.19), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 76.7206),5.83% above,"2025-08-13 (Price: 71.56), 2025-09-26 (Price: 78.32)",11.41%/0.99%/9.11%,"1.2%, 23.64%",1 year/2.8 months/6.6 months,2027-07-25/2026-06-20/2026-12-02,14.43%,11.69%,2.74%,0.77,0.58,83.7718/88.5864/85.25/83.49/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,75.73/58.7667/No F-Stack Support/No F-Stack Support/No support/No support/72.72,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),80.43
"WPM, Long, 2026-02-19 (Price: 145.34)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 18","Daily, is CONFIRMED on 2026-02-19",Already confirmed,"2026-02-19 (Price: 145.34), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 134.4642),8.09% above,"2025-10-28 (Price: 92.57), 2026-01-29 (Price: 160.36)",13.39%/1.64%/9.35%,"-0.0%, 36.58%",11.9 months/6 days/4.1 months,2027-07-21/2026-02-27/2026-08-14,31.01%,14.41%,16.6%,1.92,0.71,155.1068/158.9293/186.01/No Horizontal Resistance/152.8847/167.6521/No EMA 200 Target,130.9/38.3375/129.2378/119.4321/131.4972/113.7598/105.12,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),143.5
"FPH.NZ, Long, 2026-02-19 (Price: 37.6)",No Exit Yet,"0.0%, 0 days","90.0%, Past 5 years, 10","Daily, is CONFIRMED on 2026-02-19",Already confirmed,"2026-02-19 (Price: 37.6), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 35.6878),5.36% above,"2023-10-30 (Price: 20.29), 2025-11-26 (Price: 40.46)",10.94%/2.55%/7.81%,"1.6%, 46.76%",3.3 years/28 days/1.1 year,2030-11-05/2026-03-31/2027-09-15,8.47%,1.81%,6.66%,1.1,0.09,38.5776/40.5366/49.7/39.407/40.9296/48.5677/No EMA 200 Target,35.68/22.5167/30.9793/26.1935/35.1507/31.8879/37.21,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),37.0
