"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"AIA.NZ, Long, 2026-02-23 (Price: 8.95)",No Exit Yet,"0.0%, 0 days","82.05%, Past 4 years, 39","Daily, is CONFIRMED on 2026-02-23",Already confirmed,"2026-02-23 (Price: 8.95), 0.0% below",0 days,"2, 2024-10-09 (Price: 7.5)",2026-02-20 (Price: 8.88),2026-02-23 (Price: 8.95),3/0/0 days,0.79% above/0.0% below/0.0% below,2024-10-09 (Price: 7.5)/2026-02-23 (Price: 8.7059),8.49%/0.39%/3.87%,"6.37%, 18.81%",4.7 months/7 days/1.1 month,2026-09-15/2026-03-05/2026-04-11,10.6%,-0.09%,10.69%,0.66,-0.03,9.4252/9.2964/9.82/No Horizontal Resistance/10.792/12.737/No EMA 200 Target,8.13/7.0017/8.0885/7.295/No support/No support/7.94,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets),8.85
"SOXX, Long, 2026-02-23 (Price: 356.82)",No Exit Yet,"0.0%, 0 days","77.78%, Past 20 years, 9","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 342.37 prior to 2026-02-27,"2026-02-23 (Price: 356.82), 0.0% below",0 days,"0, 2002-03-31 (Price: 25.5067)",2026-01-31 (Price: 346.3),2026-02-23 (Price: 356.82),23/0/0 days,3.04% above/0.0% below/0.0% below,2002-03-31 (Price: 25.5067)/2026-02-23 (Price: 318.4767),26.25%/7.49%/15.33%,"39.0%, 59.88%",10.2 months/5 months/6.2 months,2027-05-12/2026-09-28/2026-11-19,-3.22%,7.76%,-10.98%,0.06,0.4,408.4875/411.5205/555.61/No Horizontal Resistance/358.5021/395.2114/No EMA 200 Target,183.84/110.475/320.8469/267.2317/314.0212/282.4593/274.36,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets),342.37
"SLV, Long, 2026-02-23 (Price: 80.57)",No Exit Yet,"0.0%, 0 days","100.0%, Past 19 years, 4","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 67.3 prior to 2026-03-31,"2026-02-23 (Price: 80.57), 0.0% below",0 days,"4, 2008-03-31 (Price: 20.73)",2025-12-31 (Price: 64.42),2026-02-18 (Price: 70.09),54/5/0 days,25.07% above/14.95% above/0.0% below,2008-03-31 (Price: 20.73)/2026-02-23 (Price: 60.08),72.45%/72.45%/72.45%,"-0.0%, 28.77%",4.8 years/4.8 years/4.8 years,2032-12-30 (Max),9.45%,6.73%,2.72%,0.47,0.33,106.9083/138.943/116.47/No Horizontal Resistance/79.1429/95.8563/No EMA 200 Target,17.5/18.99/67.0665/59.2029/72.0235/60.345/47.1,100.0%/9/2.4 years (Across ALL Assets),25.0%/4/7.2 months (Across ALL Assets),67.3
"^DJI, Long, 2026-02-23 (Price: 48804.0586)",No Exit Yet,"0.0%, 0 days","100.0%, Past 34 years, 4","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 48105.9805 prior to 2026-03-31,"2026-02-23 (Price: 48804.0586), 0.0% below",0 days,"4, 2000-03-31 (Price: 11750.2803)",2025-12-31 (Price: 48063.2891),2026-01-02 (Price: 48382.3906),54/52/0 days,1.54% above/0.87% above/0.0% below,2000-03-31 (Price: 11750.2803)/2026-02-23 (Price: 47097.9617),39.58%/39.58%/39.58%,"-0.0%, 23.2%",3.5 years/3.5 years/3.5 years,2031-02-22 (Max),7.15%,5.81%,1.34%,1.43,0.34,56285.7208/68120.705/71036.33/No Horizontal Resistance/50924.8674/68852.5953/No EMA 200 Target,28725.51/32009.8867/39844.8882/32997.1394/47223.8106/45202.6041/46029.34,100.0%/9/2.4 years (Across ALL Assets),25.0%/4/7.2 months (Across ALL Assets),48105.9805
"BNS.TO, Long, 2026-02-23 (Price: 104.01)",No Exit Yet,"0.0%, 0 days","100.0%, Past 194 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 101.58 prior to 2026-03-31,"2026-02-23 (Price: 104.01), 0.0% below",0 days,"2, 2022-03-31 (Price: 95.0)",2025-09-30 (Price: 89.99),2026-01-21 (Price: 102.06),146/33/0 days,15.58% above/1.91% above/0.0% below,2022-03-31 (Price: 95.0)/2026-02-23 (Price: 73.3855),22.63%/5.06%/9.45%,"-0.0%, 41.59%",5.1 years/1.5 year/4.2 years,2033-06-03/2028-04-15/2032-02-22,5.69%,6.38%,-0.69%,0.82,0.34,114.775/113.8389/109.42/No Horizontal Resistance/105.6031/114.0496/No EMA 200 Target,60.88/62.2517/95.6649/90.1456/94.2784/86.8354/87.81,100.0%/9/2.4 years (Across ALL Assets),25.0%/4/7.2 months (Across ALL Assets),101.58
"XLU, Long, 2026-02-23 (Price: 46.68)",No Exit Yet,"0.0%, 0 days","81.25%, Past 20 years, 16","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 43.4165 prior to 2026-02-27,"2026-02-23 (Price: 46.68), 0.0% below",0 days,"4, 2020-02-29 (Price: 35.55)",2026-02-23 (Price: 46.68),2026-02-09 (Price: 43.48),0/14/0 days,0.0% below/7.36% above/0.0% below,2020-02-29 (Price: 35.55)/2026-02-23 (Price: 43.2005),13.3%/1.41%/7.12%,"27.25%, 40.67%",3.4 years/5.1 months/1.6 year,2030-12-31/2026-10-02/2028-06-06,2.88%,2.86%,0.02%,-0.05,0.05,50.139/50.0036/53.36/No Horizontal Resistance/60.8844/89.6256/No EMA 200 Target,29.46/29.8725/43.1213/32.1431/42.4163/39.5534/42.85,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets),43.3
"XLE, Long, 2026-02-23 (Price: 55.15)",No Exit Yet,"0.0%, 0 days","84.62%, Past 20 years, 13","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 50.1 prior to 2026-02-27,"2026-02-23 (Price: 55.15), 0.0% below",0 days,"0, 2022-06-30 (Price: 46.655)",2026-01-31 (Price: 51.05),2026-02-03 (Price: 51.67),23/20/0 days,8.03% above/6.74% above/0.0% below,2022-06-30 (Price: 46.655)/2026-02-23 (Price: 46.3737),39.5%/7.86%/23.13%,"28.83%, 62.76%",4.8 years/10.1 months/1.8 year,2032-12-30/2027-05-07/2028-09-18,6.1%,3.44%,2.66%,0.63,0.15,60.2569/67.9062/60.25/No Horizontal Resistance/53.4027/56.9104/No EMA 200 Target,40.25/22.8475/47.8423/43.779/45.4037/38.9348/44.87,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets),50.1
"IWM, Long, 2026-02-23 (Price: 260.49)",No Exit Yet,"0.0%, 0 days","100.0%, Past 25 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 247.63 prior to 2026-03-31,"2026-02-23 (Price: 260.49), 0.0% below",0 days,"2, 2021-12-31 (Price: 244.46)",2025-12-31 (Price: 246.16),2026-01-02 (Price: 248.78),54/52/0 days,5.82% above/4.71% above/0.0% below,2021-12-31 (Price: 244.46)/2026-02-23 (Price: 245.1967),22.48%/22.48%/22.48%,"-0.0%, 49.28%",1 year/1 year/1 year,2027-07-29 (Max),2.77%,4.51%,-1.74%,0.75,0.21,243.9228/319.0482/270.11/No Horizontal Resistance/270.9222/282.5179/No EMA 200 Target,164.92/162.3167/245.3626/196.8345/247.9708/233.4497/236.57,100.0%/9/2.4 years (Across ALL Assets),25.0%/4/7.2 months (Across ALL Assets),247.63
"AIA.NZ, Long, 2026-02-23 (Price: 8.95)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 20","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 8.85 prior to 2026-02-27,"2026-02-23 (Price: 8.95), 0.0% below",0 days,"2, 2025-06-22 (Price: 8.1)",2026-02-22 (Price: 8.88),2026-02-20 (Price: 8.88),1/3/0 days,0.79% above/0.79% above/0.0% below,2025-06-22 (Price: 8.1)/2026-02-23 (Price: 8.6371),12.76%/0.47%/5.85%,"-0.0%, 7.89%",4 months/28 days/2.5 months,2026-08-15/2026-04-04/2026-06-11,10.91%,5.79%,5.12%,1.45,0.3,9.7582/9.4736/9.46/No Horizontal Resistance/10.792/12.737/No EMA 200 Target,7.47/7.0017/8.0885/7.295/7.8403/7.1584/7.94,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets),8.85
"CNU.NZ, Long, 2026-02-23 (Price: 9.69)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 17","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 9.5238 prior to 2026-02-27,"2026-02-23 (Price: 9.69), 0.0% below",0 days,"2, 2025-09-07 (Price: 9.98)",2026-02-22 (Price: 9.51),2026-02-23 (Price: 9.69),1/0/0 days,1.89% above/0.0% below/0.0% below,2025-09-07 (Price: 9.98)/2026-02-23 (Price: 9.4764),11.36%/2.06%/5.35%,"0%, 21.14%",1.3 year/1.2 month/8.2 months,2028-01-01/2026-04-16/2027-02-12,11.35%,5.38%,5.97%,2.01,0.27,10.502/10.2084/9.86/9.875/11.0627/11.8475/No EMA 200 Target,9.13/6.0983/No F-Stack Support/No F-Stack Support/7.9204/6.6547/9.1,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets),9.52
