Symbol,Interval,Latest Horizontal,Today price,Difference (%),Type
NZDUSD=X,Daily,0.5837,0.5943,1.82,Support
NZDCAD=X,Weekly,0.8305,0.8174,1.58,Resistance
NZDCAD=X,Daily,0.8068,0.8174,1.31,Support
EURUSD=X,Daily,1.1661,1.1693,0.27,Support
EURUSD=X,Weekly,1.1452,1.1693,2.1,Support
GBPUSD=X,Daily,1.3631,1.3406,1.65,Support
GBPUSD=X,Weekly,1.3445,1.3406,0.29,Support
CAD=X,Weekly,1.3785,1.364,1.05,Support
GBPSGD=X,Daily,1.7306,1.7045,1.51,Support
GBPSGD=X,Weekly,1.6651,1.7045,2.36,Support
GBPSGD=X,Monthly,1.6701,1.7045,2.06,Support
FBU.NZ,Daily,3.49,3.45,1.15,Support
^TNX,Daily,4.1085,4.048,1.47,Support
MEL.NZ,Weekly,5.73,5.64,1.57,Resistance
MEL.NZ,Daily,5.725,5.64,1.48,Resistance
C6L.SI,Daily,6.826,6.84,0.21,Support
CEN.NZ,Daily,9.365,9.2,1.76,Resistance
CNU.NZ,Weekly,9.3875,9.45,0.67,Resistance
GLXY,Daily,22.14,21.73,1.85,Resistance
DBC,Daily,25.425,25.81,1.51,Resistance
PFE,Daily,27.204,27.26,0.21,Support
HDB,Daily,31.83,31.56,0.85,Support
RINF,Daily,32.3213,31.9371,1.19,Support
ASHR,Daily,34.17,34.1,0.2,Resistance
FXI,Weekly,37.755,36.9,2.26,Support
INDY,Daily,46.432,46.16,0.59,Support
INDY,Weekly,46.71,46.16,1.18,Support
ENZL,Daily,47.5017,47.1153,0.81,Resistance
INDA,Daily,51.335,50.95,0.75,Support
XLF,Daily,51.78,51.3,0.93,Support
IHI,Weekly,58.545,59.63,1.85,Support
BN.TO,Daily,59.2144,60.1,1.5,Support
BTI,Weekly,60.8175,62.12,2.14,Resistance
BIPC.TO,Daily,67.0533,67.89,1.25,Resistance
BIPC.TO,Weekly,67.1133,67.89,1.16,Resistance
MX.TO,Weekly,70.755,71.83,1.52,Resistance
HYG,Daily,79.6567,80.28,0.78,Support
HYG,Weekly,79.3333,80.28,1.19,Support
CVS,Weekly,82.6925,81.66,1.25,Resistance
ATD.TO,Daily,80.68,82.26,1.96,Support
JNK,Weekly,96.515,96.68,0.17,Support
JNK,Daily,96.9467,96.68,0.28,Support
SBUX,Daily,97.9,96.76,1.16,Resistance
IEI,Daily,119.6471,119.88,0.19,Support
IEI,Weekly,119.345,119.88,0.45,Resistance
KXS.TO,Weekly,131.03,129.0,1.55,Support
KXS.TO,Daily,127.09,129.0,1.5,Resistance
CNR.TO,Daily,152.2183,154.51,1.51,Resistance
XLV,Daily,159.7267,158.53,0.75,Resistance
PG,Daily,163.285,163.51,0.14,Resistance
BYD.TO,Daily,241.62,237.59,1.67,Resistance
BPCL.NS,Daily,378.775,374.8,1.05,Support
BRK-B,Daily,473.386,480.17,1.43,Support
MA,Daily,526.015,521.0,0.95,Support
HDFCBANK.NS,Daily,864.4688,879.4,1.73,Support
HDFCBANK.NS,Weekly,870.625,879.4,1.01,Support
RELIANCE.NS,Daily,1334.0141,1358.0,1.8,Support
ETH-USD,Daily,2024.4983,2044.2185,0.97,Resistance
^NZ50,Weekly,13418.2035,13722.9697,2.27,Resistance
^NZ50,Daily,13741.665,13722.9697,0.14,Resistance
