Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"FRW.NZ, Long, 2026-03-09 (Price: 13.96)",No Exit Yet,"0.0%, 0 days","88.89%, Past 5 years, 9","Daily, is CONFIRMED on 2026-03-09",Already confirmed,"2026-03-09 (Price: 13.96), 0.0% below",0 days,13.96,No Information,No Information,No Information,"61.8% (Price: 14.0449), 0.6% below, Upmove Bounce Back","2025-12-16 (Price: 13.3), 2026-02-12 (Price: 15.25)",No Information,13.53%/1.54%/10.4%,"4.41%, 40.87%",3.7 years/3.6 months/1.2 year,2031-06-20/2026-08-12/2027-11-24,11.59%,4.86%,6.73%,1.04,0.24,14.323/15.4118/15.13/14.785/14.9925/16.4712/No EMA 200 Target,13.75/7.405/12.995/12.2806/12.7066/11.1435/12.93,94.02%/301/5.3 months (Across ALL Assets),55.56%/54/4.8 months (Across ALL Assets)
DELTADRIFT,"HDB, Long, 2026-03-09 (Price: 29.72)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 16","Daily, is CONFIRMED on 2026-03-09",Already confirmed,"2026-03-09 (Price: 29.72), 0.0% below",0 days,28.93,No Information,No Information,No Information,No Information,No Information,No Information,6.97%/1.34%/3.61%,"-0.0%, 9.88%",2.4 months/1 day/23 days,2026-06-21/2026-03-10/2026-04-11,15.13%,-1.6%,16.73%,2.09,-0.12,32.0322/30.7929/31.41/39.3812/45.6752/50.9526/35.74,29.47/25.6925/26.539/20.8126/No F-Track Level/No F-Track Level/No EMA 200 Support,84.06%/138/13 days (Across ALL Assets),75.83%/513/15 days (Across ALL Assets)
DELTADRIFT,"ACWX, Long, 2026-03-09 (Price: 70.09)",No Exit Yet,"0.0%, 0 days","84.62%, Past 4 years, 13","Daily, is CONFIRMED on 2026-03-09",Already confirmed,"2026-03-09 (Price: 70.09), 0.0% below",0 days,68.33,No Information,No Information,No Information,No Information,No Information,No Information,4.11%/1.32%/2.23%,"8.68%, 10.44%",1.5 month/1 day/12 days,2026-05-13/2026-03-10/2026-03-26,5.82%,3.62%,2.2%,0.16,0.13,73.6926/71.653/72.67/No Horizontal Resistance/76.2652/83.5436/No EMA 200 Target,69.3/45.07/67.4663/60.1332/66.3764/61.126/65.37,84.06%/138/13 days (Across ALL Assets),75.83%/513/15 days (Across ALL Assets)
DELTADRIFT,"RY.TO, Long, 2026-03-09 (Price: 221.95)",No Exit Yet,"0.0%, 0 days","72.73%, Past 4 years, 11","Daily, is CONFIRMED on 2026-03-09",Already confirmed,"2026-03-09 (Price: 221.95), 0.0% below",0 days,219.35,No Information,No Information,No Information,No Information,No Information,No Information,3.75%/1.31%/1.82%,"7.86%, 8.45%",29 days/1 day/12 days,2026-04-20/2026-03-10/2026-03-26,1.66%,11.78%,-10.12%,-0.11,0.96,232.5148/225.9895/229.25/No Horizontal Resistance/240.0573/255.5041/No EMA 200 Target,204.01/118.8425/200.2171/172.0705/219.2613/206.3076/205.2,84.06%/138/13 days (Across ALL Assets),75.83%/513/15 days (Across ALL Assets)
DELTADRIFT,"MSE.PA, Long, 2026-03-09 (Price: 63.5)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 7","Daily, is CONFIRMED on 2026-03-09",Already confirmed,"2026-03-09 (Price: 63.5), 0.0% below",0 days,62.17,No Information,No Information,No Information,No Information,No Information,No Information,6.0%/1.71%/3.52%,"0%, 8.29%",1.4 month/5 days/15 days,2026-05-08/2026-03-16/2026-03-30,11.44%,9.61%,1.83%,2.12,0.65,69.5325/65.7352/67.63/No Horizontal Resistance/79.2125/108.6508/No EMA 200 Target,63.33/33.6667/58.6808/47.8642/60.7245/55.4669/62.34,84.06%/138/13 days (Across ALL Assets),75.83%/513/15 days (Across ALL Assets)
DELTADRIFT,"EFA, Long, 2026-03-09 (Price: 98.99)",No Exit Yet,"0.0%, 0 days","93.33%, Past 4 years, 15","Daily, is CONFIRMED on 2026-03-09",Already confirmed,"2026-03-09 (Price: 98.99), 0.0% below",0 days,96.775,No Information,No Information,No Information,No Information,No Information,No Information,4.45%/1.21%/2.41%,"7.83%, 7.83%",1.4 month/1 day/10 days,2026-05-08/2026-03-10/2026-03-23,11.33%,4.25%,7.08%,0.65,0.19,104.8106/101.3757/103.09/No Horizontal Resistance/106.1972/122.5742/No EMA 200 Target,98.28/66.265/98.2071/86.3568/97.9453/93.0322/94.21,84.06%/138/13 days (Across ALL Assets),75.83%/513/15 days (Across ALL Assets)
DELTADRIFT,"IBKR, Long, 2026-03-09 (Price: 67.49)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 9","Daily, is CONFIRMED on 2026-03-09",Already confirmed,"2026-03-09 (Price: 67.49), 0.0% below",0 days,65.2,No Information,No Information,No Information,No Information,No Information,No Information,7.8%/2.46%/4.41%,"0%, 19.81%",1.9 month/2 days/15 days,2026-05-30/2026-03-11/2026-03-30,13.41%,20.8%,-7.39%,2.21,1.02,71.5529/70.4663/71.01/No Horizontal Resistance/77.1458/95.5947/No EMA 200 Target,66.7/13.0762/64.9573/52.397/No support/61.4705/65.0,84.06%/138/13 days (Across ALL Assets),75.83%/513/15 days (Across ALL Assets)
DELTADRIFT,"EWJ, Long, 2026-03-09 (Price: 85.64)",No Exit Yet,"0.0%, 0 days","93.75%, Past 4 years, 16","Daily, is CONFIRMED on 2026-03-09",Already confirmed,"2026-03-09 (Price: 85.64), 0.0% below",0 days,83.78,No Information,No Information,No Information,No Information,No Information,No Information,7.61%/1.67%/2.86%,"6.81%, 6.81%",1.2 month/1 day/8 days,2026-04-30/2026-03-10/2026-03-20,13.99%,3.07%,10.92%,0.8,0.09,90.7099/88.0893/89.4/No Horizontal Resistance/96.0119/104.6844/No EMA 200 Target,84.77/53.915/83.8122/78.3516/83.245/76.4635/80.66,84.06%/138/13 days (Across ALL Assets),75.83%/513/15 days (Across ALL Assets)
TRENDPULSE,"SBUX, Long, 2026-03-08 (Price: 98.99)",No Exit Yet,"0.79%, 1 day","81.25%, Past 10 years, 16","Weekly, is CONFIRMED on 2026-03-06",Already confirmed,"2026-03-09 (Price: 99.77), 0.79% above",1 day,95.71,No Information,No Information,No Information,No Information,No Information,0.79% above/0.79% above/0.79% above,20.61%/4.98%/14.44%,"16.17%, 42.95%",4.9 months/1.2 month/2.3 months,2026-10-06/2026-04-29/2026-06-15,6.25%,8.41%,-2.16%,0.63,0.44,106.731/113.2842/115.39/117.0525/142.4098/150.3462/No EMA 200 Target,83.97/71.675/89.1063/76.529/No F-Track Level/No F-Track Level/88.94,89.54%/153/4.7 months (Across ALL Assets),77.24%/268/3.6 months (Across ALL Assets)
TRENDPULSE,"USCI, Long, 2026-03-08 (Price: 90.45)",No Exit Yet,"-1.55%, 1 day","82.35%, Past 10 years, 17","Weekly, is CONFIRMED on 2026-03-06",Already confirmed,"2026-03-09 (Price: 89.05), 1.55% below",1 day,87.16,No Information,No Information,No Information,No Information,No Information,7.24% above/1.84% above/1.55% below,7.03%/0.99%/4.69%,"3.24%, 32.4%",10.3 months/1.4 month/4.8 months,2027-05-29/2026-05-07/2026-10-02,4.58%,0.7%,3.88%,0.91,-0.17,93.3354/94.6921/98.83/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,76.07/38.42/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/77.55,89.54%/153/4.7 months (Across ALL Assets),77.24%/268/3.6 months (Across ALL Assets)
