Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"GOOG, Long, 2026-03-10 (Price: 306.93)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 21","Daily, is CONFIRMED on 2026-03-10",Already confirmed,"2026-03-10 (Price: 306.93), 0.0% below",0 days,305.875,No Information,No Information,No Information,No Information,No Information,0.3% above/0.0% below/0.0% below,10.73%/1.11%/4.56%,"0%, 25.37%",2.6 months/4 days/21 days,2026-06-30/2026-03-15/2026-04-09,18.52%,18.48%,0.04%,1.44,0.93,307.7894/320.926/332.86/No Horizontal Resistance/480.687/701.5153/No EMA 200 Target,298.3/84.51/306.4481/243.1061/301.0579/270.8888/255.14,92.26%/297/1.2 month (Across ALL Assets),80.46%/522/1.4 month (Across ALL Assets)
FRACTAL TRACK,"MCD, Long, 2026-03-10 (Price: 327.94)",No Exit Yet,"0.0%, 0 days","93.75%, Past 5 years, 16","Daily, is CONFIRMED on 2026-03-10",Already confirmed,"2026-03-10 (Price: 327.94), 0.0% below",0 days,328.34,No Information,No Information,No Information,"38.2% (Price: 325.1636), 0.85% above, Upmove Bounce Back","2026-01-06 (Price: 298.33), 2026-03-02 (Price: 341.75)",No Information,11.34%/1.63%/6.81%,"2.66%, 18.2%",1.8 year/4.1 months/10 months,2028-10-03/2026-09-02/2027-05-18,9.72%,5.91%,3.81%,0.88,0.33,334.8267/350.2727/353.99/No Horizontal Resistance/371.0748/388.2483/No EMA 200 Target,327.45/228.4467/322.837/306.2751/290.2848/258.6574/308.19,94.0%/300/5.4 months (Across ALL Assets),51.85%/54/4.8 months (Across ALL Assets)
FRACTAL TRACK,"BDGI.TO, Long, 2026-03-10 (Price: 64.41)",No Exit Yet,"0.0%, 0 days","92.86%, Past 5 years, 14","Daily, is CONFIRMED on 2026-03-10",Already confirmed,"2026-03-10 (Price: 64.41), 0.0% below",0 days,64.52,No Information,No Information,No Information,"38.2% (Price: 60.4064), 6.63% above, Upmove Bounce Back","2023-06-22 (Price: 24.55), 2026-01-19 (Price: 82.57)",No Information,14.12%/2.16%/11.1%,"0.42%, 41.99%",2.8 years/19 days/10.2 months,2030-03-07/2026-04-06/2027-05-27,19.04%,8.7%,10.34%,2.35,0.44,69.756/71.5595/99.22/No Horizontal Resistance/87.1484/97.3919/No EMA 200 Target,64.31/24.32/63.4408/55.1508/59.6385/52.555/63.43,94.0%/300/5.4 months (Across ALL Assets),51.85%/54/4.8 months (Across ALL Assets)
DELTADRIFT,"^DJI, Long, 2026-03-10 (Price: 47706.5117)",No Exit Yet,"0.0%, 0 days","92.86%, Past 4 years, 14","Daily, is CONFIRMED on 2026-03-10",Already confirmed,"2026-03-10 (Price: 47706.5117), 0.0% below",0 days,47771.4297,No Information,No Information,No Information,No Information,No Information,No Information,3.16%/1.43%/2.16%,"4.6%, 5.49%",1.1 month/1 day/12 days,2026-04-26/2026-03-11/2026-03-27,10.18%,6.92%,3.26%,0.85,0.46,50635.6915/48736.9724/49686.33/No Horizontal Resistance/50924.8674/68852.5953/No EMA 200 Target,47501.55/32614.5825/39844.8882/32997.1394/47223.8106/45202.6041/46387.05,83.57%/140/14 days (Across ALL Assets),75.82%/517/15 days (Across ALL Assets)
DELTADRIFT,"IWM, Long, 2026-03-10 (Price: 253.36)",No Exit Yet,"0.0%, 0 days","92.86%, Past 4 years, 14","Daily, is CONFIRMED on 2026-03-10",Already confirmed,"2026-03-10 (Price: 253.36), 0.0% below",0 days,252.96,No Information,No Information,No Information,No Information,No Information,No Information,6.0%/1.94%/3.57%,"6.91%, 6.91%",2.7 months/1 day/18 days,2026-07-05/2026-03-11/2026-04-05,13.44%,3.66%,9.78%,0.91,0.16,267.8775/262.405/265.14/No Horizontal Resistance/270.9222/282.5179/No EMA 200 Target,250.89/162.3167/245.3626/196.8345/247.9708/233.4497/239.53,83.57%/140/14 days (Across ALL Assets),75.82%/517/15 days (Across ALL Assets)
DELTADRIFT,"^NSEI, Long, 2026-03-10 (Price: 24261.5996)",No Exit Yet,"0.0%, 0 days","90.91%, Past 4 years, 11","Daily, is CONFIRMED on 2026-03-10",Already confirmed,"2026-03-10 (Price: 24261.5996), 0.0% below",0 days,24280.8008,No Information,No Information,No Information,No Information,No Information,No Information,3.06%/1.21%/2.08%,"3.64%, 4.21%",19 days/1 day/5 days,2026-04-06/2026-03-11/2026-03-17,7.24%,8.84%,-1.6%,0.75,0.7,25908.9622/24766.2409/25337.6/26106.6328/31657.0022/45908.3871/25336.22,24028.05/16662.0827/22849.1349/17405.6173/21910.4266/19167.8773/No EMA 200 Support,83.57%/140/14 days (Across ALL Assets),75.82%/517/15 days (Across ALL Assets)
TRENDPULSE,"AMD, Long, 2026-03-10 (Price: 203.23)",No Exit Yet,"0.0%, 0 days","90.91%, Past 4 years, 22","Daily, is CONFIRMED on 2026-03-10",Already confirmed,"2026-03-10 (Price: 203.23), 0.0% below",0 days,202.51,No Information,No Information,No Information,No Information,No Information,0.27% above/0.0% below/0.0% below,15.23%/5.01%/8.43%,"17.18%, 48.49%",2.6 months/8 days/28 days,2026-06-30/2026-03-21/2026-04-19,23.91%,15.87%,8.04%,0.65,0.71,216.7854/220.3623/241.47/267.02/269.2327/283.8155/No EMA 200 Target,190.95/72.05/167.5998/131.2181/185.9012/160.825/189.52,92.26%/297/1.2 month (Across ALL Assets),80.46%/522/1.4 month (Across ALL Assets)
SIGMASHELL,"TRI.TO, Long, 2026-03-10 (Price: 140.74)",No Exit Yet,"0.0%, 0 days","90.0%, Past 5 years, 10","Daily, is CONFIRMED on 2026-03-10",Already confirmed,"2026-03-10 (Price: 140.74), 0.0% below",0 days,150.6,"-4.64, 100.0%",No Information,No Information,No Information,No Information,No Information,13.28%/0.96%/9.61%,"5.24%, 12.83%",2.3 months/1.2 month/1.9 month,2026-06-17/2026-05-01/2026-05-31,11.85%,6.18%,5.67%,0.52,0.33,142.5274/154.2651/308.8111/240.8933/308.8111/326.8654/213.03,110.84/126.1128/No F-Stack Support/No F-Stack Support/No support/No support/No EMA 200 Support,70.73%/41/4.2 months (Across ALL Assets),68.8%/234/3.7 months (Across ALL Assets)
FRACTAL TRACK,"PPH, Long, 2026-03-10 (Price: 106.5)",No Exit Yet,"0.0%, 0 days","86.67%, Past 5 years, 15","Daily, is CONFIRMED on 2026-03-10",Already confirmed,"2026-03-10 (Price: 106.5), 0.0% below",0 days,106.82,No Information,No Information,No Information,"23.66% (Price: 105.2527), 1.19% above, Upmove Bounce Back","2025-08-07 (Price: 81.74), 2026-02-17 (Price: 112.54)",No Information,12.45%/0.93%/9.41%,"2.45%, 16.76%",1.8 year/11 days/7 months,2028-10-03/2026-03-25/2027-01-08,19.65%,6.44%,13.21%,1.72,0.41,109.8654/116.5217/124.98/No Horizontal Resistance/126.5323/135.6093/No EMA 200 Target,105.94/71.642/102.4808/84.9957/97.0096/87.4655/95.42,94.0%/300/5.4 months (Across ALL Assets),51.85%/54/4.8 months (Across ALL Assets)
DELTADRIFT,"DIA, Long, 2026-03-10 (Price: 477.7)",No Exit Yet,"0.0%, 0 days","86.67%, Past 4 years, 15","Daily, is CONFIRMED on 2026-03-10",Already confirmed,"2026-03-10 (Price: 477.7), 0.0% below",0 days,477.74,No Information,No Information,No Information,No Information,No Information,No Information,3.05%/1.16%/2.13%,"6.08%, 6.08%",1.1 month/1 day/10 days,2026-04-26/2026-03-11/2026-03-24,8.1%,6.92%,1.18%,0.39,0.46,510.5658/487.875/499.22/No Horizontal Resistance/508.5373/687.3389/No EMA 200 Target,475.23/326.1/398.0316/329.7358/472.4173/452.2096/464.07,83.57%/140/14 days (Across ALL Assets),75.82%/517/15 days (Across ALL Assets)
