Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"DOL.TO, Long, 2025-12-28 (Price: 205.3)",Weekly,No Exit Yet,No Price Target,2026-03-11 (Avg),8.96%/10.18%,"-5.85%, 2.4 months","2026-03-11 (Price: 193.29), 5.85% below",241.3096 (Historic Rise or Fall to Pivot)/223.2022 (Avg % Gain of Historic Winning trades)/210.6 (Function Specific Target)/294.0831 (F-Stack 1)/455.769 (F-Stack 2)/235.5202 (Backtested Max)/212.9577 (Backtested Min),2026-07-07 (Max),174.88/53.2967/194.1559/132.3972/No F-Track Level/No F-Track Level/182.17,"100.0%, Past 10 years, 15",202.62,No Information,No Information,No Information,No Information,No Information,5.85% below/5.85% below/5.85% below,14.72%/3.73%/8.72%,"-0.0%, 10.74%",4.4 months/1.2 month/1.7 month,10.04%,18.73%,-8.69%,2.04,1.19,89.4%/151/4.7 months (Across ALL Assets),77.07%/266/3.6 months (Across ALL Assets)
BASELINEDIVERGENCE,"DOL.TO, Long, 2026-01-04 (Price: 206.17)",Weekly,2026-03-11 (Price: 193.29),No Price Target,No Date Target,6.71%/15.14%,"-6.25%, 2.2 months","2026-03-11 (Price: 193.29), 6.25% below",228.2714 (Historic Rise or Fall to Pivot)/222.5605 (Avg % Gain of Historic Winning trades)/294.0831 (Function Specific Target)/294.0831 (F-Stack 1)/455.769 (F-Stack 2)/264.1656 (Backtested Max)/206.2525 (Backtested Min),2026-08-26 (Max)/2026-04-05 (Min)/2026-05-14 (Avg),174.88/53.2967/194.1559/132.3972/No F-Track Level/No F-Track Level/190.76,"84.81%, Past 10 years, 79",205.6,No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,28.13%/0.04%/7.95%,"9.81%, 20.94%",5.4 months/2.1 months/3 months,31.56%,15.32%,16.24%,0.92,0.93,60.0%/25/3.6 months (Across ALL Assets),65.79%/570/3.3 months (Across ALL Assets)
BASELINEDIVERGENCE,"DOL.TO, Long, 2025-12-21 (Price: 203.39)",Weekly,2026-03-11 (Price: 193.29),No Price Target,No Date Target,13.59%/16.51%,"-4.97%, 2.7 months","2026-03-11 (Price: 193.29), 4.97% below",225.1934 (Historic Rise or Fall to Pivot)/219.5595 (Avg % Gain of Historic Winning trades)/294.0831 (Function Specific Target)/294.0831 (F-Stack 1)/455.769 (F-Stack 2)/260.6036 (Backtested Max),2026-08-12 (Max)/2026-03-22 (Min)/2026-04-30 (Avg),174.88/53.2967/194.1559/132.3972/No F-Track Level/No F-Track Level/190.76,"84.81%, Past 10 years, 79",202.72,No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,28.13%/0.04%/7.95%,"9.81%, 20.94%",5.4 months/2.1 months/3 months,31.56%,15.32%,16.24%,0.92,0.93,60.0%/25/3.6 months (Across ALL Assets),65.79%/570/3.3 months (Across ALL Assets)
BASELINEDIVERGENCE,"DOL.TO, Long, 2025-11-23 (Price: 197.68)",Weekly,2026-03-11 (Price: 193.29),No Price Target,No Date Target,10.4%/13.23%,"-2.22%, 3.6 months","2026-03-11 (Price: 193.29), 2.22% below",218.8713 (Historic Rise or Fall to Pivot)/213.3956 (Avg % Gain of Historic Winning trades)/294.0831 (F-Stack 2)/253.2874 (Backtested Max),2026-07-15 (Max)/2026-04-02 (Avg),174.88/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/190.76,"84.81%, Past 10 years, 79",194.41,No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,28.13%/0.04%/7.95%,"9.81%, 20.94%",5.4 months/2.1 months/3 months,31.56%,15.32%,16.24%,0.92,0.93,60.0%/25/3.6 months (Across ALL Assets),65.79%/570/3.3 months (Across ALL Assets)
BASELINEDIVERGENCE,"DOL.TO, Long, 2025-11-16 (Price: 194.93)",Weekly,2026-03-11 (Price: 193.29),No Price Target,No Date Target,8.87%/11.66%,"-0.84%, 3.8 months","2026-03-11 (Price: 193.29), 0.84% below",215.8265 (Historic Rise or Fall to Pivot)/210.4269 (Avg % Gain of Historic Winning trades)/294.0831 (F-Stack 2)/249.7638 (Backtested Max),2026-07-08 (Max)/2026-03-26 (Avg),174.88/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/190.76,"84.81%, Past 10 years, 79",184.95,No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,28.13%/0.04%/7.95%,"9.81%, 20.94%",5.4 months/2.1 months/3 months,31.56%,15.32%,16.24%,0.92,0.93,60.0%/25/3.6 months (Across ALL Assets),65.79%/570/3.3 months (Across ALL Assets)
TRENDPULSE,"NFLX, Long, 2026-03-02 (Price: 97.09)",Daily,No Exit Yet,No Price Target,2026-03-12 (Min),5.77%/9.63%,"-2.27%, 9 days","2026-03-11 (Price: 94.89), 2.27% below",100.3619 (Avg % Gain of Historic Winning trades)/113.66 (Function Specific Target)/139.352 (F-Stack 1)/152.4292 (F-Stack 2)/110.06 (EMA 200)/104.0319 (Backtested Max),2026-06-22 (Max)/2026-03-12 (Min)/2026-04-23 (Avg),75.86/34.8663/86.4764/77.567/No F-Track Level/No F-Track Level/No EMA 200 Support,"94.44%, Past 4 years, 18",95.26,No Information,No Information,No Information,No Information,No Information,1.4% below/2.27% below/2.27% below,7.15%/0.45%/3.37%,"0.57%, 20.2%",2.6 months/7 days/1.2 month,15.4%,9.17%,6.23%,1.08,0.47,92.26%/297/1.2 month (Across ALL Assets),80.46%/522/1.4 month (Across ALL Assets)
SIGMASHELL,"NFLX, Long, 2026-02-02 (Price: 82.76)",Daily,2026-03-10 (Price: 96.94),No Price Target,No Date Target,10.95%/15.23%,"14.66%, 1.2 month","2026-03-11 (Price: 94.89), 14.66% above",105.279 (Avg % Gain of Historic Winning trades)/139.352 (Function Specific Target)/139.352 (F-Stack 1)/152.4292 (F-Stack 2)/109.34 (EMA 200)/119.4889 (Backtested Max),2026-11-20 (Max)/2026-04-29 (Min)/2026-06-16 (Avg),No Recent Minima/34.8663/77.567/72.1834/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 5 years, 5",83.53,"-3.5, 60.0%",No Information,No Information,No Information,No Information,No Information,44.38%/13.01%/27.21%,"0%, 18.45%",6.7 months/2 months/3.1 months,64.2%,22.33%,41.87%,2.41,0.93,69.05%/42/4.3 months (Across ALL Assets),66.95%/233/3.7 months (Across ALL Assets)
SIGMASHELL,"NFLX, Long, 2026-01-02 (Price: 90.99)",Daily,2026-03-10 (Price: 96.94),No Price Target,No Date Target,3.89%/8.37%,"4.29%, 2.3 months","2026-03-11 (Price: 94.89), 4.29% above",98.5786 (Historic Rise or Fall to Pivot)/115.7484 (Avg % Gain of Historic Winning trades)/139.352 (Function Specific Target)/139.352 (F-Stack 1)/152.4292 (F-Stack 2)/109.34 (EMA 200)/131.3714 (Backtested Max)/102.8278 (Backtested Min),2026-10-20 (Max)/2026-03-29 (Min)/2026-05-16 (Avg),85.59/34.8663/86.4764/77.567/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 5 years, 5",94.13,"-5.54, 66.67%",No Information,No Information,No Information,No Information,No Information,44.38%/13.01%/27.21%,"0%, 18.45%",6.7 months/2 months/3.1 months,64.2%,22.33%,41.87%,2.41,0.93,69.05%/42/4.3 months (Across ALL Assets),66.95%/233/3.7 months (Across ALL Assets)
SIGMASHELL,"NFLX, Long, 2025-12-03 (Price: 103.96)",Daily,2026-03-10 (Price: 96.94),No Price Target,No Date Target,15.23%/18.7%,"-8.72%, 3.3 months","2026-03-11 (Price: 94.89), 8.72% below",112.6303 (Historic Rise or Fall to Pivot)/132.2475 (Avg % Gain of Historic Winning trades)/139.352 (Function Specific Target)/139.352 (F-Stack 1)/152.4292 (F-Stack 2)/109.34 (EMA 200)/150.0974 (Backtested Max)/117.4852 (Backtested Min),2026-09-20 (Max)/2026-04-16 (Avg),85.59/34.8663/100.8852/86.4764/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 5 years, 5",106.59,"-3.77, 63.64%",No Information,No Information,No Information,No Information,No Information,44.38%/13.01%/27.21%,"0%, 18.45%",6.7 months/2 months/3.1 months,64.2%,22.33%,41.87%,2.41,0.93,69.05%/42/4.3 months (Across ALL Assets),66.95%/233/3.7 months (Across ALL Assets)
DELTADRIFT,"SUM.NZ, Long, 2026-03-01 (Price: 10.66)",Weekly,No Exit Yet,No Price Target,2026-03-11 (Min),6.98%/10.31%,"-2.63%, 10 days","2026-03-11 (Price: 10.38), 2.63% below",13.0628 (Historic Rise or Fall to Pivot)/11.5927 (Avg % Gain of Historic Winning trades)/12.33 (Function Specific Target)/12.55 (Horizontal)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/11.45 (EMA 200)/12.8208 (Backtested Max)/11.1045 (Backtested Min),2026-07-31 (Max)/2026-06-04 (Avg),10.5/9.1367/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,"71.43%, Past 14 years, 7",10.5,No Information,No Information,No Information,No Information,No Information,No Information,20.27%/4.17%/8.75%,"20.61%, 22.44%",3.5 months/7 days/2.2 months,2.34%,11.18%,-8.84%,0.05,0.61,76.92%/13/2.5 months (Across ALL Assets),86.96%/115/2.2 months (Across ALL Assets)
