Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"^TNX, Long, 2026-03-13 (Price: 4.285)",No Exit Yet,"0.0%, 0 days","94.12%, Past 10 years, 17","Weekly, is CONFIRMED on 2026-03-13",Already confirmed,"2026-03-13 (Price: 4.285), 0.0% below",0 days,4.173,No Information,No Information,No Information,No Information,No Information,3.68% above/1.83% above/0.0% below,36.67%/4.7%/14.0%,"6.49%, 39.8%",11.7 months/28 days/3 months,2027-08-03/2026-04-22/2026-07-21,12.28%,0.73%,11.55%,1.0,0.14,4.7139/4.8849/4.6/4.6918/18.6/21.2307/No EMA 200 Target,3.96/1.6875/3.9466/3.3776/No support/No support/4.2,89.4%/151/4.7 months (Across ALL Assets),75.28%/267/3.6 months (Across ALL Assets)
FRACTAL TRACK,"NFLX, Long, 2026-03-13 (Price: 95.31)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 13","Weekly, is CONFIRMED on 2026-03-13",Already confirmed,"2026-03-13 (Price: 95.31), 0.0% below",0 days,97.69,No Information,No Information,No Information,"50% (Price: 75.193), 26.75% above, Upmove Bounce Back","2022-05-15 (Price: 16.271), 2025-07-06 (Price: 134.115)",No Information,29.59%/15.11%/21.93%,"0%, 70.87%",2.7 years/21 days/8.2 months,2030-01-18/2026-04-12/2027-03-02,15.04%,21.83%,-6.79%,4.76,0.9,121.9873/116.2115/166.02/No Horizontal Resistance/138.686/152.7047/109.09,76.87/34.8663/77.3488/70.5306/89.0986/75.193/No EMA 200 Support,95.45%/66/1.4 year (Across ALL Assets),54.36%/149/7.4 months (Across ALL Assets)
FRACTAL TRACK,"MA, Long, 2026-03-13 (Price: 497.99)",No Exit Yet,"0.0%, 0 days","88.89%, Past 19 years, 18","Weekly, is CONFIRMED on 2026-03-13",Already confirmed,"2026-03-13 (Price: 497.99), 0.0% below",0 days,516.27,No Information,No Information,No Information,"23.66% (Price: 500.0604), 0.41% below, Upmove Bounce Back","2018-12-30 (Price: 171.89), 2025-08-24 (Price: 601.77)",No Information,20.8%/7.86%/16.28%,"10.74%, 25.66%",1.6 year/1.4 month/6.4 months,2028-06-24/2026-05-12/2026-12-16,14.25%,18.73%,-4.48%,1.65,0.96,540.7175/579.0628/755.92/592.095/716.5814/751.3605/558.92,489.77/305.0867/442.8637/361.9068/477.6582/439.32/No EMA 200 Support,95.45%/66/1.4 year (Across ALL Assets),54.36%/149/7.4 months (Across ALL Assets)
FRACTAL TRACK,"CVS, Long, 2026-03-13 (Price: 76.13)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 17","Daily, is CONFIRMED on 2026-03-13",Already confirmed,"2026-03-13 (Price: 76.13), 0.0% below",0 days,76.84,No Information,No Information,No Information,"78.6% (Price: 76.25), 0.16% below, Upmove Bounce Back","2025-12-04 (Price: 74.14), 2026-01-26 (Price: 84.0)",No Information,14.84%/8.19%/10.89%,"-0.0%, 45.11%",1.8 year/12 days/3.7 months,2028-10-06/2026-03-30/2026-08-20,24.58%,1.55%,23.03%,1.35,0.07,77.211/84.4206/82.05/106.045/119.2488/124.7126/No EMA 200 Target,75.72/58.425/74.001/62.2235/75.8603/No support/73.86,93.84%/292/5.5 months (Across ALL Assets),50.0%/52/5.1 months (Across ALL Assets)
FRACTAL TRACK,"AIA.NZ, Long, 2026-03-13 (Price: 8.41)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 6","Daily, is CONFIRMED on 2026-03-13",Already confirmed,"2026-03-13 (Price: 8.41), 0.0% below",0 days,8.33,No Information,No Information,No Information,"38.2% (Price: 8.4867), 0.9% below, Upmove Bounce Back","2025-07-16 (Price: 7.365), 2026-02-27 (Price: 9.18)",No Information,12.06%/1.24%/7.08%,"-0.0%, 14.0%",1.3 year/2.6 months/8.4 months,2028-01-19/2026-07-03/2027-03-13,14.01%,-0.21%,14.22%,1.2,-0.11,8.648/9.0054/9.5/8.8962/10.792/12.737/No EMA 200 Target,8.34/7.0017/8.0885/7.295/No support/No support/8.01,93.84%/292/5.5 months (Across ALL Assets),50.0%/52/5.1 months (Across ALL Assets)
FRACTAL TRACK,"EFA, Long, 2026-03-11 (Price: 99.01)",No Exit Yet,"-2.74%, 2 days","100.0%, Past 5 years, 16","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-13 (Price: 96.3), 2.74% below",2 days,98.64,No Information,No Information,No Information,"61.8% (Price: 96.8369), 0.55% below, Upmove Bounce Back","2025-11-20 (Price: 91.21), 2026-02-27 (Price: 105.94)",No Information,10.73%/3.3%/7.67%,"0%, 32.13%",3.4 years/23 days/9.5 months,2031-01-16/2026-04-13/2027-04-27,16.46%,3.92%,12.54%,2.72,0.16,98.8912/106.6041/107.85/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,98.28/66.265/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/94.41,93.84%/292/5.5 months (Across ALL Assets),50.0%/52/5.1 months (Across ALL Assets)
FRACTAL TRACK,"WPM, Long, 2026-03-11 (Price: 148.67)",No Exit Yet,"-5.92%, 2 days","100.0%, Past 5 years, 18","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-13 (Price: 139.87), 5.92% below",2 days,148.0,No Information,No Information,No Information,"38.2% (Price: 137.8014), 1.5% above, Upmove Bounce Back","2025-10-28 (Price: 92.57), 2026-03-02 (Price: 165.76)",No Information,13.39%/1.64%/9.35%,"-0.0%, 36.58%",11.9 months/6 days/4.1 months,2027-08-10/2026-03-19/2026-09-03,31.01%,14.41%,16.6%,1.92,0.71,158.6606/162.5706/192.58/No Horizontal Resistance/188.656/216.4147/No EMA 200 Target,146.85/38.3375/136.0789/127.6576/No F-Track Level/No F-Track Level/110.75,93.84%/292/5.5 months (Across ALL Assets),50.0%/52/5.1 months (Across ALL Assets)
FRACTAL TRACK,"IBKR, Long, 2026-03-11 (Price: 68.39)",No Exit Yet,"-3.22%, 2 days","93.33%, Past 5 years, 15","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-13 (Price: 66.19), 3.22% below",2 days,68.2,No Information,No Information,No Information,"78.6% (Price: 63.2792), 4.6% above, Upmove Bounce Back","2025-11-21 (Price: 58.95), 2026-02-10 (Price: 79.18)",No Information,16.34%/10.24%/12.37%,"7.97%, 31.97%",1.1 year/28 days/3 months,2027-10-05/2026-04-20/2026-07-19,35.27%,24.2%,11.07%,1.68,1.19,73.9091/76.8498/80.53/No Horizontal Resistance/102.297/159.1852/No EMA 200 Target,66.7/13.0762/67.1382/45.4088/No F-Track Level/No F-Track Level/65.31,93.84%/292/5.5 months (Across ALL Assets),50.0%/52/5.1 months (Across ALL Assets)
SIGMASHELL,"MSFT, Long, 2026-03-11 (Price: 404.88)",No Exit Yet,"-2.3%, 2 days","90.0%, Past 5 years, 10","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-13 (Price: 395.55), 2.3% below",2 days,405.84,"-3.29, 72.62%",No Information,No Information,No Information,No Information,No Information,26.64%/4.35%/15.19%,"0.24%, 14.8%",4 months/1.5 month/2.4 months,2026-08-31/2026-05-15/2026-06-23,43.18%,16.15%,27.03%,1.7,0.8,424.0308/466.3813/553.3726/554.585/553.3726/615.9924/483.26,384.47/216.39/386.873/350.287/No F-Track Level/No F-Track Level/No EMA 200 Support,69.23%/39/4.3 months (Across ALL Assets),66.53%/242/3.7 months (Across ALL Assets)
FRACTAL TRACK,"BNS.TO, Long, 2026-03-11 (Price: 96.94)",No Exit Yet,"-2.64%, 2 days","100.0%, Past 5 years, 6","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-13 (Price: 94.38), 2.64% below",2 days,97.05,No Information,No Information,No Information,"23.66% (Price: 94.2784), 0.11% above, Upmove Bounce Back","2023-10-27 (Price: 55.2), 2026-02-23 (Price: 106.39)",No Information,11.46%/10.3%/10.88%,"-0.0%, 19.75%",1.5 year/1.4 month/7.1 months,2028-05-01/2026-05-10/2027-01-13,15.96%,4.96%,11.0%,2.04,0.25,96.3584/107.4871/127.65/No Horizontal Resistance/113.9126/137.6923/No EMA 200 Target,96.23/62.2517/92.969/69.3218/No F-Track Level/No F-Track Level/89.82,93.84%/292/5.5 months (Across ALL Assets),50.0%/52/5.1 months (Across ALL Assets)
