"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Divergence observed with, Signal Type","Divergence Start (Date, Price)","Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"GLXY, Long, 2026-03-18 (Price: 21.58)",No Exit Yet,"0.0%, 0 days","^GSPC, Normal Case",2026-03-15 (Price: 20.038),"100.0%, Past 4 years, 4","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 20.038 prior to 2026-03-20,"2026-03-18 (Price: 21.58), 0.0% below",0 days,67.52%/16.33%/40.96%,"-0.0%, 23.21%",4.9 months/2.1 months/3.6 months,2026-10-16/2026-06-17/2026-08-21,545.34%,20.06%,525.28%,1.09,0.93,29.7286/30.4192/No Target/22.14/No Next Fib Ext/No Next Fib Ext/26.85,19.76/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,60.0%/25/3.6 months (Across ALL Assets),64.0%/575/3.2 months (Across ALL Assets),23.495
"HDFCBANK.NS, Long, 2026-03-18 (Price: 843.05)",No Exit Yet,"0.0%, 0 days","^NSEI, Normal Case",2026-03-15 (Price: 812.0),"82.0%, Past 10 years, 150","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 812.0 prior to 2026-03-20,"2026-03-18 (Price: 843.05), 0.0% below",0 days,30.89%/0.05%/7.65%,"18.53%, 37.24%",7 months/2.1 months/3.1 months,2027-01-16/2026-06-17/2026-07-30,21.18%,9.63%,11.55%,0.72,0.57,930.8958/907.5433/1299.7536/1009.6/1299.7536/1565.406/966.97,817.0/640.9/762.8018/626.4465/No stop loss/811.168/No EMA 200 Stop Loss,60.0%/25/3.6 months (Across ALL Assets),64.0%/575/3.2 months (Across ALL Assets),817.0
"GLXY, Long, 2026-03-15 (Price: 22.35)",No Exit Yet,"-3.45%, 3 days","^GSPC, Normal Case",2026-03-08 (Price: 19.87),"100.0%, Past 4 years, 4","Weekly, was CONFIRMED on 2026-03-15",Already confirmed,"2026-03-18 (Price: 21.58), 3.45% below",3 days,67.52%/16.33%/40.96%,"-0.0%, 23.21%",4.9 months/2.1 months/3.6 months,2026-10-13/2026-06-14/2026-08-18,545.34%,20.06%,525.28%,1.09,0.93,30.7894/31.5046/No Target/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/26.85,19.76/22.14/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,60.0%/25/3.6 months (Across ALL Assets),64.0%/575/3.2 months (Across ALL Assets),20.48
"DOL.TO, Long, 2026-03-15 (Price: 194.75)",No Exit Yet,"-2.64%, 3 days","^GSPC, Normal Case",2026-02-22 (Price: 189.65),"84.81%, Past 10 years, 79","Weekly, was CONFIRMED on 2026-03-15",Already confirmed,"2026-03-18 (Price: 189.6), 2.64% below",3 days,28.13%/0.04%/7.95%,"9.81%, 20.94%",5.4 months/2.1 months/3 months,2026-11-04/2026-06-14/2026-07-23,31.56%,15.32%,16.24%,0.92,0.93,215.6272/210.2326/294.0831/197.56/294.0831/455.769/No EMA 200 Target,183.5/53.2967/194.1559/132.3972/No F-Track Level/No F-Track Level/191.24,60.0%/25/3.6 months (Across ALL Assets),64.0%/575/3.2 months (Across ALL Assets),192.0
"NVDA, Long, 2026-03-15 (Price: 180.25)",No Exit Yet,"0.08%, 3 days","^NDX, Normal Case",2026-03-08 (Price: 174.64),"83.7%, Past 10 years, 92","Weekly, was CONFIRMED on 2026-03-15",Already confirmed,"2026-03-18 (Price: 180.4), 0.08% above",3 days,175.83%/0.32%/40.35%,"35.55%, 47.56%",8.9 months/2.1 months/4 months,2027-04-05/2026-06-14/2026-09-04,75.78%,46.22%,29.56%,0.69,1.86,226.4481/252.9809/239.8943/No Horizontal Resistance/239.8943/283.6698/No EMA 200 Target,177.19/13.9695/176.5924/152.8996/No F-Track Level/No F-Track Level/178.08,60.0%/25/3.6 months (Across ALL Assets),64.0%/575/3.2 months (Across ALL Assets),176.83
"DOL.TO, Long, 2026-03-08 (Price: 193.63)",No Exit Yet,"-2.08%, 10 days","^GSPC, Normal Case",2026-03-01 (Price: 191.11),"84.81%, Past 10 years, 79","Weekly, was CONFIRMED on 2026-03-08",Already confirmed,"2026-03-18 (Price: 189.6), 2.08% below",10 days,28.13%/0.04%/7.95%,"9.81%, 20.94%",5.4 months/2.1 months/3 months,2026-10-28/2026-06-07/2026-07-16,31.56%,15.32%,16.24%,0.92,0.93,214.3871/209.0236/294.0831/197.56/294.0831/455.769/No EMA 200 Target,183.5/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/191.24,60.0%/25/3.6 months (Across ALL Assets),64.0%/575/3.2 months (Across ALL Assets),200.0
"DOL.TO, Long, 2026-01-04 (Price: 206.17)",2026-03-15 (Price: 194.75),"-5.54%, 2.3 months","^GSPC, Normal Case",2025-12-28 (Price: 201.81),"84.81%, Past 10 years, 79","Weekly, was CONFIRMED on 2026-01-04",Already confirmed,"2026-03-18 (Price: 189.6), 8.04% below",2.4 months,28.13%/0.04%/7.95%,"9.81%, 20.94%",5.4 months/2.1 months/3 months,2026-08-26/2026-04-05/2026-05-14,31.56%,15.32%,16.24%,0.92,0.93,228.2714/222.5605/294.0831/No Horizontal Resistance/294.0831/455.769/No EMA 200 Target,174.88/53.2967/194.1559/132.3972/No F-Track Level/No F-Track Level/191.24,60.0%/25/3.6 months (Across ALL Assets),64.0%/575/3.2 months (Across ALL Assets),205.6
"NVDA, Long, 2026-01-04 (Price: 188.85)",2026-03-15 (Price: 180.25),"-4.55%, 2.3 months","^NDX, Normal Case",2025-12-28 (Price: 182.35),"83.7%, Past 10 years, 92","Weekly, was CONFIRMED on 2026-01-04",Already confirmed,"2026-03-18 (Price: 180.4), 4.47% below",2.4 months,175.83%/0.32%/40.35%,"35.55%, 47.56%",8.9 months/2.1 months/4 months,2027-01-25/2026-04-05/2026-06-26,75.78%,46.22%,29.56%,0.69,1.86,237.2523/265.051/239.8943/No Horizontal Resistance/239.8943/283.6698/No EMA 200 Target,175.02/13.9695/176.5924/152.8996/No F-Track Level/No F-Track Level/178.08,60.0%/25/3.6 months (Across ALL Assets),64.0%/575/3.2 months (Across ALL Assets),187.71
"DOL.TO, Long, 2025-12-21 (Price: 203.39)",2026-03-15 (Price: 194.75),"-4.25%, 2.8 months","^GSPC, Normal Case",2025-12-14 (Price: 194.71),"84.81%, Past 10 years, 79","Weekly, was CONFIRMED on 2025-12-21",Already confirmed,"2026-03-18 (Price: 189.6), 6.78% below",2.9 months,28.13%/0.04%/7.95%,"9.81%, 20.94%",5.4 months/2.1 months/3 months,2026-08-12/2026-03-22/2026-04-30,31.56%,15.32%,16.24%,0.92,0.93,225.1934/219.5595/294.0831/No Horizontal Resistance/294.0831/455.769/No EMA 200 Target,174.88/53.2967/194.1559/132.3972/No F-Track Level/No F-Track Level/191.24,60.0%/25/3.6 months (Across ALL Assets),64.0%/575/3.2 months (Across ALL Assets),202.72
"DOL.TO, Long, 2025-11-23 (Price: 197.68)",2026-03-15 (Price: 194.75),"-1.48%, 3.7 months","^GSPC, Normal Case",2025-11-16 (Price: 184.94),"84.81%, Past 10 years, 79","Weekly, was CONFIRMED on 2025-11-23",Already confirmed,"2026-03-18 (Price: 189.6), 4.09% below",3.8 months,28.13%/0.04%/7.95%,"9.81%, 20.94%",5.4 months/2.1 months/3 months,2026-07-15/2026-02-22/2026-04-02,31.56%,15.32%,16.24%,0.92,0.93,218.8713/213.3956/No Target/No Horizontal Resistance/No Target/294.0831/No EMA 200 Target,174.88/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/191.24,60.0%/25/3.6 months (Across ALL Assets),64.0%/575/3.2 months (Across ALL Assets),194.41
