Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"ACWX, Long, 2025-09-30 (Price: 65.01)",2026-03-20 (Price: 66.37),"2.09%, 5.7 months","90.91%, Past 20 years, 11","Monthly, is CONFIRMED on 2025-09-30",Already confirmed,"2026-03-20 (Price: 66.37), 2.09% above",5.7 months,62.0,No Information,No Information,No Information,No Information,No Information,2.09% above/3.08% above/2.09% above,15.1%/1.97%/7.67%,"10.07%, 26.55%",3.3 years/4.1 months/1.5 year,2030-06-16/2026-03-25/2027-11-21,1.48%,1.08%,0.4%,0.36,-0.07,70.7049/69.9963/78.29/No Horizontal Resistance/69.6679/76.9985/No EMA 200 Target,52.16/45.07/61.9685/No stop loss/No F-Track Level/No F-Track Level/58.09,92.21%/77/10.8 months (Across ALL Assets),59.84%/127/9.6 months (Across ALL Assets)
TRENDPULSE,"AMZN, Long, 2024-12-31 (Price: 219.39)",2026-03-20 (Price: 205.37),"-6.39%, 1.2 year","100.0%, Past 20 years, 15","Monthly, is CONFIRMED on 2024-12-31",Already confirmed,"2026-03-20 (Price: 205.37), 6.39% below",1.2 year,209.96,No Information,No Information,No Information,No Information,No Information,1.21% below/6.39% below/6.39% below,51.52%/19.23%/30.47%,"-0.0%, 23.74%",1.8 year/6.1 months/11.9 months,2027-07-27/2025-09-22/2026-06-01,15.9%,18.33%,-2.43%,1.69,0.81,276.9141/286.2381/244.46/No Horizontal Resistance/No Target/231.81/No EMA 200 Target,84.0/81.3658/193.0625/132.2674/No F-Track Level/No F-Track Level/189.74,92.21%/77/10.8 months (Across ALL Assets),59.84%/127/9.6 months (Across ALL Assets)
TRENDPULSE,"RY.TO, Long, 2025-10-31 (Price: 205.47)",2026-03-20 (Price: 218.5),"6.34%, 4.7 months","100.0%, Past 20 years, 15","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2026-03-20 (Price: 218.5), 6.34% above",4.7 months,204.86,No Information,No Information,No Information,No Information,No Information,9.48% above/6.34% above/6.34% above,16.93%/2.86%/11.22%,"-0.0%, 21.22%",2.5 years/4 months/11.3 months,2029-05-26/2026-04-22/2027-03-06,4.79%,6.63%,-1.84%,1.91,0.39,229.6333/228.5237/312.78/No Horizontal Resistance/221.431/339.4883/No EMA 200 Target,162.1/118.8425/148.4673/103.3737/No F-Track Level/No F-Track Level/179.57,92.21%/77/10.8 months (Across ALL Assets),59.84%/127/9.6 months (Across ALL Assets)
SIGMASHELL,"BYDDY, Long, 2025-08-01 (Price: 14.25)",2026-03-20 (Price: 12.96),"-9.05%, 7.7 months","92.31%, Past 5 years, 13","Daily, was CONFIRMED on 2025-08-01",Already confirmed,"2026-03-20 (Price: 12.96), 9.05% below",7.7 months,14.7,"-7.41, 78.57%",No Information,No Information,No Information,No Information,No Information,33.44%/2.22%/14.35%,"6.73%, 36.48%",4.6 months/1.2 month/2.7 months,2026-02-16/2025-09-22/2025-11-26,24.64%,6.51%,18.13%,0.68,0.39,14.3455/16.2949/17.0759/No Horizontal Resistance/17.0759/19.2153/No EMA 200 Target,13.45/7.1075/12.4728/9.6555/No F-Track Level/No F-Track Level/13.7,60.53%/38/4.6 months (Across ALL Assets),65.69%/239/3.7 months (Across ALL Assets)
TRENDPULSE,"SUM.NZ, Long, 2024-09-30 (Price: 11.95)",2026-03-20 (Price: 9.38),"-21.51%, 1.5 year","83.33%, Past 20 years, 12","Monthly, is CONFIRMED on 2024-09-30",Already confirmed,"2026-03-20 (Price: 9.38), 21.51% below",1.5 year,11.3,No Information,No Information,No Information,No Information,No Information,21.51% below/21.51% below/21.51% below,39.09%/9.46%/22.45%,"38.71%, 46.41%",1.9 year/5 months/1 year,2027-06-17/2025-05-05/2026-03-05,7.79%,10.92%,-3.13%,0.19,0.59,13.0016/14.6328/14.19/12.63/19.8479/26.5969/No EMA 200 Target,8.14/9.246/11.0645/No stop loss/No F-Track Level/No F-Track Level/10.75,92.21%/77/10.8 months (Across ALL Assets),59.84%/127/9.6 months (Across ALL Assets)
TRENDPULSE,"SUM.NZ, Long, 2024-10-31 (Price: 12.39)",2026-03-20 (Price: 9.38),"-24.29%, 1.4 year","83.33%, Past 20 years, 12","Monthly, is CONFIRMED on 2024-10-31",Already confirmed,"2026-03-20 (Price: 9.38), 24.29% below",1.4 year,11.89,No Information,No Information,No Information,No Information,No Information,21.51% below/24.29% below/24.29% below,39.09%/9.46%/22.45%,"38.71%, 46.41%",1.9 year/5 months/1 year,2027-07-18/2025-06-05/2026-04-05,7.79%,10.92%,-3.13%,0.19,0.59,13.4803/15.1716/14.37/12.63/19.8479/26.5969/No EMA 200 Target,8.14/9.246/11.0645/No stop loss/No F-Track Level/No F-Track Level/10.96,92.21%/77/10.8 months (Across ALL Assets),59.84%/127/9.6 months (Across ALL Assets)
TRENDPULSE,"SUM.NZ, Long, 2024-11-30 (Price: 12.83)",2026-03-20 (Price: 9.38),"-26.89%, 1.3 year","83.33%, Past 20 years, 12","Monthly, is CONFIRMED on 2024-11-30",Already confirmed,"2026-03-20 (Price: 9.38), 26.89% below",1.3 year,12.4,No Information,No Information,No Information,No Information,No Information,21.51% below/25.26% below/26.89% below,39.09%/9.46%/22.45%,"38.71%, 46.41%",1.9 year/5 months/1 year,2027-08-17/2025-07-05/2026-05-05,7.79%,10.92%,-3.13%,0.19,0.59,13.959/15.7103/14.55/No Horizontal Resistance/19.8479/26.5969/No EMA 200 Target,8.14/9.246/11.0645/No stop loss/No F-Track Level/No F-Track Level/11.15,92.21%/77/10.8 months (Across ALL Assets),59.84%/127/9.6 months (Across ALL Assets)
TRENDPULSE,"IFT.NZ, Long, 2024-10-31 (Price: 12.6)",2026-03-20 (Price: 10.83),"-14.05%, 1.4 year","100.0%, Past 20 years, 12","Monthly, is CONFIRMED on 2024-10-31",Already confirmed,"2026-03-20 (Price: 10.83), 14.05% below",1.4 year,12.315,No Information,No Information,No Information,No Information,No Information,11.59% below/13.15% below/14.05% below,20.0%/3.04%/10.14%,"-0.0%, 18.64%",1.3 year/5 months/9.7 months,2026-09-08/2025-06-05/2025-12-26,5.74%,8.41%,-2.67%,1.75,0.5,14.044/13.8776/19.79/No Horizontal Resistance/18.927/29.733/No EMA 200 Target,3.91/7.3167/12.2485/8.121/No F-Track Level/No F-Track Level/11.07,92.21%/77/10.8 months (Across ALL Assets),59.84%/127/9.6 months (Across ALL Assets)
TRENDPULSE,"USO, Long, 2026-02-08 (Price: 76.99)",2026-03-20 (Price: 121.43),"57.72%, 1.3 month","75.0%, Past 10 years, 16","Weekly, is CONFIRMED on 2026-02-06",Already confirmed,"2026-03-20 (Price: 121.43), 57.72% above",1.3 month,75.5,No Information,No Information,No Information,No Information,No Information,64.21% above/56.74% above/57.72% above,10.72%/0.56%/3.8%,"70.35%, 78.81%",11 months/1.2 month/3.7 months,2027-05-31/2026-04-01/2026-07-18,-7.02%,-6.0%,-1.02%,-0.18,-0.19,No Target/79.9156/80.94/83.49/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,68.03/58.7667/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/72.26,89.12%/147/4.8 months (Across ALL Assets),75.19%/266/3.7 months (Across ALL Assets)
SIGMASHELL,"BYDDY, Long, 2025-07-01 (Price: 15.64)",2026-03-20 (Price: 12.96),"-17.14%, 8.7 months","92.31%, Past 5 years, 13","Daily, was CONFIRMED on 2025-07-01",Already confirmed,"2026-03-20 (Price: 12.96), 17.14% below",8.7 months,15.6333,"-9.78, 76.47%",No Information,No Information,No Information,No Information,No Information,33.44%/2.22%/14.35%,"6.73%, 36.48%",4.6 months/1.2 month/2.7 months,2026-01-16/2025-08-22/2025-10-26,24.64%,6.51%,18.13%,0.68,0.39,15.7448/17.8843/17.0759/No Horizontal Resistance/17.0759/19.2153/No EMA 200 Target,15.63/7.1075/15.2748/12.4728/No F-Track Level/No F-Track Level/13.7,60.53%/38/4.6 months (Across ALL Assets),65.69%/239/3.7 months (Across ALL Assets)
