Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"XIU.TO, Long, 2026-03-24 (Price: 47.07)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 11","Daily, is CONFIRMED on 2026-03-24",Already confirmed,"2026-03-24 (Price: 47.07), 0.0% below",0 days,46.71,No Information,No Information,No Information,"23.66% (Price: 46.2447), 1.78% above, Upmove Bounce Back","2025-04-09 (Price: 33.87), 2026-03-02 (Price: 50.08)",No Information,11.01%/2.15%/7.15%,"0%, 17.58%",2.5 years/1.3 month/11.5 months,2029-10-17/2026-05-19/2027-08-05,11.71%,8.23%,3.48%,2.2,0.67,48.934/50.4355/56.8/No Horizontal Resistance/56.9776/70.1282/No EMA 200 Target,46.23/27.9467/41.5586/34.9694/44.9718/41.8326/44.88,91.76%/279/5.5 months (Across ALL Assets),48.15%/54/5.3 months (Across ALL Assets)
FRACTAL TRACK,"ACWX, Long, 2026-03-24 (Price: 67.5)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 11","Daily, is CONFIRMED on 2026-03-24",Already confirmed,"2026-03-24 (Price: 67.5), 0.0% below",0 days,66.8,No Information,No Information,No Information,"38.2% (Price: 65.0147), 3.82% above, Upmove Bounce Back","2025-04-08 (Price: 48.99), 2026-02-25 (Price: 74.92)",No Information,10.95%/0.24%/9.51%,"0%, 31.47%",3.9 years/2.1 months/1 year,2031-10-17/2026-06-23/2027-08-27,15.62%,3.37%,12.25%,3.17,0.11,68.6407/73.9192/83.06/No Horizontal Resistance/75.6529/88.2437/No EMA 200 Target,66.37/45.07/60.1332/51.8814/No stop loss/65.0147/65.86,91.76%/279/5.5 months (Across ALL Assets),48.15%/54/5.3 months (Across ALL Assets)
FRACTAL TRACK,"ASML, Long, 2026-03-24 (Price: 1399.42)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 16","Daily, is CONFIRMED on 2026-03-24",Already confirmed,"2026-03-24 (Price: 1399.42), 0.0% below",0 days,1348.6801,No Information,No Information,No Information,"23.66% (Price: 1314.59), 6.45% above, Upmove Bounce Back","2023-09-28 (Price: 564.0), 2026-02-25 (Price: 1547.2198)",No Information,15.95%/4.96%/10.87%,"-0.0%, 53.28%",2.2 years/13 days/6.5 months,2029-05-14/2026-04-11/2026-12-31,24.72%,12.44%,12.28%,3.0,0.59,1523.9684/1551.537/1989.35/No Horizontal Resistance/1542.4146/1739.0799/No EMA 200 Target,1317.25/576.784/1374.6905/1218.8523/1267.0689/1094.9051/1032.79,91.76%/279/5.5 months (Across ALL Assets),48.15%/54/5.3 months (Across ALL Assets)
FRACTAL TRACK,"EEM, Long, 2026-03-24 (Price: 56.52)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 11","Daily, is CONFIRMED on 2026-03-24",Already confirmed,"2026-03-24 (Price: 56.52), 0.0% below",0 days,56.13,No Information,No Information,No Information,"38.2% (Price: 54.6604), 3.4% above, Upmove Bounce Back","2023-10-23 (Price: 36.38), 2026-02-27 (Price: 65.96)",No Information,10.77%/2.11%/8.51%,"-0.0%, 16.11%",1.9 year/1.9 month/8.3 months,2028-12-08/2026-06-14/2027-03-19,13.08%,0.95%,12.13%,1.69,-0.08,57.1361/61.3299/74.27/No Horizontal Resistance/64.643/69.5308/No EMA 200 Target,55.64/36.64/54.2403/No stop loss/53.5565/49.725/53.81,91.76%/279/5.5 months (Across ALL Assets),48.15%/54/5.3 months (Across ALL Assets)
FRACTAL TRACK,"CNR.TO, Long, 2026-03-24 (Price: 139.03)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 13","Daily, is CONFIRMED on 2026-03-24",Already confirmed,"2026-03-24 (Price: 139.03), 0.0% below",0 days,137.04,No Information,No Information,No Information,"78.6% (Price: 133.7381), 3.96% above, Upmove Bounce Back","2025-11-24 (Price: 128.05), 2026-03-02 (Price: 154.63)",No Information,11.26%/0.33%/9.09%,"-0.0%, 14.35%",1.3 year/18 days/7.1 months,2028-01-30/2026-04-19/2027-01-26,16.8%,-0.9%,17.7%,0.98,-0.19,No Target/151.6678/154.98/171.0825/180.5368/188.8294/No EMA 200 Target,135.45/127.6867/115.7909/75.7758/No stop loss/No stop loss/136.42,91.76%/279/5.5 months (Across ALL Assets),48.15%/54/5.3 months (Across ALL Assets)
DELTADRIFT,"HDB, Long, 2026-03-24 (Price: 25.12)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 16","Daily, is CONFIRMED on 2026-03-24",Already confirmed,"2026-03-24 (Price: 25.12), 0.0% below",0 days,25.23,No Information,No Information,No Information,No Information,No Information,No Information,6.97%/1.34%/3.61%,"-0.0%, 9.88%",2.4 months/1 day/23 days,2026-07-06/2026-03-25/2026-04-26,15.13%,-1.6%,16.73%,2.09,-0.12,27.0743/26.0268/26.55/39.3812/45.6752/50.9526/35.19,No Recent Minima/No Horizontal Support/20.8126/19.1693/No stop loss/No stop loss/No EMA 200 Stop Loss,72.54%/142/15 days (Across ALL Assets),72.14%/524/15 days (Across ALL Assets)
DELTADRIFT,"QQQ, Long, 2026-03-24 (Price: 583.98)",No Exit Yet,"0.0%, 0 days","91.67%, Past 4 years, 12","Daily, is CONFIRMED on 2026-03-24",Already confirmed,"2026-03-24 (Price: 583.98), 0.0% below",0 days,584.82,No Information,No Information,No Information,No Information,No Information,No Information,5.36%/1.84%/3.31%,"7.84%, 13.67%",2.6 months/2 days/18 days,2026-07-14/2026-03-26/2026-04-19,9.42%,9.64%,-0.22%,0.63,0.56,625.1506/603.3097/614.23/636.805/768.7753/903.4157/593.42,582.06/256.995/578.1694/465.4277/546.4514/490.7995/No EMA 200 Stop Loss,72.54%/142/15 days (Across ALL Assets),72.14%/524/15 days (Across ALL Assets)
DELTADRIFT,"GLD, Long, 2026-03-24 (Price: 404.13)",No Exit Yet,"0.0%, 0 days","90.0%, Past 4 years, 10","Daily, is CONFIRMED on 2026-03-24",Already confirmed,"2026-03-24 (Price: 404.13), 0.0% below",0 days,400.24,No Information,No Information,No Information,No Information,No Information,No Information,2.63%/1.46%/2.02%,"4.6%, 4.6%",24 days/2 days/9 days,2026-04-27/2026-03-26/2026-04-06,7.18%,14.45%,-7.27%,0.65,1.17,422.033/412.2934/417.16/No Horizontal Resistance/581.2346/868.6914/No EMA 200 Target,404.04/150.8/403.5768/293.7778/379.2852/339.0/375.08,72.54%/142/15 days (Across ALL Assets),72.14%/524/15 days (Across ALL Assets)
DELTADRIFT,"SLV, Long, 2026-03-24 (Price: 62.95)",No Exit Yet,"0.0%, 0 days","87.5%, Past 4 years, 16","Daily, is CONFIRMED on 2026-03-24",Already confirmed,"2026-03-24 (Price: 62.95), 0.0% below",0 days,61.62,No Information,No Information,No Information,No Information,No Information,No Information,4.4%/2.49%/3.36%,"8.73%, 8.73%",1.9 month/1 day/13 days,2026-06-14/2026-03-25/2026-04-11,10.88%,19.32%,-8.44%,0.52,1.02,66.0534/65.0651/65.56/No Horizontal Resistance/94.8082/101.3904/No EMA 200 Target,61.52/18.99/48.8956/38.057/No stop loss/53.6785/51.72,72.54%/142/15 days (Across ALL Assets),72.14%/524/15 days (Across ALL Assets)
DELTADRIFT,"^NDX, Long, 2026-03-24 (Price: 24002.4473)",No Exit Yet,"0.0%, 0 days","90.91%, Past 4 years, 11","Daily, is CONFIRMED on 2026-03-24",Already confirmed,"2026-03-24 (Price: 24002.4473), 0.0% below",0 days,24042.2324,No Information,No Information,No Information,No Information,No Information,No Information,5.34%/1.84%/3.16%,"7.94%, 13.69%",2.6 months/2 days/17 days,2026-07-14/2026-03-26/2026-04-17,8.39%,9.65%,-1.26%,0.56,0.55,25637.014/24760.9246/25198.97/26173.5898/31443.3312/34962.0612/24383.74,23898.15/10555.915/23521.423/22130.5407/22457.6702/20168.8619/No EMA 200 Stop Loss,72.54%/142/15 days (Across ALL Assets),72.14%/524/15 days (Across ALL Assets)
