"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"MSFT, Long, 2026-03-30 (Price: 358.96)",No Exit Yet,"0.0%, 0 days","75.0%, Past 4 years, 12","Daily, is CONFIRMED on 2026-03-30",Already confirmed,"2026-03-30 (Price: 358.96), 0.0% below",0 days,5.23%/2.02%/3.49%,"8.2%, 14.53%",2.4 months/1 day/11 days,2026-07-12/2026-03-31/2026-04-14,5.6%,7.01%,-1.41%,0.17,0.37,372.421/371.4877/371.95/554.585/574.7462/615.9561/478.51,356.77/216.39/331.7514/251.1563/344.0816/286.6223/No EMA 200 Stop Loss,69.85%/136/15 days (Across ALL Assets),71.95%/524/16 days (Across ALL Assets),361.895
"DIS, Long, 2026-03-30 (Price: 94.32)",No Exit Yet,"0.0%, 0 days","88.89%, Past 15 years, 9","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price below 94.014 or above 99.6498 prior to 2026-04-03,"2026-03-30 (Price: 94.32), 0.0% below",0 days,18.7%/4.98%/9.06%,"22.55%, 25.06%",3 months/7 days/1.5 month,2026-08-07/2026-04-09/2026-06-03,7.62%,4.2%,3.42%,0.49,0.2,109.7508/102.8654/106.31/168.455/236.8799/281.3125/111.85,92.42/79.415/90.2921/80.4539/89.6423/85.1833/No EMA 200 Stop Loss,71.43%/14/2.5 months (Across ALL Assets),76.03%/121/2 months (Across ALL Assets),92.89
"TSLA, Long, 2026-03-30 (Price: 355.28)",No Exit Yet,"0.0%, 0 days","100.0%, Past 15 years, 4","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price below 352.7256 or above 369.7064 prior to 2026-04-03,"2026-03-30 (Price: 355.28), 0.0% below",0 days,45.34%/14.57%/26.48%,"0%, 27.43%",4.9 months/14 days/2 months,2026-10-28/2026-04-19/2026-06-24,41.38%,29.49%,11.89%,1.77,1.14,518.4601/449.3581/483.91/487.1467/461.2057/542.4591/396.21,302.63/196.47/No F-Stack Support/No F-Stack Support/No stop loss/318.815/No EMA 200 Stop Loss,71.43%/14/2.5 months (Across ALL Assets),76.03%/121/2 months (Across ALL Assets),365.86
"NKE, Long, 2026-03-30 (Price: 51.24)",No Exit Yet,"0.0%, 0 days","85.71%, Past 15 years, 7","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price below 50.2629 or above 51.24 prior to 2026-04-03,"2026-03-30 (Price: 51.24), 0.0% below",0 days,14.71%/4.95%/8.77%,"21.25%, 31.28%",7.7 months/21 days/2.1 months,2027-02-27/2026-04-29/2026-06-29,6.43%,5.1%,1.33%,0.34,0.26,57.3786/55.7337/56.56/176.74/188.3051/199.1142/66.7,No Recent Minima/No Horizontal Support/50.7961/47.8945/No stop loss/No stop loss/No EMA 200 Stop Loss,71.43%/14/2.5 months (Across ALL Assets),76.03%/121/2 months (Across ALL Assets),51.43
"^DJI, Long, 2026-03-30 (Price: 45216.1406)",No Exit Yet,"0.0%, 0 days","100.0%, Past 15 years, 4","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price below 45000.3746 or above 45650.6933 prior to 2026-04-03,"2026-03-30 (Price: 45216.1406), 0.0% below",0 days,12.67%/3.96%/8.98%,"0%, 6.41%",2.1 months/7 days/28 days,2026-06-29/2026-04-09/2026-05-09,6.9%,6.78%,0.12%,2.38,0.42,52265.3369/49276.55/50770.94/No Horizontal Resistance/50924.8674/68852.5953/46658.56,45166.64/32614.5825/39844.8882/32997.1394/45202.6041/43562.2851/No EMA 200 Stop Loss,71.43%/14/2.5 months (Across ALL Assets),76.03%/121/2 months (Across ALL Assets),45283.0586
"XLF, Long, 2026-03-30 (Price: 48.36)",No Exit Yet,"0.0%, 0 days","100.0%, Past 15 years, 7","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price below 47.0521 or above 49.4655 prior to 2026-04-03,"2026-03-30 (Price: 48.36), 0.0% below",0 days,19.04%/3.93%/9.4%,"0%, 9.53%",2.6 months/7 days/1.2 month,2026-07-20/2026-04-09/2026-05-21,9.44%,6.66%,2.78%,1.74,0.36,55.2271/52.9058/54.07/51.78/70.6138/110.4396/52.71,47.81/30.1167/45.9996/No stop loss/46.2327/43.055/No EMA 200 Stop Loss,71.43%/14/2.5 months (Across ALL Assets),76.03%/121/2 months (Across ALL Assets),48.23
"XLY, Long, 2026-03-30 (Price: 105.66)",No Exit Yet,"0.0%, 0 days","100.0%, Past 15 years, 5","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price below 105.0999 or above 109.4787 prior to 2026-04-03,"2026-03-30 (Price: 105.66), 0.0% below",0 days,15.44%/7.22%/11.12%,"0%, 11.49%",2.6 months/7 days/1.1 month,2026-07-20/2026-04-09/2026-05-16,9.62%,9.06%,0.56%,4.04,0.55,128.7678/117.4094/123.09/122.0862/125.4815/149.5056/116.07,91.4/66.775/97.0194/64.5812/101.3222/94.005/No EMA 200 Stop Loss,71.43%/14/2.5 months (Across ALL Assets),76.03%/121/2 months (Across ALL Assets),106.61
"DIA, Long, 2026-03-30 (Price: 452.06)",No Exit Yet,"0.0%, 0 days","100.0%, Past 15 years, 4","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price below 450.3907 or above 456.5122 prior to 2026-04-03,"2026-03-30 (Price: 452.06), 0.0% below",0 days,12.6%/3.87%/8.87%,"0%, 6.45%",2.1 months/7 days/28 days,2026-06-29/2026-04-09/2026-05-09,6.86%,6.79%,0.07%,2.28,0.42,522.5362/492.1577/507.35/No Horizontal Resistance/538.1343/826.9871/466.77,451.39/321.6725/359.6128/249.2814/No stop loss/435.81/No EMA 200 Stop Loss,71.43%/14/2.5 months (Across ALL Assets),76.03%/121/2 months (Across ALL Assets),455.6
"MFT.NZ, Long, 2026-03-30 (Price: 59.01)",No Exit Yet,"0.0%, 0 days","88.89%, Past 15 years, 9","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price below 58.2633 or above 60.5546 prior to 2026-04-03,"2026-03-30 (Price: 59.01), 0.0% below",0 days,13.39%/3.86%/8.34%,"14.48%, 14.87%",21 days/7 days/11 days,2026-04-29/2026-04-09/2026-04-14,8.71%,10.26%,-1.55%,0.74,0.6,66.1266/63.9314/65.03/85.45/101.7951/113.586/64.05,58.66/55.185/42.5658/28.5836/No stop loss/No stop loss/No EMA 200 Stop Loss,71.43%/14/2.5 months (Across ALL Assets),76.03%/121/2 months (Across ALL Assets),59.01
"BAC, Long, 2026-03-29 (Price: 46.97)",No Exit Yet,"0.55%, 1 day","85.71%, Past 15 years, 7","Weekly, was CONFIRMED on 2026-03-29",Already confirmed,"2026-03-30 (Price: 47.23), 0.55% above",1 day,26.29%/9.78%/15.79%,"25.71%, 33.38%",6.8 months/14 days/2.1 months,2027-01-18/2026-04-18/2026-06-28,7.64%,6.31%,1.33%,0.64,0.32,52.9587/54.3866/53.67/48.7833/72.41/85.2389/50.77,46.72/29.49/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,71.43%/14/2.5 months (Across ALL Assets),76.03%/121/2 months (Across ALL Assets),48.34
