Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"ATM.NZ, Long, 2026-03-30 (Price: 11.39)",No Exit Yet,"0.0%, 0 days","91.89%, Past 4 years, 37","Daily, is CONFIRMED on 2026-03-30",Already confirmed,"2026-03-30 (Price: 11.39), 0.0% below",0 days,11.3,No Information,No Information,No Information,No Information,No Information,0.0% below/0.0% below/0.0% below,26.28%/1.03%/5.98%,"10.63%, 64.86%",2 months/7 days/20 days,2026-06-24/2026-04-09/2026-04-27,9.53%,-5.31%,14.84%,0.78,-0.11,11.8684/12.0711/11.71/No Horizontal Resistance/21.0083/23.0567/No EMA 200 Target,10.9/5.185/8.0863/5.0358/10.3195/9.3482/10.08,91.76%/279/1.3 month (Across ALL Assets),80.08%/512/1.4 month (Across ALL Assets)
FRACTAL TRACK,"IFT.NZ, Long, 2026-03-29 (Price: 11.71)",No Exit Yet,"0.0%, 1 day","82.35%, Past 20 years, 17","Weekly, was CONFIRMED on 2026-03-29",Already confirmed,"2026-03-30 (Price: 11.71), 0.0% below",1 day,10.7,No Information,No Information,No Information,"61.8% (Price: 10.551), 10.98% above, Upmove Bounce Back","2025-04-13 (Price: 9.13), 2025-11-16 (Price: 12.85)",No Information,38.45%/3.55%/15.4%,"5.02%, 19.75%",1.8 year/1.2 month/8 months,2028-10-22/2026-05-20/2027-03-11,11.78%,6.71%,5.07%,0.86,0.37,12.3482/13.5133/13.94/12.825/18.927/29.733/No EMA 200 Target,10.75/7.3167/8.121/5.57/No F-Track Level/No F-Track Level/11.53,89.66%/58/1.4 year (Across ALL Assets),52.32%/151/7.6 months (Across ALL Assets)
DELTADRIFT,"GNE.NZ, Long, 2026-03-29 (Price: 2.16)",No Exit Yet,"0.0%, 1 day","80.0%, Past 11 years, 5","Weekly, was CONFIRMED on 2026-03-29",Already confirmed,"2026-03-30 (Price: 2.16), 0.0% below",1 day,2.2,No Information,No Information,No Information,No Information,No Information,No Information,14.79%/4.18%/7.53%,"12.34%, 12.5%",6.1 months/14 days/1.9 month,2026-12-19/2026-04-18/2026-06-19,5.64%,2.2%,3.44%,0.38,0.05,2.2693/2.3226/2.3/3.3125/No Next Fib Ext/No Next Fib Ext/2.38,2.14/2.0733/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,71.43%/14/2.5 months (Across ALL Assets),76.03%/121/2 months (Across ALL Assets)
DELTADRIFT,"BAC, Long, 2026-03-29 (Price: 46.97)",No Exit Yet,"0.55%, 1 day","85.71%, Past 15 years, 7","Weekly, was CONFIRMED on 2026-03-29",Already confirmed,"2026-03-30 (Price: 47.23), 0.55% above",1 day,48.34,No Information,No Information,No Information,No Information,No Information,No Information,26.29%/9.78%/15.79%,"25.71%, 33.38%",6.8 months/14 days/2.1 months,2027-01-18/2026-04-18/2026-06-28,7.64%,6.31%,1.33%,0.64,0.32,52.9587/54.3866/53.67/48.7833/72.41/85.2389/50.77,46.72/29.49/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,71.43%/14/2.5 months (Across ALL Assets),76.03%/121/2 months (Across ALL Assets)
TRENDPULSE,"^TNX, Long, 2026-03-29 (Price: 4.44)",No Exit Yet,"-2.21%, 1 day","94.12%, Past 10 years, 17","Weekly, is CONFIRMED on 2026-03-27",Already confirmed,"2026-03-30 (Price: 4.342), 2.21% below",1 day,4.376,No Information,No Information,No Information,No Information,No Information,1.33% above/1.68% below/2.21% below,36.67%/4.7%/14.0%,"6.49%, 39.8%",11.7 months/28 days/3 months,2027-08-19/2026-05-08/2026-08-06,12.28%,0.73%,11.55%,1.0,0.14,4.8844/5.0616/4.66/4.6918/17.4008/18.8284/No EMA 200 Target,3.96/1.6875/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/4.19,88.59%/149/5.1 months (Across ALL Assets),74.72%/265/3.7 months (Across ALL Assets)
FRACTAL TRACK,"JPM, Long, 2026-03-29 (Price: 282.84)",No Exit Yet,"0.33%, 1 day","93.75%, Past 20 years, 16","Weekly, was CONFIRMED on 2026-03-29",Already confirmed,"2026-03-30 (Price: 283.77), 0.33% above",1 day,294.31,No Information,No Information,No Information,"23.66% (Price: 281.4195), 0.84% above, Upmove Bounce Back","2022-10-16 (Price: 101.28), 2026-01-11 (Price: 337.25)",No Information,22.59%/15.01%/17.15%,"6.94%, 37.49%",2.2 years/7 days/9.9 months,2029-05-19/2026-04-08/2027-06-02,15.25%,7.42%,7.83%,2.32,0.37,315.6494/331.3471/424.42/No Horizontal Resistance/328.9175/381.492/302.0,210.28/125.7575/275.691/208.1524/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,89.66%/58/1.4 year (Across ALL Assets),52.32%/151/7.6 months (Across ALL Assets)
DELTADRIFT,"JETS, Long, 2026-03-29 (Price: 24.13)",No Exit Yet,"-2.03%, 1 day","100.0%, Past 10 years, 6","Weekly, was CONFIRMED on 2026-03-29",Already confirmed,"2026-03-30 (Price: 23.64), 2.03% below",1 day,25.2,No Information,No Information,No Information,No Information,No Information,No Information,29.2%/7.1%/12.46%,"0%, 22.83%",2.3 months/7 days/26 days,2026-07-06/2026-04-08/2026-05-05,11.65%,0.99%,10.66%,1.51,0.09,26.3693/27.1366/26.75/27.1773/No Next Fib Ext/No Next Fib Ext/26.0,24.05/14.732/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,71.43%/14/2.5 months (Across ALL Assets),76.03%/121/2 months (Across ALL Assets)
FRACTAL TRACK,"JETS, Long, 2026-03-29 (Price: 24.13)",No Exit Yet,"-2.03%, 1 day","100.0%, Past 10 years, 7","Weekly, was CONFIRMED on 2026-03-29",Already confirmed,"2026-03-30 (Price: 23.64), 2.03% below",1 day,25.2,No Information,No Information,No Information,"50% (Price: 24.22), 2.39% below, Upmove Bounce Back","2025-04-13 (Price: 17.11), 2026-02-15 (Price: 31.33)",No Information,23.0%/17.86%/19.3%,"-0.0%, 17.18%",8.6 months/1.9 month/4.4 months,2027-04-06/2026-06-19/2026-10-06,12.57%,0.36%,12.21%,1.13,0.06,25.3823/28.7871/32.66/27.1773/No Next Fib Ext/No Next Fib Ext/26.0,24.05/14.732/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,89.66%/58/1.4 year (Across ALL Assets),52.32%/151/7.6 months (Across ALL Assets)
FRACTAL TRACK,"GS, Long, 2026-03-29 (Price: 802.89)",No Exit Yet,"0.59%, 1 day","100.0%, Past 20 years, 13","Weekly, was CONFIRMED on 2026-03-29",Already confirmed,"2026-03-30 (Price: 807.6), 0.59% above",1 day,833.0,No Information,No Information,No Information,"23.66% (Price: 782.6791), 3.18% above, Upmove Bounce Back","2020-03-22 (Price: 130.85), 2026-01-18 (Price: 984.7)",No Information,25.08%/15.16%/18.88%,"0%, 50.45%",5 years/1.4 month/1.5 year,2033-05-18/2026-05-28/2028-05-19,11.71%,6.74%,4.97%,5.31,0.34,869.3693/954.4756/1315.2/No Horizontal Resistance/1261.1009/1964.4733/805.26,782.21/288.555/794.5775/594.2082/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,89.66%/58/1.4 year (Across ALL Assets),52.32%/151/7.6 months (Across ALL Assets)
TRENDPULSE,"MX.TO, Long, 2026-03-29 (Price: 90.57)",No Exit Yet,"-3.94%, 1 day","82.61%, Past 10 years, 23","Weekly, is CONFIRMED on 2026-03-27",Already confirmed,"2026-03-30 (Price: 87.0), 3.94% below",1 day,75.23,No Information,No Information,No Information,No Information,No Information,3.94% below/5.62% above/3.94% below,35.52%/4.99%/17.34%,"20.89%, 73.13%",1.2 year/28 days/4.6 months,2027-12-14/2026-05-08/2026-10-14,11.89%,3.89%,8.0%,0.73,0.26,104.1193/106.2748/115.54/No Horizontal Resistance/104.8718/122.9238/No EMA 200 Target,47.63/38.425/77.0903/68.3859/No F-Track Level/No F-Track Level/55.64,88.59%/149/5.1 months (Across ALL Assets),74.72%/265/3.7 months (Across ALL Assets)
