"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Divergence Start/End (Date and Price [$]),Divergence Duration (days) (Max/Min/Avg),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"MCY.NZ, Long, 2026-04-02 (Price: 6.3)",No Exit Yet,"0.0%, 0 days","91.67%, Past 6 years, 24","Daily, is Confirmed on 2026-04-02",No Cancellation Possible,"2026-04-02 (Price: 6.3), 0.0% below",0 days,2026-02-24 (Price: 6.15)/2026-03-10 (Price: 6.15),20 days/1 day/7 days,10.44%/0.07%/2.54%,"11.21%, 12.74%",2.9 months/3 days/18 days,2026-08-06/2026-04-06/2026-04-28,8.09%,4.83%,3.26%,0.0,0.24,6.6849/6.46/7.18/7.072/No Next Fib Ext/No Next Fib Ext/6.4,No Recent Minima/5.13/No F-Stack Support/No F-Stack Support/No stop loss/No stop loss/No EMA 200 Stop Loss,87.86%/140/29 days (Across ALL Assets),78.27%/497/25 days (Across ALL Assets),6.29
"SFTBY, Long, 2026-04-01 (Price: 11.93)",No Exit Yet,"-3.52%, 1 day","80.0%, Past 6 years, 25","Daily, is Confirmed on 2026-04-01",No Cancellation Possible,"2026-04-02 (Price: 11.51), 3.52% below",1 day,2026-03-16 (Price: 11.21)/2026-03-20 (Price: 10.55),17 days/1 day/6 days,12.74%/0.15%/5.7%,"12.86%, 14.83%",28 days/2 days/11 days,2026-05-11/2026-04-03/2026-04-16,12.37%,13.26%,-0.89%,0.0,0.62,12.8796/12.61/12.53/No Horizontal Resistance/23.8631/28.8451/13.62,No Recent Minima/4.205/10.0807/8.1314/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,87.86%/140/29 days (Across ALL Assets),78.27%/497/25 days (Across ALL Assets),12.09
"IHI, Long, 2026-04-01 (Price: 53.43)",No Exit Yet,"-0.36%, 1 day","94.12%, Past 6 years, 17","Daily, is Confirmed on 2026-04-01",No Cancellation Possible,"2026-04-02 (Price: 53.24), 0.36% below",1 day,2026-03-23 (Price: 54.46)/2026-03-30 (Price: 52.485),25 days/1 day/8 days,4.11%/0.05%/1.48%,"10.0%, 10.0%",4.9 months/3 days/23 days,2026-10-30/2026-04-05/2026-05-04,5.87%,4.86%,1.01%,0.0,0.24,54.2368/54.2208/57.17/65.682/68.9264/76.3906/60.53,No Recent Minima/46.725/46.1919/36.8936/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,87.86%/140/29 days (Across ALL Assets),78.27%/497/25 days (Across ALL Assets),53.54
"CVS, Long, 2026-04-01 (Price: 72.49)",No Exit Yet,"1.38%, 1 day","80.77%, Past 6 years, 26","Daily, is Confirmed on 2026-04-01",No Cancellation Possible,"2026-04-02 (Price: 73.49), 1.38% above",1 day,2026-03-19 (Price: 71.61)/2026-03-30 (Price: 69.5101),28 days/2 days/10 days,8.32%/0.42%/3.02%,"24.36%, 24.36%",3 months/8 days/27 days,2026-08-09/2026-04-12/2026-05-10,-0.64%,2.45%,-3.09%,0.0,0.12,76.2667/74.6792/80.46/106.045/116.3721/144.3517/74.42,No Recent Minima/58.425/70.3769/60.5139/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,87.86%/140/29 days (Across ALL Assets),78.27%/497/25 days (Across ALL Assets),72.06
"IWM, Long, 2026-04-01 (Price: 249.56)",No Exit Yet,"0.69%, 1 day","87.5%, Past 6 years, 16","Daily, is Confirmed on 2026-04-01",No Cancellation Possible,"2026-04-02 (Price: 251.29), 0.69% above",1 day,2026-03-20 (Price: 240.33)/2026-03-30 (Price: 238.69),18 days/1 day/8 days,14.2%/0.07%/3.61%,"13.09%, 13.25%",2.2 months/3 days/18 days,2026-07-05/2026-04-05/2026-04-27,9.94%,10.32%,-0.38%,0.0,0.58,267.3287/258.5691/274.52/No Horizontal Resistance/267.7701/348.4025/No EMA 200 Target,No Recent Minima/162.3167/230.2783/209.2101/No F-Track Level/No F-Track Level/242.84,87.86%/140/29 days (Across ALL Assets),78.27%/497/25 days (Across ALL Assets),249.92
"PG, Long, 2026-04-01 (Price: 144.09)",No Exit Yet,"-0.67%, 1 day","88.24%, Past 6 years, 17","Daily, is Confirmed on 2026-04-01",No Cancellation Possible,"2026-04-02 (Price: 143.12), 0.67% below",1 day,2026-03-20 (Price: 144.28)/2026-03-27 (Price: 142.01),17 days/1 day/8 days,8.67%/0.19%/2.89%,"11.02%, 11.43%",4.7 months/6 days/1.4 month,2026-10-22/2026-04-09/2026-05-31,5.51%,3.3%,2.21%,0.0,0.11,150.6461/148.2542/154.18/179.4533/186.6499/209.3631/152.0,No Recent Minima/130.72/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,87.86%/140/29 days (Across ALL Assets),78.27%/497/25 days (Across ALL Assets),143.92
"XLV, Long, 2026-03-31 (Price: 146.61)",No Exit Yet,"0.14%, 2 days","100.0%, Past 6 years, 10","Daily, is Confirmed on 2026-03-31",No Cancellation Possible,"2026-04-02 (Price: 146.81), 0.14% above",2 days,2026-03-19 (Price: 146.3)/2026-03-27 (Price: 143.07),11 days/1 day/5 days,5.19%/0.42%/1.86%,"-0.0%, 9.26%",4 months/4 days/1 month,2026-09-20/2026-04-05/2026-05-13,6.27%,6.52%,-0.25%,0.0,0.41,153.0608/149.3369/158.34/159.7267/174.1807/202.706/No EMA 200 Target,No Recent Minima/121.1/117.2225/81.225/No F-Track Level/No F-Track Level/145.76,87.86%/140/29 days (Across ALL Assets),78.27%/497/25 days (Across ALL Assets),144.81
"MA, Long, 2026-03-31 (Price: 499.66)",No Exit Yet,"-1.24%, 2 days","94.44%, Past 6 years, 18","Daily, is Confirmed on 2026-03-31",No Cancellation Possible,"2026-04-02 (Price: 493.44), 1.24% below",2 days,2026-03-20 (Price: 491.005)/2026-03-27 (Price: 480.5),26 days/3 days/11 days,16.65%/0.37%/3.88%,"12.42%, 14.53%",2.6 months/6 days/19 days,2026-07-21/2026-04-08/2026-04-27,12.18%,9.53%,2.65%,0.0,0.51,546.8279/519.0468/534.64/592.095/716.5814/751.3605/552.97,No Recent Minima/305.0867/442.8637/361.9068/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,87.86%/140/29 days (Across ALL Assets),78.27%/497/25 days (Across ALL Assets),500.0
"MAR, Long, 2026-03-31 (Price: 327.07)",No Exit Yet,"1.49%, 2 days","100.0%, Past 6 years, 20","Daily, is Confirmed on 2026-03-31",No Cancellation Possible,"2026-04-02 (Price: 331.93), 1.49% above",2 days,2026-03-16 (Price: 316.97)/2026-03-27 (Price: 316.54),22 days/1 day/7 days,8.43%/0.15%/4.6%,"-0.0%, 9.27%",2.6 months/2 days/16 days,2026-07-21/2026-04-02/2026-04-23,18.13%,19.83%,-1.7%,0.0,0.95,369.5237/342.1152/363.05/No Horizontal Resistance/372.972/399.3723/No EMA 200 Target,No Recent Minima/129.12/275.4012/235.5515/No F-Track Level/No F-Track Level/292.93,87.86%/140/29 days (Across ALL Assets),78.27%/497/25 days (Across ALL Assets),321.17
"TD, Long, 2026-03-31 (Price: 93.31)",No Exit Yet,"2.05%, 2 days","94.12%, Past 6 years, 17","Daily, is Confirmed on 2026-03-31",No Cancellation Possible,"2026-04-02 (Price: 95.22), 2.05% above",2 days,2026-03-20 (Price: 91.66)/2026-03-27 (Price: 91.05),17 days/1 day/7 days,7.34%/0.2%/2.95%,"11.49%, 11.49%",2.2 months/4 days/14 days,2026-07-04/2026-04-05/2026-04-20,8.94%,10.36%,-1.42%,0.0,0.62,100.7188/96.0626/99.84/No Horizontal Resistance/115.2091/125.1041/No EMA 200 Target,No Recent Minima/54.526/75.6865/62.3451/No F-Track Level/No F-Track Level/84.23,87.86%/140/29 days (Across ALL Assets),78.27%/497/25 days (Across ALL Assets),92.52
"TD.TO, Long, 2026-03-31 (Price: 129.92)",No Exit Yet,"1.99%, 2 days","87.5%, Past 6 years, 16","Daily, is Confirmed on 2026-03-31",No Cancellation Possible,"2026-04-02 (Price: 132.51), 1.99% above",2 days,2026-03-23 (Price: 127.45)/2026-03-27 (Price: 126.46),21 days/1 day/9 days,9.7%/0.74%/2.54%,"12.12%, 13.53%",1.2 month/4 days/15 days,2026-05-22/2026-04-05/2026-04-21,4.79%,10.11%,-5.32%,0.0,0.67,136.5069/133.22/136.42/No Horizontal Resistance/152.0396/161.295/No EMA 200 Target,No Recent Minima/73.6233/128.6672/103.0479/No F-Track Level/No F-Track Level/116.31,87.86%/140/29 days (Across ALL Assets),78.27%/497/25 days (Across ALL Assets),128.79
"MSE.PA, Long, 2026-03-31 (Price: 62.25)",No Exit Yet,"2.28%, 2 days","100.0%, Past 6 years, 16","Daily, is Confirmed on 2026-03-31",No Cancellation Possible,"2026-04-02 (Price: 63.67), 2.28% above",2 days,2026-03-20 (Price: 61.5)/2026-03-23 (Price: 60.08),22 days/1 day/7 days,7.13%/0.14%/3.0%,"-0.0%, 10.03%",3.4 months/6 days/28 days,2026-08-25/2026-04-08/2026-05-10,10.1%,10.65%,-0.55%,0.0,0.7,66.8129/64.1175/65.36/No Horizontal Resistance/81.1364/93.8009/62.7,No Recent Minima/33.6667/58.4776/52.627/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,87.86%/140/29 days (Across ALL Assets),78.27%/497/25 days (Across ALL Assets),61.93
"SLV, Long, 2026-03-30 (Price: 63.52)",2026-03-31 (Price: 68.14),"7.27%, 1 day","80.95%, Past 6 years, 21","Daily, is Confirmed on 2026-03-30",No Cancellation Possible,"2026-04-02 (Price: 65.79), 3.57% above",3 days,2026-03-24 (Price: 61.269)/2026-03-26 (Price: 60.37),1 month/1 day/8 days,8.42%/0.3%/2.63%,"13.51%, 16.07%",2.1 months/6 days/17 days,2026-06-29/2026-04-07/2026-04-23,1.45%,21.25%,-19.8%,0.0,1.01,65.7178/65.1906/66.7/No Horizontal Resistance/89.0774/103.171/No EMA 200 Target,No Recent Minima/18.99/59.1217/54.635/No F-Track Level/No F-Track Level/52.84,87.86%/140/29 days (Across ALL Assets),78.27%/497/25 days (Across ALL Assets),64.46
"SLV, Long, 2026-03-24 (Price: 62.95)",2026-03-31 (Price: 68.14),"8.24%, 7 days","80.95%, Past 6 years, 21","Daily, is Confirmed on 2026-03-24",No Cancellation Possible,"2026-04-02 (Price: 65.79), 4.51% above",9 days,2026-03-18 (Price: 68.66)/2026-03-19 (Price: 60.8501),1 month/1 day/8 days,8.42%/0.3%/2.63%,"13.51%, 16.07%",2.1 months/6 days/17 days,2026-06-23/2026-04-01/2026-04-17,1.45%,21.25%,-19.8%,0.0,1.01,65.1281/64.6056/66.1/No Horizontal Resistance/89.0774/103.171/No EMA 200 Target,No Recent Minima/18.99/59.1217/54.635/No F-Track Level/No F-Track Level/52.84,87.86%/140/29 days (Across ALL Assets),78.27%/497/25 days (Across ALL Assets),61.62
"USO, Long, 2026-03-17 (Price: 118.84)",2026-03-30 (Price: 129.83),"9.25%, 13 days","82.35%, Past 6 years, 17","Daily, is Confirmed on 2026-03-17",No Cancellation Possible,"2026-04-02 (Price: 137.92), 16.06% above",16 days,2026-03-09 (Price: 98.47)/2026-03-13 (Price: 114.56),14 days/1 day/6 days,9.25%/0.01%/3.75%,"13.9%, 14.07%",3 months/7 days/28 days,2026-07-25/2026-03-27/2026-04-26,6.05%,16.2%,-10.15%,0.0,0.76,142.9289/123.2965/124.78/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,No Recent Minima/58.7667/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/78.38,87.86%/140/29 days (Across ALL Assets),78.27%/497/25 days (Across ALL Assets),117.42
"WFG.TO, Long, 2026-03-13 (Price: 88.6)",2026-04-02 (Price: 90.72),"2.39%, 20 days","90.48%, Past 6 years, 21","Daily, is Confirmed on 2026-03-13",No Cancellation Possible,"2026-04-02 (Price: 90.72), 2.39% above",20 days,2026-03-03 (Price: 86.37)/2026-03-09 (Price: 85.79),19 days/1 day/7 days,8.71%/0.1%/3.97%,"10.87%, 12.67%",1.5 month/1 day/13 days,2026-05-17/2026-03-14/2026-03-31,13.5%,16.09%,-2.59%,0.0,0.77,97.3005/92.1174/93.92/131.52/170.6139/181.1797/93.79,No Recent Minima/81.2433/80.1487/76.1079/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,87.86%/140/29 days (Across ALL Assets),78.27%/497/25 days (Across ALL Assets),87.4
"IFT.NZ, Long, 2026-02-19 (Price: 11.08)",2026-03-30 (Price: 11.71),"5.69%, 1.3 month","92.31%, Past 6 years, 13","Daily, is Confirmed on 2026-02-19",No Cancellation Possible,"2026-04-02 (Price: 11.48), 3.61% above",1.4 month,2026-02-05 (Price: 10.78)/2026-02-17 (Price: 10.73),28 days/2 days/8 days,7.69%/0.19%/2.68%,"10.2%, 10.2%",2.3 months/6 days/21 days,2026-05-29/2026-02-27/2026-03-21,7.31%,13.09%,-5.78%,0.0,0.76,12.0894/11.3769/12.41/12.825/18.927/29.733/11.54,No Recent Minima/7.3167/8.121/5.57/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,87.86%/140/29 days (Across ALL Assets),78.27%/497/25 days (Across ALL Assets),10.99
