"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"AMZN, Long, 2026-04-08 (Price: 213.77)",No Exit Yet,"0.0%, 0 days","100.0%, Past 28 years, 7","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 196.0 prior to 2026-04-30,"2026-04-08 (Price: 213.77), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 200.6016),6.56% above,"2018-12-31 (Price: 65.35), 2025-02-28 (Price: 242.52)",30.98%/22.5%/27.11%,"-0.0%, 57.81%",3 years/2 months/1.1 year,2030-07-20/2026-07-03/2027-11-02,8.91%,21.22%,-12.31%,0.34,0.81,299.5773/271.723/320.07/241.71/257.1563/274.1043/224.54,208.27/86.995/194.9126/182.8127/No stop loss/190.9211/No EMA 200 Stop Loss,90.24%/41/1.4 year (Across ALL Assets),63.64%/66/9.7 months (Across ALL Assets),210.435
"META, Long, 2026-04-08 (Price: 575.05)",No Exit Yet,"0.0%, 0 days","100.0%, Past 13 years, 9","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 520.26 prior to 2026-04-10,"2026-04-08 (Price: 575.05), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 525.7329),9.38% above,"2022-11-06 (Price: 88.09), 2025-08-17 (Price: 796.25)",20.56%/15.24%/17.03%,"-0.0%, 73.01%",2.1 years/21 days/8.4 months,2029-04-07/2026-05-08/2027-04-08,15.2%,14.59%,0.61%,0.0,0.68,680.1116/672.981/999.95/742.455/915.851/1095.6891/683.83,525.72/276.89/491.5059/449.4805/525.7329/442.17/No EMA 200 Stop Loss,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets),577.69
"FXI, Long, 2026-04-08 (Price: 35.48)",No Exit Yet,"0.0%, 0 days","94.44%, Past 20 years, 18","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 34.77 prior to 2026-04-10,"2026-04-08 (Price: 35.48), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 33.9245),4.59% above,"2024-01-28 (Price: 20.86), 2025-10-05 (Price: 42.0)",20.93%/0.55%/14.97%,"1.3%, 33.51%",4.3 years/2.3 months/1.8 year,2032-05-28/2026-07-16/2028-11-01,9.45%,1.16%,8.29%,0.0,0.04,36.7644/40.7914/48.16/42.105/78.2212/94.2202/38.66,34.85/20.865/No F-Stack Support/No F-Stack Support/33.9245/31.43/No EMA 200 Stop Loss,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets),35.34
"IEI, Long, 2026-04-08 (Price: 118.29)",No Exit Yet,"0.0%, 0 days","87.5%, Past 19 years, 16","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 117.655 prior to 2026-04-10,"2026-04-08 (Price: 118.29), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 119.2964),0.84% below,"2025-01-19 (Price: 114.51), 2026-03-01 (Price: 120.7799)",15.01%/1.09%/3.96%,"2.66%, 7.33%",9.5 years/4 months/2.5 years,2039-10-30/2026-09-28/2029-11-01,-1.45%,0.62%,-2.07%,0.0,-0.91,120.1235/122.9743/122.05/130.0867/No Next Fib Ext/No Next Fib Ext/119.26,117.96/113.4857/No F-Stack Support/No F-Stack Support/No stop loss/No stop loss/No EMA 200 Stop Loss,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets),118.07
"SLV, Long, 2026-04-08 (Price: 65.94)",No Exit Yet,"0.0%, 0 days","91.67%, Past 19 years, 12","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 60.37 prior to 2026-04-10,"2026-04-08 (Price: 65.94), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 60.345),9.27% above,"2020-03-22 (Price: 10.86), 2026-02-01 (Price: 109.83)",27.39%/2.49%/16.88%,"27.01%, 72.45%",14.4 years/2.1 months/3.8 years,2046-10-28/2026-07-08/2031-09-10,3.0%,5.64%,-2.64%,0.0,0.29,89.0915/77.0707/125.32/No Horizontal Resistance/94.8082/101.3904/No EMA 200 Target,61.52/18.99/48.8956/38.057/63.01/51.9605/53.17,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets),65.85
"NFLX, Long, 2026-04-08 (Price: 98.82)",No Exit Yet,"0.0%, 0 days","100.0%, Past 23 years, 4","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 75.01 prior to 2026-04-30,"2026-04-08 (Price: 98.82), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 75.193),31.42% above,"2022-05-31 (Price: 16.271), 2025-06-30 (Price: 134.115)",31.41%/25.28%/27.8%,"-0.0%, 41.17%",1.4 year/1 month/7.1 months,2028-04-05/2026-05-21/2027-02-10,7.76%,22.11%,-14.35%,0.79,0.89,116.8151/126.292/169.53/No Horizontal Resistance/138.686/154.9498/106.9,83.49/34.8663/77.3488/70.5306/89.0986/75.193/No EMA 200 Stop Loss,90.24%/41/1.4 year (Across ALL Assets),63.64%/66/9.7 months (Across ALL Assets),96.52
"XLV, Long, 2026-04-08 (Price: 146.57)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 18","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 143.07 prior to 2026-04-10,"2026-04-08 (Price: 146.57), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 143.97),1.81% above,"2025-05-18 (Price: 127.35), 2026-01-11 (Price: 160.59)",16.96%/1.4%/12.81%,"-0.0%, 24.31%",2.3 years/2.8 months/1.1 year,2029-07-18/2026-08-07/2027-11-02,9.46%,5.57%,3.89%,0.0,0.31,No Target/165.3456/166.51/159.8525/224.2592/345.2017/No EMA 200 Target,143.26/120.475/103.3166/74.766/No stop loss/143.97/145.89,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets),146.28
"XLF, Long, 2026-04-08 (Price: 49.88)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 18","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 47.67 prior to 2026-04-10,"2026-04-08 (Price: 49.88), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 46.9089),6.33% above,"2023-10-29 (Price: 31.36), 2026-01-11 (Price: 56.52)",18.9%/6.5%/15.52%,"-0.0%, 39.33%",2.9 years/2.1 months/1.1 year,2030-05-29/2026-07-08/2027-11-02,11.14%,2.25%,8.89%,0.0,0.1,55.0176/57.6214/64.98/51.78/59.6731/64.3957/52.69,47.81/30.1167/49.3988/43.6866/No stop loss/46.2327/No EMA 200 Stop Loss,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets),49.51
"MA, Long, 2026-04-08 (Price: 498.28)",No Exit Yet,"0.0%, 0 days","90.48%, Past 19 years, 21","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 480.5 prior to 2026-04-10,"2026-04-08 (Price: 498.28), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 475.6409),4.76% above,"2014-04-13 (Price: 68.68), 2025-08-24 (Price: 601.77)",20.8%/7.86%/16.28%,"10.74%, 25.66%",1.6 year/1.4 month/6.4 months,2028-07-20/2026-06-07/2027-01-11,12.77%,18.03%,-5.26%,0.0,0.93,534.9534/579.4/818.13/592.095/716.5814/751.3605/552.43,484.24/305.0867/442.8637/361.9068/477.6582/439.32/No EMA 200 Stop Loss,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets),493.75
"SONY, Long, 2026-04-08 (Price: 20.88)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 20","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 19.74 prior to 2026-04-10,"2026-04-08 (Price: 20.88), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 19.4813),7.18% above,"2012-12-09 (Price: 1.914), 2025-11-16 (Price: 30.34)",22.46%/3.67%/15.62%,"-0.0%, 82.39%",11.3 years/14 days/1.3 year,2042-05-26/2026-04-28/2028-02-14,9.08%,2.8%,6.28%,0.0,0.16,21.7632/24.1415/37.94/26.85/31.4999/37.8207/25.73,19.91/14.992/20.7885/19.3165/20.8735/18.3001/No EMA 200 Stop Loss,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets),20.65
