Symbol,Signal,Signal Date/Price($),Latest Trading Date/Price($),Interval,Current F-Stack Level($),Current Band Price Range($),Width of Current Band(%),Band Composition (F-Stack Level(%) of Low($)-High($) & ..),Trading Days between signal date and Latest Trading date,Price on Latest Trading day vs signal date,Next Band Price Level($),Next Band Price Range($),Next F-Track [%] (Price Level [$]/Retracement Level [%]/Upmove [$]),Next F-Track [%] Price Level vs Price on Latest Trading day,Next Band Price Level vs Price on Latest Trading day
AEM.TO,Resistance,2026-04-10 (Price: 302.27),2026-04-10 (Price: 302.27),Monthly,344.1573,342.4745-345.8402,0.98,685.4% of 65.7100-106.0900 & 685.4% of 30.9600-76.6000 & 1794.4% of 60.7100-76.6000,0 days,0.0% below,408.5138,399.0061-418.0216,280.4254/23.66/65.04-282.37,7.23% below,35.15% above
GLXY,Semi-Resistance,2026-04-10 (Price: 21.66),2026-04-10 (Price: 21.66),Weekly,37.5916,37.5916-37.5916,0,423.6% of 17.6400-22.3500,0 days,0.0% below,43.3019,43.3019-43.3019,No Support,No Support,99.92% above
XLE,Resistance,2026-04-10 (Price: 56.94),2026-04-10 (Price: 56.94),Monthly,60.4540,60.454-60.454,0,161.8% of 33.2150-50.0500,0 days,0.0% below,62.9940,62.994-62.994,57.2575/23.66/40.25-61.26,0.56% above,10.63% above
HOOD,Semi-Resistance,2026-04-05 (Price: 68.9),2026-04-10 (Price: 69.19),Weekly,128.2528,128.1648-128.3408,0.14,4697.8% of 10.2500-12.7600 & 2903.4% of 8.1400-12.2800,5 days,0.42% above,201.8345,201.0401-202.6289,No Support,No Support,191.71% above
TSM,Resistance,2026-03-31 (Price: 337.95),2026-04-10 (Price: 370.6),Monthly,360.6179,354.7411-366.4947,3.31,685.4% of 82.9800-122.6300 & 7601.2% of 19.8800-24.4400,10 days,9.66% above,381.0775,381.0775-381.0775,311.9475/23.66/82.98-374.58,15.83% below,2.83% above
FRW.NZ,Semi-Resistance,2026-03-31 (Price: 12.0),2026-04-10 (Price: 12.85),Monthly,12.9950,12.995-12.995,0,685.4% of 5.2500-6.3800,10 days,7.08% above,14.9925,14.5647-15.4203,12.2169/38.2/7.45-14.35,4.93% below,16.67% above
RHHBY,Semi-Resistance,2026-03-31 (Price: 49.71),2026-04-10 (Price: 50.0),Monthly,53.6486,52.5578-54.7393,4.15,161.8% of 35.8600-46.1800 & 261.8% of 34.8800-42.3300 & 161.8% of 32.3300-46.1800,10 days,0.58% above,62.8778,62.8778-62.8778,48.7597/38.2/32.01-59.55,2.48% below,25.76% above
JPM,Resistance,2026-03-31 (Price: 294.16),2026-04-10 (Price: 309.87),Monthly,312.3064,312.3064-312.3064,0,423.6% of 125.8800-169.8900,10 days,5.34% above,349.5825,348.7963-350.3688,281.4195/23.66/125.88-305.89,9.18% below,12.82% above
GDX,Resistance,2026-03-31 (Price: 91.77),2026-04-10 (Price: 99.39),Monthly,105.4613,105.4613-105.4613,0,261.8% of 24.1200-55.1900,10 days,8.3% above,118.8531,118.8531-118.8531,95.5131/23.66/28.01-91.77,3.9% below,19.58% above
BPCL.NS,Resistance,2026-03-31 (Price: 281.0),2026-04-10 (Price: 299.35),Monthly,382.1589,382.1589-382.1589,0,261.8% of 201.9750-270.8000,10 days,6.53% above,420.2463,414.0079-426.4846,294.2285/61.8/278.47-385.4,1.71% below,40.39% above
GS,Resistance,2026-03-31 (Price: 845.99),2026-04-10 (Price: 907.8),Monthly,916.0326,916.0326-916.0326,0,1794.4% of 167.0500-208.7900,10 days,7.31% above,973.4919,973.4919-973.4919,820.1826/23.66/303.61-935.41,9.65% below,7.24% above
WPM.TO,Resistance,2026-03-31 (Price: 182.6),2026-04-10 (Price: 200.24),Monthly,214.5622,213.5242-215.6002,0.97,1794.4% of 22.6000-33.2400 & 685.4% of 44.7300-69.6600,10 days,9.66% above,225.4868,225.4868-225.4868,185.3862/23.66/55.93-182.6,7.42% below,12.61% above
