Symbol,Interval,Latest Horizontal,Current Price,Difference (%),Type
^TNX,Daily,4.1085,4.186,1.89,Support
EURUSD=X,Daily,1.1686,1.1631,0.47,Resistance
EURUSD=X,Weekly,1.1452,1.1631,1.56,Support
ABNB,Daily,124.51,125.39,0.71,Support
NZDUSD=X,Daily,0.5837,0.5781,0.96,Resistance
HDB,Daily,35.59,35.17,1.18,Resistance
INDY,Daily,51.4767,52.43,1.85,Support
DIS,Daily,107.6125,107.02,0.55,Resistance
HDFCBANK.NS,Daily,1009.6,997.1,1.24,Resistance
IEI,Daily,119.515,119.11,0.34,Resistance
IEI,Weekly,119.345,119.11,0.2,Resistance
GBPUSD=X,Daily,1.3436,1.3303,0.99,Resistance
GBPUSD=X,Weekly,1.3358,1.3303,0.42,Resistance
CAD=X,Daily,1.3828,1.3843,0.11,Support
CAD=X,Weekly,1.3785,1.3843,0.42,Support
IHI,Daily,62.445,61.74,1.13,Resistance
GBPSGD=X,Daily,1.7306,1.7217,0.52,Resistance
GBPSGD=X,Weekly,1.7483,1.7217,1.52,Resistance
JNK,Daily,97.4671,96.94,0.54,Resistance
JNK,Weekly,96.515,96.94,0.44,Support
HYG,Daily,80.075,80.46,0.48,Support
HYG,Weekly,78.975,80.46,1.88,Support
XLV,Daily,149.295,149.96,0.45,Support
RELIANCE.NS,Daily,1531.725,1529.4,0.15,Resistance
PFE,Daily,25.65,25.33,1.25,Resistance
^NSEI,Daily,25973.3496,25839.6504,0.51,Resistance
C6L.SI,Daily,6.1667,6.28,1.84,Support
NIFTY_MIDCAP_100.NS,Daily,60182.9323,59676.1992,0.84,Resistance
DBC,Daily,23.34,22.99,1.5,Resistance
GILD,Daily,120.895,119.36,1.27,Resistance
INFY,Daily,17.818,17.75,0.38,Resistance
JETS,Daily,27.045,27.48,1.61,Support
JETS,Weekly,26.9582,27.48,1.94,Support
NZDCAD=X,Daily,0.7945,0.8001,0.7,Support
NZDCAD=X,Weekly,0.791,0.8001,1.15,Support
PG,Daily,142.22,139.63,1.82,Resistance
RINF,Daily,32.33,32.495,0.51,Support
USO,Daily,71.282,69.86,1.99,Resistance
CEN.NZ,Daily,9.4367,9.28,1.66,Resistance
AIA.NZ,Daily,7.965,8.09,1.57,Support
AIA.NZ,Weekly,8.295,8.09,2.47,Resistance
CNU.NZ,Daily,9.22,9.18,0.43,Resistance
CNU.NZ,Weekly,9.3875,9.18,2.21,Resistance
FPH.NZ,Daily,37.54,38.06,1.39,Support
GNE.NZ,Daily,2.39,2.37,0.84,Resistance
GNE.NZ,Weekly,2.3525,2.37,0.74,Support
IFT.NZ,Daily,11.925,11.7,1.89,Resistance
MFT.NZ,Daily,66.0371,67.25,1.84,Support
MCY.NZ,Daily,6.2083,6.33,1.96,Support
MEL.NZ,Weekly,5.73,5.6,2.27,Resistance
SUM.NZ,Daily,11.765,11.94,1.49,Support
ATD.TO,Daily,73.26,72.11,1.57,Resistance
BYD.TO,Daily,231.6533,228.8,1.23,Resistance
BIPC.TO,Daily,63.1517,63.85,1.11,Support
CNQ.TO,Daily,46.105,46.67,1.23,Support
DOL.TO,Daily,197.56,199.31,0.89,Support
SJ.TO,Daily,84.3925,83.85,0.64,Resistance
TFII.TO,Daily,136.578,136.78,0.15,Support
^NZ50,Weekly,13418.2035,13508.0801,0.67,Support
USDCHF=X,Daily,0.7933,0.806,1.61,Support
