"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Divergence Start/End (Date and Price [$]),Divergence Duration (days) (Max./Min./Avg.),Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Max Drawdown [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"UBER, Long, 2025-10-20 (Price: 93.7)",No Exit Yet,"0.0%, 0 days","80.0%, Past 6 years, 20","Daily, is Confirmed on 2025-10-20",No Cancellation Possible,"2025-10-20 (Price: 93.7), 0.0% below",0 days,2025-10-13 (Price: 93.43)/2025-10-16 (Price: 91.18),11/1/4 days,17.75%/5.02%/8.49%,"10.95%, 14.13%",17 days/1 days/6 days,2025-11-13/2025-10-21/2025-10-28,19.73%,18.04%,1.69%,0.53,0.59,107.249/101.6551/98.39/No Horizontal Resistance/107.7755/125.1558,No Recent Minima/34.6025/91.3492/72.9529/90.8343/83.9787,95.21/83.75,72.62%/84/37 days (Across ALL Assets),66.23%/302/45 days (Across ALL Assets)
"XLE, Long, 2025-10-20 (Price: 86.89)",No Exit Yet,"0.0%, 0 days","84.62%, Past 6 years, 13","Daily, is Confirmed on 2025-10-20",No Cancellation Possible,"2025-10-20 (Price: 86.89), 0.0% below",0 days,2025-10-13 (Price: 85.59)/2025-10-16 (Price: 84.7),20/1/7 days,21.51%/5.03%/10.46%,"14.4%, 17.68%",216 days/4 days/53 days,2026-08-28/2025-10-25/2026-01-04,19.19%,5.78%,13.41%,0.62,0.23,96.9953/95.9787/91.23/98.445/104.3423/114.0961,No Recent Minima/45.695/82.9523/53.8536/99.6301/102.5861,88.0/87.01,72.62%/84/37 days (Across ALL Assets),66.23%/302/45 days (Across ALL Assets)
"INFY, Long, 2025-10-20 (Price: 16.91)",No Exit Yet,"0.0%, 0 days","82.35%, Past 6 years, 17","Daily, is Confirmed on 2025-10-20",No Cancellation Possible,"2025-10-20 (Price: 16.91), 0.0% below",0 days,2025-10-01 (Price: 16.21)/2025-10-16 (Price: 15.82),27/1/7 days,31.99%/5.11%/9.83%,"13.51%, 18.16%",191 days/1 days/34 days,2026-07-23/2025-10-21/2025-12-08,19.88%,6.2%,13.68%,0.52,0.23,18.8513/18.5723/18.77/23.796/25.6134/28.3998,No Recent Minima/16.074/15.7658/14.2072/19.8266/20.2977,16.74/18.43,72.62%/84/37 days (Across ALL Assets),66.23%/302/45 days (Across ALL Assets)
"MA, Long, 2025-10-20 (Price: 566.36)",No Exit Yet,"0.0%, 0 days","92.31%, Past 6 years, 13","Daily, is Confirmed on 2025-10-20",No Cancellation Possible,"2025-10-20 (Price: 566.36), 0.0% below",0 days,2025-09-29 (Price: 562.51)/2025-10-16 (Price: 547.39),13/3/8 days,14.89%/5.11%/8.68%,"10.29%, 14.79%",95 days/2 days/27 days,2026-03-06/2025-10-22/2025-11-28,24.21%,13.3%,10.91%,1.26,0.48,638.7974/615.52/639.99/592.9033/716.5814/751.3605,No Recent Minima/306.91/554.0572/515.4888/560.8595/535.7184,579.53/558.3,72.62%/84/37 days (Across ALL Assets),66.23%/302/45 days (Across ALL Assets)
"GBPUSD=X, Long, 2025-10-16 (Price: 1.3404)",No Exit Yet,"0.04%, 2 days","72.73%, Past 6 years, 11","Daily, is Confirmed on 2025-10-16",No Cancellation Possible,"2025-10-20 (Price: 1.341), 0.04% above",2 days,2025-09-30 (Price: 1.3416)/2025-10-14 (Price: 1.3251),35/2/12 days,15.34%/5.05%/9.0%,"12.61%, 19.34%",581 days/18 days/213 days,2028-02-04/2025-11-11/2026-08-20,-1.6%,1.36%,-2.96%,0.19,-0.31,1.3679/1.461/1.47/1.4232/2.4421/3.2078,No Recent Minima/1.1912/No Next Fib Ext Support/No Next Fib Ext Support/No Fib Ret Level/No Fib Ret Level,1.35/1.32,72.62%/84/37 days (Across ALL Assets),66.23%/302/45 days (Across ALL Assets)
"BTI, Long, 2025-10-16 (Price: 51.14)",No Exit Yet,"0.04%, 2 days","75.0%, Past 6 years, 16","Daily, is Confirmed on 2025-10-16",No Cancellation Possible,"2025-10-20 (Price: 51.16), 0.04% above",2 days,2025-10-06 (Price: 50.92)/2025-10-14 (Price: 50.13),16/2/8 days,16.26%/5.2%/9.29%,"11.01%, 15.66%",102 days/4 days/41 days,2026-03-12/2025-10-21/2025-12-14,14.11%,7.85%,6.26%,0.47,0.28,56.387/55.8909/54.21/No Horizontal Resistance/82.226/92.0468,No Recent Minima/28.5067/49.3734/41.6622/No Fib Ret Level/No Fib Ret Level,54.75/46.49,72.62%/84/37 days (Across ALL Assets),66.23%/302/45 days (Across ALL Assets)
"MA, Long, 2025-10-15 (Price: 562.81)",No Exit Yet,"0.63%, 3 days","92.31%, Past 6 years, 13","Daily, is Confirmed on 2025-10-15",No Cancellation Possible,"2025-10-20 (Price: 566.36), 0.63% above",3 days,2025-09-26 (Price: 564.06)/2025-10-13 (Price: 553.01),13/3/8 days,14.89%/5.11%/8.68%,"10.29%, 14.79%",95 days/2 days/27 days,2026-03-01/2025-10-17/2025-11-23,24.21%,13.3%,10.91%,1.26,0.48,634.7934/611.6619/624.72/592.9033/716.5814/751.3605,No Recent Minima/306.91/554.0572/515.4888/No Fib Ret Level/No Fib Ret Level,579.53/558.3,72.62%/84/37 days (Across ALL Assets),66.23%/302/45 days (Across ALL Assets)
"DOL.TO, Long, 2025-10-15 (Price: 176.2)",No Exit Yet,"3.86%, 3 days","90.0%, Past 6 years, 10","Daily, is Confirmed on 2025-10-15",No Cancellation Possible,"2025-10-20 (Price: 183.0), 3.86% above",3 days,2025-10-08 (Price: 175.04)/2025-10-10 (Price: 174.36),15/1/6 days,15.26%/5.54%/9.06%,"10.55%, 10.55%",67 days/6 days/31 days,2026-01-20/2025-10-23/2025-11-28,14.73%,25.81%,-11.08%,0.79,1.09,188.6221/192.1637/185.01/197.56/194.1559/294.0831,No Recent Minima/53.835/132.3972/94.2286/No Fib Ret Level/No Fib Ret Level,186.8/169.91,72.62%/84/37 days (Across ALL Assets),66.23%/302/45 days (Across ALL Assets)
"TRI.TO, Long, 2025-10-14 (Price: 217.14)",No Exit Yet,"3.96%, 4 days","100.0%, Past 6 years, 11","Daily, is Confirmed on 2025-10-14",No Cancellation Possible,"2025-10-20 (Price: 225.74), 3.96% above",4 days,2025-10-01 (Price: 212.69)/2025-10-09 (Price: 209.7),26/1/6 days,28.53%/5.03%/9.58%,"0.0%, 12.44%",229 days/2 days/66 days,2026-09-10/2025-10-16/2026-01-17,21.98%,17.11%,4.87%,1.44,0.74,237.6597/237.942/230.17/240.8933/293.2329/316.3836,No Recent Minima/116.89/193.124/131.2534/No Fib Ret Level/No Fib Ret Level,230.57/249.55,72.62%/84/37 days (Across ALL Assets),66.23%/302/45 days (Across ALL Assets)
"EWJ, Long, 2025-10-14 (Price: 80.04)",No Exit Yet,"4.37%, 4 days","78.57%, Past 6 years, 14","Daily, is Confirmed on 2025-10-14",No Cancellation Possible,"2025-10-20 (Price: 83.54), 4.37% above",4 days,2025-10-02 (Price: 79.81)/2025-10-10 (Price: 78.21),19/2/8 days,19.26%/5.17%/10.62%,"11.22%, 15.4%",231 days/4 days/79 days,2026-09-13/2025-10-19/2026-02-05,15.61%,6.1%,9.51%,0.52,0.2,85.4987/88.5402/84.84/No Horizontal Resistance/83.4752/89.1379,No Recent Minima/53.915/68.8472/52.3436/No Fib Ret Level/No Fib Ret Level,80.26/73.12,72.62%/84/37 days (Across ALL Assets),66.23%/302/45 days (Across ALL Assets)
