"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Max Drawdown [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"EURUSD=X, Long, 2025-10-10 (Price: 1.1631)",No Exit Yet,"0.0%, 0 days","77.78%, Past 5 years, 9","Daily, is CONFIRMED on 2025-10-10",No Cancellation Possible,"2025-10-10 (Price: 1.1631), 0.0% below",0 days,4.81%/1.72%/3.42%,"8.62%, 11.16%",272 days/59 days/185 days,2026-11-07/2026-01-03/2026-07-04,0.46%,-0.17%,0.63%,-0.04,-0.58,1.1704/1.2029/1.19/1.2286/1.7547/2.0096,1.16/1.0256/No Next Fib Ext Support/No Next Fib Ext Support/1.1455/1.1605,1.17/1.12,72.6%/73/119 days (Across ALL Assets),76.11%/247/112 days (Across ALL Assets)
"IHI, Long, 2025-10-10 (Price: 58.83)",No Exit Yet,"0.0%, 0 days","100.0%, Past 15 years, 4","Weekly, is CONFIRMED on 2025-10-10",No Cancellation Possible,"2025-10-10 (Price: 58.83), 0.0% below",0 days,90.17%/12.99%/38.83%,"0%, 33.41%",1609 days/194 days/597 days,2032-02-26/2026-07-17/2028-02-21,11.22%,13.6%,-2.38%,1.06,0.62,65.7543/81.6737/73.71/66.34/No Next Fib Ext/No Next Fib Ext,55.0/46.725/No Next Fib Ext Support/No Next Fib Ext Support/68.0854/69.871,60.99/61.0,100.0%/10/531 days (Across ALL Assets),81.32%/91/288 days (Across ALL Assets)
"HYG, Long, 2025-10-10 (Price: 79.95)",No Exit Yet,"0.0%, 0 days","80.0%, Past 5 years, 5","Daily, is CONFIRMED on 2025-10-10",No Cancellation Possible,"2025-10-10 (Price: 79.95), 0.0% below",0 days,3.6%/0.7%/2.06%,"11.97%, 18.71%",145 days/51 days/92 days,2026-05-08/2025-12-22/2026-02-20,-0.24%,-0.79%,0.55%,-0.12,-0.65,81.2052/81.597/81.4/86.99/No Next Fib Ext/No Next Fib Ext,79.85/72.2733/No Next Fib Ext Support/No Next Fib Ext Support/81.3248/82.0591,80.73/79.6,72.6%/73/119 days (Across ALL Assets),76.11%/247/112 days (Across ALL Assets)
"JPM, Long, 2025-10-10 (Price: 300.89)",No Exit Yet,"0.0%, 0 days","81.82%, Past 5 years, 11","Daily, is CONFIRMED on 2025-10-10",No Cancellation Possible,"2025-10-10 (Price: 300.89), 0.0% below",0 days,29.39%/3.29%/13.39%,"15.14%, 25.07%",144 days/26 days/69 days,2026-05-06/2025-11-16/2026-01-17,23.01%,23.79%,-0.78%,0.66,0.95,330.3772/341.1792/335.78/No Horizontal Resistance/322.8175/357.3035,292.91/125.7575/297.9709/269.1336/266.7317/235.2191,301.42/270.26,72.6%/73/119 days (Across ALL Assets),76.11%/247/112 days (Across ALL Assets)
"SPOT, Long, 2025-10-07 (Price: 680.44)",No Exit Yet,"0.71%, 3 days","71.43%, Past 5 years, 7","Daily, was CONFIRMED on 2025-10-07",No Cancellation Possible,"2025-10-10 (Price: 685.29), 0.71% above",3 days,32.52%/18.64%/24.9%,"51.87%, 71.68%",92 days/31 days/63 days,2026-02-17/2025-11-20/2026-01-06,5.4%,23.09%,-17.69%,0.24,0.72,802.1027/849.8696/825.99/No Horizontal Resistance/860.054/995.9806,680.28/118.6/642.6903/612.322/No Fib Ret Level/No Fib Ret Level,697.98/631.46,72.6%/73/119 days (Across ALL Assets),76.11%/247/112 days (Across ALL Assets)
"TRI.TO, Long, 2025-10-05 (Price: 213.48)",No Exit Yet,"-0.68%, 4 days","100.0%, Past 15 years, 4","Weekly, was CONFIRMED on 2025-10-05",No Cancellation Possible,"2025-10-10 (Price: 212.03), 0.68% below",4 days,61.32%/6.21%/35.09%,"0%, 26.37%",689 days/274 days/536 days,2028-06-28/2026-11-05/2027-11-20,10.95%,11.61%,-0.66%,1.22,0.51,215.2946/288.3901/251.84/240.8933/293.2329/455.2123,206.41/116.89/193.124/131.2534/No Fib Ret Level/No Fib Ret Level,234.95/249.82,100.0%/10/531 days (Across ALL Assets),81.32%/91/288 days (Across ALL Assets)
"KXS.TO, Long, 2025-09-28 (Price: 175.17)",No Exit Yet,"3.97%, 9 days","75.0%, Past 11 years, 4","Weekly, was CONFIRMED on 2025-09-28",No Cancellation Possible,"2025-10-10 (Price: 182.12), 3.97% above",9 days,73.93%/26.08%/55.55%,"8.59%, 20.85%",334 days/119 days/199 days,2027-01-24/2026-03-19/2026-07-13,26.02%,25.88%,0.14%,0.94,0.83,239.6851/272.4769/256.08/209.885/222.5978/243.8843,155.11/125.3967/151.1683/123.9058/No Fib Ret Level/No Fib Ret Level,189.26/182.48,100.0%/10/531 days (Across ALL Assets),81.32%/91/288 days (Across ALL Assets)
"TSM, Long, 2025-03-03 (Price: 172.97)",2025-10-10 (Price: 280.66) (Today),"62.26%, 159 days","80.0%, Past 5 years, 5","Daily, was CONFIRMED on 2025-03-03",No Cancellation Possible,"2025-10-10 (Price: 280.66), 62.26% above",159 days,31.95%/17.95%/23.07%,"30.45%, 57.14%",158 days/62 days/97 days,2025-10-17/2025-05-31/2025-07-21,8.03%,25.65%,-17.62%,0.34,0.83,207.2872/212.8742/210.08/No Horizontal Resistance/217.8566/230.123,172.07/83.66/169.1372/135.8936/No Fib Ret Level/No Fib Ret Level,256.0/211.81,72.6%/73/119 days (Across ALL Assets),76.11%/247/112 days (Across ALL Assets)
"EFA, Long, 2024-08-05 (Price: 75.32)",2025-10-10 (Price: 92.24) (Today),"22.46%, 309 days","85.71%, Past 5 years, 7","Daily, was CONFIRMED on 2024-08-05",No Cancellation Possible,"2025-10-10 (Price: 92.24), 22.46% above",309 days,21.63%/3.92%/11.84%,"17.07%, 26.14%",368 days/43 days/149 days,2026-01-20/2024-10-06/2025-03-08,9.37%,7.28%,2.09%,0.51,0.27,79.8618/84.2379/82.05/81.724/No Next Fib Ext/No Next Fib Ext,74.27/60.255/No Next Fib Ext Support/No Next Fib Ext Support/No Fib Ret Level/No Fib Ret Level,92.19/85.78,72.6%/73/119 days (Across ALL Assets),76.11%/247/112 days (Across ALL Assets)
"SOXX, Long, 2024-04-17 (Price: 210.36)",2025-10-10 (Price: 271.99) (Today),"29.3%, 387 days","80.0%, Past 5 years, 10","Daily, was CONFIRMED on 2024-04-17",No Cancellation Possible,"2025-10-10 (Price: 271.99), 29.3% above",387 days,22.15%/10.91%/17.39%,"16.66%, 33.17%",101 days/36 days/60 days,2024-09-10/2024-06-08/2024-07-12,26.15%,20.44%,5.71%,0.8,0.69,238.3379/246.9416/242.64/No Horizontal Resistance/226.8328/254.997,204.4/73.6884/161.2/103.2303/No Fib Ret Level/No Fib Ret Level,257.15/223.92,72.6%/73/119 days (Across ALL Assets),76.11%/247/112 days (Across ALL Assets)
