Strategy,Interval,Signal Type,Total Analysed Trades,Win Percentage,Holding Period (days) (Max./Min./Avg.),Profit [%] (Best/Worst/Avg.),Avg Backtested Win Rate [%],Avg Backtested Holding Period (days)
ALTITUDE ALPHA,Daily,Long,14,71.43%,288 days/27 days/117 days,65.37%/-24.16%/26.84%,75.71%,131 days
ALTITUDE ALPHA,Weekly,Long,73,67.12%,761 days/26 days/359 days,65.59%/-30.94%/21.49%,83.26%,668 days
ALTITUDE ALPHA,Yearly,Long,35,65.71%,2021 days/0 days/705 days,174.48%/-52.44%/43.87%,82.94%,747 days
ALTITUDE ALPHA,Monthly,Long,112,63.39%,1281 days/0 days/417 days,110.45%/-32.32%/24.24%,79.12%,540 days
ALTITUDE ALPHA,Quarterly,Long,114,62.28%,1761 days/0 days/464 days,125.65%/-43.94%/25.98%,82.21%,690 days
BAND MATRIX,Weekly,Long,90,82.22%,671 days/79 days/288 days,156.11%/-57.17%/19.68%,91.05%,536 days
BAND MATRIX,Daily,Long,248,76.21%,458 days/0 days/111 days,132.06%/-43.92%/9.63%,82.37%,125 days
BAND MATRIX,Monthly,Long,2,50.0%,326 days/66 days/196 days,19.08%/-1.61%/8.74%,100.0%,1466 days
BASELINEDIVERGENCE,Weekly,Long,55,85.45%,151 days/16 days/77 days,26.58%/-7.3%/7.57%,90.39%,76 days
DELTADRIFT,Weekly,Long,130,90.0%,254 days/0 days/63 days,92.83%/-40.46%/7.4%,87.33%,45 days
DELTADRIFT,Daily,Long,510,80.2%,66 days/0 days/12 days,22.83%/-24.18%/1.41%,82.87%,10 days
DELTADRIFT,Monthly,Long,4,75.0%,739 days/22 days/352 days,28.87%/-41.49%/4.02%,76.25%,191 days
FRACTAL TRACK,Quarterly,Long,18,72.22%,848 days/0 days/460 days,118.1%/-52.86%/26.85%,95.4%,1492 days
FRACTAL TRACK,Daily,Long,82,71.95%,441 days/0 days/146 days,174.32%/-64.33%/8.55%,96.03%,176 days
FRACTAL TRACK,Monthly,Long,126,69.05%,956 days/0 days/365 days,210.08%/-39.0%/24.91%,90.39%,892 days
FRACTAL TRACK,Weekly,Long,200,60.5%,661 days/0 days/221 days,191.26%/-34.16%/10.95%,92.65%,614 days
FRACTAL TRACK,Quarterly,Short,20,60.0%,260 days/0 days/78 days,34.84%/-28.92%/2.16%,91.8%,88 days
FRACTAL TRACK,Monthly,Short,23,52.17%,500 days/0 days/107 days,20.46%/-29.22%/-0.27%,88.64%,75 days
FRACTAL TRACK,Weekly,Short,18,38.89%,261 days/4 days/30 days,4.2%/-15.64%/-3.17%,88.56%,24 days
FRACTAL TRACK,Daily,Short,161,32.92%,364 days/1 days/60 days,7.35%/-64.5%/-7.54%,87.78%,5 days
OSCILLATOR DELTA,Daily,Long,300,63.33%,307 days/0 days/46 days,24.36%/-23.8%/0.94%,79.4%,43 days
OSCILLATOR DELTA,Daily,Short,41,60.98%,28 days/1 days/6 days,8.67%/-7.57%/-0.19%,90.66%,4 days
SIGMASHELL,Daily,Long,314,75.48%,476 days/13 days/84 days,99.21%/-55.75%/7.35%,84.26%,87 days
TRENDPULSE,Daily,Long,642,84.74%,219 days/0 days/28 days,39.76%/-25.91%/3.06%,87.7%,18 days
TRENDPULSE,Weekly,Long,265,81.13%,384 days/1 days/77 days,60.02%/-37.32%/4.32%,86.98%,72 days
TRENDPULSE,Monthly,Long,94,77.66%,500 days/0 days/198 days,65.94%/-38.33%/12.38%,89.64%,224 days
TRENDPULSE,Quarterly,Long,1,100.0%,131 days/131 days/131 days,14.61%/14.61%/14.61%,80.0%,454 days
TRENDPULSE,Daily,Short,9,44.44%,21 days/2 days/7 days,7.57%/-4.52%/0.54%,100.0%,8 days
TRENDPULSE,Weekly,Short,10,40.0%,49 days/14 days/29 days,7.0%/-12.7%/-1.41%,94.0%,47 days
TRENDPULSE,Monthly,Short,6,0.0%,217 days/63 days/125 days,-3.61%/-16.93%/-7.72%,96.08%,153 days
