Function,Interval,Signal Type,Total Analysed Trades,Win Percentage,Holding Period (days) (Max/Min/Avg),Profit [%] (Max/Min/Avg.),Avg Backtested Win Rate [%],Avg Backtested Holding Period (days),Percentage of Open Trades
ALTITUDE ALPHA,Monthly,Long,19,63.16%,9.0 years/5.0 months/2.5 years,109.05%/-27.25%/33.71%,78.46%,2.6 years,5.26%
ALTITUDE ALPHA,Weekly,Long,13,61.54%,5.0 years/4.0 months/2.4 years,77.61%/-22.82%/33.66%,79.87%,2.8 years,0.0%
ALTITUDE ALPHA,Yearly,Long,7,57.14%,5.1 years/2.6 months/2.3 years,76.16%/-35.66%/29.06%,85.32%,2.8 years,57.14%
ALTITUDE ALPHA,Quarterly,Long,15,53.33%,15.0 years/8.7 months/4.2 years,77.44%/-38.8%/23.15%,80.1%,3.4 years,40.0%
ALTITUDE ALPHA,Daily,Long,5,40.0%,9.0 months/1.7 month/5.2 months,73.05%/-21.76%/14.35%,85.0%,8.6 months,0.0%
BAND MATRIX,Daily,Long,75,86.67%,1.9 year/28 days/6 months,224.0%/-25.51%/19.05%,84.33%,6.2 months,0.0%
BAND MATRIX,Weekly,Long,20,80.0%,4.5 years/3.8 months/2.2 years,140.92%/-36.22%/28.12%,88.42%,2.1 years,15.0%
BASELINEDIVERGENCE,Weekly,Long,25,60.0%,8.9 months/2.1 months/3.6 months,21.88%/-28.24%/2.14%,85.53%,3.6 months,0.0%
DELTADRIFT,Daily,Long,140,78.57%,2.3 months/1 day/14 days,14.75%/-20.6%/0.96%,82.41%,13 days,1.43%
DELTADRIFT,Weekly,Long,13,76.92%,8.9 months/7 days/2.5 months,22.33%/-20.63%/2.53%,93.72%,2.9 months,0.0%
DELTADRIFT,Daily,Short,31,87.1%,13 days/1 day/4 days,13.08%/-5.02%/1.41%,89.36%,6 days,0.0%
DELTADRIFT,Monthly,Short,4,25.0%,4.6 months/2.0 month/2.9 months,7.51%/-23.26%/-10.85%,85.0%,2.7 months,25.0%
DELTADRIFT,Weekly,Short,7,100.0%,4.4 months/7 days/1.2 month,5.99%/1.87%/3.68%,92.5%,27 days,0.0%
FRACTAL TRACK,Weekly,Long,67,95.52%,5.1 years/1.2 month/1.4 year,47.4%/-18.32%/14.9%,95.96%,1.2 year,2.99%
FRACTAL TRACK,Daily,Long,285,92.28%,3.5 years/4 days/5.4 months,47.23%/-18.01%/8.55%,95.15%,6.2 months,0.0%
FRACTAL TRACK,Monthly,Long,40,90.0%,7.4 years/2.1 months/1.6 year,34.34%/-36.51%/19.97%,90.73%,1.7 year,2.5%
FRACTAL TRACK,Quarterly,Long,3,100.0%,1.5 year/1.3 year/1.4 year,40.83%/36.24%/38.45%,100.0%,1.7 year,0.0%
FRACTAL TRACK,Monthly,Short,8,75.0%,2.1 months/1 month/1.4 month,22.22%/-12.19%/4.74%,93.26%,1.5 month,0.0%
FRACTAL TRACK,Daily,Short,7,42.86%,27 days/4 days/11 days,8.51%/-24.21%/-5.33%,85.0%,8 days,0.0%
FRACTAL TRACK,Quarterly,Short,1,100.0%,2.6 months/2.6 months/2.6 months,19.86%/19.86%/19.86%,100.0%,3.1 months,100.0%
FRACTAL TRACK,Weekly,Short,4,100.0%,1.6 month/7 days/26 days,5.72%/3.79%/4.82%,89.44%,12 days,0.0%
OSCILLATOR DELTA,Daily,Long,44,97.73%,7.6 months/5 days/29 days,11.86%/-12.42%/2.87%,87.16%,3.4 months,0.0%
OSCILLATOR DELTA,Daily,Short,18,61.11%,5.1 months/1 day/1.2 month,9.03%/-12.42%/-2.11%,100.0%,1.8 month,0.0%
SIGMASHELL,Daily,Long,39,69.23%,1.2 year/1.2 month/4.3 months,24.71%/-9.19%/4.81%,83.95%,3.8 months,0.0%
TRENDPULSE,Daily,Long,293,92.15%,1.0 year/4 days/1.2 month,24.51%/-53.8%/2.85%,90.13%,29 days,0.0%
TRENDPULSE,Monthly,Long,82,91.46%,5.0 years/4.1 months/11.8 months,195.89%/-57.97%/21.64%,91.35%,11.1 months,17.07%
TRENDPULSE,Weekly,Long,148,89.19%,1.7 year/28 days/4.8 months,58.03%/-33.04%/6.98%,89.68%,3.9 months,1.35%
TRENDPULSE,Quarterly,Long,7,100.0%,5.6 years/1.3 year/2.7 years,124.5%/2.88%/44.81%,100.0%,2.6 years,0.0%
TRENDPULSE,Daily,Short,5,80.0%,1.1 month/4 days/14 days,11.05%/-10.55%/3.49%,94.92%,18 days,0.0%
TRENDPULSE,Weekly,Short,6,66.67%,2.6 months/28 days/1.9 month,15.6%/-26.01%/1.51%,89.94%,2.3 months,0.0%
TRENDPULSE,Monthly,Short,3,100.0%,7.1 months/4.6 months/5.8 months,40.3%/25.73%/35.33%,91.67%,5 months,66.67%
TRENDPULSE,Quarterly,Short,1,100.0%,1.8 year/1.8 year/1.8 year,10.27%/10.27%/10.27%,100.0%,1.5 year,0.0%
