Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,1987-08-31,6.81,1987-10-31,4.59,44 days,1986-06-30/6.75,-32.57%,-32.57%,Rise by -23.39%,-32.57%
Buy,1988-09-30,7.03,1989-05-31,11.72,173 days,1987-08-31/6.8125,66.67%,66.67%,Rise by 90.22%,34.10%
Buy,1989-07-31,13.38,1990-01-31,10.5,132 days,1989-05-31/11.7188,-21.50%,-21.50%,Rise by -13.55%,12.61%
Buy,1991-05-31,10.53,1995-11-30,17.88,1174 days,1990-05-31/9.6875,69.73%,69.73%,Rise by -11.28%,82.34%
Buy,1996-02-29,18.44,1997-02-28,30.0,261 days,1995-11-30/17.875,62.71%,62.71%,Rise by 93.05%,145.05%
Buy,1997-04-30,30.19,2000-02-29,23.0,739 days,1997-02-28/30.0,-23.81%,-23.81%,Rise by 32.09%,121.24%
Buy,2001-04-30,28.0,2004-08-31,44.98,871 days,2000-05-31/27.7188,60.64%,60.64%,Rise by 35.38%,181.88%
Buy,2004-11-30,46.27,2008-05-31,34.01,913 days,2004-08-31/44.98,-26.50%,-26.50%,Rise by -0.26%,155.39%
Buy,2010-03-31,17.85,2010-07-31,14.04,87 days,2009-08-31/17.59,-21.34%,-21.34%,Rise by -30.2%,134.04%
Buy,2012-11-30,9.86,2013-11-30,15.82,260 days,2012-03-31/9.57,60.45%,60.45%,Rise by 48.07%,194.49%
Buy,2014-01-31,16.75,2016-02-29,12.52,541 days,2013-11-30/15.82,-25.25%,-25.25%,Rise by 6.81%,169.24%
Buy,2016-11-30,21.12,2019-12-31,35.22,804 days,2015-11-30/17.43,66.76%,66.76%,Rise by 51.99%,236.00%
Buy,2021-02-28,34.71,2023-09-30,27.38,674 days,2020-12-31/30.31,-21.12%,-21.12%,Rise by 37.65%,214.88%
Buy,2024-02-29,34.52,2024-02-29,34.52,0 days,2023-02-28/34.3,0.00%,0.00%,Rise by 0%,214.88%
