Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2015-11-01,325.43,2016-05-29,526.23,149 days,2015-07-12/310.867,61.70%,61.70%,Rise by 37.66%,61.70%
Buy,2016-12-04,773.87,2017-03-05,1267.12,64 days,2016-06-19/763.781,63.74%,63.74%,Rise by 63.74%,125.44%
Buy,2017-04-30,1347.89,2017-06-04,2511.81,24 days,2017-03-05/1267.12,86.35%,86.35%,Rise by 240.01%,211.79%
Buy,2017-08-06,3213.94,2017-10-15,5678.19,49 days,2017-06-11/2958.1101,76.67%,76.67%,Rise by 495.56%,288.47%
Buy,2019-05-12,6972.37,2019-07-07,11450.85,39 days,2018-10-28/6486.3901,64.23%,64.23%,Rise by 64.23%,352.70%
Buy,2019-08-11,11523.58,2019-09-29,8104.19,34 days,2019-07-07/11450.8467,-29.67%,-29.67%,Rise by -29.67%,323.02%
Buy,2020-08-02,11053.61,2020-11-22,18370.0,79 days,2020-02-09/10116.6738,66.19%,66.19%,Rise by 444.66%,389.21%
Buy,2020-12-06,19345.12,2021-01-03,32782.02,19 days,2017-12-17/19140.8008,69.46%,69.46%,Rise by 211.22%,458.67%
Buy,2021-02-07,38903.44,2021-11-07,63326.99,194 days,2021-01-10/38356.4414,62.78%,62.78%,Rise by 54.75%,521.45%
Buy,2023-02-19,24327.64,2023-12-03,39978.39,204 days,2022-08-14/24319.334,64.33%,64.33%,Rise by 24.61%,585.79%
Buy,2024-01-07,43943.1,2024-03-31,71333.65,59 days,2023-12-10/43779.6992,62.33%,62.33%,Rise by 62.33%,648.12%
Buy,2024-11-10,80474.19,2024-11-10,80474.19,0 days,2024-03-31/71333.6484,0.00%,0.00%,Rise by 0%,648.12%
