Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,1982-09-30,1.2,1984-12-31,2.06,587 days,1982-06-30/0.9688,71.43%,71.43%,Rise by 71.43%,71.43%
Buy,1985-03-31,2.09,1986-12-31,3.41,457 days,1984-12-31/2.0625,62.68%,62.68%,Rise by 129.85%,134.11%
Buy,1987-03-31,4.28,1992-06-30,7.03,1370 days,1986-12-31/3.4062,64.23%,64.23%,Rise by -17.52%,198.35%
Buy,1992-09-30,7.41,1999-12-31,5.12,1892 days,1992-06-30/7.0312,-30.80%,-30.80%,Rise by -14.77%,167.55%
Buy,2001-09-30,8.86,2004-03-31,15.07,652 days,1999-09-30/8.6875,70.09%,70.09%,Rise by 20.77%,237.64%
Buy,2004-06-30,15.62,2006-06-30,25.36,522 days,2004-03-31/15.07,62.38%,62.38%,Rise by 75.18%,300.01%
Buy,2006-09-30,27.36,2011-06-30,44.0,1238 days,2006-06-30/25.355,60.85%,60.85%,Rise by 43.59%,360.86%
Buy,2011-12-31,47.44,2018-12-31,31.86,1825 days,2011-06-30/44.0,-32.84%,-32.84%,Rise by 12.83%,328.02%
Buy,2022-03-31,42.16,2023-06-30,33.2,326 days,2021-06-30/39.31,-21.25%,-21.25%,Rise by -16.7%,306.77%
Buy,2025-03-31,41.37,2025-03-31,41.37,0 days,2024-09-30/36.58,0.00%,0.00%,Rise by 0%,306.77%
