Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,1964-03-31,0.11,1966-12-31,0.2,718 days,1963-09-30/0.1076,81.14%,81.14%,Rise by 22.86%,81.14%
Buy,1967-03-31,0.23,1968-09-30,0.38,391 days,1966-12-31/0.2036,68.16%,68.16%,Rise by 70.46%,149.29%
Buy,1968-12-31,0.44,1970-03-31,0.76,325 days,1968-09-30/0.3802,73.55%,73.55%,Rise by 73.55%,222.85%
Buy,1971-03-31,1.04,1972-06-30,1.92,327 days,1970-03-31/0.7579,84.65%,84.65%,Rise by 51.98%,307.50%
Buy,1972-12-31,2.43,1973-03-31,1.92,64 days,1972-06-30/1.9165,-21.02%,-21.02%,Rise by -33.16%,286.48%
Buy,1976-03-31,1.25,1976-09-30,0.98,131 days,1975-06-30/1.0379,-21.19%,-21.19%,Rise by -22.22%,265.29%
Buy,1979-12-31,0.92,1983-03-31,1.57,848 days,1978-09-30/0.876,70.19%,70.19%,Rise by 41.22%,335.48%
Buy,1985-03-31,1.62,1986-03-31,3.08,260 days,1983-03-31/1.5697,90.47%,90.47%,Rise by 178.09%,425.96%
Buy,1986-06-30,4.5,1986-09-30,3.25,66 days,1986-03-31/3.0828,-27.85%,-27.85%,Rise by 41.55%,398.10%
Buy,1987-03-31,5.13,1989-09-30,9.94,653 days,1986-06-30/4.5009,93.79%,93.79%,Rise by 51.71%,491.89%
Buy,1990-06-30,10.54,1990-09-30,7.45,64 days,1989-09-30/9.9369,-29.34%,-29.34%,Rise by -13.06%,462.55%
Buy,1992-03-31,12.46,1996-03-31,21.0,1043 days,1990-06-30/10.5432,68.51%,68.51%,Rise by 17.4%,531.06%
Buy,1996-12-31,22.94,2000-03-31,40.69,848 days,1996-03-31/21.0042,77.42%,77.42%,Rise by 53.05%,608.48%
Buy,2003-12-31,23.02,2009-03-31,18.16,1369 days,2002-03-31/22.7684,-21.09%,-21.09%,Rise by 23.15%,587.38%
Buy,2010-03-31,34.91,2013-03-31,56.8,782 days,2009-12-31/32.25,62.70%,62.70%,Rise by 23.43%,650.09%
Buy,2013-06-30,63.15,2015-03-31,104.89,456 days,2013-03-31/56.8,66.10%,66.10%,Rise by 61.84%,716.19%
Buy,2015-06-30,114.14,2021-03-31,184.52,1501 days,2015-03-31/104.89,61.66%,61.66%,Rise by -12.99%,777.85%
Buy,2025-06-30,124.01,2025-06-30,124.01,0 days,2024-03-31/122.36,0.00%,0.00%,Rise by 0%,777.85%
