Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,1971-12-31,0.94,1972-12-31,1.88,260 days,1967-12-31/0.7099,101.32%,101.32%,Rise by -22.44%,101.32%,
Buy,1981-12-31,1.61,1983-12-31,2.61,521 days,1976-12-31/1.3179,61.76%,61.76%,Rise by 351.07%,163.07%,
Buy,1984-12-31,2.87,1986-12-31,5.07,522 days,1983-12-31/2.6111,76.87%,76.87%,Rise by 396.84%,239.95%,
Buy,1987-12-31,5.5,1991-12-31,9.5,1043 days,1986-12-31/5.0729,72.73%,72.73%,Rise by 312.5%,312.67%,
Buy,1992-12-31,12.19,1995-12-31,22.56,781 days,1991-12-31/9.5,85.13%,85.13%,Rise by 117.19%,397.80%,
Buy,1996-12-31,22.69,1998-12-31,38.41,522 days,1995-12-31/22.5625,69.28%,69.28%,Rise by 77.69%,467.09%,
Buy,1999-12-31,40.31,2001-12-31,26.47,521 days,1998-12-31/38.4062,-34.34%,-34.34%,Rise by -60.11%,432.75%,
Buy,2006-12-31,44.33,2010-12-31,76.76,1044 days,1999-12-31/40.3125,73.16%,73.16%,Rise by 126.33%,505.90%,
Buy,2011-12-31,100.33,2017-12-31,172.12,1564 days,2010-12-31/76.76,71.55%,71.55%,Rise by 113.87%,577.46%,
Buy,2018-12-31,177.57,2023-12-31,296.51,1304 days,2017-12-31/172.12,66.98%,66.98%,Rise by 68.06%,644.44%,
Buy,2025-11-03,298.43,2025-11-03,298.43,0 days,2023-12-31/296.51,0.00%,0.00%,Rise by 0%,644.44%,
