Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,1997-01-31,9.56,1997-10-31,25.88,195 days,1996-04-30/8.7347,170.72%,170.72%,Rise by 37.55%,170.72%,
Buy,1999-05-31,11.95,2000-01-31,23.43,175 days,1998-05-31/11.9141,96.03%,96.03%,Rise by 96.03%,266.75%,
Buy,2000-04-30,24.64,2001-09-30,18.89,369 days,2000-01-31/23.4319,-23.32%,-23.32%,Rise by -12.43%,243.44%,
Buy,2003-05-31,21.32,2003-10-31,34.74,109 days,2002-12-31/21.2754,62.91%,62.91%,Rise by 91.85%,306.35%,
Buy,2003-11-30,34.78,2005-09-30,56.66,479 days,2003-10-31/34.7355,62.93%,62.93%,Rise by -11.75%,369.28%,
Buy,2005-11-30,59.46,2006-04-30,115.31,107 days,2005-09-30/56.6643,93.93%,93.93%,Rise by 454.1%,463.20%,
Buy,2006-06-30,121.13,2007-05-31,201.02,239 days,2006-04-30/115.3088,65.95%,65.95%,Rise by 171.99%,529.15%,
Buy,2007-07-31,216.41,2008-10-31,157.2,328 days,2007-05-31/201.0161,-27.36%,-27.36%,Rise by 52.24%,501.79%,
Buy,2010-10-31,250.58,2011-07-31,189.26,194 days,2009-12-31/249.2814,-24.47%,-24.47%,Rise by -10.26%,477.32%,
Buy,2012-12-31,191.91,2017-04-30,318.92,1129 days,2012-09-30/191.3698,66.18%,66.18%,Rise by 3.87%,543.50%,
Buy,2017-07-31,369.21,2019-03-31,621.75,434 days,2007-12-31/329.4684,68.40%,68.40%,Rise by 19.03%,611.90%,
Buy,2019-04-30,636.74,2020-03-31,509.17,240 days,2019-03-31/621.7462,-20.04%,-20.04%,Rise by 11.37%,591.87%,
Buy,2020-06-30,786.44,2022-04-30,1287.7,478 days,2019-11-30/709.1336,63.74%,63.74%,Rise by 26.77%,655.60%,
Buy,2023-07-31,1274.62,2023-07-31,1274.62,0 days,2022-11-30/1260.5176,0.00%,0.00%,Rise by 0%,655.60%,
