Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2011-11-06,2.15,2012-01-15,1.52,49 days,2011-06-05/2.0087,-29.47%,-29.47%,Rise by -13.65%,-29.47%
Buy,2012-02-19,2.33,2012-05-20,1.84,64 days,2011-11-13/2.2427,-21.19%,-21.19%,Rise by -21.19%,-50.66%
Buy,2013-01-06,2.29,2013-05-12,5.12,89 days,2012-07-15/2.2833,123.14%,123.14%,Rise by 454.95%,72.49%
Buy,2014-02-16,13.22,2016-02-14,10.07,519 days,2013-09-29/12.7267,-23.81%,-23.81%,Rise by 20.6%,48.68%
Buy,2017-01-15,15.85,2017-06-25,25.56,114 days,2016-07-31/15.6527,61.28%,61.28%,Rise by 61.28%,109.96%
Buy,2018-06-17,23.88,2018-09-09,17.55,59 days,2018-02-25/23.47,-26.50%,-26.50%,Rise by -0.75%,83.46%
Buy,2018-12-16,24.38,2019-03-10,18.94,59 days,2018-06-17/23.878,-22.30%,-22.30%,Rise by -14.63%,61.15%
Buy,2019-10-27,21.88,2020-01-26,37.65,64 days,2019-03-31/18.6573,72.13%,72.13%,Rise by 174.59%,133.29%
Buy,2020-06-14,62.35,2020-07-12,102.98,19 days,2020-02-23/60.0667,65.15%,65.15%,Rise by 136.66%,198.44%
Buy,2020-08-16,110.05,2020-11-29,195.25,74 days,2020-07-12/102.9767,77.43%,77.43%,Rise by 166.56%,275.87%
Buy,2021-10-24,303.23,2022-05-22,221.3,149 days,2021-01-10/293.34,-27.02%,-27.02%,Rise by -10.97%,248.85%
Buy,2023-06-04,213.97,2024-03-17,163.57,204 days,2023-02-19/208.31,-23.55%,-23.55%,Rise by 28.24%,225.29%
Buy,2024-09-29,260.46,2024-12-15,436.23,54 days,2024-07-07/251.52,67.48%,67.48%,Rise by 67.48%,292.78%
Buy,2025-09-14,395.94,2025-09-14,395.94,0 days,2025-02-16/355.84,0.00%,0.00%,Rise by 0%,292.78%
