Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,1999-01-31,6.16,1999-06-30,10.48,107 days,1998-02-28/6.0977,70.00%,70.00%,Rise by 267.85%,70.00%,
Buy,1999-08-31,10.97,2000-01-31,19.67,109 days,1999-06-30/10.479,79.27%,79.27%,Rise by 106.69%,149.27%,
Buy,2000-02-29,22.67,2000-05-31,17.14,66 days,2000-01-31/19.6656,-24.43%,-24.43%,Rise by -35.0%,124.84%,
Buy,2002-03-31,14.1,2002-05-31,11.26,44 days,2001-04-30/11.7623,-20.10%,-20.10%,Rise by -56.69%,104.74%,
Buy,2003-07-31,8.07,2011-01-31,13.07,1957 days,2003-05-31/7.5773,61.95%,61.95%,Rise by -18.83%,166.69%,
Buy,2011-04-30,13.5,2014-10-31,22.02,914 days,2011-01-31/13.07,63.11%,63.11%,Rise by -15.33%,229.80%,
Buy,2014-11-30,23.47,2017-10-31,42.33,761 days,2000-02-29/22.6746,80.36%,80.36%,Rise by -15.3%,310.16%,
Buy,2018-01-31,45.31,2020-07-31,78.89,652 days,2017-10-31/42.33,74.11%,74.11%,Rise by -19.31%,384.27%,
Buy,2020-08-31,79.25,2022-10-31,61.55,565 days,2020-07-31/78.89,-22.33%,-22.33%,Rise by 58.91%,361.93%,
Buy,2023-05-31,98.59,2024-06-30,173.81,282 days,2022-05-31/95.3,76.30%,76.30%,Rise by -12.46%,438.23%,
Buy,2024-10-31,190.54,2024-10-31,190.54,0 days,2024-06-30/173.81,0.00%,0.00%,Rise by 0%,438.23%,
