Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2021-04-20,56473.03,2021-08-26,46942.22,91 days,-16.880000%,-16.880000%,Rise by 4.130000%,-16.880000%,
Buy,2021-09-22,43574.51,2021-10-27,58482.39,24 days,34.210000%,34.210000%,Rise by 51.450000%,17.340000%,
Buy,2021-11-19,58119.58,2022-02-17,40538.01,63 days,-30.250000%,-30.250000%,Rise by -15.350000%,-12.920000%,
Buy,2022-04-27,39241.12,2022-11-08,18541.27,138 days,-52.750000%,-52.750000%,Rise by -13.210000%,-65.670000%,
Buy,2022-11-11,17034.29,2023-02-06,22760.11,60 days,33.610000%,33.610000%,Rise by 0.790000%,-32.050000%,
Buy,2023-02-11,21870.88,2023-04-03,27790.22,34 days,27.060000%,27.060000%,Rise by 30.210000%,-4.990000%,
Buy,2023-05-12,26804.99,2023-07-07,30342.27,39 days,13.200000%,13.200000%,Rise by 4.780000%,8.210000%,
Buy,2023-08-18,26049.56,2023-12-17,41364.66,85 days,58.790000%,58.790000%,Rise by 6.440000%,67.000000%,
Buy,2024-04-14,65738.73,2024-12-03,96002.16,165 days,46.040000%,46.040000%,Rise by -11.390000%,113.040000%,
Buy,2025-02-04,97871.82,2025-05-29,105641.76,81 days,7.940000%,7.940000%,Rise by 0.470000%,120.980000%,
Buy,2025-06-23,105577.77,2025-07-25,117635.88,23 days,11.420000%,11.420000%,Rise by 13.520000%,132.400000%,
Buy,2025-08-01,113320.09,2025-08-01,113320.09,0 days,0.00%,0.00%,Rise by 0%,132.400000%,
