Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2021-01-29,129.52,2021-03-22,141.61,35 days,9.330000%,9.330000%,Rise by 8.470000%,9.330000%
Buy,2021-04-22,137.23,2021-09-20,146.01,106 days,6.400000%,6.400000%,Rise by -0.300000%,15.730000%
Buy,2021-10-13,147.81,2021-11-12,162.79,21 days,10.130000%,10.130000%,Rise by 12.200000%,25.870000%
Buy,2021-11-18,162.8,2022-02-22,157.21,67 days,-3.430000%,-3.430000%,Rise by 2.400000%,22.430000%
Buy,2022-05-10,143.2,2022-08-23,161.36,74 days,12.680000%,12.680000%,Rise by 3.820000%,35.120000%
Buy,2022-08-31,156.19,2024-03-04,175.97,392 days,12.660000%,12.660000%,Rise by 0.060000%,47.780000%
Buy,2024-04-26,171.25,2024-07-24,159.98,62 days,-6.580000%,-6.580000%,Rise by 1.940000%,41.200000%
Buy,2024-08-07,151.37,2024-09-20,158.87,31 days,4.950000%,4.950000%,Rise by 8.260000%,46.150000%
Buy,2025-03-12,139.26,2025-05-30,144.26,56 days,3.590000%,3.590000%,Rise by 3.070000%,49.740000%
Buy,2025-06-19,139.75,2025-09-08,131.57,56 days,-5.850000%,-5.850000%,Rise by 3.700000%,43.890000%
