Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2021-01-18,51.24,2021-07-08,56.86,122 days,10.970000%,10.970000%,Rise by 11.240000%,10.970000%
Buy,2021-09-13,55.38,2021-11-17,57.51,46 days,3.850000%,3.850000%,Rise by 4.010000%,14.810000%
Buy,2021-12-02,56.01,2022-01-06,61.51,24 days,9.820000%,9.820000%,Rise by 13.570000%,24.630000%
Buy,2022-05-20,68.3,2022-08-31,79.98,72 days,17.100000%,17.100000%,Rise by 7.600000%,41.730000%
Buy,2022-09-14,76.7,2022-10-13,81.26,20 days,5.950000%,5.950000%,Rise by 8.970000%,47.680000%
Buy,2022-11-15,76.18,2023-10-03,92.94,229 days,22.000000%,22.000000%,Rise by 12.220000%,69.680000%
Buy,2023-12-15,90.0,2024-02-14,102.83,42 days,14.260000%,14.260000%,Rise by 12.960000%,83.940000%
Buy,2024-03-26,103.05,2024-10-28,143.66,153 days,39.410000%,39.410000%,Rise by 25.180000%,123.340000%
Buy,2025-01-14,136.1,2025-04-07,151.0,58 days,10.950000%,10.950000%,Rise by 13.910000%,134.290000%
Buy,2025-05-14,163.59,2025-07-02,189.38,34 days,15.770000%,15.770000%,Rise by 18.900000%,150.060000%
Buy,2025-07-24,185.86,2025-07-24,185.86,0 days,0.00%,0.00%,Rise by 0%,150.060000%
