Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2021-02-25,1475.7,2021-09-07,3426.39,137 days,132.190000%,132.190000%,Rise by 30.420000%,132.190000%,
Buy,2021-09-22,3077.87,2022-08-19,1612.99,236 days,-47.590000%,-47.590000%,Rise by 56.340000%,84.590000%,
Buy,2023-02-11,1539.93,2023-04-19,1936.4,46 days,25.750000%,25.750000%,Rise by 17.950000%,110.340000%,
Buy,2023-05-12,1808.02,2023-06-05,1811.83,15 days,0.210000%,0.210000%,Rise by 5.690000%,110.550000%,
Buy,2023-06-12,1742.53,2023-10-04,1647.84,81 days,-5.430000%,-5.430000%,Rise by 12.220000%,105.120000%,
Buy,2024-04-14,3156.94,2024-06-07,3678.63,38 days,16.530000%,16.530000%,Rise by 3.350000%,121.640000%,
Buy,2024-06-13,3469.28,2024-10-01,2448.92,77 days,-29.410000%,-29.410000%,Rise by -11.960000%,92.230000%,
Buy,2024-12-21,3337.22,2025-05-27,2663.07,110 days,-20.200000%,-20.200000%,Rise by 10.530000%,72.030000%,
Buy,2025-06-23,2421.82,2025-08-20,4334.5,41 days,78.980000%,78.980000%,Rise by 60.010000%,151.010000%,
Buy,2025-09-26,4035.89,2025-09-26,4035.89,0 days,0.00%,0.00%,Rise by 0%,151.010000%,
