Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2021-03-09,0.71,2021-11-04,0.72,171 days,0.600000%,0.600000%,Rise by 2.290000%,0.600000%
Buy,2021-11-15,0.7,2022-02-24,0.68,72 days,-3.860000%,-3.860000%,Rise by -2.870000%,-3.260000%
Buy,2022-04-15,0.68,2022-08-05,0.63,79 days,-7.160000%,-7.160000%,Rise by -3.290000%,-10.420000%
Buy,2022-09-16,0.6,2023-05-12,0.63,169 days,5.640000%,5.640000%,Rise by 8.320000%,-4.780000%
Buy,2023-05-26,0.61,2023-07-21,0.62,39 days,2.920000%,2.920000%,Rise by 3.010000%,-1.860000%
Buy,2023-09-07,0.59,2023-10-12,0.6,24 days,2.520000%,2.520000%,Rise by 2.910000%,0.660000%
Buy,2023-10-19,0.59,2023-12-13,0.61,38 days,4.830000%,4.830000%,Rise by 6.170000%,5.490000%
Buy,2024-01-17,0.61,2024-02-28,0.62,29 days,0.470000%,0.470000%,Rise by 0.880000%,5.970000%
Buy,2024-04-17,0.59,2024-10-03,0.63,120 days,6.260000%,6.260000%,Rise by 5.180000%,12.230000%
Buy,2024-11-14,0.59,2025-01-31,0.56,55 days,-4.200000%,-4.200000%,Rise by -3.250000%,8.030000%
Buy,2025-04-08,0.55,2025-05-09,0.59,22 days,6.540000%,6.540000%,Rise by 8.630000%,14.570000%
Buy,2025-07-17,0.59,2025-07-17,0.59,0 days,0.00%,0.00%,Rise by 0%,14.570000%
