Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2021-09-16,87.25,2021-11-01,94.38,31 days,8.170000%,8.170000%,Rise by 12.610000%,8.170000%
Buy,2021-11-26,92.33,2022-04-07,81.54,93 days,-11.690000%,-11.690000%,Rise by 12.260000%,-3.510000%
Buy,2022-04-26,74.51,2023-01-30,87.35,198 days,17.230000%,17.230000%,Rise by -10.030000%,13.720000%
Buy,2023-03-14,84.56,2023-05-24,98.32,50 days,16.270000%,16.270000%,Rise by 14.080000%,29.990000%
Buy,2023-08-11,113.06,2023-09-12,109.61,21 days,-3.050000%,-3.050000%,Rise by 12.070000%,26.940000%
Buy,2023-12-14,100.31,2024-02-13,113.68,42 days,13.330000%,13.330000%,Rise by 16.910000%,40.270000%
Buy,2024-04-11,123.24,2024-07-09,140.68,62 days,14.150000%,14.150000%,Rise by 1.130000%,54.420000%
Buy,2024-08-06,128.21,2024-10-25,173.52,57 days,35.340000%,35.340000%,Rise by 32.850000%,89.760000%
Buy,2024-11-04,169.59,2024-11-27,182.7,16 days,7.730000%,7.730000%,Rise by 13.470000%,97.490000%
Buy,2024-12-12,175.32,2024-12-12,175.32,0 days,0.00%,0.00%,Rise by 0%,97.490000%
