Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type
2015-11-29,33.663,2016-05-29,35.612,2015-11-08,Buy,26 Weeks,5.79%,Rise by -15.31%,5.79%,Normal Case
2015-12-06,33.632,2016-05-29,35.612,2015-11-29,Buy,25 Weeks,5.89%,Rise by -11.34%,11.68%,Normal Case
2015-12-20,33.207,2016-05-29,35.612,2015-11-22,Buy,23 Weeks,7.24%,Rise by -24.39%,18.92%,Absolute Extrema Case
2015-12-27,33.1395,2016-05-29,35.612,2015-12-13,Buy,22 Weeks,7.46%,Rise by -23.49%,26.38%,Normal Case
2016-04-17,31.2945,2016-06-26,34.948,2016-04-10,Buy,10 Weeks,11.67%,Rise by 23.43%,38.05%,Normal Case
2016-05-01,32.9795,2016-08-28,38.45,2016-04-17,Buy,17 Weeks,16.59%,Rise by 17.13%,54.64%,Normal Case
2016-05-08,33.6975,2016-08-28,38.45,2016-05-01,Buy,16 Weeks,14.1%,Rise by 14.63%,68.75%,Normal Case
2016-05-15,35.496,2016-08-28,38.45,2016-04-24,Buy,15 Weeks,8.32%,Rise by 8.82%,77.07%,Normal Case
2016-05-22,35.14,2016-08-28,38.45,2016-05-15,Buy,14 Weeks,9.42%,Rise by 9.93%,86.49%,Normal Case
2016-06-12,35.8955,2016-08-28,38.45,2016-06-05,Buy,11 Weeks,7.12%,Rise by 7.61%,93.6%,Normal Case
2016-09-04,38.622,2017-02-12,41.373,2016-08-28,Buy,23 Weeks,7.12%,Rise by 30.33%,100.73%,Normal Case
2016-10-16,41.148,2017-02-12,41.373,2016-10-02,Buy,17 Weeks,0.55%,Rise by -10.04%,101.27%,Normal Case
2017-04-23,44.9265,2017-07-09,48.938,2017-04-09,Buy,11 Weeks,8.93%,Rise by 14.15%,110.2%,Normal Case
2017-05-21,47.992,2017-08-13,48.3995,2017-05-14,Buy,12 Weeks,0.85%,Rise by 6.86%,111.05%,Normal Case
2017-06-18,49.3855,2017-12-17,58.957,2015-11-15,Buy,26 Weeks,19.38%,Rise by 20.08%,130.43%,Tangent Case
2017-06-18,49.3855,2017-12-17,58.957,2017-06-11,Buy,26 Weeks,19.38%,Rise by 20.08%,149.81%,Normal Case
2017-06-25,50.187,2017-12-17,58.957,2017-06-04,Buy,25 Weeks,17.47%,Rise by 18.16%,167.29%,Normal Case
2017-07-02,48.4,2017-12-17,58.957,2017-06-18,Buy,24 Weeks,21.81%,Rise by 22.52%,189.1%,Normal Case
2017-08-20,47.9235,2017-12-17,58.957,2017-08-13,Buy,17 Weeks,23.02%,Rise by 23.74%,212.12%,Normal Case
2017-11-19,56.494,2018-02-18,72.4345,2017-11-12,Buy,13 Weeks,28.22%,Rise by 39.74%,240.34%,Normal Case
2017-12-03,58.1175,2018-02-18,72.4345,2017-11-26,Buy,11 Weeks,24.63%,Rise by 35.84%,264.97%,Normal Case
2018-01-07,61.457,2018-04-01,72.367,2017-12-24,Buy,12 Weeks,17.75%,Rise by 28.45%,282.73%,Normal Case
2018-02-04,71.4975,2018-05-13,80.1455,2018-01-28,Buy,14 Weeks,12.1%,Rise by 40.75%,294.82%,Normal Case
2018-02-25,75.0,2018-05-13,80.1455,2018-02-04,Buy,11 Weeks,6.86%,Rise by 34.18%,301.68%,Normal Case
2018-03-04,75.0125,2018-05-13,80.1455,2018-02-25,Buy,10 Weeks,6.84%,Rise by 34.16%,308.53%,Normal Case
2018-03-25,74.778,2018-07-08,85.5315,2015-12-06,Buy,15 Weeks,14.38%,Rise by 34.58%,322.91%,Tangent Case
