Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type,Signal Open Price
2015-11-22,16.4628,2016-04-17,15.4388,2015-11-15,Buy,21 Weeks,-6.22%,Rise by -12.27%,-6.22%,Absolute Extrema Case,
2015-12-06,16.5059,2016-04-17,15.4388,2015-11-29,Buy,19 Weeks,-6.46%,Rise by -10.91%,-12.69%,Normal Case,
2015-12-27,15.9885,2016-04-17,15.4388,2015-12-13,Buy,16 Weeks,-3.44%,Rise by -10.58%,-16.12%,Normal Case,
2016-01-17,14.4974,2016-04-17,15.4388,2016-01-10,Buy,13 Weeks,6.49%,Rise by 11.7%,-9.63%,Absolute Extrema Case,
2016-02-21,15.0328,2016-06-19,15.8448,2016-02-07,Buy,17 Weeks,5.4%,Rise by 11.23%,-4.23%,Normal Case,
2016-05-01,15.234,2016-08-07,16.4304,2016-04-24,Buy,14 Weeks,7.85%,Rise by 8.84%,3.63%,Normal Case,
2016-05-22,15.9705,2016-08-07,16.4304,2016-05-15,Buy,11 Weeks,2.88%,Rise by 3.82%,6.51%,Normal Case,
2016-09-04,16.0352,2016-11-06,16.5382,2016-08-28,Buy,9 Weeks,3.14%,Rise by 6.74%,9.64%,Normal Case,
2016-10-16,16.7933,2017-03-12,17.5011,2016-07-03,Buy,21 Weeks,4.21%,Rise by 4.64%,13.86%,Local Extrema Case,
2016-10-16,16.7933,2017-03-12,17.5011,2016-10-09,Buy,21 Weeks,4.21%,Rise by 4.64%,18.07%,Normal Case,
2016-10-30,16.8113,2017-03-12,17.5011,2016-10-23,Buy,19 Weeks,4.1%,Rise by 4.53%,22.17%,Normal Case,
2017-01-01,15.9166,2017-03-12,17.5011,2016-12-18,Buy,10 Weeks,9.96%,Rise by 10.41%,32.13%,Normal Case,
2017-01-29,16.4592,2017-04-02,17.4077,2017-01-22,Buy,9 Weeks,5.76%,Rise by 14.71%,37.89%,Normal Case,
2017-03-12,17.5011,2017-06-04,18.3886,2017-03-05,Buy,12 Weeks,5.07%,Rise by 7.88%,42.96%,Normal Case,
2017-04-02,17.4077,2017-06-04,18.3886,2017-03-26,Buy,9 Weeks,5.63%,Rise by 11.76%,48.6%,Normal Case,
2017-04-16,17.4041,2017-11-12,19.1646,2017-04-09,Buy,30 Weeks,10.12%,Rise by 11.79%,58.71%,Normal Case,
2017-05-21,18.2197,2017-11-12,19.1646,2017-04-30,Buy,25 Weeks,5.19%,Rise by 6.78%,63.9%,Normal Case,
2017-07-02,18.2844,2017-11-12,19.1646,2017-06-25,Buy,19 Weeks,4.81%,Rise by 6.41%,68.71%,Normal Case,
2017-08-13,17.4364,2017-11-12,19.1646,2017-08-06,Buy,13 Weeks,9.91%,Rise by 11.58%,78.63%,Normal Case,
2017-08-20,17.6987,2017-11-12,19.1646,2017-08-13,Buy,12 Weeks,8.28%,Rise by 9.93%,86.91%,Normal Case,
2017-08-27,17.7239,2017-11-12,19.1646,2017-08-20,Buy,11 Weeks,8.13%,Rise by 9.77%,95.04%,Normal Case,
2017-10-01,18.5107,2018-01-07,19.4593,2017-09-24,Buy,14 Weeks,5.12%,Rise by 9.14%,100.16%,Normal Case,
2018-02-25,18.3922,2018-07-08,19.4557,2018-02-04,Buy,19 Weeks,5.78%,Rise by 12.21%,105.94%,Normal Case,
2018-03-25,17.8892,2018-07-08,19.4557,2018-03-04,Buy,15 Weeks,8.76%,Rise by 15.36%,114.7%,Normal Case,
2018-04-29,18.252,2018-07-08,19.4557,2018-04-22,Buy,10 Weeks,6.59%,Rise by 13.07%,121.3%,Normal Case,
2018-05-06,18.3886,2018-07-08,19.4557,2018-04-29,Buy,9 Weeks,5.8%,Rise by 12.23%,127.1%,Normal Case,
2018-06-24,19.6461,2018-09-02,20.0341,2018-06-17,Buy,10 Weeks,1.97%,Rise by 5.05%,129.07%,Normal Case,
2018-07-01,19.1611,2018-09-02,20.0341,2018-06-10,Buy,9 Weeks,4.56%,Rise by 7.71%,133.63%,Normal Case,
2018-08-19,20.6377,2018-12-16,19.912,2018-08-12,Buy,17 Weeks,-3.52%,Rise by 1.39%,130.11%,Normal Case,
2018-10-07,20.1491,2018-12-16,19.912,2018-09-23,Buy,10 Weeks,-1.18%,Rise by 3.85%,128.94%,Normal Case,
2018-11-04,19.3587,2019-05-12,23.045,2018-10-28,Buy,27 Weeks,19.04%,Rise by 20.08%,147.98%,Normal Case,
2018-11-11,20.5443,2019-05-12,23.045,2018-10-21,Buy,26 Weeks,12.17%,Rise by 13.15%,160.15%,Normal Case,
2018-11-18,20.7419,2019-05-12,23.045,2018-08-05,Buy,25 Weeks,11.1%,Rise by 12.07%,171.25%,Local Extrema Case,
2018-11-18,20.7419,2019-05-12,23.045,2018-11-11,Buy,25 Weeks,11.1%,Rise by 12.07%,182.36%,Normal Case,
2018-11-25,20.5479,2019-05-12,23.045,2018-09-16,Buy,24 Weeks,12.15%,Rise by 13.13%,194.51%,Local Extrema Case,
2018-12-02,20.9252,2019-05-12,23.045,2018-11-18,Buy,23 Weeks,10.13%,Rise by 11.09%,204.64%,Normal Case,
2019-03-10,21.8881,2019-05-12,23.045,2019-03-03,Buy,9 Weeks,5.29%,Rise by 6.2%,209.93%,Normal Case,
2019-05-19,22.9192,2019-07-21,22.56,2019-05-12,Buy,9 Weeks,-1.57%,Rise by 12.48%,208.36%,Normal Case,
2019-08-04,23.2821,2019-10-06,24.5397,2019-07-28,Buy,9 Weeks,5.4%,Rise by 10.73%,213.76%,Normal Case,
2019-08-18,24.3564,2019-12-15,27.1984,2019-08-04,Buy,17 Weeks,11.67%,Rise by 13.91%,225.43%,Normal Case,
2019-09-29,25.6714,2019-12-15,27.1984,2019-09-15,Buy,11 Weeks,5.95%,Rise by 8.08%,231.38%,Normal Case,
2019-12-08,27.7445,2020-03-08,29.6991,2019-11-24,Buy,13 Weeks,7.04%,Rise by 16.64%,238.42%,Normal Case,
2020-02-02,29.0955,2020-06-28,23.9612,2020-01-19,Buy,21 Weeks,-17.65%,Rise by -31.0%,220.78%,Normal Case,
2020-02-09,30.4213,2020-06-28,23.9612,2020-01-26,Buy,20 Weeks,-21.24%,Rise by -30.05%,199.54%,Normal Case,
2020-03-01,28.8404,2020-06-28,23.9612,2019-12-15,Buy,17 Weeks,-16.92%,Rise by -11.31%,182.62%,Local Extrema Case,
2020-05-10,25.0606,2020-10-25,23.9935,2020-05-03,Buy,24 Weeks,-4.26%,Rise by -0.69%,178.36%,Normal Case,
2020-06-14,25.0283,2020-10-25,23.9935,2020-06-07,Buy,19 Weeks,-4.13%,Rise by -0.56%,174.23%,Normal Case,
2020-07-05,23.9558,2020-10-25,23.9935,2020-06-28,Buy,16 Weeks,0.16%,Rise by 3.89%,174.39%,Normal Case,
2020-09-20,23.875,2020-12-13,28.6446,2020-09-13,Buy,12 Weeks,19.98%,Rise by 22.71%,194.36%,Normal Case,
2021-01-31,26.7044,2021-05-09,30.3584,2021-01-24,Buy,14 Weeks,13.68%,Rise by 45.05%,208.05%,Normal Case,
2021-03-28,30.8919,2021-07-18,33.716,2016-01-31,Buy,16 Weeks,9.14%,Rise by 25.38%,217.19%,Tangent Case,
2021-03-28,30.8919,2021-07-18,33.716,2021-03-21,Buy,16 Weeks,9.14%,Rise by 25.38%,226.33%,Normal Case,
2021-05-23,31.7812,2021-08-29,38.7335,2021-05-09,Buy,14 Weeks,21.88%,Rise by 21.88%,248.21%,Normal Case,
2021-06-06,32.6004,2021-08-29,38.7335,2021-05-30,Buy,12 Weeks,18.81%,Rise by 18.81%,267.02%,Normal Case,
2021-06-20,32.6327,2021-08-29,38.7335,2021-06-13,Buy,10 Weeks,18.7%,Rise by 18.7%,285.72%,Normal Case,
2021-08-22,38.4802,2021-11-28,39.6605,2021-08-15,Buy,14 Weeks,3.07%,Rise by 7.31%,288.78%,Normal Case,
2021-10-03,37.2083,2022-01-16,38.6203,2021-09-26,Buy,15 Weeks,3.79%,Rise by -10.68%,292.58%,Normal Case,
2021-12-05,38.3616,2022-02-27,37.4993,2016-02-21,Buy,12 Weeks,-2.25%,Rise by -12.31%,290.33%,Tangent Case,
2021-12-26,41.1803,2022-02-27,37.4993,2021-12-19,Buy,9 Weeks,-8.94%,Rise by -11.12%,281.39%,Normal Case,
2022-02-13,39.903,2022-04-24,35.3867,2022-02-06,Buy,10 Weeks,-11.32%,Rise by -11.32%,270.07%,Normal Case,
2022-04-10,38.0437,2022-09-04,33.6944,2022-04-03,Buy,21 Weeks,-11.43%,Rise by -10.36%,258.64%,Normal Case,
2022-05-22,32.5734,2022-09-04,33.6944,2022-05-15,Buy,15 Weeks,3.44%,Rise by 13.42%,262.08%,Normal Case,
2022-08-28,34.5513,2022-11-27,33.4573,2022-08-14,Buy,13 Weeks,-3.17%,Rise by -17.89%,258.92%,Normal Case,
2022-09-18,34.3789,2022-11-27,33.4573,2022-09-11,Buy,10 Weeks,-2.68%,Rise by -14.55%,256.23%,Normal Case,
2022-09-25,32.1046,2022-11-27,33.4573,2022-07-17,Buy,9 Weeks,4.21%,Rise by 4.21%,260.45%,Local Extrema Case,
2022-11-06,29.3775,2023-02-26,30.6333,2022-10-30,Buy,16 Weeks,4.27%,Rise by 14.71%,264.72%,Normal Case,
2023-04-30,29.3067,2023-08-13,30.8,2023-04-16,Buy,15 Weeks,5.1%,Rise by 6.71%,269.82%,Normal Case,
2023-05-28,28.58,2023-08-13,30.8,2023-05-21,Buy,11 Weeks,7.77%,Rise by 9.42%,277.59%,Normal Case,
2023-07-02,29.7333,2023-10-01,28.3133,2023-06-25,Buy,13 Weeks,-4.78%,Rise by 9.37%,272.81%,Normal Case,
2023-08-13,30.8,2024-01-14,35.0067,2023-08-06,Buy,22 Weeks,13.66%,Rise by -12.49%,286.47%,Normal Case,
2023-09-03,31.46,2024-01-14,35.0067,2023-08-13,Buy,19 Weeks,11.27%,Rise by -10.72%,297.74%,Normal Case,
2023-10-22,28.0867,2024-01-14,35.0067,2023-10-15,Buy,12 Weeks,24.64%,Rise by 35.01%,322.38%,Normal Case,
2024-01-07,34.3267,2024-04-07,36.5267,2016-04-03,Buy,13 Weeks,6.41%,Rise by 10.47%,328.79%,Tangent Case,
2024-03-10,37.4933,2024-06-02,39.5667,2024-03-03,Buy,12 Weeks,5.53%,Rise by 8.84%,334.32%,Normal Case,
2024-03-17,37.0067,2024-06-02,39.5667,2016-04-10,Buy,11 Weeks,6.92%,Rise by 10.27%,341.24%,Tangent Case,
2024-04-28,37.3067,2024-08-18,42.4867,2024-04-14,Buy,16 Weeks,13.88%,Rise by 53.75%,355.12%,Normal Case,
2024-07-07,38.6467,2024-12-22,53.7333,2024-06-30,Buy,24 Weeks,39.04%,Rise by 48.42%,394.16%,Normal Case,
2024-07-21,42.18,2024-12-22,53.7333,2024-07-14,Buy,22 Weeks,27.39%,Rise by 35.99%,421.55%,Normal Case,
2024-07-28,43.5867,2024-12-22,53.7333,2024-07-21,Buy,21 Weeks,23.28%,Rise by 31.6%,444.83%,Normal Case,
2024-08-11,41.1333,2024-12-22,53.7333,2024-04-21,Buy,19 Weeks,30.63%,Rise by 39.45%,475.46%,Local Extrema Case,
2024-10-06,48.0533,2024-12-22,53.7333,2024-09-29,Buy,11 Weeks,11.82%,Rise by 19.37%,487.28%,Normal Case,
2024-10-27,49.5667,2025-02-16,57.5,2024-10-20,Buy,16 Weeks,16.01%,Rise by 19.52%,503.29%,Normal Case,
2024-11-10,52.96,2025-02-16,57.5,2024-11-03,Buy,14 Weeks,8.57%,Rise by 11.86%,511.86%,Normal Case,
2024-11-24,54.3,2025-02-16,57.5,2016-05-01,Buy,12 Weeks,5.89%,Rise by 9.1%,517.75%,Tangent Case,
2025-01-05,55.66,2025-06-01,52.8333,2024-12-29,Buy,21 Weeks,-5.08%,Rise by -10.32%,512.67%,Normal Case,
2025-01-12,52.8333,2025-06-01,52.8333,2024-12-22,Buy,20 Weeks,0.0%,Rise by -16.92%,512.67%,Normal Case,
2025-02-02,59.24,2025-06-01,52.8333,2025-01-26,Buy,17 Weeks,-10.81%,Rise by -13.43%,501.86%,Normal Case,
2025-03-30,49.4667,2025-06-01,52.8333,2025-03-23,Buy,9 Weeks,6.81%,Rise by 12.57%,508.66%,Normal Case,
2025-05-18,55.6867,2025-08-17,60.32,2025-01-19,Buy,13 Weeks,8.32%,Rise by 10.93%,516.98%,Local Extrema Case,
2025-06-22,54.0267,2025-10-12,60.29,2025-06-15,Buy,16 Weeks,11.59%,Rise by 22.19%,528.58%,Normal Case,
2025-06-29,56.2733,2025-10-12,60.29,2025-06-22,Buy,15 Weeks,7.14%,Rise by 17.31%,535.72%,Normal Case,
2025-08-10,59.3533,2025-10-12,60.29,2016-05-08,Buy,9 Weeks,1.58%,Rise by 8.82%,537.29%,Tangent Case,
2025-09-07,61.44,2025-09-07,61.44,2025-08-17,Buy,0 Weeks,0.0%,Rise by 0%,537.29%,Normal Case,
