Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type
2015-12-27,133.89,2016-05-15,141.4,2015-12-13,Buy,20 Weeks,5.61%,Rise by 9.13%,5.61%,Normal Case
2016-02-14,128.07,2016-05-15,141.4,2016-02-07,Buy,13 Weeks,10.41%,Rise by 14.09%,16.02%,Absolute Extrema Case
2016-03-06,137.97,2016-05-15,141.4,2015-12-20,Buy,10 Weeks,2.49%,Rise by 5.9%,18.5%,Local Extrema Case
2016-05-01,145.48,2016-07-10,143.65,2016-04-24,Buy,10 Weeks,-1.26%,Rise by 3.6%,17.25%,Normal Case
2016-06-26,139.71,2016-09-18,145.01,2016-06-19,Buy,12 Weeks,3.79%,Rise by 7.88%,21.04%,Normal Case
2016-08-21,148.75,2017-01-01,162.98,2016-08-14,Buy,19 Weeks,9.57%,Rise by 11.14%,30.61%,Normal Case
2016-08-28,147.91,2017-01-01,162.98,2016-08-21,Buy,18 Weeks,10.19%,Rise by 11.77%,40.79%,Normal Case
2016-09-04,150.72,2017-01-01,162.98,2016-08-28,Buy,17 Weeks,8.13%,Rise by 9.69%,48.93%,Normal Case
2016-10-30,144.0,2017-01-01,162.98,2016-10-23,Buy,9 Weeks,13.18%,Rise by 14.81%,62.11%,Normal Case
2016-11-06,142.95,2017-03-19,172.82,2016-10-16,Buy,19 Weeks,20.9%,Rise by 15.65%,83.0%,Normal Case
2016-11-13,156.92,2017-03-19,172.82,2016-08-07,Buy,18 Weeks,10.13%,Rise by 11.96%,93.14%,Local Extrema Case
2016-11-13,156.92,2017-03-19,172.82,2016-10-30,Buy,18 Weeks,10.13%,Rise by 11.96%,103.27%,Normal Case
2016-12-25,165.32,2017-03-19,172.82,2015-11-08,Buy,12 Weeks,4.54%,Rise by 6.27%,107.81%,Tangent Case
2017-03-12,174.98,2017-07-23,171.34,2017-03-05,Buy,19 Weeks,-2.08%,Rise by 8.04%,105.73%,Normal Case
2017-07-02,169.37,2017-09-17,179.89,2017-06-25,Buy,11 Weeks,6.21%,Rise by 11.61%,111.94%,Normal Case
2017-08-13,175.34,2017-11-12,183.68,2017-08-06,Buy,13 Weeks,4.76%,Rise by 7.81%,116.69%,Normal Case
2017-08-20,177.56,2017-11-12,183.68,2017-08-13,Buy,12 Weeks,3.45%,Rise by 6.47%,120.14%,Normal Case
2017-08-27,179.6,2017-11-12,183.68,2017-08-20,Buy,11 Weeks,2.27%,Rise by 5.26%,122.41%,Normal Case
2017-09-10,175.5,2017-11-12,183.68,2015-11-15,Buy,9 Weeks,4.66%,Rise by 23.75%,127.07%,Tangent Case
2017-10-01,183.32,2018-02-18,203.79,2017-09-24,Buy,20 Weeks,11.17%,Rise by 18.48%,138.24%,Normal Case
2017-10-29,188.59,2018-02-18,203.79,2017-10-22,Buy,16 Weeks,8.06%,Rise by 15.17%,146.3%,Normal Case
2017-12-31,198.22,2018-08-05,200.24,2017-12-24,Buy,31 Weeks,1.02%,Rise by 11.25%,147.32%,Normal Case
2018-02-11,196.02,2018-08-05,200.24,2017-11-26,Buy,25 Weeks,2.15%,Rise by 12.5%,149.47%,Local Extrema Case
2018-04-08,195.49,2018-08-05,200.24,2018-03-25,Buy,17 Weeks,2.43%,Rise by 12.8%,151.9%,Normal Case
2018-09-16,216.37,2018-12-23,192.1,2018-09-02,Buy,14 Weeks,-11.22%,Rise by -11.22%,140.68%,Normal Case
2018-10-07,219.46,2018-12-23,192.1,2018-09-30,Buy,11 Weeks,-12.47%,Rise by -12.47%,128.22%,Normal Case
2018-10-28,198.49,2019-02-24,201.91,2018-07-01,Buy,17 Weeks,1.72%,Rise by 5.39%,129.94%,Local Extrema Case
2018-11-04,206.57,2019-02-24,201.91,2018-10-28,Buy,16 Weeks,-2.26%,Rise by 1.27%,127.68%,Normal Case
2018-11-11,219.63,2019-02-24,201.91,2018-10-21,Buy,15 Weeks,-8.07%,Rise by -11.12%,119.62%,Normal Case
2019-09-29,207.45,2020-02-02,224.43,2019-09-15,Buy,18 Weeks,8.19%,Rise by 10.97%,127.8%,Normal Case
2019-12-08,222.61,2020-06-28,175.37,2019-11-24,Buy,29 Weeks,-21.22%,Rise by -11.77%,106.58%,Normal Case
2020-07-05,178.83,2020-09-20,218.21,2020-06-28,Buy,11 Weeks,22.02%,Rise by 22.21%,128.6%,Normal Case
2020-09-06,218.32,2020-12-13,226.39,2020-08-30,Buy,14 Weeks,3.7%,Rise by 6.06%,132.3%,Normal Case
2020-09-13,217.93,2020-12-13,226.39,2020-09-06,Buy,13 Weeks,3.88%,Rise by 6.25%,136.18%,Normal Case
2020-09-20,218.21,2020-12-13,226.39,2020-09-13,Buy,12 Weeks,3.75%,Rise by 6.11%,139.93%,Normal Case
2021-02-28,240.51,2021-05-30,289.44,2021-02-14,Buy,13 Weeks,20.34%,Rise by 21.62%,160.27%,Normal Case
2021-03-07,253.15,2021-05-30,289.44,2021-02-28,Buy,12 Weeks,14.34%,Rise by 15.55%,174.61%,Normal Case
2021-03-14,260.02,2021-05-30,289.44,2021-02-21,Buy,11 Weeks,11.31%,Rise by 12.5%,185.92%,Normal Case
2021-05-09,290.93,2021-08-29,286.6,2021-05-02,Buy,16 Weeks,-1.49%,Rise by -1.04%,184.43%,Normal Case
2021-05-16,290.68,2021-08-29,286.6,2021-05-09,Buy,15 Weeks,-1.4%,Rise by -0.96%,183.03%,Normal Case
2021-05-23,287.74,2021-08-29,286.6,2016-01-17,Buy,14 Weeks,-0.4%,Rise by 0.05%,182.63%,Tangent Case
2021-06-06,292.52,2021-08-29,286.6,2021-05-30,Buy,12 Weeks,-2.02%,Rise by -1.58%,180.61%,Normal Case
2021-08-22,285.27,2021-11-28,283.09,2021-08-08,Buy,14 Weeks,-0.76%,Rise by 1.39%,179.85%,Normal Case
2021-10-03,275.71,2022-01-30,312.9,2021-09-26,Buy,17 Weeks,13.49%,Rise by 17.56%,193.34%,Normal Case
2021-10-10,284.14,2022-01-30,312.9,2021-10-03,Buy,16 Weeks,10.12%,Rise by 14.07%,203.46%,Normal Case
2021-11-28,283.09,2022-01-30,312.9,2021-11-21,Buy,9 Weeks,10.53%,Rise by 14.5%,213.99%,Normal Case
2021-12-05,277.43,2022-02-27,319.24,2016-01-24,Buy,12 Weeks,15.07%,Rise by 29.32%,229.06%,Tangent Case
2021-12-26,294.49,2022-02-27,319.24,2021-12-19,Buy,9 Weeks,8.4%,Rise by 21.82%,237.46%,Normal Case
2022-01-09,319.78,2022-04-17,344.33,2022-01-02,Buy,14 Weeks,7.68%,Rise by 12.19%,245.14%,Normal Case
2022-01-16,324.13,2022-04-17,344.33,2022-01-09,Buy,13 Weeks,6.23%,Rise by 10.68%,251.37%,Normal Case
2022-02-13,319.14,2022-04-17,344.33,2021-12-05,Buy,9 Weeks,7.89%,Rise by -16.0%,259.26%,Local Extrema Case
2022-02-13,319.14,2022-04-17,344.33,2022-02-06,Buy,9 Weeks,7.89%,Rise by -16.0%,267.16%,Normal Case
2022-02-20,314.8,2022-08-14,301.55,2022-02-13,Buy,25 Weeks,-4.21%,Rise by -14.84%,262.95%,Normal Case
2022-03-06,325.34,2022-08-14,301.55,2022-02-20,Buy,23 Weeks,-7.31%,Rise by -10.34%,255.64%,Normal Case
2022-03-13,326.6,2022-08-14,301.55,2022-03-06,Buy,22 Weeks,-7.67%,Rise by -10.68%,247.97%,Normal Case
2022-04-17,344.33,2022-08-14,301.55,2022-04-10,Buy,17 Weeks,-12.42%,Rise by -15.28%,235.54%,Normal Case
2022-05-01,322.83,2022-08-14,301.55,2022-01-30,Buy,15 Weeks,-6.59%,Rise by -16.96%,228.95%,Local Extrema Case
2022-05-08,318.88,2022-08-14,301.55,2022-02-27,Buy,14 Weeks,-5.43%,Rise by -12.73%,223.52%,Local Extrema Case
2022-07-17,278.48,2022-12-18,300.0,2022-07-03,Buy,22 Weeks,7.73%,Rise by 13.99%,231.24%,Normal Case
2022-09-25,267.77,2022-12-18,300.0,2022-06-26,Buy,12 Weeks,12.04%,Rise by 18.55%,243.28%,Local Extrema Case
2022-10-09,269.04,2022-12-18,300.0,2022-09-25,Buy,10 Weeks,11.51%,Rise by 17.99%,254.79%,Normal Case
2023-01-01,308.9,2023-03-26,298.92,2022-12-18,Buy,12 Weeks,-3.23%,Rise by 19.09%,251.56%,Normal Case
2023-02-19,308.24,2023-06-04,329.48,2023-02-12,Buy,15 Weeks,6.89%,Rise by 19.34%,258.45%,Normal Case
2023-03-05,312.45,2023-06-04,329.48,2023-02-26,Buy,13 Weeks,5.45%,Rise by 17.73%,263.9%,Normal Case
2023-03-12,303.63,2023-06-04,329.48,2023-03-05,Buy,12 Weeks,8.51%,Rise by 21.15%,272.41%,Normal Case
2023-04-30,328.55,2023-08-27,355.93,2023-04-16,Buy,17 Weeks,8.33%,Rise by 11.96%,280.74%,Normal Case
2023-05-14,322.49,2023-08-27,355.93,2023-04-23,Buy,15 Weeks,10.37%,Rise by 14.07%,291.11%,Normal Case
2023-08-06,349.99,2023-10-08,346.34,2023-07-30,Buy,9 Weeks,-1.04%,Rise by 3.63%,290.07%,Normal Case
2023-08-13,358.35,2023-12-10,353.08,2023-08-06,Buy,17 Weeks,-1.47%,Rise by 1.21%,288.6%,Normal Case
2023-09-03,362.46,2023-12-10,353.08,2023-08-13,Buy,14 Weeks,-2.59%,Rise by 0.06%,286.01%,Normal Case
2023-09-24,360.16,2023-12-10,353.08,2023-09-10,Buy,11 Weeks,-1.97%,Rise by 0.7%,284.05%,Normal Case
2024-01-07,365.59,2024-03-17,408.13,2023-12-31,Buy,10 Weeks,11.64%,Rise by 14.12%,295.68%,Normal Case
2024-04-07,418.62,2024-08-04,428.36,2024-03-31,Buy,17 Weeks,2.33%,Rise by 13.69%,298.01%,Normal Case
2024-06-09,413.72,2024-09-22,455.31,2024-05-26,Buy,15 Weeks,10.05%,Rise by 15.03%,308.06%,Normal Case
2024-07-21,434.47,2024-09-22,455.31,2024-07-14,Buy,9 Weeks,4.8%,Rise by 11.17%,312.86%,Normal Case
2024-07-28,437.66,2024-12-15,457.9,2024-07-21,Buy,20 Weeks,4.62%,Rise by 10.36%,317.48%,Normal Case
2024-08-11,431.67,2024-12-15,457.9,2024-06-02,Buy,18 Weeks,6.08%,Rise by 11.9%,323.56%,Local Extrema Case
2024-09-08,459.42,2024-12-15,457.9,2024-09-01,Buy,14 Weeks,-0.33%,Rise by 5.14%,323.23%,Normal Case
2024-09-15,447.61,2024-12-15,457.9,2024-08-25,Buy,13 Weeks,2.3%,Rise by 7.91%,325.53%,Normal Case
2024-10-13,460.21,2024-12-15,457.9,2024-09-29,Buy,9 Weeks,-0.5%,Rise by 4.96%,325.03%,Normal Case
2025-01-05,453.56,2025-04-20,518.21,2024-12-22,Buy,15 Weeks,14.25%,Rise by 19.01%,339.28%,Normal Case
2025-01-19,467.95,2025-04-20,518.21,2025-01-12,Buy,13 Weeks,10.74%,Rise by 15.35%,350.02%,Normal Case
2025-02-02,468.67,2025-04-20,518.21,2025-01-26,Buy,11 Weeks,10.57%,Rise by 15.18%,360.59%,Normal Case
2025-03-02,513.83,2025-05-18,514.31,2025-02-23,Buy,11 Weeks,0.09%,Rise by 5.05%,360.68%,Normal Case
2025-03-09,495.62,2025-05-18,514.31,2025-03-02,Buy,10 Weeks,3.77%,Rise by 8.91%,364.46%,Normal Case
