Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type
2015-12-20,4.7,2016-04-17,4.95,2015-12-13,Buy,17 Weeks,5.32%,Rise by 15.74%,5.32%,Absolute Extrema Case
2016-01-10,4.74,2016-04-17,4.95,2015-12-27,Buy,14 Weeks,4.43%,Rise by 14.77%,9.75%,Normal Case
2016-05-01,5.08,2016-08-14,5.26,2016-04-24,Buy,15 Weeks,3.54%,Rise by 6.3%,13.29%,Normal Case
2016-05-08,5.15,2016-08-14,5.26,2016-05-01,Buy,14 Weeks,2.14%,Rise by 4.85%,15.43%,Normal Case
2016-05-22,5.41,2016-08-14,5.26,2016-05-15,Buy,12 Weeks,-2.77%,Rise by -0.18%,12.66%,Normal Case
2016-08-07,5.37,2017-02-12,4.79,2016-07-24,Buy,27 Weeks,-10.8%,Rise by -10.8%,1.86%,Normal Case
2016-08-28,5.22,2017-02-12,4.79,2016-08-21,Buy,24 Weeks,-8.24%,Rise by -16.67%,-6.38%,Normal Case
2016-10-23,4.79,2017-02-12,4.79,2016-10-09,Buy,16 Weeks,0.0%,Rise by 2.71%,-6.38%,Normal Case
2016-11-06,4.73,2017-02-12,4.79,2016-10-16,Buy,14 Weeks,1.27%,Rise by 4.02%,-5.11%,Normal Case
2017-01-08,4.74,2017-04-23,5.09,2016-12-25,Buy,15 Weeks,7.38%,Rise by 4.01%,2.27%,Normal Case
2017-03-19,4.93,2017-05-28,5.15,2017-03-05,Buy,10 Weeks,4.46%,Rise by 6.09%,6.73%,Normal Case
2017-03-26,4.91,2017-05-28,5.15,2017-03-12,Buy,9 Weeks,4.89%,Rise by 6.52%,11.62%,Normal Case
2017-04-02,5.06,2017-07-09,5.29,2017-03-26,Buy,14 Weeks,4.55%,Rise by 10.67%,16.17%,Normal Case
2017-04-09,5.17,2017-07-09,5.29,2017-03-19,Buy,13 Weeks,2.32%,Rise by 8.32%,18.49%,Normal Case
2017-04-16,5.1,2017-07-09,5.29,2017-04-09,Buy,12 Weeks,3.73%,Rise by 9.8%,22.21%,Normal Case
2017-05-21,5.14,2017-07-23,5.21,2017-05-07,Buy,9 Weeks,1.36%,Rise by 8.95%,23.57%,Normal Case
2017-07-02,5.21,2017-09-03,5.51,2017-06-25,Buy,9 Weeks,5.76%,Rise by 7.49%,29.33%,Normal Case
2017-08-13,5.38,2017-11-19,5.55,2017-08-06,Buy,14 Weeks,3.16%,Rise by 7.25%,32.49%,Normal Case
2017-08-20,5.6,2017-11-19,5.55,2017-08-13,Buy,13 Weeks,-0.89%,Rise by 3.04%,31.6%,Normal Case
2017-08-27,5.57,2017-11-19,5.55,2015-11-22,Buy,12 Weeks,-0.36%,Rise by 3.59%,31.24%,Tangent Case
2017-08-27,5.57,2017-11-19,5.55,2017-08-20,Buy,12 Weeks,-0.36%,Rise by 3.59%,30.88%,Normal Case
2017-10-01,5.5,2018-07-08,5.89,2017-09-24,Buy,40 Weeks,7.09%,Rise by 5.09%,37.97%,Normal Case
2017-10-29,5.64,2018-07-08,5.89,2017-10-22,Buy,36 Weeks,4.43%,Rise by 2.48%,42.41%,Normal Case
2017-11-19,5.55,2018-07-08,5.89,2015-11-29,Buy,33 Weeks,6.13%,Rise by 6.67%,48.53%,Tangent Case
2017-12-31,5.56,2018-07-08,5.89,2017-12-24,Buy,27 Weeks,5.94%,Rise by 6.47%,54.47%,Normal Case
2018-04-08,5.26,2018-07-08,5.89,2018-04-01,Buy,13 Weeks,11.98%,Rise by 12.55%,66.44%,Normal Case
2018-04-29,5.32,2018-07-08,5.89,2018-04-22,Buy,10 Weeks,10.71%,Rise by 11.28%,77.16%,Normal Case
