Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type
2021-05-16,258.37,2021-07-18,225.01,2021-05-09,Buy,9 Weeks,-12.91%,Rise by -12.91%,-12.91%,Absolute Extrema Case
2021-06-06,228.79,2021-08-29,259.12,2021-05-30,Buy,12 Weeks,13.26%,Rise by 21.7%,0.34%,Normal Case
2021-06-20,229.29,2021-08-29,259.12,2021-06-13,Buy,10 Weeks,13.01%,Rise by 21.44%,13.35%,Normal Case
2021-08-22,257.32,2021-11-28,303.19,2021-08-08,Buy,14 Weeks,17.83%,Rise by 33.29%,31.18%,Normal Case
2021-12-05,265.65,2022-08-21,74.06,2021-04-18,Buy,37 Weeks,-72.12%,Rise by -27.74%,-40.94%,Tangent Case
2022-02-13,194.53,2022-08-21,74.06,2022-02-06,Buy,27 Weeks,-61.93%,Rise by -17.27%,-102.87%,Normal Case
2022-05-22,66.15,2022-08-21,74.06,2022-05-15,Buy,13 Weeks,11.96%,Rise by -18.68%,-90.91%,Absolute Extrema Case
2022-07-17,53.79,2023-02-19,65.2,2022-07-10,Buy,31 Weeks,21.21%,Rise by -15.86%,-69.7%,Normal Case
2022-08-28,66.74,2023-02-19,65.2,2022-08-07,Buy,25 Weeks,-2.31%,Rise by -11.87%,-72.01%,Normal Case
2022-09-18,74.0,2023-02-19,65.2,2022-09-11,Buy,22 Weeks,-11.89%,Rise by -20.51%,-83.9%,Normal Case
2022-09-25,61.88,2023-02-19,65.2,2022-07-03,Buy,21 Weeks,5.37%,Rise by -26.86%,-78.53%,Local Extrema Case
2022-10-02,64.49,2023-02-19,65.2,2022-09-25,Buy,20 Weeks,1.1%,Rise by -29.82%,-77.43%,Normal Case
2022-10-16,63.59,2023-02-19,65.2,2022-10-02,Buy,18 Weeks,2.53%,Rise by -25.04%,-74.9%,Normal Case
2023-02-26,58.44,2023-07-30,94.76,2023-02-19,Buy,22 Weeks,62.15%,Rise by 80.2%,-12.75%,Normal Case
2023-03-05,64.51,2023-07-30,94.76,2023-02-26,Buy,21 Weeks,46.89%,Rise by -16.62%,34.14%,Normal Case
2023-03-26,67.83,2023-07-30,94.76,2023-03-05,Buy,18 Weeks,39.7%,Rise by -15.47%,73.84%,Normal Case
2023-07-02,71.55,2024-01-14,130.78,2023-06-25,Buy,28 Weeks,82.78%,Rise by 145.26%,156.62%,Normal Case
2023-10-08,78.46,2024-01-14,130.78,2023-10-01,Buy,14 Weeks,66.68%,Rise by 123.66%,223.31%,Normal Case
2023-10-15,73.43,2024-01-14,130.78,2023-09-24,Buy,13 Weeks,78.1%,Rise by 138.98%,301.41%,Normal Case
2023-10-22,74.66,2024-01-14,130.78,2023-10-15,Buy,12 Weeks,75.17%,Rise by 135.04%,376.58%,Normal Case
2023-10-29,70.78,2024-01-14,130.78,2023-06-11,Buy,11 Weeks,84.77%,Rise by 147.92%,461.35%,Local Extrema Case
2023-10-29,70.78,2024-01-14,130.78,2023-10-08,Buy,11 Weeks,84.77%,Rise by 147.92%,546.12%,Normal Case
2024-01-07,153.98,2024-04-14,245.75,2023-12-24,Buy,14 Weeks,59.6%,Rise by 72.18%,605.71%,Normal Case
2024-03-10,256.62,2024-06-23,225.86,2024-03-03,Buy,15 Weeks,-11.99%,Rise by -13.0%,593.73%,Normal Case
2024-04-14,245.75,2024-06-23,225.86,2024-03-24,Buy,10 Weeks,-8.09%,Rise by -0.51%,585.63%,Normal Case
2024-06-02,225.92,2024-08-11,196.29,2024-05-26,Buy,10 Weeks,-13.12%,Rise by 14.11%,572.52%,Normal Case
2024-07-07,223.68,2024-12-22,278.71,2024-06-30,Buy,24 Weeks,24.6%,Rise by -18.03%,597.12%,Normal Case
2024-07-21,257.79,2024-12-22,278.71,2024-07-14,Buy,22 Weeks,8.12%,Rise by -42.84%,605.24%,Normal Case
2024-10-27,205.04,2025-06-08,251.27,2024-10-20,Buy,32 Weeks,22.55%,Rise by -10.69%,627.78%,Normal Case
2024-12-15,310.58,2025-06-08,251.27,2024-12-08,Buy,25 Weeks,-19.1%,Rise by -11.62%,608.69%,Normal Case
2025-01-12,258.78,2025-06-08,251.27,2025-01-05,Buy,21 Weeks,-2.9%,Rise by -16.68%,605.78%,Normal Case
2025-02-09,274.49,2025-06-08,251.27,2025-02-02,Buy,17 Weeks,-8.46%,Rise by -36.64%,597.33%,Normal Case
2025-03-09,217.45,2025-06-08,251.27,2024-11-10,Buy,13 Weeks,15.55%,Rise by 22.54%,612.88%,Local Extrema Case
2025-04-27,209.64,2025-08-03,314.69,2025-04-20,Buy,14 Weeks,50.11%,Rise by 100.24%,662.99%,Normal Case
2025-05-25,263.16,2025-08-03,314.69,2025-05-18,Buy,10 Weeks,19.58%,Rise by 59.52%,682.57%,Normal Case
2025-06-22,308.38,2025-10-26,354.46,2025-06-15,Buy,18 Weeks,14.94%,Rise by 11.48%,697.51%,Normal Case
2025-06-29,353.43,2025-10-26,354.46,2025-06-22,Buy,17 Weeks,0.29%,Rise by -10.15%,697.8%,Normal Case
2025-10-12,357.01,2025-10-12,357.01,2025-10-05,Buy,0 Weeks,0.0%,Rise by 0%,697.8%,Normal Case
