Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type,Signal Open Price
2015-12-06,36.89,2016-05-08,41.79,2015-11-29,Buy,22 Weeks,13.28%,Rise by 13.36%,13.28%,Normal Case,
2015-12-13,36.13,2016-05-08,41.79,2015-11-22,Buy,21 Weeks,15.67%,Rise by 15.75%,28.95%,Absolute Extrema Case,
2015-12-20,36.68,2016-05-08,41.79,2015-12-13,Buy,20 Weeks,13.93%,Rise by 14.01%,42.88%,Normal Case,
2016-02-07,35.34,2016-05-08,41.79,2016-01-31,Buy,13 Weeks,18.25%,Rise by 18.34%,61.13%,Normal Case,
2016-02-14,34.54,2016-05-08,41.79,2016-01-24,Buy,12 Weeks,20.99%,Rise by 21.08%,82.12%,Absolute Extrema Case,
2016-05-08,41.79,2016-09-25,45.85,2016-05-01,Buy,20 Weeks,9.72%,Rise by 14.0%,91.84%,Normal Case,
2016-05-22,41.29,2016-09-25,45.85,2016-05-15,Buy,18 Weeks,11.04%,Rise by 15.38%,102.88%,Normal Case,
2016-06-19,42.91,2016-09-25,45.85,2016-06-05,Buy,14 Weeks,6.85%,Rise by 11.02%,109.73%,Normal Case,
2016-08-07,46.16,2017-02-12,42.92,2016-07-31,Buy,27 Weeks,-7.02%,Rise by -11.09%,102.71%,Normal Case,
2016-08-21,47.03,2017-02-12,42.92,2016-08-14,Buy,25 Weeks,-8.74%,Rise by -12.74%,93.97%,Normal Case,
2016-08-28,46.73,2017-02-12,42.92,2016-08-21,Buy,24 Weeks,-8.15%,Rise by -12.18%,85.82%,Normal Case,
2016-09-11,47.64,2017-02-12,42.92,2016-09-04,Buy,22 Weeks,-9.91%,Rise by -10.96%,75.91%,Normal Case,
2016-10-16,43.75,2017-02-12,42.92,2016-07-03,Buy,17 Weeks,-1.9%,Rise by -0.23%,74.02%,Local Extrema Case,
2017-01-01,39.73,2017-08-13,46.66,2016-12-25,Buy,32 Weeks,17.44%,Rise by 19.56%,91.46%,Normal Case,
2017-01-29,43.44,2017-08-13,46.66,2017-01-22,Buy,28 Weeks,7.41%,Rise by 9.35%,98.87%,Normal Case,
2017-03-26,41.44,2017-08-13,46.66,2017-03-19,Buy,20 Weeks,12.6%,Rise by 14.62%,111.47%,Normal Case,
2017-04-02,42.22,2017-08-13,46.66,2017-03-26,Buy,19 Weeks,10.52%,Rise by 12.51%,121.98%,Normal Case,
2017-04-23,42.44,2017-08-13,46.66,2017-04-09,Buy,16 Weeks,9.94%,Rise by 11.92%,131.93%,Normal Case,
2017-05-21,43.22,2017-08-13,46.66,2017-05-07,Buy,12 Weeks,7.96%,Rise by 9.9%,139.89%,Normal Case,
2017-07-02,46.26,2017-10-15,47.68,2017-06-25,Buy,15 Weeks,3.07%,Rise by 2.68%,142.96%,Normal Case,
2017-08-20,47.5,2018-01-07,48.48,2017-08-13,Buy,20 Weeks,2.06%,Rise by 0.38%,145.02%,Normal Case,
2017-08-27,46.97,2018-01-07,48.48,2017-08-20,Buy,19 Weeks,3.21%,Rise by 1.51%,148.23%,Normal Case,
2017-10-01,47.12,2018-01-07,48.48,2017-09-24,Buy,14 Weeks,2.89%,Rise by 4.01%,151.12%,Normal Case,
2018-02-04,49.01,2018-04-29,47.95,2018-01-21,Buy,12 Weeks,-2.16%,Rise by 2.24%,148.96%,Normal Case,
2018-02-11,46.7,2018-04-29,47.95,2017-11-19,Buy,11 Weeks,2.68%,Rise by 7.3%,151.63%,Local Extrema Case,
