Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type
2017-11-19,354.386,2018-01-28,1246.01,2017-11-12,Buy,10 Weeks,251.6%,Rise by 285.67%,251.6%,Absolute Extrema Case
2017-12-31,756.733,2018-05-20,715.369,2017-12-24,Buy,20 Weeks,-5.47%,Rise by -28.82%,246.13%,Normal Case
2018-02-18,923.921,2018-05-20,715.369,2018-02-04,Buy,13 Weeks,-22.57%,Rise by -56.65%,223.56%,Normal Case
2018-03-04,866.678,2018-05-20,715.369,2018-02-25,Buy,11 Weeks,-17.46%,Rise by -28.25%,206.1%,Normal Case
2018-03-25,524.287,2019-03-10,136.7587,2018-03-18,Buy,50 Weeks,-73.92%,Rise by -12.71%,132.18%,Normal Case
2018-04-08,400.508,2019-03-10,136.7587,2018-04-01,Buy,48 Weeks,-65.85%,Rise by -20.21%,66.33%,Normal Case
2018-04-29,688.881,2019-03-10,136.7587,2018-04-22,Buy,45 Weeks,-80.15%,Rise by -27.35%,-13.82%,Normal Case
2018-05-06,792.311,2019-03-10,136.7587,2018-04-29,Buy,44 Weeks,-82.74%,Rise by -42.24%,-96.56%,Normal Case
2018-07-08,489.119,2019-03-10,136.7587,2018-06-24,Buy,35 Weeks,-72.04%,Rise by -43.74%,-168.6%,Normal Case
2018-10-07,226.119,2019-03-10,136.7587,2018-09-30,Buy,22 Weeks,-39.52%,Rise by -48.5%,-208.12%,Normal Case
2018-10-28,205.366,2019-03-10,136.7587,2018-10-21,Buy,19 Weeks,-33.41%,Rise by -58.48%,-241.52%,Normal Case
2018-12-23,130.7653,2019-03-10,136.7587,2018-12-16,Buy,11 Weeks,4.58%,Rise by 33.47%,-236.94%,Absolute Extrema Case
2018-12-30,139.8595,2019-03-10,136.7587,2018-12-23,Buy,10 Weeks,-2.22%,Rise by 24.79%,-239.16%,Normal Case
2019-05-12,187.3253,2019-07-14,227.5781,2019-05-05,Buy,9 Weeks,21.49%,Rise by -23.75%,-217.67%,Normal Case
2019-05-19,261.2922,2020-03-01,218.9706,2019-05-12,Buy,41 Weeks,-16.2%,Rise by -12.9%,-233.87%,Normal Case
2019-06-02,270.2255,2020-03-01,218.9706,2019-05-26,Buy,39 Weeks,-18.97%,Rise by -16.5%,-252.83%,Normal Case
2019-06-09,233.0867,2020-03-01,218.9706,2019-05-19,Buy,38 Weeks,-6.06%,Rise by -16.56%,-258.89%,Normal Case
2019-07-07,305.7006,2020-03-01,218.9706,2017-11-19,Buy,34 Weeks,-28.37%,Rise by -38.88%,-287.26%,Tangent Case
2019-08-04,222.6697,2020-03-01,218.9706,2019-07-28,Buy,30 Weeks,-1.66%,Rise by -23.43%,-288.92%,Normal Case
2019-10-06,173.0591,2020-03-01,218.9706,2019-09-29,Buy,21 Weeks,26.53%,Rise by -17.46%,-262.39%,Normal Case
2019-12-08,151.2647,2020-03-01,218.9706,2019-12-01,Buy,12 Weeks,44.76%,Rise by 80.98%,-217.63%,Normal Case
2020-01-05,136.2768,2020-05-17,207.1587,2019-12-29,Buy,19 Weeks,52.01%,Rise by 100.88%,-165.62%,Normal Case
2020-02-02,188.6175,2020-05-17,207.1587,2020-01-26,Buy,15 Weeks,9.83%,Rise by -34.62%,-155.79%,Normal Case
2020-03-01,218.9706,2020-05-17,207.1587,2019-12-22,Buy,11 Weeks,-5.39%,Rise by -17.06%,-161.18%,Local Extrema Case
2020-03-01,218.9706,2020-05-17,207.1587,2020-02-09,Buy,11 Weeks,-5.39%,Rise by -17.06%,-166.58%,Normal Case
2020-03-22,123.3212,2020-06-21,228.9898,2020-03-15,Buy,13 Weeks,85.69%,Rise by 98.8%,-80.89%,Normal Case
2020-03-29,125.5837,2020-06-21,228.9898,2020-03-22,Buy,12 Weeks,82.34%,Rise by 95.22%,1.45%,Normal Case
2020-06-21,228.9898,2020-08-30,428.3957,2020-05-31,Buy,10 Weeks,87.08%,Rise by 89.43%,88.53%,Normal Case
2020-07-05,227.6646,2020-09-20,371.0528,2020-06-28,Buy,11 Weeks,62.98%,Rise by 750.2%,151.51%,Normal Case
2020-09-13,365.57,2021-03-07,1723.1538,2020-09-06,Buy,25 Weeks,371.36%,Rise by 429.47%,522.87%,Normal Case
2020-09-20,371.0528,2021-03-07,1723.1538,2020-09-13,Buy,24 Weeks,364.4%,Rise by 421.65%,887.27%,Normal Case
2020-10-25,406.2178,2021-03-07,1723.1538,2020-10-18,Buy,19 Weeks,324.19%,Rise by 376.49%,1211.46%,Normal Case
2020-11-01,396.3582,2021-03-07,1723.1538,2020-10-25,Buy,18 Weeks,334.75%,Rise by 388.35%,1546.21%,Normal Case
2021-01-10,1262.2467,2021-05-30,2390.3054,2021-01-03,Buy,20 Weeks,89.37%,Rise by 211.26%,1635.58%,Normal Case
2021-01-31,1314.9862,2021-05-30,2390.3054,2021-01-24,Buy,17 Weeks,81.77%,Rise by 198.77%,1717.35%,Normal Case
2021-03-07,1723.1538,2021-05-30,2390.3054,2021-02-28,Buy,12 Weeks,38.72%,Rise by 128.0%,1756.07%,Normal Case
2021-03-28,1691.356,2021-05-30,2390.3054,2017-12-17,Buy,9 Weeks,41.32%,Rise by 133.67%,1797.39%,Tangent Case
2021-05-09,3928.8447,2021-09-19,3329.448,2021-05-02,Buy,19 Weeks,-15.26%,Rise by -49.63%,1782.14%,Normal Case
2021-05-16,3587.5061,2021-09-19,3329.448,2021-05-09,Buy,18 Weeks,-7.19%,Rise by -35.28%,1774.95%,Normal Case
2021-06-06,2715.0928,2021-09-19,3329.448,2021-05-30,Buy,15 Weeks,22.63%,Rise by -19.29%,1797.57%,Normal Case
2021-08-22,3242.1155,2021-12-05,4198.3228,2021-08-15,Buy,15 Weeks,29.49%,Rise by 42.7%,1827.07%,Normal Case
2021-09-19,3329.448,2021-12-05,4198.3228,2021-09-12,Buy,11 Weeks,26.1%,Rise by 38.95%,1853.16%,Normal Case
2021-10-03,3418.3586,2021-12-05,4198.3228,2021-09-26,Buy,9 Weeks,22.82%,Rise by -25.84%,1875.98%,Normal Case
2021-10-10,3425.8528,2022-04-17,2993.4033,2021-10-03,Buy,27 Weeks,-12.62%,Rise by -26.0%,1863.36%,Normal Case
2021-12-05,4198.3228,2022-04-17,2993.4033,2017-12-31,Buy,19 Weeks,-28.7%,Rise by -39.62%,1834.66%,Tangent Case
2021-12-26,4067.3281,2022-04-17,2993.4033,2021-12-19,Buy,16 Weeks,-26.4%,Rise by -29.11%,1808.25%,Normal Case
2022-02-13,2883.4634,2022-04-17,2993.4033,2022-02-06,Buy,9 Weeks,3.81%,Rise by 22.17%,1812.07%,Normal Case
2022-04-17,2993.4033,2022-08-28,1430.5474,2022-03-27,Buy,19 Weeks,-52.21%,Rise by -39.69%,1759.86%,Normal Case
2022-05-01,2827.7561,2022-08-28,1430.5474,2022-01-30,Buy,17 Weeks,-49.41%,Rise by -60.12%,1710.45%,Local Extrema Case
2022-05-08,2517.46,2022-08-28,1430.5474,2022-02-27,Buy,16 Weeks,-43.17%,Rise by -52.34%,1667.27%,Local Extrema Case
2022-05-22,2043.1702,2022-08-28,1430.5474,2022-05-15,Buy,14 Weeks,-29.98%,Rise by -42.81%,1637.29%,Normal Case
2022-07-17,1338.6357,2022-11-20,1142.4667,2022-07-03,Buy,18 Weeks,-14.65%,Rise by -14.65%,1622.63%,Normal Case
2022-09-11,1761.8,2022-11-20,1142.4667,2022-09-04,Buy,10 Weeks,-35.15%,Rise by -10.76%,1587.48%,Normal Case
2022-09-25,1294.2168,2023-03-05,1564.4688,2022-06-19,Buy,23 Weeks,20.88%,Rise by -11.73%,1608.36%,Local Extrema Case
2022-10-02,1276.0935,2023-03-05,1564.4688,2022-09-25,Buy,22 Weeks,22.6%,Rise by -10.47%,1630.96%,Normal Case
2022-11-06,1572.2347,2023-03-05,1564.4688,2022-10-30,Buy,17 Weeks,-0.49%,Rise by -22.47%,1630.46%,Normal Case
2022-12-11,1263.8685,2023-03-05,1564.4688,2022-12-04,Buy,12 Weeks,23.78%,Rise by 67.74%,1654.25%,Normal Case
2023-01-01,1200.9648,2023-03-05,1564.4688,2022-12-18,Buy,9 Weeks,30.27%,Rise by 76.53%,1684.52%,Normal Case
2023-02-26,1640.8171,2023-04-30,1876.9243,2023-02-19,Buy,9 Weeks,14.39%,Rise by 29.2%,1698.91%,Normal Case
2023-03-19,1785.5765,2023-07-30,1861.6438,2023-03-12,Buy,19 Weeks,4.26%,Rise by 8.5%,1703.17%,Normal Case
2023-03-26,1775.6768,2023-07-30,1861.6438,2023-03-05,Buy,18 Weeks,4.84%,Rise by 9.11%,1708.01%,Normal Case
2023-04-30,1876.9243,2023-07-30,1861.6438,2023-04-09,Buy,13 Weeks,-0.81%,Rise by 3.22%,1707.19%,Normal Case
2023-05-07,1873.0764,2023-07-30,1861.6438,2023-04-30,Buy,12 Weeks,-0.61%,Rise by 3.44%,1706.58%,Normal Case
2023-07-02,1937.4384,2023-11-26,2063.2861,2023-06-25,Buy,21 Weeks,6.5%,Rise by -13.04%,1713.08%,Normal Case
2023-09-24,1580.8534,2023-11-26,2063.2861,2023-09-17,Buy,9 Weeks,30.52%,Rise by 48.81%,1743.6%,Normal Case
2023-10-08,1633.5486,2023-12-24,2265.6921,2023-10-01,Buy,11 Weeks,38.7%,Rise by 44.01%,1782.29%,Normal Case
2023-10-22,1663.4299,2023-12-24,2265.6921,2023-10-15,Buy,9 Weeks,36.21%,Rise by 41.42%,1818.5%,Normal Case
2023-10-29,1795.546,2024-01-28,2257.2087,2023-08-20,Buy,13 Weeks,25.71%,Rise by 116.16%,1844.21%,Local Extrema Case
2023-10-29,1795.546,2024-01-28,2257.2087,2023-10-22,Buy,13 Weeks,25.71%,Rise by 116.16%,1869.92%,Normal Case
2024-01-21,2453.9131,2024-03-31,3647.8564,2023-12-31,Buy,10 Weeks,48.65%,Rise by 58.16%,1918.58%,Normal Case
2024-03-10,3881.1931,2024-06-16,3620.5635,2024-03-03,Buy,14 Weeks,-6.72%,Rise by -15.93%,1911.86%,Normal Case
2024-04-21,3147.2886,2025-01-05,3634.1038,2024-04-14,Buy,37 Weeks,15.47%,Rise by -14.64%,1927.33%,Normal Case
2024-06-02,3780.896,2025-01-05,3634.1038,2024-05-26,Buy,31 Weeks,-3.88%,Rise by -13.47%,1923.45%,Normal Case
2024-07-21,3536.6055,2025-01-05,3634.1038,2024-07-14,Buy,24 Weeks,2.76%,Rise by -35.04%,1926.2%,Normal Case
2024-11-03,2456.4253,2025-01-05,3634.1038,2024-10-27,Buy,9 Weeks,47.94%,Rise by -17.95%,1974.15%,Normal Case
2024-12-15,3951.9412,2025-06-29,2500.96,2024-12-08,Buy,28 Weeks,-36.72%,Rise by -27.41%,1937.43%,Normal Case
2025-01-05,3634.1038,2025-06-29,2500.96,2024-12-29,Buy,25 Weeks,-31.18%,Rise by -22.37%,1906.25%,Normal Case
2025-01-12,3265.9512,2025-06-29,2500.96,2024-12-22,Buy,24 Weeks,-23.42%,Rise by -22.85%,1882.83%,Normal Case
2025-02-02,2868.6929,2025-06-29,2500.96,2018-02-18,Buy,21 Weeks,-12.82%,Rise by -30.1%,1870.01%,Tangent Case
2025-04-27,1792.865,2025-06-29,2500.96,2025-04-20,Buy,9 Weeks,39.5%,Rise by 166.59%,1909.5%,Normal Case
2025-05-18,2498.2336,2025-09-07,4305.3477,2025-02-09,Buy,16 Weeks,72.34%,Rise by 91.32%,1981.84%,Local Extrema Case
2025-05-25,2551.7639,2025-09-07,4305.3477,2025-05-18,Buy,15 Weeks,68.72%,Rise by 87.31%,2050.56%,Normal Case
2025-06-29,2500.96,2025-09-07,4305.3477,2025-06-22,Buy,10 Weeks,72.15%,Rise by 91.11%,2122.71%,Normal Case
