Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type
2015-12-13,1.0948,2016-02-28,1.1025,2015-12-06,Buy,11 Weeks,0.7%,Rise by 3.38%,0.7%,Absolute Extrema Case
2015-12-20,1.0844,2016-02-28,1.1025,2015-12-13,Buy,10 Weeks,1.67%,Rise by 4.37%,2.37%,Normal Case
2016-01-17,1.0859,2016-05-01,1.1356,2016-01-10,Buy,15 Weeks,4.58%,Rise by 4.8%,6.95%,Normal Case
2016-02-07,1.12,2016-05-01,1.1356,2016-01-31,Buy,12 Weeks,1.39%,Rise by 1.61%,8.34%,Normal Case
2016-02-14,1.1318,2016-05-01,1.1356,2016-02-07,Buy,11 Weeks,0.34%,Rise by 0.55%,8.68%,Normal Case
2016-05-08,1.1406,2016-09-11,1.1271,2016-05-01,Buy,18 Weeks,-1.18%,Rise by -0.5%,7.49%,Normal Case
2016-06-19,1.1252,2016-09-11,1.1271,2016-06-05,Buy,12 Weeks,0.17%,Rise by 0.86%,7.66%,Normal Case
2016-07-03,1.1106,2016-09-11,1.1271,2016-06-26,Buy,10 Weeks,1.49%,Rise by 2.19%,9.15%,Normal Case
2016-08-07,1.1135,2016-11-27,1.0562,2016-07-31,Buy,16 Weeks,-5.15%,Rise by -3.35%,4.0%,Normal Case
2016-08-21,1.1349,2016-11-27,1.0562,2016-08-14,Buy,14 Weeks,-6.93%,Rise by -5.17%,-2.93%,Normal Case
2016-08-28,1.1291,2016-11-27,1.0562,2016-08-21,Buy,13 Weeks,-6.46%,Rise by -4.69%,-9.39%,Normal Case
2016-09-11,1.1271,2016-11-27,1.0562,2016-09-04,Buy,11 Weeks,-6.29%,Rise by -4.52%,-15.68%,Normal Case
2016-09-18,1.1246,2016-11-27,1.0562,2016-09-11,Buy,10 Weeks,-6.08%,Rise by -4.3%,-21.76%,Normal Case
2016-11-06,1.1102,2017-02-19,1.0672,2016-10-30,Buy,15 Weeks,-3.87%,Rise by -3.06%,-25.63%,Normal Case
2017-01-01,1.0575,2017-04-16,1.0616,2015-11-15,Buy,15 Weeks,0.39%,Rise by 1.98%,-25.25%,Tangent Case
2017-01-01,1.0575,2017-04-16,1.0616,2016-12-25,Buy,15 Weeks,0.39%,Rise by 1.98%,-24.86%,Normal Case
2017-01-29,1.0683,2017-04-16,1.0616,2017-01-22,Buy,11 Weeks,-0.63%,Rise by 0.95%,-25.49%,Normal Case
2017-03-12,1.0578,2017-08-20,1.1716,2017-03-05,Buy,23 Weeks,10.76%,Rise by 13.72%,-14.73%,Normal Case
2017-03-26,1.0784,2017-08-20,1.1716,2017-03-19,Buy,21 Weeks,8.64%,Rise by 11.54%,-6.09%,Normal Case
2017-05-21,1.1114,2017-08-20,1.1716,2017-05-14,Buy,13 Weeks,5.42%,Rise by 8.23%,-0.67%,Normal Case
2017-07-02,1.1442,2017-09-24,1.1946,2015-11-22,Buy,12 Weeks,4.4%,Rise by 5.13%,3.74%,Tangent Case
2017-07-02,1.1442,2017-09-24,1.1946,2017-06-25,Buy,12 Weeks,4.4%,Rise by 5.13%,8.14%,Normal Case
2017-08-13,1.177,2017-12-17,1.1775,2017-07-30,Buy,18 Weeks,0.04%,Rise by 6.29%,8.18%,Normal Case
2017-08-20,1.1716,2017-12-17,1.1775,2015-11-29,Buy,17 Weeks,0.5%,Rise by 6.78%,8.69%,Tangent Case
2017-08-27,1.1802,2017-12-17,1.1775,2017-08-20,Buy,16 Weeks,-0.23%,Rise by 6.0%,8.46%,Normal Case
