Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type
2015-11-15,5.39,2016-01-24,5.89,2015-11-08,Buy,10 Weeks,9.28%,Rise by 12.24%,9.28%,Absolute Extrema Case
2015-12-06,5.77,2016-08-21,5.92,2015-11-29,Buy,37 Weeks,2.6%,Rise by 3.12%,11.88%,Normal Case
2015-12-13,5.7,2016-08-21,5.92,2015-12-06,Buy,36 Weeks,3.86%,Rise by 4.39%,15.74%,Normal Case
2015-12-27,6.01,2016-08-21,5.92,2015-12-13,Buy,34 Weeks,-1.5%,Rise by -1.0%,14.24%,Normal Case
2016-01-10,6.05,2016-08-21,5.92,2016-01-03,Buy,32 Weeks,-2.15%,Rise by -1.65%,12.09%,Normal Case
2016-01-17,5.92,2016-08-21,5.92,2015-12-27,Buy,31 Weeks,0.0%,Rise by 0.51%,12.09%,Normal Case
2016-02-07,5.91,2016-08-21,5.92,2016-01-31,Buy,28 Weeks,0.17%,Rise by 0.68%,12.26%,Normal Case
2016-05-01,5.81,2016-08-21,5.92,2016-04-24,Buy,16 Weeks,1.89%,Rise by 1.89%,14.15%,Normal Case
2016-05-22,5.79,2016-08-21,5.92,2016-05-15,Buy,13 Weeks,2.25%,Rise by 2.25%,16.4%,Normal Case
2016-08-07,5.92,2016-10-09,5.95,2016-07-31,Buy,9 Weeks,0.51%,Rise by 0.51%,16.9%,Normal Case
2016-08-21,5.92,2016-10-23,5.9,2016-08-14,Buy,9 Weeks,-0.34%,Rise by 0.51%,16.57%,Normal Case
2016-08-28,5.92,2016-10-30,5.9,2016-08-21,Buy,9 Weeks,-0.34%,Rise by 7.43%,16.23%,Normal Case
2016-09-11,5.84,2017-01-29,6.24,2016-09-04,Buy,20 Weeks,6.85%,Rise by 8.9%,23.08%,Normal Case
2016-09-18,5.85,2017-01-29,6.24,2016-09-11,Buy,19 Weeks,6.67%,Rise by 8.72%,29.74%,Normal Case
2016-10-16,5.93,2017-01-29,6.24,2016-07-03,Buy,15 Weeks,5.23%,Rise by 7.25%,34.97%,Local Extrema Case
2016-10-16,5.93,2017-01-29,6.24,2016-10-02,Buy,15 Weeks,5.23%,Rise by 7.25%,40.2%,Normal Case
2017-01-01,6.0,2017-03-12,6.29,2016-12-25,Buy,10 Weeks,4.83%,Rise by 6.0%,45.03%,Normal Case
2017-01-29,6.24,2017-06-11,5.98,2017-01-22,Buy,19 Weeks,-4.17%,Rise by 0.0%,40.87%,Normal Case
2017-03-12,6.29,2017-06-11,5.98,2017-03-05,Buy,13 Weeks,-4.93%,Rise by -0.79%,35.94%,Normal Case
2017-04-16,6.0,2017-08-27,6.22,2017-04-09,Buy,19 Weeks,3.67%,Rise by 4.0%,39.6%,Normal Case
2017-05-21,6.01,2017-08-27,6.22,2017-05-14,Buy,14 Weeks,3.49%,Rise by 3.83%,43.1%,Normal Case
2017-07-02,6.0,2017-11-19,6.3,2017-06-25,Buy,20 Weeks,5.0%,Rise by 4.0%,48.1%,Normal Case
2017-08-13,6.24,2017-11-19,6.3,2017-08-06,Buy,14 Weeks,0.96%,Rise by 6.73%,49.06%,Normal Case
2017-08-20,6.24,2017-11-19,6.3,2017-08-13,Buy,13 Weeks,0.96%,Rise by 6.73%,50.02%,Normal Case
2017-10-01,6.23,2018-01-28,6.4,2017-09-24,Buy,17 Weeks,2.73%,Rise by 6.9%,52.75%,Normal Case
2017-10-29,6.28,2018-01-28,6.4,2017-10-22,Buy,13 Weeks,1.91%,Rise by 6.05%,54.66%,Normal Case
2017-11-19,6.3,2018-01-28,6.4,2015-11-22,Buy,10 Weeks,1.59%,Rise by 5.71%,56.25%,Tangent Case
2017-12-31,6.41,2018-06-10,5.15,2017-12-24,Buy,23 Weeks,-19.66%,Rise by -11.23%,36.59%,Normal Case
2018-03-25,5.85,2018-06-10,5.15,2018-03-11,Buy,11 Weeks,-11.97%,Rise by -10.94%,24.63%,Normal Case
2018-05-06,5.78,2019-01-27,4.77,2018-04-29,Buy,38 Weeks,-17.47%,Rise by -10.55%,7.15%,Normal Case
2018-05-13,5.75,2019-01-27,4.77,2018-04-22,Buy,37 Weeks,-17.04%,Rise by -10.26%,-9.89%,Normal Case
2018-06-24,5.17,2019-01-27,4.77,2018-06-17,Buy,31 Weeks,-7.74%,Rise by -11.99%,-17.63%,Normal Case
2018-07-01,5.44,2019-01-27,4.77,2018-06-24,Buy,30 Weeks,-12.32%,Rise by -10.11%,-29.94%,Normal Case
2018-09-09,4.97,2019-01-27,4.77,2018-09-02,Buy,20 Weeks,-4.02%,Rise by -4.02%,-33.97%,Normal Case
2018-10-28,4.83,2019-01-27,4.77,2018-10-21,Buy,13 Weeks,-1.24%,Rise by -1.24%,-35.21%,Normal Case
2018-11-18,4.84,2019-01-27,4.77,2018-08-19,Buy,10 Weeks,-1.45%,Rise by -1.45%,-36.66%,Local Extrema Case
2018-12-09,4.71,2019-02-17,4.64,2018-12-02,Buy,10 Weeks,-1.49%,Rise by 1.27%,-38.14%,Normal Case
2018-12-30,4.64,2019-10-27,4.14,2018-10-14,Buy,43 Weeks,-10.78%,Rise by -14.01%,-48.92%,Local Extrema Case
2018-12-30,4.64,2019-10-27,4.14,2018-12-23,Buy,43 Weeks,-10.78%,Rise by -14.01%,-59.7%,Normal Case
