Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type
2015-12-27,182.47,2016-05-08,158.85,2015-12-13,Buy,19 Weeks,-12.94%,Rise by -19.92%,-12.94%,Normal Case
2016-05-01,164.11,2016-08-07,162.09,2016-04-24,Buy,14 Weeks,-1.23%,Rise by -11.25%,-14.18%,Normal Case
2016-08-21,166.23,2017-01-01,239.45,2016-08-14,Buy,19 Weeks,44.05%,Rise by 47.33%,29.87%,Normal Case
2016-08-28,165.97,2017-01-01,239.45,2016-08-21,Buy,18 Weeks,44.27%,Rise by 47.56%,74.14%,Normal Case
2016-09-04,169.18,2017-01-01,239.45,2016-08-28,Buy,17 Weeks,41.54%,Rise by 44.76%,115.68%,Normal Case
2016-09-11,168.57,2017-01-01,239.45,2016-09-04,Buy,16 Weeks,42.05%,Rise by 45.28%,157.73%,Normal Case
2016-10-16,170.52,2017-01-01,239.45,2016-08-07,Buy,11 Weeks,40.42%,Rise by 43.62%,198.15%,Local Extrema Case
2016-10-16,170.52,2017-01-01,239.45,2016-10-09,Buy,11 Weeks,40.42%,Rise by 43.62%,238.58%,Normal Case
2016-10-30,177.14,2017-01-01,239.45,2016-10-23,Buy,9 Weeks,35.18%,Rise by 38.25%,273.75%,Normal Case
2016-11-06,175.92,2017-01-29,236.95,2016-10-30,Buy,12 Weeks,34.69%,Rise by 39.21%,308.44%,Normal Case
2016-12-25,240.97,2017-03-19,243.94,2015-11-15,Buy,12 Weeks,1.23%,Rise by 4.95%,309.68%,Tangent Case
2017-01-01,239.45,2017-03-19,243.94,2016-12-25,Buy,11 Weeks,1.88%,Rise by 5.61%,311.55%,Normal Case
2017-01-29,236.95,2017-07-30,223.61,2017-01-22,Buy,26 Weeks,-5.63%,Rise by -3.02%,305.92%,Normal Case
2017-03-12,248.38,2017-07-30,223.61,2017-03-05,Buy,20 Weeks,-9.97%,Rise by -10.29%,295.95%,Normal Case
2017-07-02,221.9,2017-10-22,244.73,2017-06-25,Buy,16 Weeks,10.29%,Rise by 10.87%,306.24%,Normal Case
2017-08-13,224.15,2017-10-22,244.73,2017-07-30,Buy,10 Weeks,9.18%,Rise by 9.76%,315.42%,Normal Case
2017-10-01,237.19,2018-01-07,255.52,2017-09-24,Buy,14 Weeks,7.73%,Rise by 9.18%,323.15%,Normal Case
2017-10-29,241.71,2018-01-07,255.52,2017-10-22,Buy,10 Weeks,5.71%,Rise by 7.14%,328.86%,Normal Case
2018-02-04,260.04,2018-08-19,233.38,2018-01-28,Buy,28 Weeks,-10.25%,Rise by -12.19%,318.61%,Normal Case
2018-02-11,249.3,2018-08-19,233.38,2017-11-19,Buy,27 Weeks,-6.39%,Rise by -11.52%,312.22%,Local Extrema Case
2018-02-25,266.77,2018-08-19,233.38,2018-02-04,Buy,25 Weeks,-12.52%,Rise by -10.11%,299.7%,Normal Case
2018-10-07,225.71,2019-02-17,198.5,2018-09-30,Buy,19 Weeks,-12.06%,Rise by -16.22%,287.65%,Normal Case
2018-11-04,229.69,2019-02-17,198.5,2018-10-28,Buy,15 Weeks,-13.58%,Rise by -30.32%,274.07%,Normal Case
2018-11-11,222.65,2019-02-17,198.5,2018-10-21,Buy,14 Weeks,-10.85%,Rise by -26.78%,263.22%,Normal Case
2019-03-17,198.26,2019-08-11,206.9,2019-02-24,Buy,21 Weeks,4.36%,Rise by 12.04%,267.58%,Normal Case
2019-08-04,209.37,2019-11-24,220.28,2019-07-14,Buy,16 Weeks,5.21%,Rise by 19.15%,272.79%,Normal Case
2020-01-05,231.58,2020-05-17,171.87,2019-12-29,Buy,19 Weeks,-25.78%,Rise by -13.3%,247.01%,Normal Case
2020-03-29,158.34,2020-06-21,201.63,2020-03-22,Buy,12 Weeks,27.34%,Rise by 37.63%,274.35%,Normal Case
2020-06-21,201.63,2021-01-31,271.17,2020-06-14,Buy,32 Weeks,34.49%,Rise by 73.0%,308.84%,Normal Case
2020-07-05,197.4,2021-01-31,271.17,2020-06-28,Buy,30 Weeks,37.37%,Rise by 76.7%,346.21%,Normal Case
2020-09-06,210.94,2021-01-31,271.17,2020-08-30,Buy,21 Weeks,28.55%,Rise by -10.38%,374.76%,Normal Case
2020-12-27,256.16,2021-04-04,327.64,2020-12-20,Buy,14 Weeks,27.9%,Rise by 36.17%,402.67%,Normal Case
2021-01-10,290.08,2021-04-04,327.64,2021-01-03,Buy,12 Weeks,12.95%,Rise by 20.25%,415.61%,Normal Case
2021-02-28,319.48,2021-05-30,372.02,2021-02-21,Buy,13 Weeks,16.45%,Rise by 22.53%,432.06%,Normal Case
2021-03-07,327.37,2021-05-30,372.02,2021-02-28,Buy,12 Weeks,13.64%,Rise by 19.57%,445.7%,Normal Case
2021-03-28,327.39,2021-05-30,372.02,2015-12-27,Buy,9 Weeks,13.63%,Rise by 19.57%,459.33%,Tangent Case
2021-05-09,370.89,2021-09-19,391.46,2021-05-02,Buy,19 Weeks,5.55%,Rise by 13.16%,464.88%,Normal Case
2021-05-16,368.77,2021-09-19,391.46,2021-05-09,Buy,18 Weeks,6.15%,Rise by 13.81%,471.03%,Normal Case
2021-06-06,391.45,2021-09-19,391.46,2021-05-30,Buy,15 Weeks,0.0%,Rise by 7.21%,471.03%,Normal Case
2021-08-22,395.87,2021-11-21,387.39,2021-08-08,Buy,13 Weeks,-2.14%,Rise by 4.66%,468.89%,Normal Case
2021-10-03,380.0,2022-01-23,343.91,2021-09-26,Buy,16 Weeks,-9.5%,Rise by 4.61%,459.39%,Normal Case
2021-11-28,389.39,2022-05-08,312.96,2021-11-21,Buy,23 Weeks,-19.63%,Rise by -11.68%,439.76%,Normal Case
2021-12-05,382.73,2022-05-08,312.96,2016-01-17,Buy,22 Weeks,-18.23%,Rise by -10.14%,421.53%,Tangent Case
2021-12-12,391.06,2022-05-08,312.96,2021-11-28,Buy,21 Weeks,-19.97%,Rise by -11.26%,401.56%,Normal Case
2022-01-09,397.51,2022-05-08,312.96,2022-01-02,Buy,17 Weeks,-21.27%,Rise by -11.92%,380.29%,Normal Case
2022-02-13,363.06,2022-05-08,312.96,2022-02-06,Buy,12 Weeks,-13.8%,Rise by -11.48%,366.49%,Normal Case
2022-04-17,321.64,2022-09-04,331.48,2022-04-10,Buy,20 Weeks,3.06%,Rise by -10.76%,369.55%,Normal Case
2022-04-24,319.77,2022-09-04,331.48,2022-04-17,Buy,19 Weeks,3.66%,Rise by -10.24%,373.22%,Normal Case
2022-05-22,306.8,2022-09-04,331.48,2022-05-15,Buy,15 Weeks,8.04%,Rise by 15.33%,381.26%,Normal Case
2022-05-29,328.58,2022-09-04,331.48,2022-05-08,Buy,14 Weeks,0.88%,Rise by -10.56%,382.14%,Normal Case
2022-07-03,299.23,2022-09-04,331.48,2022-06-12,Buy,9 Weeks,10.78%,Rise by 29.95%,392.92%,Normal Case
2022-08-28,336.4,2022-12-04,380.58,2022-08-14,Buy,14 Weeks,13.13%,Rise by -10.82%,406.05%,Normal Case
2022-09-25,301.97,2022-12-04,380.58,2022-07-17,Buy,10 Weeks,26.03%,Rise by 28.77%,432.09%,Local Extrema Case
2022-11-06,357.91,2023-02-26,363.85,2022-10-30,Buy,16 Weeks,1.66%,Rise by -15.19%,433.75%,Normal Case
2023-02-19,368.5,2023-05-21,326.15,2023-02-12,Buy,13 Weeks,-11.49%,Rise by -12.51%,422.25%,Normal Case
2023-02-26,363.85,2023-05-21,326.15,2023-02-05,Buy,12 Weeks,-10.36%,Rise by -5.61%,411.89%,Normal Case
2023-04-30,343.44,2023-07-02,322.54,2023-04-23,Buy,9 Weeks,-6.09%,Rise by 2.85%,405.81%,Normal Case
2023-05-28,332.01,2023-08-13,340.73,2023-05-21,Buy,11 Weeks,2.63%,Rise by 6.39%,408.43%,Normal Case
